,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,8.6,8.6,8.6,8.6,8.6,0.0
1,2019-09-17,8.6,10.0,10.0,8.6,8.6,500.0
2,2019-09-18,8.6,8.6,8.6,8.6,8.6,0.0
3,2019-09-19,8.6,9.6,9.6,8.6,8.6,464.0
4,2019-09-20,8.6,8.6,8.6,8.6,8.6,0.0
5,2019-09-23,8.6,8.6,8.6,8.6,8.6,0.0
6,2019-09-24,8.6,9.32,9.32,8.6,8.6,448.0
7,2019-09-25,8.6,7.2,7.2,8.6,8.6,500.0
8,2019-09-26,8.6,8.6,8.6,8.6,8.6,0.0
9,2019-09-27,8.6,8.6,8.6,8.6,8.6,0.0
10,2019-09-30,8.6,8.6,8.6,8.6,8.6,0.0
11,2019-10-01,8.6,7.2,7.0,8.0,8.0,125580.0
12,2019-10-02,8.0,8.0,8.0,8.0,8.0,0.0
13,2019-10-03,8.0,8.0,8.0,8.0,8.0,0.0
14,2019-10-04,8.0,7.0,7.0,8.0,8.0,4466.0
15,2019-10-07,8.0,7.96,7.0,7.5,7.5,33622.0
16,2019-10-08,7.5,7.5,7.5,7.5,7.5,0.0
17,2019-10-09,7.5,7.76,7.76,7.5,7.5,3056.0
18,2019-10-10,7.5,8.0,8.0,8.0,8.0,9179.0
19,2019-10-11,8.0,8.4,8.4,8.0,8.0,5829.0
20,2019-10-14,8.0,8.0,8.0,8.0,8.0,0.0
21,2019-10-15,8.0,8.0,8.0,8.0,8.0,0.0
22,2019-10-16,8.0,8.0,8.0,8.0,8.0,0.0
23,2019-10-17,8.0,7.34,7.34,8.0,8.0,16000.0
24,2019-10-18,8.0,8.0,8.0,8.0,8.0,0.0
25,2019-10-21,8.0,8.0,8.0,8.0,8.0,0.0
26,2019-10-22,8.0,8.26,8.26,8.0,8.0,3595.0
27,2019-10-23,8.0,8.0,8.0,8.0,8.0,0.0
28,2019-10-24,8.0,8.0,8.0,8.0,8.0,0.0
29,2019-10-25,8.0,8.0,8.0,8.0,8.0,0.0
30,2019-10-28,8.0,8.0,8.0,8.0,8.0,0.0
31,2019-10-29,8.2,9.0,8.7,8.2,8.2,10000.0
32,2019-10-30,8.5,9.0,9.0,8.2,8.2,5.0
33,2019-10-31,8.25,7.5,7.5,8.25,8.25,1.0
34,2019-11-01,8.15,8.15,8.15,8.15,8.15,0.0
35,2019-11-04,8.15,7.5,7.5,8.15,8.15,10011.0
36,2019-11-05,8.15,7.503,7.503,8.15,8.15,1.0
37,2019-11-06,8.15,8.15,8.15,8.15,8.15,0.0
38,2019-11-07,8.15,8.15,8.15,8.15,8.15,0.0
39,2019-11-08,8.25,8.25,8.25,8.25,8.25,0.0
40,2019-11-11,8.25,7.503,7.503,8.25,8.25,449.0
41,2019-11-12,8.25,8.25,8.25,8.25,8.25,0.0
42,2019-11-13,8.25,8.25,8.25,8.25,8.25,0.0
43,2019-11-14,8.25,8.25,8.25,8.25,8.25,0.0
44,2019-11-15,8.25,8.25,8.25,8.25,8.25,0.0
45,2019-11-18,8.5,8.5,8.5,8.5,8.5,0.0
46,2019-11-19,9.0,9.0,9.0,9.0,9.0,1000.0
47,2019-11-20,8.5,8.5,8.5,8.5,8.5,0.0
48,2019-11-21,8.5,8.5,8.5,8.5,8.5,0.0
49,2019-11-22,8.5,8.5,8.5,8.5,8.5,0.0
