,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-09,109.0,108.0,108.0,109.0,103.255577,4345
1,2019-09-10,109.0,109.0,109.0,109.0,103.255577,0
2,2019-09-11,109.0,108.0,108.0,109.0,103.255577,10125
3,2019-09-12,109.0,109.0,109.0,109.0,103.255577,0
4,2019-09-13,109.0,109.0,109.0,109.0,103.255577,0
5,2019-09-16,109.0,108.0,108.0,109.0,103.255577,2495
6,2019-09-17,109.0,109.0,109.0,109.0,103.255577,0
7,2019-09-18,109.0,110.0,110.0,109.0,103.255577,8131
8,2019-09-19,109.0,108.0,108.0,109.0,103.255577,5
9,2019-09-20,109.0,108.0,108.0,109.0,103.255577,6271
10,2019-09-23,109.0,109.0,109.0,109.0,103.255577,0
11,2019-09-24,109.0,109.0,109.0,109.0,103.255577,0
12,2019-09-25,109.0,109.0,109.0,109.0,103.255577,0
13,2019-09-26,109.0,109.0,109.0,109.0,103.255577,0
14,2019-09-27,109.0,109.0,109.0,109.0,103.255577,0
15,2019-09-30,109.0,108.0,108.0,109.0,103.255577,8180
16,2019-10-01,109.0,107.5,107.5,108.0,102.30828100000001,10235
17,2019-10-02,108.0,108.0,108.0,108.0,102.30828100000001,0
18,2019-10-03,108.0,108.0,108.0,108.0,102.30828100000001,0
19,2019-10-04,108.0,108.0,108.0,108.0,102.30828100000001,0
20,2019-10-07,108.0,107.0,106.0,107.0,101.360985,22972
21,2019-10-08,107.0,107.0,107.0,107.0,101.360985,0
22,2019-10-09,107.0,107.0,107.0,107.0,101.360985,0
23,2019-10-10,107.0,107.0,107.0,107.0,101.360985,0
24,2019-10-11,107.0,107.0,107.0,107.0,101.360985,0
25,2019-10-14,107.0,107.0,107.0,107.0,101.360985,0
26,2019-10-15,107.0,107.0,107.0,107.0,101.360985,0
27,2019-10-16,107.0,106.0,106.0,107.0,101.360985,320
28,2019-10-17,107.0,107.0,107.0,107.0,101.360985,0
29,2019-10-18,107.0,106.0,106.0,107.0,101.360985,13933
30,2019-10-21,107.0,107.0,107.0,107.0,101.360985,0
31,2019-10-22,107.0,107.0,107.0,107.0,101.360985,0
32,2019-10-23,107.0,107.0,107.0,107.0,101.360985,0
