,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,755.0,764.0,751.0,756.0,735.211975,57294
1,2019-09-17,761.0,761.0,752.0,759.0,738.129517,102371
2,2019-09-18,758.0,758.799988,750.0,753.0,732.294495,58270
3,2019-09-19,759.0,759.0,751.0,757.0,736.1844480000001,253552
4,2019-09-20,761.0,761.0,748.0,752.0,731.32196,183091
5,2019-09-23,758.0,758.0,746.25,752.0,731.32196,133618
6,2019-09-24,752.0,753.919983,744.0,747.0,726.459473,38968
7,2019-09-25,740.0,748.22998,740.0,741.0,720.624451,1422717
8,2019-09-26,751.0,751.0,742.0,749.0,728.40448,324687
9,2019-09-27,754.0,754.0,747.719971,751.0,730.3494870000001,163158
10,2019-09-30,747.0,751.0,744.0,747.0,726.459473,231952
11,2019-10-01,747.0,755.0,747.0,754.0,733.266968,82761
12,2019-10-02,756.0,756.0,735.0,738.0,717.7069700000001,200532
13,2019-10-03,740.0,745.0,734.0,736.0,715.761902,87261
14,2019-10-04,733.0,743.669983,733.0,743.0,722.569458,80380
15,2019-10-07,745.0,745.0,735.0,736.0,715.761902,66996
16,2019-10-08,735.0,744.0,735.0,735.0,714.789429,57153
17,2019-10-09,739.0,739.3900150000001,732.0,737.0,716.7344969999999,328876
18,2019-10-10,738.0,738.0,733.0,736.0,715.761902,228911
19,2019-10-11,740.0,740.0,730.0,736.0,715.761902,98850
20,2019-10-14,730.0,738.780029,725.0,732.0,711.871887,68255
21,2019-10-15,733.0,735.0,725.336975,734.0,713.816895,100004
22,2019-10-16,729.0,737.0,729.0,734.0,713.816895,108281
23,2019-10-17,737.0,737.0,725.0,736.0,715.761902,147952
24,2019-10-18,730.0,734.0,725.0,726.0,706.036926,84808
25,2019-10-21,725.0,734.0,725.0,731.0,710.899414,109451
26,2019-10-22,731.0,735.0,727.0319820000001,728.0,707.981934,97651
27,2019-10-23,733.0,736.0,728.679993,732.0,711.871887,105762
28,2019-10-24,737.0,737.0,721.0,721.0,701.174438,227177
29,2019-10-25,730.0,735.0,726.869995,733.0,712.844421,271553
