,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-09,0.18,0.189,0.168,0.18,0.18,800177.0
1,2019-09-10,0.18,0.214,0.182,0.2,0.2,22661879.0
2,2019-09-11,0.2,0.213,0.185,0.21,0.21,16736922.0
3,2019-09-12,0.215,0.219,0.185,0.19,0.19,11515224.0
4,2019-09-13,0.19,0.198,0.185,0.19,0.19,4415750.0
5,2019-09-16,0.19,0.2,0.185,0.19,0.19,2536409.0
6,2019-09-17,0.19,0.197,0.18,0.19,0.19,4073978.0
7,2019-09-18,0.19,0.195,0.186,0.19,0.19,4210993.0
8,2019-09-19,0.19,0.21,0.193,0.205,0.205,2863548.0
9,2019-09-20,0.205,0.213,0.193,0.205,0.205,4174163.0
10,2019-09-23,0.205,0.2,0.184,0.19,0.19,7133967.0
11,2019-09-24,0.205,0.219,0.187,0.19,0.19,891778.0
12,2019-09-25,0.19,0.196,0.181,0.185,0.185,9740698.0
13,2019-09-26,0.185,0.2,0.183,0.19,0.19,1569174.0
14,2019-09-27,0.19,0.187,0.186,0.19,0.19,2733529.0
15,2019-09-30,0.19,0.2,0.183,0.19,0.19,1040964.0
16,2019-10-01,0.19,0.198,0.182,0.19,0.19,1293009.0
17,2019-10-02,0.19,0.193,0.18,0.19,0.19,2938777.0
18,2019-10-03,0.19,0.192,0.18,0.19,0.19,1183222.0
19,2019-10-04,0.19,0.192,0.187,0.19,0.19,1383829.0
20,2019-10-07,0.19,0.193,0.144,0.19,0.19,22612143.0
21,2019-10-08,0.19,0.183,0.18,0.19,0.19,1200000.0
22,2019-10-09,0.19,0.193,0.172,0.185,0.185,2993206.0
23,2019-10-10,0.185,0.193,0.175,0.185,0.185,3594133.0
24,2019-10-11,0.185,0.193,0.173,0.185,0.185,3287360.0
25,2019-10-14,0.185,0.193,0.173,0.185,0.185,5473662.0
26,2019-10-15,0.185,0.22,0.17,0.195,0.195,4433787.0
27,2019-10-16,0.195,0.207,0.182,0.19,0.19,10523088.0
28,2019-10-17,0.19,0.182,0.182,0.19,0.19,410353.0
29,2019-10-18,0.19,0.198,0.18,0.19,0.19,85000.0
30,2019-10-21,0.19,0.198,0.18,0.19,0.19,2014370.0
31,2019-10-22,0.19,0.195,0.18,0.19,0.19,605017.0
32,2019-10-23,0.19,0.186,0.18,0.19,0.19,1331158.0
33,2019-10-24,0.19,0.189,0.18,0.19,0.19,1570659.0
34,2019-10-25,0.19,0.189,0.17,0.185,0.185,5518827.0
35,2019-10-28,0.185,0.189,0.17,0.185,0.185,543129.0
36,2019-10-29,0.185,0.183,0.172,0.18,0.18,4721285.0
37,2019-10-30,0.18,0.172,0.172,0.18,0.18,1609280.0
38,2019-10-31,0.18,0.208,0.17,0.19,0.19,18692978.0
39,2019-11-01,0.185,0.195,0.162,0.185,0.185,12834500.0
40,2019-11-04,0.185,0.194,0.194,0.185,0.185,20576.0
41,2019-11-05,0.185,0.194,0.17,0.185,0.185,3643798.0
42,2019-11-06,0.185,0.18,0.16,0.165,0.165,8377326.0
43,2019-11-07,0.165,0.2,0.171,0.185,0.185,7971206.0
44,2019-11-08,0.185,0.195,0.171,0.185,0.185,5998438.0
45,2019-11-11,0.185,0.193,0.171,0.185,0.185,1087481.0
46,2019-11-12,0.19,0.196,0.173,0.19,0.19,3601124.0
47,2019-11-13,0.19,0.185,0.171,0.175,0.175,14462987.0
48,2019-11-14,0.18,0.188,0.171,0.18,0.18,10538440.0
49,2019-11-15,0.175,0.18,0.17,0.175,0.175,17137218.0
50,2019-11-18,0.175,0.178,0.163,0.17,0.17,8590702.0
51,2019-11-19,0.17,0.17,0.161,0.17,0.17,7406047.0
52,2019-11-20,0.17,0.18,0.165,0.165,0.165,25988287.0
53,2019-11-21,0.165,0.17,0.17,0.165,0.165,633861.0
54,2019-11-22,0.165,0.168,0.163,0.165,0.165,4497907.0
55,2019-11-25,0.165,0.176,0.156,0.165,0.165,21509143.0
56,2019-11-26,0.165,0.171,0.153,0.165,0.165,13754628.0
57,2019-11-27,0.165,0.179,0.153,0.165,0.165,12017161.0
58,2019-11-28,0.165,0.172,0.17,0.165,0.165,3479304.0
59,2019-11-29,0.165,0.193,0.159,0.17,0.17,25267692.0
60,2019-12-02,0.17,0.18,0.162,0.17,0.17,7467634.0
61,2019-12-03,0.17,0.162,0.16,0.17,0.17,6550937.0
62,2019-12-04,0.17,0.172,0.16,0.17,0.17,767381.0
63,2019-12-05,0.17,0.177,0.16,0.17,0.17,10256744.0
64,2019-12-06,0.17,0.18,0.161,0.17,0.17,390982.0
65,2019-12-09,0.17,0.18,0.162,0.17,0.17,4613026.0
66,2019-12-10,0.17,0.176,0.161,0.165,0.165,4712427.0
67,2019-12-11,0.165,0.168,0.161,0.165,0.165,2011936.0
68,2019-12-12,0.165,0.16,0.16,0.165,0.165,1384926.0
69,2019-12-13,0.165,0.167,0.161,0.165,0.165,1929560.0
70,2019-12-16,0.165,0.169,0.162,0.165,0.165,1757553.0
71,2019-12-17,0.165,0.169,0.163,0.165,0.165,3376418.0
72,2019-12-18,0.165,0.169,0.163,0.165,0.165,846805.0
73,2019-12-19,0.165,0.168,0.16,0.165,0.165,4672449.0
74,2019-12-20,0.165,0.165,0.165,0.165,0.165,0.0
75,2019-12-23,0.155,0.166,0.141,0.165,0.165,24596178.0
76,2019-12-24,0.16,0.169,0.16,0.16,0.16,6168134.0
77,2019-12-27,0.16,0.16,0.155,0.16,0.16,4946254.0
78,2019-12-30,0.16,0.16,0.155,0.16,0.16,7802753.0
79,2019-12-31,0.16,0.175,0.164,0.165,0.165,6888887.0
80,2020-01-02,0.165,0.174,0.161,0.165,0.165,2028570.0
81,2020-01-03,0.165,0.174,0.15,0.165,0.165,3349078.0
82,2020-01-06,0.165,0.167,0.15,0.16,0.16,4223447.0
83,2020-01-07,0.16,0.165,0.152,0.16,0.16,2617389.0
84,2020-01-08,0.16,0.165,0.15,0.165,0.165,3297089.0
85,2020-01-09,0.165,0.162,0.15,0.165,0.165,2956994.0
86,2020-01-10,0.165,0.15,0.15,0.165,0.165,1333333.0
87,2020-01-13,0.165,0.152,0.15,0.155,0.155,5499738.0
88,2020-01-14,0.155,0.163,0.142,0.155,0.155,7020030.0
89,2020-01-15,0.155,0.155,0.142,0.15,0.15,3996981.0
90,2020-01-16,0.15,0.148,0.14,0.15,0.15,6706703.0
91,2020-01-17,0.15,0.148,0.14,0.15,0.15,1936850.0
92,2020-01-20,0.15,0.153,0.133,0.14,0.14,5790175.0
93,2020-01-21,0.14,0.147,0.133,0.14,0.14,7716895.0
