,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,25.0,27.0,22.5,27.5,27.5,143372.0
1,2019-09-17,27.5,26.5,25.0,27.5,27.5,31499.0
2,2019-09-18,27.5,30.0,25.0,27.5,27.5,18609.0
3,2019-09-19,27.5,28.0,25.0,27.5,27.5,14418.0
4,2019-09-20,22.5,25.0,22.5,22.5,22.5,156158.0
5,2019-09-23,22.5,25.0,22.6,22.5,22.5,180876.0
6,2019-09-24,22.5,25.0,20.5,22.5,22.5,46689.0
7,2019-09-25,22.5,24.0,20.299999,22.5,22.5,14947.0
8,2019-09-26,22.5,20.299999,20.0,22.5,22.5,42582.0
9,2019-09-27,22.5,23.0,20.0,22.5,22.5,22215.0
10,2019-09-30,22.5,22.5,18.1,22.5,22.5,67100.0
11,2019-10-01,22.5,22.4,15.0,22.5,22.5,35677.0
12,2019-10-02,22.5,21.799999,20.0,17.5,17.5,143499.0
13,2019-10-03,17.5,22.0,17.6,20.0,20.0,54835.0
14,2019-10-04,20.0,22.0,20.0,20.0,20.0,195469.0
15,2019-10-07,20.0,21.5,18.0,20.0,20.0,33828.0
16,2019-10-08,20.0,20.9,16.0,20.0,20.0,76541.0
17,2019-10-09,20.0,21.5,18.799999,22.5,22.5,17504.0
18,2019-10-10,22.5,22.5,20.0,22.5,22.5,87204.0
19,2019-10-11,22.5,21.0,18.6,20.0,20.0,121972.0
20,2019-10-14,20.0,21.0,17.700001,20.0,20.0,122662.0
21,2019-10-15,20.0,21.0,17.9,17.5,17.5,532178.0
22,2019-10-16,17.5,20.0,16.5,17.5,17.5,139351.0
23,2019-10-17,17.5,18.4,16.5,17.5,17.5,50177.0
24,2019-10-18,17.5,18.5,16.6,17.5,17.5,98210.0
25,2019-10-21,17.5,18.299999,16.9,17.5,17.5,15666.0
26,2019-10-22,17.5,17.5,15.2,16.0,16.0,252990.0
27,2019-10-23,16.0,18.299999,15.2,16.5,16.5,344234.0
28,2019-10-24,16.5,16.5,15.0,15.5,15.5,187427.0
29,2019-10-25,15.5,16.0,15.0,15.5,15.5,216183.0
30,2019-10-28,15.5,16.0,15.0,15.5,15.5,24921.0
31,2019-10-29,15.5,17.0,13.3,15.0,15.0,306950.0
32,2019-10-30,15.0,15.0,13.8,14.5,14.5,39222.0
33,2019-10-31,14.5,15.0,13.5,14.0,14.0,129662.0
34,2019-11-01,14.0,14.9,13.5,14.0,14.0,72438.0
35,2019-11-04,14.0,14.9,13.3,14.0,14.0,148221.0
36,2019-11-05,14.0,14.2,13.0,13.0,13.0,228528.0
37,2019-11-06,13.0,13.5,12.0,12.5,12.5,103867.0
38,2019-11-07,12.5,13.3,10.5,13.5,13.5,262195.0
39,2019-11-08,12.5,13.0,11.5,12.5,12.5,141374.0
40,2019-11-11,12.5,13.0,12.0,12.0,12.0,31800.0
41,2019-11-12,12.0,12.0,11.1,11.5,11.5,12475.0
42,2019-11-13,11.5,12.0,11.0,11.5,11.5,22730.0
43,2019-11-14,11.5,14.0,11.0,12.0,12.0,279026.0
44,2019-11-15,12.0,14.0,11.0,12.5,12.5,369485.0
45,2019-11-18,12.5,14.0,12.1,13.5,13.5,33972.0
46,2019-11-19,13.5,15.0,13.0,13.5,13.5,44616.0
47,2019-11-20,13.5,13.9,12.0,12.5,12.5,129890.0
48,2019-11-21,12.5,13.0,12.0,12.5,12.5,35451.0
49,2019-11-22,12.5,12.3,10.6,11.0,11.0,129418.0
50,2019-11-25,11.0,12.0,10.7,11.0,11.0,121825.0
51,2019-11-26,11.0,12.0,10.5,11.5,11.5,301071.0
52,2019-11-27,11.5,12.9,11.0,13.0,13.0,245355.0
