,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,35.5,38.0,35.0,35.5,33.393406,2490
1,2019-09-17,35.5,33.0,33.0,35.5,33.393406,9015
2,2019-09-18,35.5,33.0,33.0,35.5,33.393406,1139
3,2019-09-19,35.5,33.0,33.0,35.5,33.393406,10000
4,2019-09-20,35.5,35.5,35.5,35.5,33.393406,0
5,2019-09-23,35.5,35.5,35.5,35.5,33.393406,0
6,2019-09-24,35.5,31.0,31.0,35.5,33.393406,15000
7,2019-09-25,35.5,35.5,35.5,35.5,33.393406,0
8,2019-09-26,35.5,35.5,35.5,35.5,33.393406,0
9,2019-09-27,35.5,38.0,38.0,35.5,33.393406,1297
10,2019-09-30,35.5,35.5,35.5,35.5,33.393406,0
11,2019-10-01,35.5,35.5,35.5,35.5,33.393406,0
12,2019-10-02,35.5,35.5,35.5,35.5,33.393406,0
13,2019-10-03,35.5,35.5,35.5,35.5,33.393406,0
14,2019-10-04,35.5,38.0,37.75,35.5,33.393406,17105
15,2019-10-07,35.5,38.0,37.75,35.5,33.393406,27560
16,2019-10-08,35.5,38.0,38.0,35.5,33.393406,1300
17,2019-10-09,35.5,35.5,35.5,35.5,33.393406,0
18,2019-10-10,35.5,38.0,37.75,35.5,33.393406,17841
19,2019-10-11,35.5,38.0,38.0,35.5,33.393406,13372
20,2019-10-14,35.5,38.0,33.0,35.5,33.393406,45689
21,2019-10-15,35.5,31.0,31.0,35.5,33.393406,10000
22,2019-10-16,35.5,37.950001,37.950001,35.5,33.393406,4333
23,2019-10-17,35.5,37.994999,37.994999,35.5,33.393406,962
24,2019-10-18,35.5,37.994999,37.994999,35.5,33.393406,3930
25,2019-10-21,35.5,37.994999,33.0,35.5,33.393406,4127
26,2019-10-22,35.5,37.994999,37.75,35.5,33.393406,21469
27,2019-10-23,35.5,37.994999,33.0,35.5,33.393406,54115
28,2019-10-24,35.5,37.994999,37.75,35.5,33.393406,42313
29,2019-10-25,35.5,35.5,35.5,35.5,33.393406,0
30,2019-10-28,35.5,37.994999,30.0,37.0,34.804398,61912
31,2019-10-29,34.5,36.994999,36.994999,34.5,32.452746999999995,5093
32,2019-10-30,34.5,36.994999,32.0,34.5,32.452746999999995,2711
33,2019-10-31,34.5,37.0,37.0,34.5,32.452746999999995,13412
34,2019-11-01,34.5,39.0,36.994999,34.5,32.452746999999995,14767
35,2019-11-04,34.5,32.0,32.0,34.5,32.452746999999995,4700
36,2019-11-05,34.5,39.0,36.994999,35.5,33.393406,15896
37,2019-11-06,35.5,33.0,33.0,35.5,33.393406,6000
38,2019-11-07,35.5,37.994999,37.994999,35.5,33.393406,6950
39,2019-11-08,35.5,38.0,33.0,35.5,33.393406,22934
40,2019-11-11,35.5,37.994999,37.994999,35.5,33.393406,779
41,2019-11-12,36.5,38.994999,34.0,35.5,33.393406,21492
42,2019-11-13,35.5,40.0,39.994999,37.5,35.274727,26849
43,2019-11-14,37.5,42.0,36.0,39.5,37.156044,13716
44,2019-11-15,39.5,43.0,42.0,40.5,38.09670300000001,4247
45,2019-11-18,40.5,45.0,41.0,43.5,40.918682,19239
46,2019-11-19,43.5,47.0,41.0,44.5,41.859341,30690
47,2019-11-20,44.5,48.0,40.0,45.5,42.799999,231272
48,2019-11-21,45.5,46.0,32.0,35.5,35.5,47368
49,2019-11-22,35.5,38.0,33.0,34.5,34.5,12803
50,2019-11-25,34.5,37.0,34.0,36.5,36.5,7327
51,2019-11-26,36.5,39.0,39.0,36.5,36.5,734
52,2019-11-27,36.5,34.0,34.0,36.5,36.5,7500
53,2019-11-28,36.5,34.0,34.0,34.5,34.5,6693
54,2019-11-29,34.5,36.0,32.0,35.5,35.5,34016
55,2019-12-02,35.5,38.0,33.0,35.5,35.5,1565
56,2019-12-03,36.5,36.5,36.5,36.5,36.5,0
57,2019-12-04,36.5,39.0,39.0,36.5,36.5,2232
58,2019-12-05,36.5,39.0,35.0,37.5,37.5,6964
59,2019-12-06,37.5,40.0,35.0,37.5,37.5,3550
60,2019-12-09,37.5,37.5,37.5,37.5,37.5,0
61,2019-12-10,37.5,40.0,40.0,39.5,39.5,1750
62,2019-12-11,39.5,39.5,39.5,39.5,39.5,0
63,2019-12-12,39.5,42.0,37.0,40.5,40.5,3291
64,2019-12-13,41.5,43.0,39.0,40.5,40.5,3058
