,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-09,157.5,157.5,156.5,157.0,153.719406,2311840
1,2019-09-10,157.5,157.5,156.5,156.5,153.229843,318202
2,2019-09-11,157.5,157.5,156.300003,156.5,153.229843,1126261
3,2019-09-12,156.0,157.5,156.0,156.5,153.229843,1021620
4,2019-09-13,157.0,157.0,156.5,157.0,153.719406,638304
5,2019-09-16,157.5,157.5,155.0,156.5,153.229843,2426116
6,2019-09-17,156.5,157.5,155.889999,157.0,153.719406,340769
7,2019-09-18,157.5,157.5,156.389999,157.0,153.719406,502902
8,2019-09-19,157.5,157.5,156.5,157.0,153.719406,420842
9,2019-09-20,157.0,157.0,155.5,156.5,153.229843,2213646
10,2019-09-23,156.0,157.0,156.0,156.5,153.229843,328074
11,2019-09-24,155.5,157.0,155.5,156.5,153.229843,228634
12,2019-09-25,155.5,157.0,155.5,156.5,153.229843,3009840
13,2019-09-26,156.5,157.5,156.110001,156.5,153.229843,871435
14,2019-09-27,156.5,158.0,156.0,158.0,154.698502,579293
15,2019-09-30,158.0,158.990005,157.0,158.0,154.698502,294349
16,2019-10-01,158.0,159.0,157.5,158.5,155.188049,2463585
17,2019-10-02,157.5,159.0,157.5,159.0,155.677612,938388
18,2019-10-03,158.0,160.5,157.923004,160.5,157.14627099999998,627412
19,2019-10-04,160.5,161.0,159.5,160.0,156.656708,780086
20,2019-10-07,161.0,161.0,159.800003,160.5,157.14627099999998,851431
21,2019-10-08,161.0,161.0,159.5,160.0,156.656708,775467
22,2019-10-09,159.5,160.75,158.5,159.0,155.677612,530042
23,2019-10-10,160.0,160.0,157.5,158.5,155.188049,288461
24,2019-10-11,158.0,166.0,158.0,166.0,162.531342,1676843
25,2019-10-14,165.0,165.0,158.0,162.5,159.104477,354702
26,2019-10-15,162.0,164.5,162.0,164.0,160.573135,1361410
27,2019-10-16,164.0,165.0,162.296005,165.0,161.552231,925777
28,2019-10-17,164.0,165.0,163.5,164.5,161.06268300000002,605341
29,2019-10-18,164.5,164.5,162.649994,164.0,160.573135,1321762
30,2019-10-21,162.5,165.0,162.5,164.0,160.573135,3322592
31,2019-10-22,162.5,164.5,162.5,162.5,159.104477,1367332
32,2019-10-23,163.5,164.0,162.444,163.5,160.083572,417263
33,2019-10-24,163.5,163.5,162.5,162.5,159.104477,493408
34,2019-10-25,162.5,162.5,160.58999599999999,161.5,158.12536599999999,324410
35,2019-10-28,161.0,162.300003,160.58999599999999,161.5,158.12536599999999,600234
36,2019-10-29,162.5,162.5,160.5,162.5,159.104477,440303
37,2019-10-30,161.0,162.5,161.0,162.5,159.104477,1566786
38,2019-10-31,162.5,162.5,160.5,161.5,158.12536599999999,1454489
39,2019-11-01,160.5,163.0,160.5,162.5,159.104477,3862609
40,2019-11-04,163.0,163.0,162.0,163.0,159.594025,335675
41,2019-11-05,162.5,163.5,162.0,163.0,159.594025,405954
42,2019-11-06,162.5,163.28999299999998,162.0,162.0,158.61492900000002,181711
43,2019-11-07,162.0,163.5,161.625,163.0,159.594025,801258
44,2019-11-08,163.5,163.5,161.759995,163.0,159.594025,347077
45,2019-11-11,162.5,163.0,161.509995,163.0,159.594025,545346
46,2019-11-12,161.5,163.5,161.5,163.0,159.594025,337447
47,2019-11-13,162.0,163.5,162.0,163.0,159.594025,658199
48,2019-11-14,163.0,163.0,162.147995,163.0,159.594025,176765
49,2019-11-15,163.5,163.5,162.5,163.5,160.083572,643477
50,2019-11-18,163.0,164.5,162.5,164.5,161.06268300000002,396548
51,2019-11-19,164.5,164.5,163.399994,163.5,160.083572,274852
52,2019-11-20,163.0,164.5,163.0,164.0,160.573135,200069
53,2019-11-21,163.0,164.5,163.0,164.5,161.06268300000002,197779
54,2019-11-22,164.0,165.5,163.0,165.0,161.552231,333636
55,2019-11-25,165.0,165.0,164.054993,165.0,161.552231,461084
56,2019-11-26,165.0,166.0,164.190002,166.0,162.531342,519697
57,2019-11-27,166.0,166.5,164.5,166.5,163.02088899999998,404533
58,2019-11-28,166.0,168.0,164.925995,167.5,164.0,683071
59,2019-11-29,168.0,168.0,166.5,167.0,163.51045200000002,205545
60,2019-12-02,167.5,169.0,166.0,169.0,165.468658,592872
61,2019-12-03,168.0,168.0,166.5,166.5,163.02088899999998,657789
62,2019-12-04,166.5,166.824997,166.0,166.0,162.531342,1372037
63,2019-12-05,166.5,168.0,165.0,167.0,163.51045200000002,596500
64,2019-12-06,167.5,168.0,165.5,167.0,163.51045200000002,604428
65,2019-12-09,167.0,167.5,165.5,167.5,164.0,590406
66,2019-12-10,168.0,168.0,165.574997,166.5,163.02088899999998,398043
67,2019-12-11,165.5,166.949997,161.48199499999998,164.5,161.06268300000002,731971
68,2019-12-12,164.5,166.0,163.5,166.0,162.531342,792242
69,2019-12-13,167.0,170.5,166.059998,168.0,164.48954799999998,2087825
70,2019-12-16,167.5,170.0,164.5,170.0,166.447754,830380
71,2019-12-17,169.0,169.0,167.009995,169.0,165.468658,1214273
72,2019-12-18,168.5,168.83500700000002,167.0,167.0,163.51045200000002,1060431
73,2019-12-19,167.0,167.800003,165.0,166.5,163.02088899999998,562989
74,2019-12-20,165.0,167.0,165.0,167.0,163.51045200000002,1305428
75,2019-12-23,167.0,168.5,166.5,167.5,164.0,716095
76,2019-12-24,167.5,167.5,167.25,167.5,164.0,55710
77,2019-12-27,167.5,168.0,167.0,167.5,164.0,586179
78,2019-12-30,169.0,169.0,167.0,168.0,164.48954799999998,206723
79,2019-12-31,168.5,168.5,166.5,166.5,163.02088899999998,107121
80,2020-01-02,166.0,170.0,166.0,170.0,166.447754,196617
81,2020-01-03,169.0,170.0,167.0,170.0,166.447754,355044
82,2020-01-06,169.0,169.5,167.0,168.0,164.48954799999998,3085239
83,2020-01-07,168.0,169.03500400000001,167.0,167.5,164.0,383723
84,2020-01-08,167.0,168.899994,166.0,166.0,162.531342,379277
85,2020-01-09,166.5,167.309998,165.5,166.5,163.02088899999998,502956
86,2020-01-10,167.5,167.5,165.0,165.5,162.04179399999998,950816
87,2020-01-13,165.5,167.470001,164.0,164.5,161.06268300000002,638202
88,2020-01-14,164.5,165.389999,163.0,163.5,160.083572,397348
89,2020-01-15,163.5,165.0,162.5,163.5,160.083572,1223093
90,2020-01-16,164.5,167.0,163.5,166.5,163.02088899999998,863097
91,2020-01-17,165.0,169.5,165.0,168.0,164.48954799999998,1276555
92,2020-01-20,169.5,169.5,167.5,168.5,164.979095,230790
93,2020-01-21,169.5,169.5,167.375,168.0,164.48954799999998,679737
94,2020-01-22,167.5,168.5,167.5,168.0,164.48954799999998,502963
95,2020-01-23,169.0,169.0,167.5,167.5,164.0,1280838
96,2020-01-24,168.0,169.5,167.5,169.5,165.95820600000002,985296
97,2020-01-27,169.0,169.5,168.095001,169.5,165.95820600000002,541056
98,2020-01-28,168.0,169.5,168.0,169.0,165.468658,535925
99,2020-01-29,169.5,169.5,167.0,168.5,164.979095,2036845
100,2020-01-30,169.5,169.5,166.5,166.5,163.02088899999998,323683
101,2020-01-31,167.5,167.5,166.0,166.5,163.02088899999998,767087
102,2020-02-03,166.0,168.5,165.0,165.0,161.552231,704152
103,2020-02-04,168.5,169.0,166.0,167.5,164.0,487734
104,2020-02-05,167.5,168.0,166.0,167.5,164.0,593795
105,2020-02-06,168.0,168.0,166.5,167.5,164.0,591264
106,2020-02-07,167.5,168.0,166.0,167.5,164.0,1223766
107,2020-02-10,166.5,168.0,166.0,168.0,164.48954799999998,359419
108,2020-02-11,167.0,168.0,167.0,168.0,164.48954799999998,392969
109,2020-02-12,168.0,169.990005,166.5,169.5,165.95820600000002,704407
110,2020-02-13,169.5,169.5,168.5,169.5,165.95820600000002,613576
111,2020-02-14,169.5,169.5,168.0,168.5,164.979095,1757440
112,2020-02-17,169.5,169.5,167.5,168.5,164.979095,613234
113,2020-02-18,167.5,168.350006,167.0,167.0,163.51045200000002,318504
114,2020-02-19,167.5,168.009995,167.0,167.5,164.0,1125961
115,2020-02-20,165.0,165.970001,163.0,163.0,163.0,399644
116,2020-02-21,162.5,164.419998,162.5,162.5,162.5,357059
117,2020-02-24,162.5,164.0,160.5,161.0,161.0,362481
118,2020-02-25,162.0,162.0,160.0,160.0,160.0,438090
119,2020-02-26,162.0,162.0,158.779999,160.0,160.0,571955
120,2020-02-27,161.0,161.0,156.0,156.0,156.0,896614
121,2020-02-28,155.0,157.255005,153.0,156.0,156.0,1978930
122,2020-03-02,157.0,158.5,157.0,157.5,157.5,504287
