,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,4.83775,4.84325,4.764,4.75925,4.404475,1297853.0
1,2019-09-17,4.9305,4.9305,4.693,4.9305,4.562958999999999,8167510.0
2,2019-09-18,4.693,4.73575,4.66375,4.71325,4.361904,16890414.0
3,2019-09-19,4.835,4.835,4.69839,4.71725,4.365605,8748426.0
4,2019-09-20,4.773,4.900440000000001,4.75375,4.83525,4.474809,22164673.0
5,2019-09-23,4.8382,4.841,4.6855,4.69025,4.340618,31171022.0
6,2019-09-24,4.7205,4.7205,4.6595,4.7085,4.357508,4816949.0
7,2019-09-25,4.64125,4.676,4.5679,4.63725,4.291569,721443.0
8,2019-09-26,4.6451,4.71933,4.6451,4.664,4.316325,761494.0
9,2019-09-27,4.753,4.75796,4.6945,4.71025,4.359127,2194268.0
10,2019-09-30,4.7675,4.80422,4.748,4.77275,4.416968,9744703.0
11,2019-10-01,4.806,4.82,4.7005,4.73825,4.38504,62437701.0
12,2019-10-02,4.6975,4.6995,4.519,4.55175,4.212442,85312777.0
13,2019-10-03,4.5314,4.546,4.47275,4.5405,4.202032,1764574.0
14,2019-10-04,4.541,4.543,4.4875,4.53575,4.197635,426909.0
15,2019-10-07,4.5333,4.612,4.4964,4.57925,4.2378919999999995,469009.0
16,2019-10-08,4.595,4.660819999999999,4.497,4.51025,4.174036,398931.0
17,2019-10-09,4.518,4.5535,4.4805,4.5075,4.1714910000000005,426545.0
18,2019-10-10,4.5245,4.628,4.5245,4.6085,4.264962000000001,532322.0
19,2019-10-11,4.57475,4.717,4.5555,4.683,4.430036,1119526.0
20,2019-10-14,4.6698,4.717,4.5555,4.59375,4.345607,836963.0
21,2019-10-15,4.6945,4.7525,4.6345,4.69225,4.438786,1970353.0
22,2019-10-16,4.72575,4.96724,4.6565,4.804,4.544499,1444442.0
23,2019-10-17,4.778,4.8725,4.727,4.78,4.521796,3113180.0
24,2019-10-18,4.7185,4.78885,4.7185,4.77625,4.518249,759505.0
25,2019-10-21,4.82625,4.907,4.8121,4.8635,4.600786,24666455.0
26,2019-10-22,4.893,4.9095,4.823,4.88725,4.623253,12763770.0
27,2019-10-23,4.8248,4.9235,4.8248,4.9065,4.641463,123139968.0
28,2019-10-24,4.9304,4.963,4.868,4.92025,4.65447,288901.0
29,2019-10-25,4.891,4.91,4.844,4.89675,4.632239,99758224.0
30,2019-10-28,4.87445,4.91,4.844,4.88,4.616395,44260653.0
31,2019-10-29,4.8785,4.882,4.8245,4.8785,4.614975,16615571.0
32,2019-10-30,4.8635,4.8635,4.6995,4.69475,4.4411510000000005,2019308.0
33,2019-10-31,4.7205,4.7415,4.6105,4.7015,4.447536,2043157.0
34,2019-11-01,4.7235,4.7355,4.6305,4.69875,4.444935,7783347.0
