,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-09,159.600006,169.190002,159.600006,162.0,126.05741100000002,63882.0
1,2019-09-10,157.399994,169.570007,156.899994,165.0,128.3918,82951.0
2,2019-09-11,180.0,190.0,175.429993,185.199997,144.110077,412248.0
3,2019-09-12,190.0,206.5,187.0,202.0,157.182693,177208.0
4,2019-09-13,200.5,208.0,194.169998,204.100006,158.816772,83029.0
5,2019-09-16,199.800003,206.0,197.600006,199.800003,155.47081,231792.0
6,2019-09-17,201.5,202.5,193.380005,200.0,155.62643400000002,76115.0
7,2019-09-18,202.0,205.0,198.229996,201.0,156.404556,75870.0
8,2019-09-19,206.0,209.0,201.0,204.0,158.738953,48674.0
9,2019-09-20,197.800003,203.190002,192.399994,192.399994,149.712616,42173.0
10,2019-09-23,190.199997,199.600006,183.600006,183.600006,142.86506699999998,87258.0
11,2019-09-24,183.0,183.0,180.0,180.0,140.063782,68244.0
12,2019-09-25,183.0,189.0,178.199997,189.0,147.066986,108656.0
13,2019-09-26,188.399994,195.0,188.399994,195.0,151.735779,51914.0
14,2019-09-27,199.800003,200.0,193.949997,200.0,155.62643400000002,131243.0
15,2019-09-30,198.0,204.0,197.979996,200.0,155.62643400000002,91233.0
16,2019-10-01,195.0,200.0,195.0,197.0,153.292038,166430.0
17,2019-10-02,193.0,199.0,193.0,195.0,151.735779,128072.0
18,2019-10-03,191.199997,198.0,184.100006,192.399994,149.712616,48588.0
19,2019-10-04,183.399994,194.169998,183.399994,187.0,145.510712,15500.0
20,2019-10-07,183.199997,189.399994,183.199997,188.0,146.288849,124330.0
21,2019-10-08,185.0,191.0,185.0,187.0,145.510712,274613.0
22,2019-10-09,182.0,192.889999,176.800003,180.199997,140.219406,38204.0
23,2019-10-10,176.600006,187.0,176.600006,187.0,145.510712,73771.0
24,2019-10-11,186.0,191.199997,186.0,190.0,147.845108,577281.0
25,2019-10-14,191.0,200.0,190.0,197.399994,153.603271,53216.0
