,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-09,0.265,0.269,0.24,0.255,0.255,9837787.0
1,2019-09-10,0.255,0.27,0.253,0.255,0.255,3452023.0
2,2019-09-11,0.255,0.253,0.25,0.255,0.255,655768.0
3,2019-09-12,0.255,0.27,0.27,0.26,0.26,2157752.0
4,2019-09-13,0.26,0.28,0.27,0.28,0.28,3112763.0
5,2019-09-16,0.28,0.266,0.265,0.28,0.28,730295.0
6,2019-09-17,0.28,0.357,0.293,0.35,0.35,8627867.0
7,2019-09-18,0.35,0.357,0.315,0.335,0.335,2196291.0
8,2019-09-19,0.335,0.316,0.288,0.31,0.31,1290042.0
9,2019-09-20,0.315,0.56,0.337,0.445,0.445,55310782.0
10,2019-09-23,0.455,0.48,0.406,0.425,0.425,7466399.0
11,2019-09-24,0.425,0.514,0.38,0.495,0.495,11686283.0
12,2019-09-25,0.495,0.54,0.481,0.505,0.505,12766163.0
13,2019-09-26,0.505,0.491,0.454,0.465,0.465,4968966.0
14,2019-09-27,0.465,0.63,0.459,0.615,0.615,11248141.0
15,2019-09-30,0.615,0.83,0.61,0.685,0.685,48108425.0
16,2019-10-01,0.73,0.775,0.66,0.705,0.705,17628316.0
17,2019-10-02,0.705,0.73,0.665,0.675,0.675,6639574.0
18,2019-10-03,0.675,0.693,0.614,0.625,0.625,7905565.0
19,2019-10-04,0.625,0.646,0.602,0.615,0.615,1670236.0
20,2019-10-07,0.615,0.63,0.6,0.615,0.615,2401327.0
21,2019-10-08,0.615,0.63,0.604,0.615,0.615,1821744.0
22,2019-10-09,0.615,0.615,0.6,0.615,0.615,2712136.0
23,2019-10-10,0.615,0.6,0.6,0.605,0.605,324736.0
24,2019-10-11,0.605,0.62,0.56,0.605,0.605,6223737.0
25,2019-10-14,0.6,0.67,0.56,0.625,0.625,3892903.0
26,2019-10-15,0.625,0.65,0.6,0.61,0.61,5531455.0
27,2019-10-16,0.61,0.62,0.594,0.61,0.61,569561.0
28,2019-10-17,0.61,0.629,0.59,0.595,0.595,3608583.0
29,2019-10-18,0.595,0.628,0.56,0.595,0.595,610774.0
30,2019-10-21,0.595,0.585,0.56,0.595,0.595,149169.0
31,2019-10-22,0.595,0.63,0.585,0.595,0.595,59080.0
32,2019-10-23,0.595,0.63,0.59,0.595,0.595,307421.0
33,2019-10-24,0.595,0.63,0.574,0.585,0.585,2757065.0
34,2019-10-25,0.58,0.6,0.56,0.58,0.58,5557661.0
35,2019-10-28,0.58,0.6,0.534,0.555,0.555,5841312.0
36,2019-10-29,0.555,0.574,0.53,0.535,0.535,6508543.0
37,2019-10-30,0.525,0.527,0.5,0.515,0.515,1616328.0
38,2019-10-31,0.515,0.514,0.49,0.505,0.505,1001590.0
39,2019-11-01,0.505,0.49,0.414,0.435,0.435,7568868.0
40,2019-11-04,0.435,0.45,0.412,0.425,0.425,3423946.0
41,2019-11-05,0.425,0.406,0.406,0.425,0.425,286422.0
42,2019-11-06,0.425,0.404,0.4,0.415,0.415,1002800.0
43,2019-11-07,0.415,0.4,0.4,0.415,0.415,64338.0
44,2019-11-08,0.415,0.425,0.4,0.415,0.415,1169342.0
45,2019-11-11,0.415,0.418,0.4,0.415,0.415,504977.0
46,2019-11-12,0.415,0.411,0.385,0.405,0.405,1823081.0
47,2019-11-13,0.405,0.419,0.419,0.405,0.405,40822.0
48,2019-11-14,0.405,0.445,0.4,0.425,0.425,1313397.0
49,2019-11-15,0.425,0.443,0.443,0.425,0.425,202032.0
50,2019-11-18,0.425,0.45,0.4,0.425,0.425,1139827.0
51,2019-11-19,0.425,0.45,0.4,0.425,0.425,117301.0
52,2019-11-20,0.425,0.45,0.405,0.425,0.425,173996.0
53,2019-11-21,0.425,0.412,0.371,0.425,0.425,2166614.0
54,2019-11-22,0.425,0.44,0.4,0.405,0.405,2337323.0
55,2019-11-25,0.405,0.425,0.385,0.405,0.405,1923645.0
56,2019-11-26,0.405,0.84,0.39,0.625,0.625,47996730.0
57,2019-11-27,0.675,1.14,0.601,1.05,1.05,109258398.0
58,2019-11-28,1.1,1.125,0.085,0.925,0.925,31295930.0
59,2019-11-29,0.925,1.34,0.883,1.2,1.2,38218042.0
60,2019-12-02,1.2,1.98,1.211,1.4,1.4,99318916.0
61,2019-12-03,1.4,1.58,1.025,1.05,1.05,58600084.0
62,2019-12-04,1.025,1.07,0.8,0.825,0.825,30324502.0
63,2019-12-05,0.825,1.44,0.84,1.1,1.1,95707585.0
