,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-09,1.112,1.13,1.10995,1.124,1.063698,2318736.0
1,2019-09-10,1.106,1.148,1.106,1.148,1.086411,731708.0
2,2019-09-11,1.148,1.178,1.142,1.158,1.095874,367203.0
3,2019-09-12,1.16,1.16,1.058,1.07,1.0125950000000001,2754343.0
4,2019-09-13,1.08,1.12804,1.074,1.126,1.065591,746134.0
5,2019-09-16,1.13,1.13,1.11,1.11,1.050449,552335.0
6,2019-09-17,1.114,1.132,1.106,1.122,1.0618049999999999,820228.0
7,2019-09-18,1.11,1.154,1.11,1.146,1.084518,1509368.0
8,2019-09-19,1.154,1.168,1.14,1.16,1.122249,2494497.0
9,2019-09-20,1.164,1.196,1.15,1.162,1.124183,643462.0
10,2019-09-23,1.148,1.186,1.148,1.176,1.137728,1288047.0
11,2019-09-24,1.18,1.21,1.17,1.18,1.141598,652000.0
12,2019-09-25,1.18,1.18,1.15,1.156,1.118379,720895.0
13,2019-09-26,1.162,1.162,1.1439,1.144,1.1067690000000001,751542.0
14,2019-09-27,1.146,1.146,1.1361,1.14,1.102899,584205.0
15,2019-09-30,1.14,1.148,1.106,1.114,1.0777459999999999,738751.0
16,2019-10-01,1.126,1.146,1.114,1.136,1.09903,10408152.0
17,2019-10-02,1.126,1.12601,1.096,1.1,1.064201,365682.0
18,2019-10-03,1.102,1.128,1.102,1.122,1.085485,435613.0
19,2019-10-04,1.108,1.138,1.108,1.108,1.071941,404311.0
20,2019-10-07,1.136,1.136,1.108,1.108,1.071941,190943.0
21,2019-10-08,1.13,1.134,1.096,1.098,1.062266,1110083.0
22,2019-10-09,1.098,1.108,1.088,1.088,1.052592,979359.0
23,2019-10-10,1.106,1.11,1.084,1.11,1.073876,1548187.0
24,2019-10-11,1.11,1.198,1.11,1.182,1.143533,1463323.0
25,2019-10-14,1.198,1.198,1.12,1.18,1.141598,379307.0
26,2019-10-15,1.182,1.248,1.182,1.238,1.19771,1194294.0
27,2019-10-16,1.25,1.274,1.22,1.238,1.19771,1800879.0
28,2019-10-17,1.236,1.284,1.2359,1.238,1.19771,3039672.0
29,2019-10-18,1.25,1.252,1.222,1.222,1.182231,502928.0
30,2019-10-21,1.222,1.248,1.216,1.216,1.176426,451990.0
31,2019-10-22,1.218,1.228,1.196,1.202,1.162882,759528.0
32,2019-10-23,1.19,1.228,1.18528,1.21,1.170621,653419.0
33,2019-10-24,1.228,1.244,1.212,1.212,1.172556,464637.0
34,2019-10-25,1.212,1.23,1.204,1.204,1.164817,493161.0
35,2019-10-28,1.204,1.22,1.19,1.19,1.1512719999999999,277549.0
36,2019-10-29,1.196,1.202,1.166,1.176,1.137728,641948.0
37,2019-10-30,1.188,1.198,1.166,1.17,1.131923,403844.0
38,2019-10-31,1.176,1.17798,1.1619,1.162,1.124183,688942.0
39,2019-11-01,1.168,1.17,1.146,1.162,1.124183,445183.0
40,2019-11-04,1.17,1.19,1.156,1.186,1.147402,388402.0
41,2019-11-05,1.19,1.19,1.168,1.17,1.131923,482396.0
42,2019-11-06,1.18,1.18,1.144,1.156,1.118379,560346.0
43,2019-11-07,1.16,1.18,1.16,1.164,1.126118,330898.0
44,2019-11-08,1.178,1.178,1.156,1.156,1.118379,386098.0
45,2019-11-11,1.152,1.16,1.136,1.15,1.112574,809865.0
46,2019-11-12,1.154,1.154,1.128,1.132,1.0951600000000001,478097.0
47,2019-11-13,1.132,1.154,1.124,1.144,1.1067690000000001,685521.0
48,2019-11-14,1.12,1.15,1.12,1.13,1.093225,490058.0
49,2019-11-15,1.126,1.16,1.126,1.15,1.112574,487810.0
50,2019-11-18,1.152,1.18,1.15,1.17,1.131923,783401.0
51,2019-11-19,1.19,1.216,1.18,1.192,1.1532069999999999,538626.0
52,2019-11-20,1.19,1.202,1.182,1.196,1.1570770000000001,568808.0
53,2019-11-21,1.19,1.204,1.18,1.18,1.141598,401246.0
54,2019-11-22,1.188,1.21,1.188,1.198,1.1590120000000002,402486.0
55,2019-11-25,1.19,1.214,1.19,1.202,1.162882,283797.0
56,2019-11-26,1.202,1.21604,1.19,1.206,1.166752,647025.0
57,2019-11-27,1.204,1.22,1.196,1.21,1.170621,1487586.0
58,2019-11-28,1.216,1.242,1.21,1.226,1.186101,661555.0
59,2019-11-29,1.25,1.25,1.202,1.202,1.162882,463346.0
60,2019-12-02,1.21,1.23,1.202,1.21,1.170621,376201.0
61,2019-12-03,1.21,1.224,1.2,1.2,1.160947,331506.0
62,2019-12-04,1.234,1.236,1.2,1.228,1.188036,363634.0
63,2019-12-05,1.226,1.244,1.21,1.21,1.170621,370876.0
64,2019-12-06,1.218,1.236,1.218,1.226,1.186101,396208.0
65,2019-12-09,1.23,1.236,1.2162,1.224,1.184166,320299.0
66,2019-12-10,1.228,1.232,1.204,1.22,1.180296,1745574.0
67,2019-12-11,1.222,1.222,1.18,1.204,1.164817,431479.0
68,2019-12-12,1.212,1.248,1.212,1.214,1.174491,1021934.0
69,2019-12-13,1.248,1.292,1.248,1.26,1.2189940000000001,1136084.0
70,2019-12-16,1.264,1.27,1.25,1.252,1.211254,392418.0
71,2019-12-17,1.248,1.248,1.23,1.242,1.2015799999999999,277921.0
72,2019-12-18,1.242,1.242,1.22,1.222,1.182231,729559.0
73,2019-12-19,1.228,1.26,1.224,1.244,1.203515,584355.0
74,2019-12-20,1.25,1.26,1.244,1.25,1.2093200000000002,512357.0
75,2019-12-23,1.254,1.274,1.248,1.254,1.2131889999999999,7228040.0
76,2019-12-24,1.256,1.274,1.256,1.264,1.222864,107086.0
77,2019-12-27,1.262,1.278,1.254,1.27,1.228669,215632.0
78,2019-12-30,1.266,1.27805,1.254,1.262,1.2209290000000002,182545.0
79,2019-12-31,1.26,1.272,1.26,1.264,1.222864,148806.0
80,2020-01-02,1.27,1.288,1.264,1.28,1.238343,623991.0
81,2020-01-03,1.258,1.286,1.258,1.282,1.240278,766909.0
82,2020-01-06,1.292,1.292,1.268,1.278,1.236408,224627.0
83,2020-01-07,1.282,1.316,1.282,1.306,1.2634969999999999,483029.0
84,2020-01-08,1.306,1.316,1.298,1.3,1.257692,861379.0
85,2020-01-09,1.306,1.31,1.288,1.288,1.246083,591977.0
86,2020-01-10,1.288,1.312,1.286,1.3,1.257692,903484.0
87,2020-01-13,1.288,1.316,1.288,1.3,1.257692,307661.0
88,2020-01-14,1.282,1.302,1.28,1.292,1.249953,267648.0
89,2020-01-15,1.292,1.308,1.29,1.302,1.259627,278204.0
90,2020-01-16,1.32,1.336,1.29,1.32,1.277041,686589.0
91,2020-01-17,1.332,1.346,1.328,1.338,1.294456,351756.0
92,2020-01-20,1.332,1.354,1.332,1.34,1.296391,254539.0
93,2020-01-21,1.328,1.34427,1.328,1.328,1.284781,409440.0
94,2020-01-22,1.346,1.346,1.308,1.33,1.286716,1102544.0
95,2020-01-23,1.34,1.34,1.328,1.328,1.284781,249261.0
96,2020-01-24,1.328,1.328,1.294,1.296,1.253822,291506.0
97,2020-01-27,1.294,1.294,1.258,1.26,1.2189940000000001,760574.0
98,2020-01-28,1.272,1.2727,1.244,1.246,1.20545,655007.0
99,2020-01-29,1.26,1.26,1.226,1.238,1.19771,595798.0
100,2020-01-30,1.226,1.248,1.226,1.24,1.199645,465286.0
101,2020-01-31,1.236,1.246,1.22,1.22,1.180296,535536.0
102,2020-02-03,1.226,1.23,1.194,1.194,1.1551420000000001,521075.0
103,2020-02-04,1.194,1.252,1.194,1.244,1.203515,958877.0
104,2020-02-05,1.24,1.26,1.24,1.248,1.207385,340270.0
105,2020-02-06,1.252,1.254,1.23594,1.236,1.195775,1436174.0
106,2020-02-07,1.242,1.242,1.228,1.228,1.188036,730876.0
107,2020-02-10,1.218,1.218,1.12,1.126,1.0893549999999999,2795545.0
108,2020-02-11,1.136,1.166,1.106,1.16,1.122249,1589227.0
109,2020-02-12,1.162,1.238,1.16,1.192,1.1532069999999999,650695.0
110,2020-02-13,1.2,1.234,1.194,1.224,1.184166,545887.0
111,2020-02-14,1.22,1.254,1.218,1.244,1.203515,543270.0
112,2020-02-17,1.248,1.258,1.232,1.244,1.203515,295902.0
113,2020-02-18,1.246,1.276,1.246,1.258,1.2170590000000001,736716.0
114,2020-02-19,1.266,1.274,1.254,1.256,1.2151239999999999,318156.0
115,2020-02-20,1.258,1.286,1.258,1.264,1.222864,457583.0
116,2020-02-21,1.292,1.294,1.26,1.278,1.236408,728933.0
117,2020-02-24,1.27,1.27,1.23994,1.24,1.199645,873796.0
118,2020-02-25,1.254,1.262,1.22994,1.23,1.18997,679088.0
119,2020-02-26,1.23,1.26,1.19,1.24,1.199645,1419762.0
120,2020-02-27,1.216,1.246,1.204,1.218,1.178361,1487809.0
121,2020-02-28,1.194,1.216,1.172,1.208,1.1686860000000001,1001166.0
122,2020-03-02,1.22,1.24,1.204,1.23,1.18997,3278577.0
123,2020-03-03,1.244,1.284,1.216,1.26,1.2189940000000001,3392248.0
124,2020-03-04,1.268,1.288,1.246,1.246,1.20545,2247258.0
125,2020-03-05,1.256,1.26,1.206,1.21,1.170621,660141.0
126,2020-03-06,1.198,1.2,1.09,1.12,1.08355,7392533.0
127,2020-03-09,1.08,1.08,1.042,1.046,1.011959,1177867.0
128,2020-03-10,1.06,1.086,1.02,1.02,0.9868049999999999,805167.0
129,2020-03-11,1.034,1.068,0.984,1.0,0.967456,1974409.0
130,2020-03-12,0.94,0.958,0.9004,0.92,0.890059,8699133.0
131,2020-03-13,0.943,0.9635,0.84496,0.845,0.8175,2757280.0
132,2020-03-16,0.79,0.795,0.7,0.753,0.728494,1678594.0
133,2020-03-17,0.767,0.784,0.658,0.692,0.669479,2228115.0
134,2020-03-18,0.715,0.715,0.6,0.615,0.594985,2500403.0
135,2020-03-19,0.62,0.672,0.605,0.66,0.638521,1302904.0
136,2020-03-20,0.629,0.73,0.629,0.687,0.664642,2446439.0
137,2020-03-23,0.683,0.6955,0.634,0.665,0.643358,1256713.0
138,2020-03-24,0.67,0.717,0.67,0.696,0.673349,1578865.0
139,2020-03-25,0.714,0.733,0.672,0.712,0.688828,1232270.0
140,2020-03-26,0.712,0.734,0.693,0.73,0.7062430000000001,645058.0
141,2020-03-27,0.74,0.74,0.666,0.676,0.654,722650.0
142,2020-03-30,0.664,0.7296,0.631,0.64,0.6191720000000001,433408.0
143,2020-03-31,0.65,0.7296,0.63669,0.68,0.65787,1063073.0
144,2020-04-01,0.676,0.6843,0.64,0.64,0.6191720000000001,950113.0
145,2020-04-02,0.64,0.656,0.637,0.646,0.624976,477764.0
146,2020-04-03,0.656,0.68,0.636,0.65,0.628846,1486447.0
147,2020-04-06,0.67,0.7479,0.669,0.739,0.71495,1172872.0
148,2020-04-07,0.748,0.809,0.746,0.746,0.721722,1205280.0
149,2020-04-08,0.762,0.793,0.755,0.78,0.7546149999999999,1096429.0
