,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-09,5.474,5.474,5.455,5.4555,5.4555,41137.0
1,2019-09-10,5.45,5.45,5.432,5.4355,5.4355,53562.0
2,2019-09-11,5.412,5.4198,5.411,5.4175,5.4175,5471.0
3,2019-09-12,5.417,5.438,5.414,5.4195,5.4195,73101.0
4,2019-09-13,5.416,5.418,5.393,5.397,5.397,8860.0
5,2019-09-16,5.392,5.402,5.392,5.39,5.39,22020.0
6,2019-09-17,5.404,5.409,5.403,5.408,5.408,22570.0
7,2019-09-18,5.417,5.431,5.415,5.4245,5.4245,195419.0
8,2019-09-19,5.414,5.428,5.414,5.425,5.425,33976.0
9,2019-09-20,5.432,5.432,5.424,5.4245,5.4245,83641.0
10,2019-09-23,5.45,5.453,5.445,5.4445,5.4445,21555.0
11,2019-09-24,5.457,5.461,5.443,5.4535,5.4535,18963.0
12,2019-09-25,5.455,5.455,5.422,5.4305,5.4305,162099.0
13,2019-09-26,5.414,5.443,5.414,5.429,5.429,150390.0
14,2019-09-27,5.432,5.434,5.421,5.4325,5.4325,66686.0
15,2019-09-30,5.422,5.431,5.422,5.4265,5.4265,26044.0
16,2019-10-01,5.417,5.456,5.417,5.446,5.446,24736.0
17,2019-10-02,5.421,5.444,5.421,5.446,5.446,10041.0
18,2019-10-03,5.455,5.462,5.455,5.461,5.461,4113.0
19,2019-10-04,5.468,5.475,5.468,5.4675,5.4675,8261.0
20,2019-10-07,5.462,5.474,5.462,5.469,5.469,15889.0
21,2019-10-08,5.455,5.464,5.455,5.459,5.459,3405.0
22,2019-10-09,5.46,5.46,5.451,5.456,5.456,3349.0
23,2019-10-10,5.447,5.447,5.441,5.4425,5.4425,800.0
24,2019-10-11,5.448,5.448,5.433,5.435,5.435,4796.0
25,2019-10-14,5.446,5.449,5.44,5.4425,5.4425,8593.0
26,2019-10-15,5.455,5.455,5.44,5.446,5.446,373.0
27,2019-10-16,5.451,5.455,5.441,5.4525,5.4525,22787.0
28,2019-10-17,5.461,5.47,5.455,5.4635,5.4635,14677.0
29,2019-10-18,5.467,5.475,5.464,5.4705,5.4705,38956.0
30,2019-10-21,5.456,5.472,5.456,5.4625,5.4625,37796.0
31,2019-10-22,5.467,5.476,5.465,5.471,5.471,10279.0
32,2019-10-23,5.482,5.482,5.465,5.473,5.473,5656.0
33,2019-10-24,5.47,5.484,5.47,5.4755,5.4755,39556.0
34,2019-10-25,5.475,5.477,5.47,5.471,5.471,16558.0
35,2019-10-28,5.465,5.47089,5.454,5.459,5.459,127744.0
36,2019-10-29,5.46,5.462,5.452,5.4595,5.4595,8963.0
37,2019-10-30,5.465,5.467,5.45,5.4595,5.4595,52620.0
38,2019-10-31,5.473,5.492,5.473,5.4895,5.4895,27763.0
39,2019-11-01,5.502,5.503,5.486,5.4915,5.4915,79608.0
40,2019-11-04,5.487,5.487,5.471,5.476,5.476,59640.0
41,2019-11-05,5.47,5.47,5.448,5.453,5.453,294825.0
42,2019-11-06,5.454,5.456,5.447,5.45,5.45,13522.0
43,2019-11-07,5.4325,5.4325,5.4325,5.4325,5.4325,0.0
44,2019-11-08,5.43,5.438,5.426,5.43,5.43,16820.0
45,2019-11-11,5.436,5.436,5.429,5.425,5.425,1876.0
46,2019-11-12,5.416,5.428,5.416,5.4185,5.4185,6766.0
47,2019-11-13,5.442,5.444,5.433,5.437,5.437,5461.0
48,2019-11-14,5.446,5.4538,5.446,5.4565,5.4565,3388.0
49,2019-11-15,5.461,5.463,5.451,5.4445,5.4445,4520.0
50,2019-11-18,5.451,5.475,5.451,5.4665,5.4665,10294.0
51,2019-11-19,5.472,5.477,5.462,5.469,5.469,17857.0
52,2019-11-20,5.483,5.483,5.469,5.472,5.472,2043.0
53,2019-11-21,5.477,5.478,5.462,5.469,5.469,91613.0
54,2019-11-22,5.474,5.474,5.462,5.467,5.467,28445.0
55,2019-11-25,5.471,5.481,5.46,5.4785,5.4785,20797.0
56,2019-11-26,5.488,5.49,5.488,5.4905,5.4905,8210.0
57,2019-11-27,5.492,5.494,5.477,5.483,5.483,23416.0
58,2019-11-28,5.489,5.489,5.478,5.4825,5.4825,46402.0
59,2019-11-29,5.477,5.488,5.475,5.482,5.482,129820.0
60,2019-12-02,5.473,5.478,5.461,5.474,5.474,11508.0
61,2019-12-03,5.489,5.503,5.486,5.5015,5.5015,16189.0
62,2019-12-04,5.524,5.524,5.493,5.492,5.492,23512.0
63,2019-12-05,5.506,5.506,5.488,5.4945,5.4945,5385.0
64,2019-12-06,5.502,5.505,5.481,5.4905,5.4905,29654.0
65,2019-12-09,5.501,5.503,5.49,5.4995,5.4995,9794.0
66,2019-12-10,5.497,5.505,5.487,5.4965,5.4965,12779.0
67,2019-12-11,5.496,5.506,5.493,5.506,5.506,8574.0
68,2019-12-12,5.508,5.508,5.487,5.4915,5.4915,449107.0
69,2019-12-13,5.52,5.524,5.513,5.5285,5.5285,12638.0
70,2019-12-16,5.53,5.53,5.521,5.5185,5.5185,27277.0
71,2019-12-17,5.531,5.531,5.515,5.521,5.521,26875.0
72,2019-12-18,5.518,5.522,5.506,5.5075,5.5075,142098.0
73,2019-12-19,5.511,5.511,5.498,5.51,5.51,33899.0
74,2019-12-20,5.509,5.513,5.5,5.5065,5.5065,78590.0
75,2019-12-23,5.5,5.516,5.5,5.5045,5.5045,71025.0
76,2019-12-24,5.499,5.5,5.497,5.504,5.504,1581.0
77,2019-12-27,5.531,5.543,5.53,5.5385,5.5385,98360.0
78,2019-12-30,5.533,5.533,5.529,5.5285,5.5285,29363.0
79,2019-12-31,5.549,5.549,5.53,5.5445,5.5445,15855.0
80,2020-01-02,5.531,5.553,5.531,5.5425,5.5425,72877.0
81,2020-01-03,5.549,5.549,5.549,5.549,5.549,0.0
82,2020-01-06,5.547,5.547,5.547,5.5405,5.5405,479.0
83,2020-01-07,5.535,5.536,5.532,5.5305,5.5305,10369.0
84,2020-01-08,5.537,5.537,5.533,5.524,5.524,132950.0
