,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-30,78.0,76.5,71.0,73.0,73.0,117455.0
1,2019-10-01,73.0,75.0,71.25,73.0,73.0,22842.0
2,2019-10-02,73.0,75.0,71.0,73.0,73.0,15926.0
3,2019-10-03,73.0,75.0,71.260002,74.5,74.5,43101.0
4,2019-10-04,74.5,74.489998,74.489998,74.5,74.5,1864.0
5,2019-10-07,74.5,75.0,71.25,73.0,73.0,24345.0
6,2019-10-08,73.0,73.0,69.5,71.5,71.5,40360.0
7,2019-10-09,71.5,72.0,70.0,72.5,72.5,13070.0
8,2019-10-10,72.5,72.5,72.0,72.0,72.0,9370.0
9,2019-10-11,72.0,73.0,71.260002,72.0,72.0,15364.0
10,2019-10-14,72.0,73.0,71.0,72.0,72.0,33636.0
11,2019-10-15,72.0,73.0,71.254997,72.0,72.0,1239.0
12,2019-10-16,72.0,72.800003,71.254997,72.0,72.0,9256.0
13,2019-10-17,72.0,72.0,70.0,72.0,72.0,23792.0
14,2019-10-18,72.0,73.0,71.0,72.0,72.0,5001.0
15,2019-10-21,72.0,72.800003,72.800003,72.0,72.0,1000.0
16,2019-10-22,72.0,73.0,71.099998,72.0,72.0,2738.0
17,2019-10-23,72.0,75.0,72.699997,72.0,72.0,2309.0
18,2019-10-24,72.0,72.5,71.0,72.5,72.5,5733.0
19,2019-10-25,72.5,74.0,71.0,73.0,73.0,58618.0
20,2019-10-28,72.5,72.5,72.5,72.5,72.5,0.0
21,2019-10-29,72.5,74.0,71.0,72.5,72.5,7103.0
22,2019-10-30,72.5,74.0,74.0,72.5,72.5,200.0
23,2019-10-31,72.5,72.75,72.75,72.5,72.5,2108.0
24,2019-11-01,72.5,72.75,72.75,72.5,72.5,1500.0
25,2019-11-04,72.5,74.0,74.0,73.0,73.0,3954.0
26,2019-11-05,73.0,75.0,73.0,73.0,73.0,30707.0
27,2019-11-06,73.5,73.5,73.5,73.5,73.5,0.0
28,2019-11-07,73.5,75.0,72.0,73.5,73.5,34538.0
29,2019-11-08,73.5,79.0,75.0,79.0,79.0,129546.0
30,2019-11-11,77.5,79.0,76.0,77.5,77.5,31751.0
31,2019-11-12,77.5,79.0,76.5,77.5,77.5,35788.0
32,2019-11-13,77.5,79.0,76.5,77.5,77.5,13133.0
33,2019-11-14,77.5,76.309998,76.309998,77.5,77.5,6573.0
34,2019-11-15,77.5,76.5,76.5,77.5,77.5,1200.0
35,2019-11-18,77.5,78.900002,78.900002,77.5,77.5,3292.0
36,2019-11-19,77.5,79.0,76.75,77.5,77.5,5442.0
37,2019-11-20,77.5,76.850998,75.25,77.0,77.0,15482.0
38,2019-11-21,77.0,75.0,75.0,76.0,76.0,16226.0
39,2019-11-22,76.0,77.0,77.0,76.0,76.0,440.0
40,2019-11-25,76.0,77.0,75.0,76.0,76.0,17677.0
41,2019-11-26,76.0,77.0,76.0,76.0,76.0,18452.0
42,2019-11-27,76.0,75.5,75.5,76.0,76.0,658.0
43,2019-11-28,76.0,76.75,75.099998,76.0,76.0,8396.0
44,2019-11-29,76.0,77.0,75.0,77.0,77.0,23300.0
45,2019-12-02,76.0,77.0,75.0,76.0,76.0,30918.0
46,2019-12-03,76.0,77.0,74.0,75.5,75.5,36750.0
47,2019-12-04,75.5,75.099998,74.0,74.5,74.5,22302.0
48,2019-12-05,74.5,75.0,72.300003,73.5,73.5,33419.0
49,2019-12-06,73.5,74.25,74.25,73.5,73.5,1333.0
50,2019-12-09,75.0,75.800003,73.0,75.0,75.0,12412.0
51,2019-12-10,75.0,75.489998,75.489998,75.0,75.0,1000.0
52,2019-12-11,75.0,75.449997,73.0,74.0,74.0,20750.0
53,2019-12-12,74.0,74.0,72.5,73.0,73.0,58334.0
54,2019-12-13,73.5,72.5,72.0,73.5,73.5,28506.0
55,2019-12-16,73.5,75.0,71.0,73.5,73.5,46028.0
56,2019-12-17,73.5,72.25,72.25,73.5,73.5,6500.0
