,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-09,3.5,3.44,3.02,3.15,3.15,2973040.0
1,2019-09-10,3.15,3.25,3.0,3.15,3.15,2634228.0
2,2019-09-11,3.15,3.26,3.0,3.15,3.15,2378281.0
3,2019-09-12,3.15,3.98,3.06,3.55,3.55,6114455.0
4,2019-09-13,3.55,4.35,3.41,4.2,4.2,7566130.0
5,2019-09-16,4.275,4.644,4.1,4.5,4.5,6576719.0
6,2019-09-17,4.5,4.574,3.82,4.35,4.35,9703041.0
7,2019-09-18,4.35,4.358,4.001,4.15,4.15,3691156.0
8,2019-09-19,4.15,4.24,3.76,3.85,3.85,4222937.0
9,2019-09-20,3.85,4.04,3.825,3.85,3.85,1612572.0
10,2019-09-23,3.85,3.826,3.381,3.4,3.4,7063752.0
11,2019-09-24,3.4,3.8,3.1,3.4,3.4,8313541.0
12,2019-09-25,3.4,3.69,3.35,3.5,3.5,5519868.0
13,2019-09-26,3.5,3.6,3.23,3.35,3.35,2300716.0
14,2019-09-27,3.35,3.44,3.265,3.35,3.35,2516413.0
15,2019-09-30,3.35,3.39,3.151,3.25,3.25,4161310.0
16,2019-10-01,3.25,3.59,3.251,3.45,3.45,3454175.0
17,2019-10-02,3.45,3.6,3.324,3.4,3.4,7894351.0
18,2019-10-03,3.6,3.68,3.22,3.25,3.25,1593543.0
19,2019-10-04,3.25,3.4,3.23,3.25,3.25,2617539.0
20,2019-10-07,3.25,3.4,3.18,3.25,3.25,3756881.0
21,2019-10-08,3.25,3.38,2.74,3.0,3.0,6492668.0
22,2019-10-09,3.0,3.04,2.53,2.725,2.725,12856063.0
23,2019-10-10,2.725,2.85,2.54,2.85,2.85,4930717.0
24,2019-10-11,2.85,3.07,2.655,2.975,2.975,4631149.0
25,2019-10-14,2.975,3.279,2.655,3.15,3.15,3024573.0
26,2019-10-15,3.15,3.065,2.925,3.05,3.05,1300046.0
27,2019-10-16,3.05,2.99,2.801,2.95,2.95,2089639.0
28,2019-10-17,2.95,2.965,2.3,2.35,2.35,14613617.0
29,2019-10-18,2.35,2.48,2.015,2.35,2.35,20777029.0
30,2019-10-21,2.35,2.48,2.05,2.2,2.2,10763064.0
31,2019-10-22,2.2,2.27,1.8,1.95,1.95,12682670.0
32,2019-10-23,1.9,2.37,1.871,2.25,2.25,13728203.0
33,2019-10-24,2.25,2.201,2.0,2.1,2.1,3939411.0
34,2019-10-25,2.1,2.132,1.944,2.15,2.15,3848165.0
35,2019-10-28,2.15,2.132,1.92,1.95,1.95,1747616.0
36,2019-10-29,1.95,2.0,1.66,1.9,1.9,6696630.0
37,2019-10-30,1.9,1.84,1.67,1.8,1.8,3754496.0
38,2019-10-31,1.8,1.97,1.751,1.85,1.85,2627470.0
39,2019-11-01,1.85,1.899,1.75,1.8,1.8,883272.0
40,2019-11-04,1.8,1.758,1.53,1.6,1.6,3714794.0
41,2019-11-05,1.6,1.939,1.68,1.8,1.8,4418217.0
42,2019-11-06,1.8,1.94,1.756,1.95,1.95,2931976.0
43,2019-11-07,1.95,2.09,1.919,1.95,1.95,1634318.0
44,2019-11-08,1.95,2.16,1.811,2.1,2.1,3957923.0
45,2019-11-11,2.1,2.29,2.031,2.2,2.2,3831274.0
46,2019-11-12,2.55,2.67,1.92,2.05,2.05,12260931.0
47,2019-11-13,2.05,2.02,1.865,1.9,1.9,2223128.0
48,2019-11-14,1.9,1.94,1.82,1.85,1.85,2071912.0
49,2019-11-15,1.85,1.89,0.85,1.7,1.7,10113625.0
50,2019-11-18,1.7,1.685,1.525,1.6,1.6,1896281.0
51,2019-11-19,1.6,1.64,1.531,1.6,1.6,423940.0
52,2019-11-20,1.6,1.8,1.63,1.8,1.8,2890912.0
53,2019-11-21,1.8,1.815,1.621,1.75,1.75,2486404.0
54,2019-11-22,1.75,1.83,1.651,1.75,1.75,3057263.0
55,2019-11-25,1.75,1.9,1.711,1.75,1.75,3128922.0
56,2019-11-26,1.75,1.785,1.634,1.75,1.75,1925352.0
57,2019-11-27,1.75,1.779,1.636,1.75,1.75,268869.0
58,2019-11-28,1.75,1.9,1.55,1.7,1.7,8016053.0
59,2019-11-29,1.7,1.75,1.65,1.7,1.7,409025.0
60,2019-12-02,1.7,1.699,1.63,1.7,1.7,751299.0
61,2019-12-03,1.7,1.69,1.435,1.65,1.65,3128577.0
62,2019-12-04,1.65,1.69,1.535,1.6,1.6,1302593.0
63,2019-12-05,1.6,1.698,1.545,1.65,1.65,2034812.0
64,2019-12-06,1.65,1.685,1.5,1.6,1.6,799915.0
65,2019-12-09,1.6,1.57,1.525,1.55,1.55,659059.0
66,2019-12-10,1.55,1.55,1.5,1.55,1.55,1779690.0
67,2019-12-11,1.55,1.405,1.2,1.325,1.325,11943469.0
68,2019-12-12,1.325,1.45,1.169,1.375,1.375,4208420.0
69,2019-12-13,1.375,1.4,1.3,1.325,1.325,378669.0
70,2019-12-16,1.325,1.3,1.16,1.225,1.225,999796.0
71,2019-12-17,1.225,1.29,1.16,1.275,1.275,1388773.0
72,2019-12-18,1.275,1.3,1.125,1.15,1.15,3694608.0
73,2019-12-19,1.15,1.2,1.1,1.175,1.175,1449173.0
74,2019-12-20,1.175,1.29,1.23,1.25,1.25,6620733.0
75,2019-12-23,1.25,1.265,1.2,1.25,1.25,1442393.0
