,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-30,92.5,93.0,91.0,91.0,89.81411700000001,7362.0
1,2019-10-01,92.5,94.0,91.0,92.5,91.29457099999999,248853.0
2,2019-10-02,92.5,92.0,91.305,92.5,91.29457099999999,15397.0
3,2019-10-03,92.5,92.0,88.150002,89.5,88.33367199999999,83032.0
4,2019-10-04,89.5,90.0,88.0,89.0,87.840179,71942.0
5,2019-10-07,89.0,90.0,88.199997,89.0,87.840179,85915.0
6,2019-10-08,89.0,90.0,89.019997,89.0,87.840179,10334.0
7,2019-10-09,89.0,92.0,89.300003,90.0,88.827148,50895.0
8,2019-10-10,90.0,92.0,89.442001,91.0,89.81411700000001,294557.0
9,2019-10-11,90.5,91.0,88.0,89.5,88.33367199999999,130917.0
10,2019-10-14,89.5,91.120003,88.0,91.0,89.81411700000001,88959.0
11,2019-10-15,91.5,99.0,92.0,98.0,96.7229,824194.0
12,2019-10-16,98.0,99.0,96.0,97.0,95.73593100000001,384338.0
13,2019-10-17,97.5,98.0,94.0,95.0,93.761993,1342109.0
14,2019-10-18,96.5,98.0,95.0,96.0,94.748962,203886.0
15,2019-10-21,96.0,96.400002,95.0,96.0,94.748962,184267.0
16,2019-10-22,96.400002,97.400002,95.400002,95.400002,94.156784,89270.0
17,2019-10-23,96.400002,97.0,95.0,95.699997,94.452866,97966.0
18,2019-10-24,96.699997,96.0,95.0,95.0,93.761993,1087585.0
19,2019-10-25,95.0,96.0,92.0,93.0,91.788055,131325.0
20,2019-10-28,93.0,96.0,89.029999,90.5,89.320633,623515.0
21,2019-10-29,90.5,92.0,89.300003,90.5,89.320633,477567.0
22,2019-10-30,90.5,93.0,89.0,92.0,90.801086,89939.0
23,2019-10-31,91.0,92.5,90.0,91.5,90.307602,151552.0
24,2019-11-01,91.5,92.0,91.199997,92.0,90.801086,83201.0
25,2019-11-04,91.5,93.0,90.0,91.5,90.307602,153165.0
26,2019-11-05,91.5,93.0,90.510002,91.5,90.307602,197931.0
27,2019-11-06,91.5,92.269997,90.279999,91.5,90.307602,77193.0
28,2019-11-07,91.5,91.900002,88.0,89.0,87.840179,2816802.0
29,2019-11-08,89.0,89.480003,88.0,89.0,87.840179,70283.0
30,2019-11-11,89.0,89.389999,87.681999,89.0,87.840179,86131.0
31,2019-11-12,89.0,90.0,88.0,89.0,87.840179,138029.0
32,2019-11-13,89.0,89.75,88.0,89.0,87.840179,156543.0
33,2019-11-14,89.0,90.0,88.0,89.0,87.840179,62750.0
34,2019-11-15,89.0,89.0,87.779999,89.0,87.840179,256863.0
35,2019-11-18,89.0,89.699997,87.0,89.0,87.840179,652086.0
36,2019-11-19,89.0,90.0,86.0,87.5,86.359734,96684.0
37,2019-11-20,87.5,88.5,84.0,86.0,84.879272,415479.0
38,2019-11-21,86.0,86.5,84.0,85.0,83.89231099999999,228254.0
39,2019-11-22,85.0,89.900002,83.874001,88.5,87.346695,5252402.0
40,2019-11-25,88.5,93.0,88.32,92.0,90.801086,220303.0
41,2019-11-26,91.5,93.0,90.5,91.5,90.307602,399802.0
42,2019-11-27,91.5,92.449997,92.0,91.5,90.307602,167937.0
43,2019-11-28,91.5,92.849998,91.0,92.0,90.801086,537581.0
44,2019-11-29,91.5,92.699997,91.550003,91.5,90.307602,646169.0
45,2019-12-02,91.5,92.480003,91.0,91.5,90.307602,114632.0
46,2019-12-03,91.5,92.220001,90.0,91.5,90.307602,134017.0
47,2019-12-04,91.5,92.5,90.5,91.5,90.307602,122072.0
48,2019-12-05,91.5,91.5,90.0,91.5,90.307602,92266.0
49,2019-12-06,91.5,91.470001,90.0,91.5,90.307602,81547.0
50,2019-12-09,91.5,91.5,91.249001,91.5,90.307602,35575.0
51,2019-12-10,91.5,93.0,87.0,88.5,87.346695,537662.0
52,2019-12-11,88.5,89.0,86.0,87.699997,86.557121,196431.0
53,2019-12-12,87.0,87.800003,86.5,87.0,85.866249,239642.0
54,2019-12-13,87.0,89.400002,86.5,87.699997,86.557121,5068398.0
55,2019-12-16,87.699997,93.0,87.360001,92.0,90.801086,945080.0
56,2019-12-17,91.5,93.0,91.5,92.400002,91.195877,175538.0
57,2019-12-18,91.5,93.0,91.83000200000001,91.5,90.307602,574579.0
58,2019-12-19,91.5,95.0,91.849998,93.5,92.28154,383752.0
59,2019-12-20,93.5,95.0,92.510002,93.5,92.28154,822281.0
60,2019-12-23,93.5,95.0,92.0,94.0,92.775017,63552.0
61,2019-12-24,94.0,95.0,94.849998,94.0,92.775017,62900.0
62,2019-12-27,94.0,95.0,93.25,94.0,92.775017,573701.0
63,2019-12-30,94.0,96.0,94.0,94.5,93.268509,123565.0
64,2019-12-31,95.0,98.0,93.0,96.0,94.748962,41459.0
65,2020-01-02,96.0,101.040001,94.0,99.5,98.203354,375558.0
66,2020-01-03,99.5,101.0,95.0,96.0,94.748962,198896.0
67,2020-01-06,97.0,101.0,97.250999,101.0,99.6838,90043.0
68,2020-01-07,99.0,103.5,97.0,99.0,97.709862,602031.0
69,2020-01-08,99.0,101.5,98.0,101.5,100.177284,280031.0
70,2020-01-09,101.0,103.5,99.0,102.0,101.339714,85920.0
71,2020-01-10,102.0,105.0,100.0,103.5,102.83000200000001,475996.0
72,2020-01-13,103.5,104.739998,100.0,102.0,102.0,135276.0
73,2020-01-14,102.0,101.999001,98.0,99.0,99.0,209321.0
74,2020-01-15,98.5,99.0,96.0,97.199997,97.199997,434969.0
75,2020-01-16,97.0,98.0,96.510002,97.0,97.0,222706.0
76,2020-01-17,97.0,101.0,96.599998,100.5,100.5,558240.0
77,2020-01-20,100.5,107.900002,100.519997,106.0,106.0,684212.0
78,2020-01-21,106.0,113.489998,104.5,112.0,112.0,3812295.0
79,2020-01-22,111.5,116.0,111.0,114.5,114.5,624762.0
80,2020-01-23,114.5,116.0,112.33000200000001,113.5,113.5,927580.0
81,2020-01-24,113.5,115.0,111.35700200000001,114.0,114.0,1362608.0
82,2020-01-27,113.0,113.0,108.209999,110.5,110.5,146277.0
83,2020-01-28,111.5,112.699997,110.0,111.5,111.5,168720.0
84,2020-01-29,111.5,112.0,107.099998,110.0,110.0,184992.0
85,2020-01-30,110.0,115.0,108.599998,113.5,113.5,390028.0
86,2020-01-31,113.5,115.0,112.449997,113.5,113.5,150082.0
87,2020-02-03,113.5,116.0,112.209999,114.5,114.5,294958.0
88,2020-02-04,114.5,115.0,113.0,114.5,114.5,58380.0
89,2020-02-05,114.5,116.0,112.0,114.0,114.0,189703.0
90,2020-02-06,114.0,116.0,110.0,112.5,112.5,1371051.0
91,2020-02-07,112.5,114.0,110.0,110.0,110.0,154739.0
92,2020-02-10,110.0,110.0,109.0,109.0,109.0,442603.0
93,2020-02-11,110.5,110.5,108.5,108.5,108.5,337662.0
94,2020-02-12,109.0,114.0,107.0,107.5,107.5,41163.0
95,2020-02-13,107.5,108.0,107.0,107.5,107.5,145687.0
96,2020-02-14,107.5,107.900002,106.400002,107.5,107.5,204131.0
97,2020-02-17,107.5,108.0,103.0,105.0,105.0,83644.0
98,2020-02-18,105.0,105.0,103.0,105.0,105.0,1650806.0
99,2020-02-19,105.0,112.0,103.0,112.0,112.0,1346457.0
100,2020-02-20,111.0,112.0,111.0,111.0,111.0,318159.0
101,2020-02-21,111.0,112.0,108.0,110.0,110.0,140507.0
102,2020-02-24,110.0,112.0,106.0,107.5,107.5,116897.0
103,2020-02-25,110.0,111.690002,103.0,105.0,105.0,1578597.0
104,2020-02-26,104.75,105.0,101.199997,103.0,103.0,214438.0
105,2020-02-27,103.0,102.0,96.0,97.0,97.0,596297.0
106,2020-02-28,94.5,95.0,85.5,87.0,87.0,968318.0
107,2020-03-02,91.0,98.650002,89.349998,96.0,96.0,670908.0
108,2020-03-03,96.0,99.599998,93.0,95.0,95.0,1909081.0
109,2020-03-04,98.0,100.0,96.300003,97.0,97.0,1572708.0
110,2020-03-05,100.0,105.0,96.692001,99.0,99.0,394741.0
111,2020-03-06,97.599998,101.0,95.599998,98.599998,98.599998,963150.0
112,2020-03-09,99.0,99.459999,88.0,92.0,92.0,384340.0
113,2020-03-10,93.0,97.0,92.0,92.0,92.0,504217.0
114,2020-03-11,92.800003,95.199997,92.0,92.0,92.0,433368.0
115,2020-03-12,92.199997,95.519997,88.0,89.0,89.0,2630321.0
116,2020-03-13,94.0,94.0,87.599998,87.599998,87.599998,3713542.0
117,2020-03-16,87.0,91.5,77.0,86.0,86.0,673885.0
118,2020-03-17,89.199997,91.0,72.599998,73.0,73.0,1131818.0
119,2020-03-18,77.0,77.0,70.0,72.0,72.0,152264.0
120,2020-03-19,72.0,74.400002,70.510002,74.400002,74.400002,405222.0
121,2020-03-20,75.0,82.384003,74.760002,81.0,81.0,717374.0
122,2020-03-23,77.800003,80.0,69.0,71.0,71.0,430635.0
123,2020-03-24,73.0,73.800003,68.0,71.0,71.0,3386104.0
124,2020-03-25,72.0,78.0,68.0,71.0,71.0,850081.0
125,2020-03-26,72.0,77.0,69.189003,77.0,77.0,598965.0
126,2020-03-27,72.0,76.599998,72.0,74.5,74.5,1380552.0
127,2020-03-30,77.0,83.0,73.17400400000001,83.0,83.0,276268.0
128,2020-03-31,82.599998,92.0,73.17400400000001,89.0,89.0,534015.0
129,2020-04-01,86.0,91.0,83.0,90.0,90.0,412812.0
130,2020-04-02,89.0,91.800003,86.0,89.0,89.0,780000.0
131,2020-04-03,89.0,92.0,87.0,90.599998,90.599998,190228.0
132,2020-04-06,93.0,93.412003,88.0,91.0,91.0,800807.0
133,2020-04-07,91.0,97.0,89.263,92.0,92.0,340763.0
134,2020-04-08,92.0,96.5,90.0,90.0,90.0,180215.0
135,2020-04-09,96.599998,97.0,92.0,95.0,95.0,267128.0
136,2020-04-14,96.0,98.0,90.599998,92.0,92.0,935744.0
137,2020-04-15,92.0,95.0,84.199997,84.199997,84.199997,584658.0
138,2020-04-16,90.0,90.0,86.0,89.800003,89.800003,340727.0
139,2020-04-17,93.0,93.0,88.097,91.599998,91.599998,1787913.0
140,2020-04-20,93.0,96.0,92.0,93.0,93.0,1529936.0
141,2020-04-21,95.0,96.0,92.75,94.300003,94.300003,227669.0
142,2020-04-22,96.0,103.0,95.0,101.5,101.5,1259314.0
143,2020-04-23,96.800003,102.0,96.800003,97.0,97.0,758392.0
144,2020-04-24,98.0,105.0,98.0,105.0,105.0,1002517.0
145,2020-04-27,105.0,105.0,99.0,103.0,103.0,279135.0
146,2020-04-28,105.0,105.0,98.599998,100.0,100.0,661353.0
147,2020-04-29,103.0,105.0,98.599998,103.0,103.0,228107.0
148,2020-04-30,102.0,102.0,98.599998,100.5,100.5,339667.0
149,2020-05-01,99.199997,102.57800300000001,95.0,95.0,95.0,201934.0
150,2020-05-04,100.5,100.5,93.599998,97.0,97.0,337770.0
151,2020-05-05,99.0,99.0,93.599998,96.0,96.0,408508.0
152,2020-05-06,98.800003,99.0,94.181999,96.400002,96.400002,581267.0
153,2020-05-07,99.0,99.0,95.0,97.0,97.0,541895.0
154,2020-05-11,99.0,99.0,95.0,99.0,99.0,274121.0
155,2020-05-12,99.0,99.917,95.400002,97.0,97.0,130561.0
156,2020-05-13,98.800003,101.0,94.800003,99.400002,99.400002,447853.0
157,2020-05-14,101.0,101.0,95.400002,100.0,100.0,574875.0
158,2020-05-15,101.0,103.0,96.922997,103.0,103.0,1195386.0
159,2020-05-18,104.0,105.5,100.0,101.0,101.0,373254.0
160,2020-05-19,105.0,107.0,100.0,106.5,106.5,691908.0
161,2020-05-20,103.5,107.0,101.5,105.5,105.5,355014.0
162,2020-05-21,102.0,106.0,100.0,102.0,102.0,87515.0
163,2020-05-22,101.0,106.5,100.5,106.5,106.5,393558.0
164,2020-05-26,107.0,107.0,100.0,104.0,104.0,309709.0
165,2020-05-27,104.0,104.0,98.53600300000001,100.0,100.0,301229.0
166,2020-05-28,99.0,103.5,99.0,102.0,102.0,237051.0
167,2020-05-29,102.0,104.0,100.190002,102.0,102.0,604620.0
168,2020-06-01,104.0,106.0,100.54900400000001,102.0,102.0,464828.0
169,2020-06-02,100.0,106.0,100.0,102.0,102.0,389161.0
170,2020-06-03,103.0,103.800003,100.0,102.0,102.0,481134.0
171,2020-06-04,99.599998,105.0,98.800003,100.0,100.0,235623.0
172,2020-06-05,101.0,105.0,98.800003,103.5,103.5,401468.0
173,2020-06-08,103.0,105.0,98.860001,103.0,103.0,338905.0
