,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-09,27.5,26.0,26.0,27.5,27.5,456.0
1,2019-09-10,27.5,27.5,27.5,27.5,27.5,0.0
2,2019-09-11,27.5,27.5,27.5,27.5,27.5,0.0
3,2019-09-12,27.5,27.5,27.5,27.5,27.5,0.0
4,2019-09-13,27.5,28.5,26.0,27.5,27.5,1434.0
5,2019-09-16,27.5,27.5,27.5,27.5,27.5,0.0
6,2019-09-17,27.5,27.5,27.5,27.5,27.5,0.0
7,2019-09-18,27.5,27.5,27.5,27.5,27.5,0.0
8,2019-09-19,27.5,27.5,27.5,27.5,27.5,0.0
9,2019-09-20,27.5,28.5,28.5,27.5,27.5,3600.0
10,2019-09-23,27.5,26.0,26.0,26.0,26.0,1921.0
11,2019-09-24,26.0,26.0,26.0,26.0,26.0,0.0
12,2019-09-25,26.0,26.0,26.0,26.0,26.0,0.0
13,2019-09-26,26.0,26.0,26.0,26.0,26.0,0.0
14,2019-09-27,25.5,25.5,25.5,25.5,25.5,0.0
15,2019-09-30,25.5,25.5,25.5,25.5,25.5,0.0
16,2019-10-01,25.5,23.25,23.25,24.5,24.5,4000.0
17,2019-10-02,24.5,24.5,24.5,24.5,24.5,0.0
18,2019-10-03,24.5,24.5,24.5,24.5,24.5,0.0
19,2019-10-04,24.5,23.0,23.0,24.5,24.5,1142.0
20,2019-10-07,24.5,23.0,23.0,24.5,24.5,1018.0
21,2019-10-08,24.5,24.5,24.5,24.5,24.5,0.0
22,2019-10-09,24.5,24.5,24.5,24.5,24.5,0.0
23,2019-10-10,25.5,25.5,25.5,25.5,25.5,0.0
24,2019-10-11,25.5,26.0,23.0,24.5,24.5,14000.0
25,2019-10-14,23.5,23.5,23.5,23.5,23.5,0.0
26,2019-10-15,23.5,23.5,23.5,23.5,23.5,0.0
27,2019-10-16,23.5,23.5,23.5,23.5,23.5,0.0
28,2019-10-17,22.5,22.5,22.5,22.5,22.5,0.0
29,2019-10-18,21.5,21.5,21.5,21.5,21.5,0.0
30,2019-10-21,21.5,21.5,21.5,21.5,21.5,0.0
31,2019-10-22,21.5,21.5,21.5,21.5,21.5,0.0
32,2019-10-23,21.5,22.0,22.0,20.0,20.0,20000.0
33,2019-10-24,20.5,20.5,20.5,20.5,20.5,0.0
34,2019-10-25,20.5,20.5,20.5,20.5,20.5,17690.0
35,2019-10-28,20.5,23.0,19.0,21.0,21.0,15680.0
36,2019-10-29,21.0,21.0,21.0,21.0,21.0,0.0
37,2019-10-30,21.0,23.0,23.0,23.0,23.0,4000.0
38,2019-10-31,23.0,25.0,25.0,23.0,23.0,4070.0
39,2019-11-01,23.0,21.0,21.0,23.0,23.0,5420.0
40,2019-11-04,23.0,21.0,21.0,23.0,23.0,5780.0
41,2019-11-05,23.0,23.0,23.0,23.0,23.0,0.0
42,2019-11-06,23.0,23.0,23.0,23.0,23.0,0.0
43,2019-11-07,23.0,23.0,23.0,23.0,23.0,0.0
44,2019-11-08,23.0,21.0,21.0,23.0,23.0,1098.0
45,2019-11-11,23.5,23.5,23.5,23.5,23.5,0.0
46,2019-11-12,23.5,21.0,21.0,23.5,23.5,1690.0
47,2019-11-13,23.5,23.5,23.5,23.5,23.5,0.0
48,2019-11-14,23.5,23.5,23.5,23.5,23.5,0.0
49,2019-11-15,23.5,21.0,21.0,23.5,23.5,2309.0
50,2019-11-18,23.5,23.5,23.5,23.5,23.5,0.0
51,2019-11-19,23.5,21.0,21.0,23.5,23.5,1398.0
52,2019-11-20,23.5,23.5,23.5,23.5,23.5,0.0
53,2019-11-21,23.5,21.0,21.0,23.0,23.0,1829.0
54,2019-11-22,23.0,23.0,23.0,23.0,23.0,0.0
55,2019-11-25,23.0,23.0,23.0,23.0,23.0,0.0
56,2019-11-26,23.0,23.0,23.0,23.0,23.0,0.0
57,2019-11-27,23.6,23.6,23.6,23.0,23.0,8000.0
58,2019-11-28,23.0,23.0,23.0,23.0,23.0,0.0
59,2019-11-29,23.0,23.0,23.0,23.5,23.5,3000.0
60,2019-12-02,23.5,23.5,23.5,23.5,23.5,0.0
61,2019-12-03,23.5,23.5,23.5,23.5,23.5,0.0
62,2019-12-04,23.5,23.0,21.0,23.5,23.5,6573.0
63,2019-12-05,23.5,23.5,23.5,23.5,23.5,0.0
64,2019-12-06,23.5,23.0,21.5,22.5,22.5,7000.0
65,2019-12-09,22.5,22.5,22.5,22.5,22.5,0.0
66,2019-12-10,22.5,22.5,22.5,22.5,22.5,0.0
67,2019-12-11,21.0,21.0,21.0,21.0,21.0,3700.0
68,2019-12-12,22.5,22.5,22.5,22.5,22.5,0.0
69,2019-12-13,22.5,22.5,22.5,22.5,22.5,0.0
70,2019-12-16,22.5,22.5,22.5,22.5,22.5,0.0
71,2019-12-17,24.5,24.5,24.5,24.5,24.5,0.0
72,2019-12-18,24.5,24.5,24.5,24.5,24.5,0.0
73,2019-12-19,24.5,24.5,24.5,24.5,24.5,0.0
74,2019-12-20,24.5,24.5,24.5,24.5,24.5,0.0
75,2019-12-23,24.5,24.5,24.5,24.5,24.5,0.0
76,2019-12-24,24.5,24.5,24.5,24.5,24.5,0.0
77,2019-12-27,24.5,22.0,22.0,23.0,23.0,1216.0
78,2019-12-30,24.5,24.5,24.5,24.5,24.5,0.0
79,2019-12-31,24.5,24.5,24.5,24.5,24.5,0.0
80,2020-01-02,24.5,24.5,24.5,24.5,24.5,0.0
81,2020-01-03,24.5,24.5,24.5,24.5,24.5,0.0
82,2020-01-06,24.5,24.5,24.5,24.5,24.5,0.0
83,2020-01-07,24.5,22.0,22.0,24.5,24.5,88.0
84,2020-01-08,25.5,25.5,25.5,25.5,25.5,0.0
85,2020-01-09,25.5,28.0,26.0,27.5,27.5,12458.0
86,2020-01-10,28.5,31.0,28.0,30.5,30.5,42500.0
87,2020-01-13,30.5,32.0,28.0,31.5,31.5,10900.0
88,2020-01-14,31.5,31.5,31.5,31.5,31.5,0.0
89,2020-01-15,31.5,35.0,34.0,34.5,34.5,9500.0
90,2020-01-16,34.5,34.5,34.5,34.5,34.5,0.0
91,2020-01-17,34.5,38.0,35.0,35.5,35.5,13673.0
92,2020-01-20,35.5,35.5,35.5,35.5,35.5,52610.0
93,2020-01-21,35.5,32.5,32.5,34.0,34.0,4072.0
