,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,977.75,978.0,977.75,977.25,977.1573490000001,13890.0
1,2019-09-17,977.75,977.75,976.0,977.25,977.1573490000001,31828.0
2,2019-09-18,975.0,975.0,975.0,976.625,976.5324099999999,7900.0
3,2019-09-19,980.75,980.75,980.75,980.75,980.6569820000001,0.0
4,2019-09-20,976.25,976.5,976.25,976.125,976.0324099999999,5177.0
5,2019-09-23,975.3029789999999,975.3029789999999,975.3029789999999,969.125,969.033081,795.0
6,2019-09-24,971.0,971.0,971.0,973.0,972.907715,795.0
7,2019-09-25,973.0,973.0,973.0,973.0,972.907715,0.0
8,2019-09-26,979.125,979.125,979.125,979.125,979.032166,0.0
9,2019-09-27,974.25,974.25,974.25,974.25,974.157593,0.0
10,2019-09-30,970.75,970.75,970.75,970.75,970.657959,0.0
11,2019-10-01,971.0,971.0,971.0,971.0,970.907898,0.0
12,2019-10-02,952.125,952.125,952.125,952.125,952.0347289999999,0.0
13,2019-10-03,948.125,948.125,948.125,948.125,948.035095,0.0
14,2019-10-04,953.875,953.875,953.875,953.875,953.7845460000001,0.0
15,2019-10-07,955.5,955.5,955.5,955.5,955.4093630000001,0.0
16,2019-10-08,949.5,949.5,949.5,949.5,949.409973,0.0
17,2019-10-09,955.25,955.25,955.25,955.25,955.1594240000001,0.0
18,2019-10-10,956.75,960.75,956.692017,964.75,964.658508,30.0
19,2019-10-11,975.5,975.5,975.5,985.875,985.781494,5.0
20,2019-10-14,980.0,980.0,980.0,980.0,979.9070429999999,0.0
21,2019-10-15,997.375,997.375,997.375,997.375,997.2803960000001,0.0
22,2019-10-16,996.125,996.125,996.125,996.125,996.0305179999999,0.0
23,2019-10-17,993.125,993.125,993.125,993.125,993.030823,0.0
24,2019-10-18,992.0,992.0,992.0,992.0,991.905945,0.0
25,2019-10-21,1000.0,1000.0,1000.0,1000.0,999.9051509999999,0.0
26,2019-10-22,1002.5,1002.5,1002.5,1002.5,1002.404907,0.0
27,2019-10-23,1006.5,1006.5,1006.5,1006.5,1006.404541,0.0
28,2019-10-24,1009.0,1009.0,1009.0,1009.0,1008.904297,0.0
