,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-09,103.5,104.5,102.68,104.0,96.788864,393279
1,2019-09-10,102.5,104.5,102.5,104.5,97.254196,173763
2,2019-09-11,105.0,105.0,103.18,105.0,97.719513,67179
3,2019-09-12,105.0,105.0,103.5,104.5,97.254196,323192
4,2019-09-13,106.0,106.0,104.0,106.0,98.650185,425233
5,2019-09-16,106.5,106.5,104.5,104.5,97.254196,533515
6,2019-09-17,105.5,105.970001,104.5,105.25,97.952187,199177
7,2019-09-18,106.0,106.0,104.605003,106.0,98.650185,362940
8,2019-09-19,106.0,106.0,103.5,103.5,96.323524,436008
9,2019-09-20,105.0,107.0,103.75,107.0,99.580849,281210
10,2019-09-23,104.5,105.059998,103.300003,103.5,96.323524,232264
11,2019-09-24,103.0,104.5,102.875,103.5,96.323524,265213
12,2019-09-25,103.0,103.334,102.0,102.5,95.392868,136269
13,2019-09-26,102.0,103.470001,102.0,102.75,95.62552600000001,642083
14,2019-09-27,102.0,104.0,102.0,104.0,96.788864,400807
15,2019-09-30,103.5,103.5,102.074997,103.5,96.323524,206441
16,2019-10-01,103.0,103.925003,102.0,102.75,95.62552600000001,263167
17,2019-10-02,102.0,102.875,100.5,102.0,94.92752800000001,517471
18,2019-10-03,101.0,101.519997,100.0,101.0,93.99688,256480
19,2019-10-04,100.0,102.0,100.0,101.25,94.229538,228513
20,2019-10-07,102.0,102.0,100.5,102.0,94.92752800000001,710653
21,2019-10-08,101.0,102.5,101.0,102.5,95.392868,422138
22,2019-10-09,101.0,102.5,101.0,102.0,94.92752800000001,315113
23,2019-10-10,101.0,102.230003,100.0,102.0,96.546097,197015
24,2019-10-11,101.550003,102.0,100.574997,101.5,96.072838,244014
25,2019-10-14,101.0,102.0,99.808998,102.0,96.546097,148973
26,2019-10-15,101.5,102.0,100.0,101.25,95.836212,148091
27,2019-10-16,100.5,102.0,100.165001,100.650002,95.268288,149694
28,2019-10-17,99.800003,102.0,98.599998,99.199997,93.895813,457549
29,2019-10-18,100.5,101.125,98.808998,100.0,94.653038,350195
30,2019-10-21,101.125,101.125,99.014999,99.75,94.41640500000001,273267
31,2019-10-22,100.0,100.574997,99.014999,99.650002,94.321754,150480
32,2019-10-23,99.0,100.5,99.0,99.949997,94.605713,225335
33,2019-10-24,100.5,100.5,99.400002,100.0,94.653038,212815
34,2019-10-25,99.829002,101.0,99.800003,100.150002,94.79502099999999,193001
35,2019-10-28,101.0,101.0,99.199997,100.5,95.126305,314482
36,2019-10-29,100.0,101.0,99.400002,100.5,95.126305,447641
37,2019-10-30,101.5,101.5,99.400002,100.0,94.653038,285534
38,2019-10-31,101.5,102.0,100.5,101.5,96.072838,530761
39,2019-11-01,102.0,104.0,101.5,101.5,96.072838,3123278
40,2019-11-04,103.5,103.5,101.514999,103.5,97.96590400000001,407029
41,2019-11-05,103.5,104.0,102.800003,103.5,97.96590400000001,856511
42,2019-11-06,105.0,105.0,103.0,103.5,97.96590400000001,130834
43,2019-11-07,103.0,104.0,103.0,103.75,98.20253000000001,232692
44,2019-11-08,103.0,104.0,102.0,103.75,98.20253000000001,629871
45,2019-11-11,102.0,103.5,102.0,103.0,97.49263,189965
46,2019-11-12,103.0,104.5,103.0,104.5,98.91243,500527
47,2019-11-13,102.5,103.525002,102.0,102.0,96.546097,199605
48,2019-11-14,103.0,103.197998,102.5,102.5,97.019363,178330
49,2019-11-15,103.0,103.050003,102.0,102.75,97.255997,531398
50,2019-11-18,102.5,103.5,102.449997,103.25,97.729263,383614
51,2019-11-19,103.0,103.629997,102.5,103.0,97.49263,440024
52,2019-11-20,102.0,103.125,102.0,102.75,97.255997,159855
53,2019-11-21,102.135002,102.5,102.0,102.25,96.782738,342440
