,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-30,5.613,5.629,5.609,5.619,5.619,30819.0
1,2019-10-01,5.635,5.637,5.608,5.6125,5.6125,171307.0
2,2019-10-02,5.609,5.618,5.59,5.604,5.604,7691.0
3,2019-10-03,5.602,5.62,5.597,5.624,5.624,28025.0
4,2019-10-04,5.64,5.653,5.628,5.649,5.649,17683.0
5,2019-10-07,5.642,5.67,5.642,5.655,5.655,28967.0
6,2019-10-08,5.66,5.66,5.641,5.638,5.638,18156.0
7,2019-10-09,5.646,5.647,5.624,5.6405,5.6405,41634.0
8,2019-10-10,5.637,5.648,5.636,5.633,5.633,75708.0
9,2019-10-11,5.646,5.649,5.632,5.635,5.635,10011.0
10,2019-10-14,5.643,5.643,5.627,5.634,5.634,64009.0
11,2019-10-15,5.643,5.65,5.631,5.637,5.637,13133.0
12,2019-10-16,5.657,5.657,5.63,5.6295,5.6295,17588.0
13,2019-10-17,5.64,5.64,5.63,5.634,5.634,16250.0
14,2019-10-18,5.643,5.649,5.632,5.649,5.649,50101.0
15,2019-10-21,5.624,5.644,5.62,5.6315,5.6315,24676.0
16,2019-10-22,5.634,5.643,5.634,5.6365,5.6365,19815.0
17,2019-10-23,5.648,5.652,5.635,5.6455,5.6455,2001764.0
18,2019-10-24,5.658,5.658,5.644,5.653,5.653,26671.0
19,2019-10-25,5.654,5.656,5.64,5.654,5.654,26063.0
20,2019-10-28,5.647,5.652,5.647,5.6395,5.6395,5209.0
21,2019-10-29,5.642,5.643,5.627,5.6255,5.6255,43186.0
22,2019-10-30,5.617,5.645,5.617,5.6205,5.6205,16766.0
23,2019-10-31,5.648,5.65,5.631,5.6415,5.6415,28219.0
24,2019-11-01,5.677,5.677,5.667,5.676,5.676,5179.0
25,2019-11-04,5.7,5.7,5.66,5.6615,5.6615,36361.0
26,2019-11-05,5.661,5.663,5.641,5.638,5.638,22553.0
27,2019-11-06,5.642,5.643,5.629,5.6315,5.6315,16848.0
28,2019-11-07,5.647,5.648,5.631,5.621,5.621,3281.0
29,2019-11-08,5.617,5.627,5.607,5.622,5.622,280629.0
30,2019-11-11,5.593,5.622,5.593,5.611,5.611,24622.0
31,2019-11-12,5.607,5.621,5.607,5.607,5.607,18841.0
32,2019-11-13,5.594,5.613,5.594,5.6005,5.6005,15523.0
33,2019-11-14,5.597,5.629,5.597,5.631,5.631,32396.0
34,2019-11-15,5.638,5.645,5.628,5.636,5.636,18703.0
35,2019-11-18,5.644,5.644,5.613,5.6175,5.6175,50924.0
36,2019-11-19,5.585,5.616,5.585,5.597,5.597,31407.0
37,2019-11-20,5.594,5.611,5.594,5.6115,5.6115,44796.0
38,2019-11-21,5.616,5.62,5.609,5.6095,5.6095,1083677.0
39,2019-11-22,5.619,5.628,5.617,5.617,5.617,16310.0
40,2019-11-25,5.629,5.635,5.617,5.629,5.629,9523.0
41,2019-11-26,5.634,5.638,5.625,5.631,5.631,15357.0
42,2019-11-27,5.653,5.653,5.626,5.6285,5.6285,21254.0
43,2019-11-28,5.638,5.639,5.628,5.63,5.63,130011.0
44,2019-11-29,5.635,5.637,5.614,5.623,5.623,4251917.0
45,2019-12-02,5.621,5.621,5.6,5.609,5.609,23970.0
46,2019-12-03,5.605,5.614,5.595,5.6085,5.6085,53466.0
47,2019-12-04,5.624,5.642,5.611,5.6215,5.6215,15646.0
48,2019-12-05,5.634,5.636,5.629,5.6275,5.6275,26348.0
49,2019-12-06,5.628,5.64,5.602,5.63,5.63,2952085.0
50,2019-12-09,5.649,5.656,5.638,5.6515,5.6515,39865.0
51,2019-12-10,5.668,5.669,5.654,5.653,5.653,14513.0
52,2019-12-11,5.667,5.671,5.655,5.6725,5.6725,17811.0
53,2019-12-12,5.694,5.696,5.675,5.6835,5.6835,16086.0
54,2019-12-13,5.703,5.708,5.685,5.6995,5.6995,5254.0
55,2019-12-16,5.71,5.718,5.7,5.7075,5.7075,30949.0
56,2019-12-17,5.718,5.728,5.708,5.723,5.723,19094.0
57,2019-12-18,5.743,5.745,5.73,5.739,5.739,22515.0
58,2019-12-19,5.744,5.745,5.735,5.731,5.731,5639.0
59,2019-12-20,5.735,5.739,5.72,5.737,5.737,299464.0
60,2019-12-23,5.736,5.751,5.736,5.7475,5.7475,5740.0
61,2019-12-24,5.758,5.758,5.756,5.7485,5.7485,2399.0
62,2019-12-27,5.768,5.787,5.752,5.7735,5.7735,46476.0
63,2019-12-30,5.781,5.781,5.757,5.7685,5.7685,10143.0
64,2019-12-31,5.775,5.775,5.775,5.7675,5.7675,900.0
65,2020-01-02,5.775,5.775,5.775,5.767,5.767,908.0
66,2020-01-03,5.772,5.772,5.749,5.7615,5.7615,46067.0
67,2020-01-06,5.761,5.764,5.753,5.7555,5.7555,40856.0
68,2020-01-07,5.77,5.775,5.77,5.7685,5.7685,39114.0
69,2020-01-08,5.77,5.772,5.76,5.7685,5.7685,39195.0
70,2020-01-09,5.778,5.785,5.7624,5.761,5.761,66411.0
71,2020-01-10,5.778,5.779,5.765,5.7735,5.7735,20542.0
72,2020-01-13,5.784,5.784,5.761,5.775,5.775,32181.0
73,2020-01-14,5.776,5.776,5.76,5.7705,5.7705,84090.0
74,2020-01-15,5.784,5.784,5.772,5.789,5.789,31679.0
75,2020-01-16,5.805,5.808,5.789,5.795,5.795,149428.0
76,2020-01-17,5.809,5.811,5.797,5.797,5.797,230720.0
77,2020-01-20,5.812,5.812,5.794,5.798,5.798,30662.0
78,2020-01-21,5.789,5.801,5.788,5.793,5.793,46122.0
79,2020-01-22,5.806,5.806,5.793,5.7965,5.7965,108003.0
80,2020-01-23,5.795,5.811,5.787,5.7905,5.7905,136586.0
81,2020-01-24,5.81,5.81,5.79,5.7875,5.7875,36730.0
82,2020-01-27,5.783,5.783,5.772,5.772,5.772,27272.0
83,2020-01-28,5.794,5.807,5.782,5.7995,5.7995,15907.0
84,2020-01-29,5.82,5.824,5.808,5.8245,5.8245,36551.0
85,2020-01-30,5.826,5.831,5.808,5.8235,5.8235,39653.0
86,2020-01-31,5.837,5.842,5.823,5.8345,5.8345,65450.0
87,2020-02-03,5.85,5.852,5.832,5.8455,5.8455,50023.0
88,2020-02-04,5.853,5.853,5.835,5.834,5.834,38823.0
89,2020-02-05,5.844,5.846,5.844,5.843,5.843,26052.0
90,2020-02-06,5.838,5.854,5.837,5.844,5.844,176694.0
91,2020-02-07,5.857,5.86,5.846,5.849,5.849,49787.0
92,2020-02-10,5.859,5.859,5.842,5.8545,5.8545,45610.0
93,2020-02-11,5.861,5.865,5.848,5.865,5.865,20957.0
94,2020-02-12,5.856,5.858,5.844,5.85,5.85,19144.0
95,2020-02-13,5.86,5.861,5.841,5.8535,5.8535,240840.0
96,2020-02-14,5.865,5.878,5.865,5.868,5.868,624732.0
97,2020-02-17,5.9,5.9,5.874,5.88,5.88,45058.0
98,2020-02-18,5.887,5.889,5.875,5.877,5.877,14184.0
99,2020-02-19,5.888,5.89,5.877,5.885,5.885,55613.0
100,2020-02-20,5.892,5.902,5.88,5.8915,5.8915,133813.0
101,2020-02-21,5.886,5.917,5.886,5.911,5.911,50879.0
102,2020-02-24,5.929,5.929,5.888,5.9,5.9,22289.0
103,2020-02-25,5.887,5.9,5.887,5.8735,5.8735,10174.0
104,2020-02-26,5.88,5.88,5.84,5.879,5.879,70993.0
105,2020-02-27,5.843,5.843,5.781,5.807,5.807,32275.0
106,2020-02-28,5.74,5.784,5.696,5.777,5.777,41510.0
107,2020-03-02,5.842,5.842,5.772,5.828,5.828,96040.0
108,2020-03-03,5.839,5.888,5.838,5.8825,5.8825,97780.0
