,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-30,14.5,15.0,10.0,12.5,12.5,160014.0
1,2019-10-01,12.5,14.0,12.0,14.0,14.0,1180916.0
2,2019-10-02,14.0,14.5,12.0,12.5,12.5,675342.0
3,2019-10-03,12.5,17.0,11.5,12.0,12.0,95814.0
4,2019-10-04,12.0,13.5,12.0,13.0,13.0,156124.0
5,2019-10-07,13.0,13.5,12.0,13.0,13.0,181040.0
6,2019-10-08,13.0,12.5,11.0,12.0,12.0,182276.0
7,2019-10-09,12.0,15.0,11.5,14.0,14.0,1268235.0
8,2019-10-10,14.0,14.5,12.5,13.5,13.5,690829.0
9,2019-10-11,13.5,17.0,14.0,16.5,16.5,826411.0
10,2019-10-14,16.5,22.5,14.0,20.0,20.0,2116383.0
11,2019-10-15,21.5,24.0,17.0,20.0,20.0,1688872.0
12,2019-10-16,21.0,21.0,16.5,18.0,18.0,480522.0
13,2019-10-17,18.0,21.0,16.0,16.5,16.5,1717111.0
14,2019-10-18,17.0,19.5,16.0,18.5,18.5,1310840.0
15,2019-10-21,18.5,21.5,17.0,17.5,17.5,1790801.0
16,2019-10-22,17.5,19.0,16.5,17.5,17.5,1010480.0
17,2019-10-23,17.5,18.5,16.5,18.0,18.0,394407.0
18,2019-10-24,18.0,17.0,15.5,16.5,16.5,638265.0
19,2019-10-25,16.5,16.5,14.5,16.0,16.0,787522.0
20,2019-10-28,16.0,18.0,14.5,17.0,17.0,699000.0
21,2019-10-29,19.5,22.5,15.0,16.0,16.0,7.0
22,2019-10-30,16.5,16.5,13.0,14.0,14.0,333055.0
23,2019-10-31,14.0,17.0,14.0,14.5,14.5,782599.0
24,2019-11-01,14.5,16.5,14.5,15.0,15.0,621765.0
25,2019-11-04,15.0,16.5,15.0,15.5,15.5,366448.0
26,2019-11-05,15.5,16.0,14.5,15.5,15.5,351140.0
27,2019-11-06,15.5,15.5,13.0,15.0,15.0,1064729.0
28,2019-11-07,14.5,14.5,13.5,14.0,14.0,293919.0
29,2019-11-08,14.0,14.5,13.0,14.0,14.0,560300.0
30,2019-11-11,14.0,14.5,13.0,14.0,14.0,310294.0
31,2019-11-12,13.5,14.0,11.5,13.0,13.0,434466.0
32,2019-11-13,13.0,14.5,12.5,14.0,14.0,439336.0
33,2019-11-14,14.0,16.0,13.0,14.0,14.0,636918.0
34,2019-11-15,15.0,16.0,13.5,14.0,14.0,275766.0
35,2019-11-18,14.0,15.0,13.0,13.5,13.5,598249.0
36,2019-11-19,13.5,15.0,13.0,13.5,13.5,697542.0
37,2019-11-20,13.5,14.0,13.0,13.5,13.5,212475.0
38,2019-11-21,13.5,13.5,12.0,13.0,13.0,386353.0
39,2019-11-22,13.0,13.5,12.5,13.5,13.5,125909.0
40,2019-11-25,13.5,14.0,12.5,13.0,13.0,438759.0
41,2019-11-26,13.0,14.0,12.5,13.5,13.5,525736.0
42,2019-11-27,13.5,15.5,13.5,14.5,14.5,672324.0
43,2019-11-28,14.5,14.5,12.5,13.0,13.0,754905.0
44,2019-11-29,13.0,13.5,12.5,13.0,13.0,74629.0
45,2019-12-02,13.0,13.5,12.5,13.0,13.0,321143.0
46,2019-12-03,13.0,14.5,13.0,14.0,14.0,589884.0
47,2019-12-04,14.0,16.5,13.5,15.0,15.0,466534.0
48,2019-12-05,15.5,16.5,13.0,14.5,14.5,454625.0
49,2019-12-06,14.5,15.0,13.0,13.5,13.5,113245.0
50,2019-12-09,13.5,14.0,12.0,12.5,12.5,272289.0
51,2019-12-10,12.5,13.0,12.5,12.5,12.5,101709.0
52,2019-12-11,12.5,14.0,12.0,14.0,14.0,181433.0
53,2019-12-12,14.0,14.0,12.5,13.0,13.0,365691.0
54,2019-12-13,13.0,13.0,12.0,12.5,12.5,233530.0
55,2019-12-16,12.5,13.5,12.0,13.5,13.5,506015.0
56,2019-12-17,13.5,13.5,12.0,12.5,12.5,244209.0
57,2019-12-18,14.0,13.5,11.0,11.5,11.5,876304.0
58,2019-12-19,11.5,11.5,9.5,10.5,10.5,648125.0
59,2019-12-20,10.5,12.0,10.5,12.0,12.0,483426.0
60,2019-12-23,12.0,12.0,9.0,12.0,12.0,464926.0
61,2019-12-24,12.0,12.0,11.0,12.0,12.0,18905.0
62,2019-12-27,12.0,12.0,11.0,12.0,12.0,103358.0
63,2019-12-30,12.0,12.0,11.0,11.5,11.5,111860.0
64,2019-12-31,11.5,11.5,11.0,11.5,11.5,11669.0
65,2020-01-02,11.5,11.5,10.0,10.5,10.5,235013.0
66,2020-01-03,10.5,10.5,10.0,10.5,10.5,155319.0
67,2020-01-06,10.5,10.5,10.0,10.5,10.5,109952.0
68,2020-01-07,10.5,10.5,9.0,10.0,10.0,510018.0
69,2020-01-08,10.0,10.5,10.0,10.5,10.5,236049.0
70,2020-01-09,10.5,14.5,10.0,11.5,11.5,865215.0
