,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,305.0,305.0,305.0,305.0,303.246002,0.0
1,2019-09-17,305.0,310.0,305.0,312.0,310.20575,4510.0
2,2019-09-18,312.0,312.0,312.0,312.0,310.20575,0.0
3,2019-09-19,312.0,314.0,314.0,315.0,313.18850699999996,2500.0
4,2019-09-20,315.0,320.0,310.0,315.0,313.18850699999996,1078.0
5,2019-09-23,315.0,320.0,310.0,315.0,313.18850699999996,3556.0
6,2019-09-24,315.0,320.0,316.600006,315.0,313.18850699999996,752.0
7,2019-09-25,315.0,316.65499900000003,316.600006,314.0,312.19424399999997,4149.0
8,2019-09-26,314.0,318.0,318.0,314.0,312.19424399999997,52.0
9,2019-09-27,315.0,315.0,315.0,315.0,313.18850699999996,0.0
10,2019-09-30,315.0,316.5,316.5,315.0,313.18850699999996,807.0
11,2019-10-01,315.0,315.0,315.0,315.0,313.18850699999996,0.0
12,2019-10-02,315.0,315.0,315.0,315.0,313.18850699999996,0.0
13,2019-10-03,315.0,316.799988,316.799988,314.0,312.19424399999997,1280.0
14,2019-10-04,314.0,314.0,314.0,314.0,312.19424399999997,2900.0
15,2019-10-07,314.0,320.0,312.0,318.0,316.171265,32608.0
16,2019-10-08,318.0,319.600006,319.600006,318.0,316.171265,1378.0
17,2019-10-09,318.0,319.600006,319.600006,318.0,316.171265,2.0
18,2019-10-10,323.0,323.0,323.0,323.0,321.142487,0.0
19,2019-10-11,323.0,319.5,319.5,323.0,321.142487,50.0
20,2019-10-14,323.0,329.0,319.5,323.0,321.142487,6400.0
21,2019-10-15,323.0,332.0,322.0,323.0,321.142487,2728.0
22,2019-10-16,325.0,330.0,330.0,325.0,323.131012,2871.0
23,2019-10-17,325.0,318.0,318.0,324.0,322.136749,3831.0
24,2019-10-18,324.0,318.5,318.5,324.0,322.136749,143.0
25,2019-10-21,324.0,318.5,318.5,324.0,322.136749,984.0
26,2019-10-22,324.0,318.0,318.0,324.0,322.136749,200.0
27,2019-10-23,324.0,324.0,324.0,324.0,322.136749,0.0
28,2019-10-24,324.0,318.5,318.5,324.0,322.136749,1715.0
29,2019-10-25,324.0,324.0,324.0,324.0,322.136749,0.0
30,2019-10-28,324.0,324.0,324.0,324.0,322.136749,0.0
31,2019-10-29,324.0,324.0,324.0,324.0,322.136749,0.0
32,2019-10-30,324.0,318.5,318.5,324.0,322.136749,2516.0
33,2019-10-31,324.0,324.0,324.0,324.0,322.136749,0.0
34,2019-11-01,324.0,324.0,324.0,324.0,322.136749,0.0
35,2019-11-04,324.0,324.0,324.0,324.0,322.136749,0.0
36,2019-11-05,324.0,316.0,316.0,324.0,322.136749,1072.0
37,2019-11-06,324.0,316.0,316.0,324.0,322.136749,411.0
38,2019-11-07,324.0,324.0,324.0,324.0,322.136749,0.0
39,2019-11-08,324.0,324.0,324.0,324.0,322.136749,0.0
40,2019-11-11,324.0,324.0,324.0,324.0,322.136749,0.0
41,2019-11-12,321.0,312.0,312.0,321.0,319.153992,738.0
42,2019-11-13,321.0,321.0,321.0,321.0,319.153992,0.0
43,2019-11-14,321.0,321.0,321.0,321.0,319.153992,0.0
44,2019-11-15,321.0,321.0,321.0,321.0,319.153992,0.0
45,2019-11-18,321.0,307.0,307.0,313.0,311.200012,1500.0
46,2019-11-19,313.0,313.0,313.0,313.0,311.200012,0.0
47,2019-11-20,313.0,313.0,313.0,313.0,311.200012,0.0
48,2019-11-21,313.0,313.0,313.0,313.0,311.200012,0.0
49,2019-11-22,313.0,307.5,307.5,313.0,311.200012,3.0
50,2019-11-25,313.0,313.0,313.0,313.0,311.200012,0.0
51,2019-11-26,313.0,313.0,313.0,313.0,311.200012,0.0
52,2019-11-27,313.0,313.0,313.0,313.0,311.200012,0.0
53,2019-11-28,313.0,313.0,313.0,313.0,311.200012,0.0
54,2019-11-29,313.0,313.0,313.0,313.0,311.200012,0.0
55,2019-12-02,313.0,313.0,313.0,313.0,311.200012,0.0
56,2019-12-03,313.0,313.0,313.0,313.0,311.200012,0.0
57,2019-12-04,313.0,313.0,313.0,313.0,311.200012,0.0
58,2019-12-05,313.0,307.5,307.5,313.0,311.200012,1130.0
59,2019-12-06,313.0,313.0,313.0,313.0,311.200012,0.0
60,2019-12-09,313.0,313.0,313.0,313.0,311.200012,0.0
61,2019-12-10,313.0,308.0,307.5,313.0,311.200012,4058.0
62,2019-12-11,313.0,308.799988,308.799988,313.0,311.200012,365.0
63,2019-12-12,313.0,315.0,315.0,313.0,313.0,5000.0
64,2019-12-13,313.0,306.0,305.0,306.0,306.0,3367.0
65,2019-12-16,313.0,314.0,307.5,313.0,313.0,7000.0
66,2019-12-17,313.0,313.0,313.0,313.0,313.0,0.0
67,2019-12-18,313.0,313.0,313.0,313.0,313.0,0.0
68,2019-12-19,313.0,313.0,313.0,313.0,313.0,0.0
69,2019-12-20,313.0,308.799988,306.0,313.0,313.0,1451.0
70,2019-12-23,313.0,313.0,313.0,313.0,313.0,0.0
71,2019-12-24,313.0,313.0,313.0,313.0,313.0,0.0
72,2019-12-27,313.0,308.799988,308.799988,313.0,313.0,1614.0
73,2019-12-30,313.0,306.0,306.0,313.0,313.0,513.0
74,2019-12-31,313.0,313.0,313.0,313.0,313.0,0.0
75,2020-01-02,313.0,312.0,312.0,313.0,313.0,147.0
76,2020-01-03,313.0,313.0,313.0,313.0,313.0,0.0
77,2020-01-06,311.0,306.0,306.0,311.0,311.0,116.0
78,2020-01-07,311.0,316.0,314.0,313.0,313.0,10600.0
79,2020-01-08,313.0,317.0,307.0,312.0,312.0,5370.0
80,2020-01-09,312.0,309.0,309.0,312.0,312.0,484.0
81,2020-01-10,312.0,312.0,312.0,312.0,312.0,0.0
82,2020-01-13,312.0,323.0,309.0,320.0,320.0,2575.0
83,2020-01-14,320.0,312.0,312.0,320.0,320.0,761.0
84,2020-01-15,320.0,312.200012,312.200012,320.0,320.0,428.0
85,2020-01-16,320.0,320.0,320.0,320.0,320.0,0.0
86,2020-01-17,320.0,312.200012,312.200012,313.0,313.0,2233.0
87,2020-01-20,313.0,322.0,312.200012,318.0,318.0,4348.0
88,2020-01-21,308.0,310.0,308.0,308.0,308.0,5399.0
89,2020-01-22,308.0,308.0,308.0,308.0,308.0,0.0
90,2020-01-23,308.0,308.0,308.0,308.0,308.0,0.0
91,2020-01-24,308.0,310.0,307.0,308.0,308.0,11318.0
92,2020-01-27,315.0,320.0,307.5,320.0,320.0,5168.0
93,2020-01-28,320.0,322.0,316.0,323.0,323.0,131.0
94,2020-01-29,323.0,316.0,316.0,323.0,323.0,18.0
95,2020-01-30,323.0,323.0,323.0,323.0,323.0,0.0
96,2020-01-31,323.0,314.0,314.0,323.0,323.0,1416.0
97,2020-02-03,323.0,316.0,316.0,323.0,323.0,63.0
98,2020-02-04,323.0,316.0,316.0,323.0,323.0,1000.0
99,2020-02-05,323.0,316.0,316.0,323.0,323.0,3510.0
100,2020-02-06,323.0,316.0,316.0,317.0,317.0,2121.0
101,2020-02-07,317.0,317.0,317.0,317.0,317.0,0.0
102,2020-02-10,317.0,317.0,317.0,317.0,317.0,0.0
103,2020-02-11,317.0,317.0,317.0,317.0,317.0,0.0
104,2020-02-12,317.0,315.200012,314.25,317.0,317.0,1033.0
105,2020-02-13,317.0,314.25,314.25,317.0,317.0,117.0
106,2020-02-14,317.0,320.0,314.25,317.0,317.0,1160.0
107,2020-02-17,323.0,320.0,318.0,323.0,323.0,11000.0
108,2020-02-18,323.0,325.0,318.0,324.0,324.0,4627.0
109,2020-02-19,324.0,324.0,324.0,324.0,324.0,0.0
110,2020-02-20,324.0,325.0,318.5,324.0,324.0,12500.0
111,2020-02-21,324.0,322.799988,318.0,321.0,321.0,12308.0
112,2020-02-24,321.0,318.5,318.5,321.0,321.0,11578.0
113,2020-02-25,321.0,318.5,318.5,321.0,321.0,160.0
114,2020-02-26,321.0,318.5,318.0,321.0,321.0,2565.0
115,2020-02-27,321.0,321.0,321.0,321.0,321.0,0.0
116,2020-02-28,320.0,318.0,298.0,306.0,306.0,10245.0
117,2020-03-02,306.0,306.0,306.0,306.0,306.0,0.0
118,2020-03-03,306.0,311.600006,298.0,306.0,306.0,2202.0
119,2020-03-04,306.0,298.0,298.0,306.0,306.0,55.0
120,2020-03-05,306.0,292.0,292.0,304.0,304.0,4000.0
121,2020-03-06,302.0,298.0,292.0,292.0,292.0,2957.0
122,2020-03-09,283.0,276.0,276.0,277.0,277.0,1149.0
123,2020-03-10,277.0,276.0,276.0,269.0,269.0,900.0
124,2020-03-11,269.0,269.0,269.0,269.0,269.0,0.0
125,2020-03-12,262.0,269.839996,248.0,254.0,254.0,3414.0
126,2020-03-13,254.0,258.0,258.0,254.0,254.0,325.0
127,2020-03-16,254.0,254.0,254.0,254.0,254.0,0.0
128,2020-03-17,252.0,252.0,252.0,252.0,252.0,0.0
129,2020-03-18,252.0,236.0,200.0,210.0,210.0,1943.0
130,2020-03-19,210.0,214.0,180.0,194.0,194.0,6597.0
131,2020-03-20,194.0,198.0,190.0,194.0,194.0,1011.0
132,2020-03-23,194.0,190.0,186.0,194.0,194.0,1000.0
133,2020-03-24,194.0,193.199997,182.0,194.0,194.0,5150.0
134,2020-03-25,194.0,180.0,180.0,194.0,194.0,4000.0
135,2020-03-26,194.0,198.0,190.0,194.0,194.0,5092.0
136,2020-03-27,194.0,194.0,194.0,194.0,194.0,0.0
137,2020-03-30,194.0,192.0,192.0,194.0,194.0,208.0
138,2020-03-31,194.0,193.199997,190.0,194.0,194.0,29925.0
139,2020-04-01,193.0,192.0,190.199997,192.5,192.5,784.0
140,2020-04-02,192.5,192.5,190.0,193.0,193.0,10068.0
141,2020-04-03,193.0,190.059998,190.059998,193.0,193.0,496.0
142,2020-04-06,193.0,195.600006,195.600006,195.0,195.0,1000.0
143,2020-04-07,195.0,220.0,195.0,209.0,209.0,1280.0
144,2020-04-08,209.0,209.0,209.0,209.0,209.0,0.0
145,2020-04-09,209.0,209.0,209.0,209.0,209.0,0.0
146,2020-04-14,209.0,209.0,209.0,209.0,209.0,0.0
147,2020-04-15,209.0,196.5,196.0,202.0,202.0,1150.0
148,2020-04-16,202.0,210.0,210.0,206.5,206.5,1500.0
149,2020-04-17,206.5,206.5,206.5,209.5,209.5,10.0
150,2020-04-20,210.0,210.0,210.0,210.0,210.0,0.0
151,2020-04-21,210.0,210.0,210.0,210.0,210.0,0.0
152,2020-04-22,210.0,210.0,210.0,210.0,210.0,0.0
153,2020-04-23,211.0,200.0,198.5,211.0,211.0,8100.0
154,2020-04-24,211.0,211.0,211.0,211.0,211.0,0.0
155,2020-04-27,211.0,211.0,211.0,211.0,211.0,0.0
156,2020-04-28,211.0,223.5,223.5,212.0,212.0,4029.0
157,2020-04-29,213.0,230.0,226.0,225.0,225.0,3876.0
158,2020-04-30,225.0,225.0,225.0,225.0,225.0,0.0
159,2020-05-01,225.0,225.0,225.0,225.0,225.0,0.0
160,2020-05-04,225.0,215.0,215.0,225.0,225.0,100.0
161,2020-05-05,225.0,215.0,200.300003,215.0,215.0,3872.0
162,2020-05-06,215.0,215.0,215.0,215.0,215.0,0.0
163,2020-05-07,215.0,200.699997,200.0,215.0,215.0,9980.0
164,2020-05-11,215.0,227.0,200.300003,215.0,215.0,306.0
165,2020-05-12,215.0,215.0,215.0,215.0,215.0,0.0
166,2020-05-13,215.0,200.300003,200.300003,215.0,215.0,311.0
167,2020-05-14,215.0,227.0,227.0,215.0,215.0,435.0
168,2020-05-15,215.0,200.300003,200.300003,215.0,215.0,92.0
169,2020-05-18,215.0,200.300003,200.300003,215.0,215.0,435.0
170,2020-05-19,215.0,215.0,215.0,215.0,215.0,0.0
171,2020-05-20,215.0,215.0,215.0,215.0,215.0,0.0
172,2020-05-21,215.0,215.0,215.0,215.0,215.0,0.0
173,2020-05-22,215.0,227.0,227.0,215.0,215.0,180.0
174,2020-05-26,215.0,215.0,215.0,215.0,215.0,0.0
175,2020-05-27,215.0,227.0,227.0,215.0,215.0,2000.0
176,2020-05-28,215.0,227.0,200.300003,215.0,215.0,703.0
177,2020-05-29,215.0,227.0,227.0,215.0,215.0,736.0
178,2020-06-01,215.0,227.0,200.300003,220.0,220.0,665.0
179,2020-06-02,220.0,220.0,220.0,220.0,220.0,0.0
180,2020-06-03,220.0,230.0,208.0,225.0,225.0,3131.0
181,2020-06-04,225.0,229.899994,225.0,225.0,225.0,308.0
182,2020-06-05,225.0,240.0,230.0,240.0,240.0,1297.0
183,2020-06-08,240.0,240.0,240.0,240.0,240.0,0.0
184,2020-06-09,240.0,240.0,240.0,240.0,240.0,0.0
185,2020-06-10,240.0,240.0,240.0,240.0,240.0,0.0
186,2020-06-11,240.0,240.0,240.0,240.0,240.0,0.0
187,2020-06-12,240.0,300.0,238.0,240.0,240.0,440.0
188,2020-06-15,240.0,240.0,240.0,240.0,240.0,0.0
189,2020-06-16,240.0,240.0,240.0,240.0,240.0,950.0
190,2020-06-17,240.0,240.0,240.0,240.0,240.0,0.0
191,2020-06-18,245.0,270.0,250.0,264.0,264.0,4018.0
192,2020-06-19,264.0,270.0,261.100006,264.0,264.0,2000.0
193,2020-06-22,264.0,278.0,261.5,290.0,290.0,845.0
194,2020-06-23,295.0,309.399994,280.299988,295.0,295.0,243.0
195,2020-06-24,295.0,350.0,280.299988,350.0,350.0,23361.0
196,2020-06-25,350.0,349.0,318.0,318.0,318.0,77906.0
197,2020-06-26,335.0,335.0,305.0,315.0,315.0,8101.0
198,2020-06-29,315.0,306.0,306.0,315.0,315.0,2100.0
199,2020-06-30,315.0,306.0,306.0,315.0,315.0,43.0
200,2020-07-01,315.0,329.700012,329.700012,322.0,322.0,2000.0
201,2020-07-02,322.0,339.640015,339.640015,322.0,322.0,55.0
202,2020-07-03,322.0,310.0,305.0,322.0,322.0,12582.0
203,2020-07-06,322.0,322.0,322.0,322.0,322.0,0.0
204,2020-07-07,322.0,307.600006,307.600006,322.0,322.0,800.0
205,2020-07-08,322.0,322.0,322.0,322.0,322.0,0.0
206,2020-07-09,322.0,335.0,313.0,325.0,325.0,3000.0
207,2020-07-10,325.0,335.0,313.0,320.0,320.0,9750.0
208,2020-07-13,320.0,305.0,304.0,315.0,315.0,2500.0
209,2020-07-14,315.0,300.0,300.0,315.0,315.0,1000.0
210,2020-07-15,315.0,303.0,300.299988,315.0,315.0,556.0
211,2020-07-16,315.0,315.0,315.0,315.0,315.0,0.0
212,2020-07-17,315.0,300.299988,285.0,315.0,315.0,3456.0
213,2020-07-20,,,,,,
214,2020-07-21,315.0,300.26001,293.600006,308.0,308.0,408.0
215,2020-07-22,308.0,290.0,290.0,305.0,305.0,1500.0
216,2020-07-23,305.0,305.0,305.0,295.0,295.0,40000.0
217,2020-07-24,295.0,295.0,295.0,295.0,295.0,0.0
218,2020-07-27,295.0,291.0,291.0,295.0,295.0,85.0
219,2020-07-28,295.0,291.0,291.0,295.0,295.0,38.0
220,2020-07-29,295.0,295.0,295.0,295.0,295.0,0.0
221,2020-07-30,295.0,291.0,291.0,295.0,295.0,7.0
222,2020-07-31,295.0,295.0,295.0,295.0,295.0,0.0
223,2020-08-03,292.0,292.0,292.0,292.0,292.0,0.0
224,2020-08-04,292.0,291.200012,290.040009,292.0,292.0,732.0
225,2020-08-05,292.0,290.0,290.0,285.0,285.0,1000.0
226,2020-08-06,285.0,287.0,287.0,283.0,283.0,1036.0
227,2020-08-07,300.0,284.0,284.0,283.0,283.0,57.0
228,2020-08-10,283.0,280.600006,280.600006,283.0,283.0,44.0
229,2020-08-11,283.0,283.0,283.0,283.0,283.0,0.0
230,2020-08-12,283.0,283.0,283.0,283.0,283.0,0.0
231,2020-08-13,300.0,280.600006,280.600006,283.0,283.0,62.0
232,2020-08-14,283.0,283.0,283.0,283.0,283.0,0.0
233,2020-08-17,283.0,283.0,283.0,283.0,283.0,0.0
234,2020-08-18,283.0,283.0,283.0,283.0,283.0,0.0
235,2020-08-19,283.0,283.0,283.0,283.0,283.0,0.0
236,2020-08-20,283.0,283.0,283.0,283.0,283.0,0.0
237,2020-08-21,283.0,283.0,283.0,283.0,283.0,0.0
238,2020-08-24,283.0,283.0,283.0,283.0,283.0,0.0
239,2020-08-25,283.0,280.059998,280.059998,283.0,283.0,451.0
240,2020-08-26,283.0,280.059998,280.059998,283.0,283.0,68.0
241,2020-08-27,283.0,280.0,280.0,278.0,278.0,1068.0
242,2020-08-28,278.0,278.0,270.100006,270.0,270.0,337.0
243,2020-09-01,265.0,269.899994,269.899994,265.0,265.0,300.0
244,2020-09-02,265.0,260.0,260.0,265.0,265.0,5000.0
