,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,545.25,545.75,543.75,546.25,546.25,26934.0
1,2019-09-17,545.5,545.5,545.0,543.0,543.0,1727.0
2,2019-09-18,544.0,544.25,544.0,543.5,543.5,422.0
3,2019-09-19,546.75,546.75,543.75,547.25,547.25,7598.0
4,2019-09-20,542.75,542.75,542.75,544.875,544.875,1.0
5,2019-09-23,542.5,547.5,542.5,545.25,545.25,13298.0
6,2019-09-24,545.0,545.0,545.0,544.5,544.5,2.0
7,2019-09-25,546.0,546.0,546.0,546.0,546.0,0.0
8,2019-09-26,549.0,549.5,549.0,546.375,546.375,6305.0
9,2019-09-27,553.0,553.0,552.25,551.5,551.5,32.0
10,2019-09-30,550.710022,550.710022,550.710022,552.25,552.25,5315.0
11,2019-10-01,554.460022,554.460022,552.960022,551.25,551.25,4525.0
12,2019-10-02,548.5,548.5,541.0,534.25,534.25,1956.0
13,2019-10-03,536.210022,536.210022,525.0,531.625,531.625,10008.0
14,2019-10-04,536.75,536.75,535.25,541.75,541.75,930.0
15,2019-10-07,543.710022,543.710022,543.0,544.75,544.75,1113.0
16,2019-10-08,543.75,544.25,543.75,540.25,540.25,2042.0
17,2019-10-09,542.030029,543.460022,541.0,541.25,541.25,3371.0
18,2019-10-10,543.5,543.5,543.5,543.5,543.5,0.0
19,2019-10-11,537.0,537.5,536.75,536.0,536.0,25717.0
20,2019-10-14,540.0,540.0,536.210022,536.75,536.75,20435.0
21,2019-10-15,534.0,535.460022,534.0,533.25,533.25,16285.0
22,2019-10-16,532.5,534.25,532.5,528.75,528.75,9125.0
23,2019-10-17,526.950012,526.950012,526.950012,527.75,527.75,1850.0
24,2019-10-18,526.960022,526.960022,526.960022,527.25,527.25,950.0
25,2019-10-21,528.0,528.0,524.0,525.0,525.0,40.0
26,2019-10-22,529.0,529.0,528.25,527.0,527.0,1119.0
27,2019-10-23,528.710022,528.710022,526.0,527.5,527.5,8572.0
28,2019-10-24,528.710022,529.710022,528.5,531.125,531.125,2984.0
29,2019-10-25,531.25,531.25,531.25,534.5,534.5,2.0
