,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,10.327,10.327,10.327,10.327,10.327,0.0
1,2019-09-17,10.344,10.344,10.344,10.344,10.344,0.0
2,2019-09-18,10.362,10.362,10.3616,10.36,10.36,388.0
3,2019-09-19,10.322,10.322,10.322,10.322,10.322,0.0
4,2019-09-20,10.318,10.318,10.318,10.318,10.318,0.0
5,2019-09-23,10.345,10.345,10.345,10.345,10.345,0.0
6,2019-09-24,10.359,10.359,10.359,10.359,10.359,0.0
7,2019-09-25,10.324,10.324,10.324,10.324,10.324,0.0
8,2019-09-26,10.316,10.316,10.316,10.316,10.316,0.0
9,2019-09-27,10.312,10.312,10.312,10.312,10.312,0.0
10,2019-09-30,10.289,10.289,10.289,10.289,10.289,0.0
11,2019-10-01,10.297,10.297,10.297,10.297,10.297,0.0
12,2019-10-02,10.322,10.322,10.322,10.322,10.322,0.0
13,2019-10-03,10.355,10.355,10.355,10.355,10.355,0.0
14,2019-10-04,10.355,10.355,10.355,10.355,10.355,0.0
15,2019-10-07,10.352,10.352,10.352,10.352,10.352,0.0
16,2019-10-08,10.336,10.336,10.336,10.336,10.336,0.0
17,2019-10-09,10.328,10.328,10.328,10.328,10.328,0.0
18,2019-10-10,10.328,10.328,10.328,10.328,10.328,0.0
19,2019-10-11,10.316,10.322,10.316,10.319,10.319,128.0
20,2019-10-14,10.305,10.305,10.305,10.305,10.305,0.0
21,2019-10-15,10.305,10.305,10.305,10.305,10.305,0.0
22,2019-10-16,10.324,10.324,10.324,10.324,10.324,0.0
23,2019-10-17,10.339,10.339,10.339,10.339,10.339,0.0
24,2019-10-18,10.354,10.354,10.354,10.354,10.354,0.0
25,2019-10-21,10.358,10.362,10.3577,10.343,10.343,15022.0
26,2019-10-22,10.342,10.342,10.336,10.351,10.351,180.0
27,2019-10-23,10.349,10.349,10.349,10.349,10.349,0.0
28,2019-10-24,10.35,10.35,10.35,10.35,10.35,0.0
29,2019-10-25,10.345,10.345,10.345,10.345,10.345,0.0
30,2019-10-28,10.322,10.322,10.322,10.322,10.322,0.0
31,2019-10-29,10.323,10.323,10.323,10.323,10.323,0.0
32,2019-10-30,10.329,10.329,10.329,10.329,10.329,0.0
33,2019-10-31,10.37,10.37,10.37,10.37,10.37,0.0
34,2019-11-01,10.37,10.37,10.37,10.37,10.37,0.0
35,2019-11-04,10.364,10.364,10.364,10.364,10.364,0.0
36,2019-11-05,10.336,10.336,10.336,10.336,10.336,0.0
37,2019-11-06,10.34,10.34,10.34,10.34,10.34,0.0
38,2019-11-07,10.306,10.306,10.306,10.306,10.306,0.0
39,2019-11-08,10.29,10.29,10.29,10.29,10.29,0.0
40,2019-11-11,10.296,10.296,10.296,10.296,10.296,0.0
41,2019-11-12,10.29,10.29,10.29,10.29,10.29,0.0
42,2019-11-13,10.298,10.298,10.298,10.298,10.298,0.0
43,2019-11-14,10.313,10.313,10.313,10.313,10.313,0.0
44,2019-11-15,10.318,10.318,10.318,10.318,10.318,0.0
45,2019-11-18,10.339,10.339,10.339,10.339,10.339,0.0
46,2019-11-19,10.34,10.34,10.34,10.34,10.34,0.0
47,2019-11-20,10.343,10.343,10.343,10.343,10.343,0.0
48,2019-11-21,10.344,10.344,10.344,10.344,10.344,0.0
49,2019-11-22,10.325,10.325,10.325,10.325,10.325,0.0
50,2019-11-25,10.325,10.325,10.325,10.325,10.325,0.0
51,2019-11-26,10.337,10.337,10.337,10.337,10.337,0.0
52,2019-11-27,10.322,10.322,10.322,10.322,10.322,0.0
53,2019-11-28,10.323,10.323,10.323,10.323,10.323,0.0
54,2019-11-29,10.321,10.321,10.321,10.321,10.321,0.0
55,2019-12-02,10.328,10.328,10.328,10.328,10.328,0.0
56,2019-12-03,10.375,10.375,10.375,10.375,10.375,0.0
57,2019-12-04,10.372,10.372,10.372,10.372,10.372,0.0
58,2019-12-05,10.382,10.382,10.382,10.382,10.382,1928.0
59,2019-12-06,10.354,10.354,10.354,10.354,10.354,0.0
60,2019-12-09,10.37,10.37,10.37,10.37,10.37,0.0
61,2019-12-10,10.372,10.372,10.372,10.372,10.372,0.0
62,2019-12-11,10.388,10.388,10.388,10.388,10.388,0.0
63,2019-12-12,10.376,10.376,10.376,10.376,10.376,0.0
64,2019-12-13,10.405,10.405,10.405,10.405,10.405,0.0
65,2019-12-16,10.394,10.394,10.394,10.394,10.394,0.0
66,2019-12-17,10.394,10.394,10.394,10.394,10.394,0.0
67,2019-12-18,10.386,10.386,10.386,10.386,10.386,0.0
68,2019-12-19,10.382,10.382,10.382,10.382,10.382,0.0
69,2019-12-20,10.376,10.376,10.376,10.376,10.376,0.0
70,2019-12-23,10.36,10.36,10.36,10.36,10.36,0.0
71,2019-12-24,10.365,10.365,10.365,10.365,10.365,0.0
72,2019-12-27,10.41,10.41,10.41,10.41,10.41,0.0
73,2019-12-30,10.413,10.413,10.413,10.413,10.413,0.0
74,2019-12-31,10.432,10.432,10.432,10.432,10.432,0.0
75,2020-01-02,10.443,10.443,10.443,10.443,10.443,0.0
76,2020-01-03,10.475,10.475,10.475,10.475,10.475,0.0
77,2020-01-06,10.474,10.474,10.474,10.474,10.474,0.0
78,2020-01-07,10.444,10.444,10.444,10.444,10.444,0.0
79,2020-01-08,10.423,10.423,10.423,10.423,10.423,0.0
80,2020-01-09,10.399,10.399,10.399,10.399,10.399,0.0
81,2020-01-10,10.425,10.425,10.425,10.425,10.425,0.0
82,2020-01-13,10.412,10.412,10.394,10.418,10.418,10600.0
83,2020-01-14,10.423,10.423,10.423,10.423,10.423,0.0
84,2020-01-15,10.452,10.454,10.4475,10.447,10.447,1694.0
85,2020-01-16,10.433,10.433,10.433,10.433,10.433,0.0
86,2020-01-17,10.423,10.423,10.423,10.423,10.423,0.0
87,2020-01-20,10.42,10.42,10.42,10.42,10.42,0.0
88,2020-01-21,10.44,10.44,10.44,10.44,10.44,0.0
89,2020-01-22,10.442,10.442,10.442,10.442,10.442,0.0
90,2020-01-23,10.444,10.444,10.444,10.444,10.444,0.0
91,2020-01-24,10.441,10.441,10.441,10.441,10.441,0.0
92,2020-01-27,10.454,10.454,10.454,10.454,10.454,0.0
93,2020-01-28,10.439,10.439,10.439,10.439,10.439,0.0
94,2020-01-29,10.456,10.462,10.456,10.447,10.447,12000.0
95,2020-01-30,10.474,10.474,10.474,10.474,10.474,0.0
96,2020-01-31,10.507,10.507,10.507,10.507,10.507,0.0
97,2020-02-03,10.475,10.475,10.475,10.475,10.475,0.0
98,2020-02-04,10.454,10.454,10.454,10.454,10.454,0.0
99,2020-02-05,10.435,10.435,10.435,10.435,10.435,0.0
100,2020-02-06,10.42,10.42,10.42,10.42,10.42,0.0
101,2020-02-07,10.426,10.426,10.426,10.426,10.426,0.0
102,2020-02-10,10.444,10.444,10.433,10.433,10.433,2154.0
103,2020-02-11,10.418,10.423,10.418,10.423,10.423,176.0
104,2020-02-12,10.414,10.414,10.414,10.414,10.414,0.0
105,2020-02-13,10.422,10.422,10.422,10.422,10.422,0.0
106,2020-02-14,10.422,10.422,10.422,10.422,10.422,0.0
107,2020-02-17,10.42,10.42,10.42,10.42,10.42,0.0
108,2020-02-18,10.42,10.42,10.42,10.42,10.42,0.0
109,2020-02-19,10.398,10.398,10.398,10.398,10.398,0.0
110,2020-02-20,10.382,10.382,10.3805,10.387,10.387,3160.0
111,2020-02-21,10.4,10.4,10.4,10.421,10.421,111.0
112,2020-02-24,10.438,10.438,10.424,10.445,10.445,315.0
113,2020-02-25,10.465,10.465,10.465,10.465,10.465,0.0
114,2020-02-26,10.445,10.445,10.445,10.445,10.445,0.0
115,2020-02-27,10.477,10.477,10.477,10.477,10.477,0.0
116,2020-02-28,10.518,10.522,10.5174,10.481,10.481,1900.0
