,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,0.11,0.105,0.105,0.11,0.11,9523.0
1,2019-09-17,0.11,0.11,0.11,0.11,0.11,0.0
2,2019-09-18,0.11,0.11,0.11,0.11,0.11,14960.0
3,2019-09-19,0.11,0.11,0.11,0.11,0.11,0.0
4,2019-09-20,0.11,0.11,0.11,0.11,0.11,1000000.0
5,2019-09-23,0.11,0.105,0.105,0.11,0.11,36053.0
6,2019-09-24,0.11,0.11,0.11,0.11,0.11,0.0
7,2019-09-25,0.11,0.108,0.105,0.108,0.108,474497.0
8,2019-09-26,0.108,0.108,0.108,0.108,0.108,0.0
9,2019-09-27,0.11,0.105,0.105,0.11,0.11,580000.0
10,2019-09-30,0.11,0.11,0.11,0.11,0.11,0.0
11,2019-10-01,0.11,0.11,0.11,0.11,0.11,0.0
12,2019-10-02,0.11,0.11,0.11,0.11,0.11,0.0
13,2019-10-03,0.11,0.11,0.11,0.11,0.11,0.0
14,2019-10-04,0.11,0.106,0.1,0.11,0.11,11980874.0
15,2019-10-07,0.11,0.11,0.11,0.11,0.11,0.0
16,2019-10-08,0.11,0.1,0.1,0.11,0.11,15000000.0
17,2019-10-09,0.11,0.11,0.105,0.11,0.11,825247.0
18,2019-10-10,0.11,0.1,0.1,0.11,0.11,5693564.0
19,2019-10-11,0.11,0.105,0.105,0.11,0.11,2900000.0
20,2019-10-14,0.11,0.11,0.105,0.108,0.108,350935.0
21,2019-10-15,0.11,0.105,0.105,0.11,0.11,2735.0
22,2019-10-16,0.11,0.11,0.11,0.11,0.11,0.0
23,2019-10-17,0.11,0.11,0.11,0.11,0.11,0.0
24,2019-10-18,0.11,0.114,0.105,0.11,0.11,10088105.0
25,2019-10-21,0.11,0.11,0.11,0.11,0.11,1.0
26,2019-10-22,0.11,0.105,0.105,0.11,0.11,40000.0
27,2019-10-23,0.11,0.11,0.11,0.11,0.11,0.0
28,2019-10-24,0.11,0.11,0.11,0.11,0.11,0.0
29,2019-10-25,0.11,0.11,0.11,0.11,0.11,0.0
30,2019-10-28,0.11,0.11,0.11,0.11,0.11,0.0
31,2019-10-29,0.11,0.11,0.11,0.11,0.11,0.0
32,2019-10-30,0.11,0.11,0.11,0.11,0.11,0.0
