,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,0.385,0.37,0.35,0.36,0.36,591217.0
1,2019-09-17,0.36,0.369,0.33,0.375,0.375,1637481.0
2,2019-09-18,0.375,0.375,0.375,0.375,0.375,0.0
3,2019-09-19,0.375,0.35,0.35,0.375,0.375,50000.0
4,2019-09-20,0.375,0.35,0.325,0.36,0.36,579935.0
5,2019-09-23,0.36,0.35,0.35,0.36,0.36,139499.0
6,2019-09-24,0.36,0.35,0.325,0.36,0.36,494563.0
7,2019-09-25,0.36,0.35,0.31,0.335,0.335,2267662.0
8,2019-09-26,0.335,0.322,0.32,0.335,0.335,134326.0
9,2019-09-27,0.335,0.335,0.335,0.335,0.335,0.0
10,2019-09-30,0.335,0.32,0.2,0.225,0.225,17941080.0
11,2019-10-01,0.225,0.23,0.184,0.19,0.19,10693335.0
12,2019-10-02,0.19,0.2,0.19,0.195,0.195,3276119.0
13,2019-10-03,0.195,0.228,0.194,0.2,0.2,3020873.0
14,2019-10-04,0.2,0.22,0.17,0.19,0.19,27045779.0
15,2019-10-07,0.19,0.19,0.19,0.19,0.19,0.0
16,2019-10-08,0.19,0.192,0.151,0.16,0.16,8900103.0
17,2019-10-09,0.155,0.17,0.15,0.16,0.16,3070261.0
18,2019-10-10,0.16,0.17,0.155,0.16,0.16,319987.0
19,2019-10-11,0.16,0.15,0.15,0.16,0.16,250000.0
20,2019-10-14,0.16,0.155,0.15,0.16,0.16,629000.0
21,2019-10-15,0.16,0.15,0.15,0.16,0.16,166667.0
22,2019-10-16,0.16,0.15,0.14,0.155,0.155,3292486.0
23,2019-10-17,0.155,0.142,0.142,0.155,0.155,428360.0
24,2019-10-18,0.155,0.142,0.138,0.15,0.15,1650694.0
25,2019-10-21,0.15,0.135,0.135,0.145,0.145,300000.0
26,2019-10-22,0.145,0.14,0.13,0.14,0.14,1247443.0
27,2019-10-23,0.14,0.14,0.14,0.14,0.14,0.0
28,2019-10-24,0.14,0.138,0.13,0.14,0.14,588077.0
29,2019-10-25,0.14,0.14,0.14,0.14,0.14,1000000.0
30,2019-10-28,0.14,0.14,0.123,0.135,0.135,2887493.0
31,2019-10-29,0.135,0.13,0.12,0.125,0.125,4784550.0
32,2019-10-30,0.125,0.139,0.122,0.14,0.14,12197290.0
33,2019-10-31,0.14,0.15,0.146,0.145,0.145,2224177.0
34,2019-11-01,0.145,0.15,0.141,0.145,0.145,1560028.0
35,2019-11-04,0.15,0.152,0.15,0.165,0.165,1662676.0
36,2019-11-05,0.165,0.15,0.15,0.165,0.165,316787.0
37,2019-11-06,0.165,0.15,0.15,0.165,0.165,134837.0
38,2019-11-07,0.165,0.15,0.15,0.165,0.165,3000.0
39,2019-11-08,0.165,0.173,0.15,0.17,0.17,2162355.0
40,2019-11-11,0.17,0.18,0.16,0.17,0.17,1126354.0
41,2019-11-12,0.17,0.167,0.167,0.17,0.17,894916.0
42,2019-11-13,0.17,0.18,0.1,0.105,0.105,36571647.0
43,2019-11-14,0.105,0.11,0.1,0.11,0.11,7794998.0
44,2019-11-15,0.11,0.12,0.11,0.12,0.12,2864957.0
45,2019-11-18,0.12,0.125,0.101,0.115,0.115,8870953.0
46,2019-11-19,0.115,0.112,0.112,0.115,0.115,435272.0
