,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-30,24.25,24.15,23.5,23.5,23.5,780692.0
1,2019-10-01,23.5,25.0,23.5,24.75,24.75,629632.0
2,2019-10-02,24.75,25.0,23.625,24.0,24.0,1122863.0
3,2019-10-03,23.75,24.450001,23.5,24.0,24.0,389537.0
4,2019-10-04,24.0,24.0,23.790001,24.0,24.0,180332.0
5,2019-10-07,24.0,24.5,23.75,24.5,24.5,181960.0
6,2019-10-08,24.0,25.0,23.5,24.75,24.75,639216.0
7,2019-10-09,24.75,24.9,24.25,24.5,24.5,170759.0
8,2019-10-10,24.5,25.0,24.26,24.5,24.5,206325.0
9,2019-10-11,24.5,24.9,24.0,24.5,24.5,771172.0
10,2019-10-14,24.25,24.9,23.5,23.75,23.75,597916.0
11,2019-10-15,24.0,24.375,23.6,23.75,23.75,217536.0
12,2019-10-16,23.75,24.35,23.6,24.0,24.0,153942.0
13,2019-10-17,24.0,25.0,24.0,24.5,24.5,459357.0
14,2019-10-18,24.25,26.5,24.4,25.25,25.25,1705189.0
15,2019-10-21,25.75,27.5,25.6,26.0,26.0,2946391.0
16,2019-10-22,26.0,26.200001,24.629998999999998,24.9,24.9,868588.0
17,2019-10-23,24.75,25.799999,24.950001,25.0,25.0,411038.0
18,2019-10-24,25.0,25.700001,24.82,25.0,25.0,350060.0
19,2019-10-25,25.0,26.0,24.860001,25.1,25.1,2542235.0
20,2019-10-28,25.5,26.0,24.665001,25.0,25.0,183292.0
21,2019-10-29,25.0,24.860001,24.5,24.75,24.75,104454.0
22,2019-10-30,24.75,25.0,24.5,25.0,25.0,52646.0
23,2019-10-31,24.5,25.200001,24.0,25.0,25.0,156958.0
24,2019-11-01,25.0,25.200001,24.709999,25.0,25.0,105681.0
25,2019-11-04,25.0,25.190001000000002,24.65,25.0,25.0,2943.0
26,2019-11-05,25.0,24.889999,22.0,22.5,22.5,1284517.0
27,2019-11-06,22.25,23.299999,22.495001000000002,23.0,23.0,339722.0
28,2019-11-07,23.0,23.5,22.549999,23.0,23.0,144821.0
29,2019-11-08,23.0,23.0,22.0,22.25,22.25,341845.0
30,2019-11-11,22.25,22.35,22.0,22.0,22.0,860384.0
31,2019-11-12,22.25,22.167999,21.6,21.75,21.75,449125.0
32,2019-11-13,21.75,21.75,21.5,21.5,21.5,232875.0
33,2019-11-14,21.75,21.725,21.0,21.5,21.5,345418.0
34,2019-11-15,21.5,21.450001,21.0,21.5,21.5,50288.0
35,2019-11-18,21.5,21.450001,20.514999,21.0,21.0,141026.0
36,2019-11-19,21.0,21.0,20.5,20.5,20.5,176684.0
37,2019-11-20,20.5,20.75,20.044001,20.5,20.5,93682.0
38,2019-11-21,20.5,20.9,20.1,20.75,20.75,212293.0
39,2019-11-22,20.75,21.398001,20.65,21.0,21.0,81532.0
40,2019-11-25,21.0,21.0,20.1,20.75,20.75,235075.0
41,2019-11-26,20.75,20.84,20.0,20.5,20.5,196254.0
42,2019-11-27,20.5,22.031,20.02,20.5,20.5,624075.0
43,2019-11-28,20.5,20.5,20.02,20.5,20.5,73082.0
44,2019-11-29,20.5,20.450001,20.0,20.5,20.5,46039.0
45,2019-12-02,20.25,20.225,19.5,19.75,19.75,446970.0
46,2019-12-03,19.75,20.0,19.5,19.5,19.5,341726.0
47,2019-12-04,19.625,19.75,19.625,19.75,19.75,215872.0
48,2019-12-05,19.75,21.0,19.629998999999998,20.5,20.5,2096963.0
49,2019-12-06,20.5,21.9,20.360001,21.25,21.25,198071.0
50,2019-12-09,21.0,21.4,21.042999,21.0,21.0,107823.0
51,2019-12-10,21.0,21.200001,20.200001,20.700001,20.700001,218558.0
52,2019-12-11,20.5,20.67,20.0,20.0,20.0,5312900.0
53,2019-12-12,20.25,21.424999,20.0,21.25,21.25,646623.0
54,2019-12-13,21.25,21.1,21.1,21.25,21.25,44569.0
55,2019-12-16,21.25,21.014999,20.5,20.5,20.5,1373027.0
56,2019-12-17,21.25,21.280001000000002,20.5,21.0,21.0,588860.0
57,2019-12-18,21.0,21.25,20.65,21.0,21.0,24400.0
58,2019-12-19,21.0,21.1,20.5,20.5,20.5,3086004.0
59,2019-12-20,20.5,21.0,20.125,21.0,21.0,192686.0
60,2019-12-23,20.5,21.5,20.6,21.0,21.0,3313676.0
61,2019-12-24,21.0,21.290001,21.049999,21.0,21.0,50800.0
62,2019-12-27,21.0,21.4,20.700001,21.1,21.1,844126.0
63,2019-12-30,21.1,21.25,20.700001,21.1,21.1,274565.0
64,2019-12-31,21.1,21.25,20.825001,21.25,21.25,494361.0
65,2020-01-02,21.25,21.5,21.0,21.1,21.1,909411.0
66,2020-01-03,21.5,22.0,21.610001,21.9,21.9,762221.0
67,2020-01-06,21.75,23.0,21.700001,22.5,22.5,3223848.0
68,2020-01-07,22.5,22.5,21.65,22.0,22.0,594270.0
69,2020-01-08,22.0,23.0,21.950001,22.6,22.6,1745711.0
70,2020-01-09,22.6,22.502001,21.700001,22.0,22.0,3326879.0
71,2020-01-10,21.75,22.5,21.799999,22.1,22.1,200067.0
72,2020-01-13,22.1,22.5,21.799999,22.25,22.25,445248.0
73,2020-01-14,22.75,23.0,22.0,22.5,22.5,1899106.0
74,2020-01-15,22.5,22.75,22.200001,22.5,22.5,1060343.0
75,2020-01-16,22.5,23.0,22.375,22.5,22.5,349957.0
76,2020-01-17,22.5,23.0,22.6,22.75,22.75,212828.0
77,2020-01-20,22.75,25.5,22.799999,24.0,24.0,2764826.0
78,2020-01-21,23.75,24.049999,23.65,23.75,23.75,287970.0
79,2020-01-22,23.75,24.5,23.575001,24.0,24.0,425017.0
80,2020-01-23,23.75,23.799999,23.471001,23.75,23.75,284332.0
81,2020-01-24,23.75,23.75,23.0,23.5,23.5,552913.0
82,2020-01-27,23.0,23.5,22.709999,23.25,23.25,374050.0
83,2020-01-28,23.25,23.5,23.0,23.0,23.0,888611.0
84,2020-01-29,23.25,23.01,23.0,23.0,23.0,185472.0
85,2020-01-30,23.5,23.9,23.01,23.5,23.5,454335.0
86,2020-01-31,23.5,24.0,23.4,23.75,23.75,499948.0
87,2020-02-03,24.25,24.4,23.15,23.5,23.5,563947.0
88,2020-02-04,23.5,24.0,23.0,24.0,24.0,452186.0
89,2020-02-05,23.5,23.700001,23.0,23.25,23.25,369737.0
90,2020-02-06,23.25,23.5,23.0,23.25,23.25,26308.0
91,2020-02-07,23.25,23.5,23.0,23.25,23.25,417206.0
92,2020-02-10,23.5,23.5,23.0,23.0,23.0,1339300.0
93,2020-02-11,23.0,23.0,23.0,23.0,23.0,0.0
94,2020-02-12,23.25,23.99,23.0,23.75,23.75,226561.0
95,2020-02-13,23.75,24.5,23.610001,24.25,24.25,415807.0
96,2020-02-14,24.25,24.5,24.0,24.25,24.25,227785.0
97,2020-02-17,24.25,26.495001000000002,24.15,26.0,26.0,1629401.0
98,2020-02-18,26.25,26.628,25.799999,26.0,26.0,940693.0
99,2020-02-19,26.0,27.0,26.0,26.0,26.0,2440679.0
100,2020-02-20,26.0,27.0,26.055,27.0,27.0,1695170.0
101,2020-02-21,26.75,29.0,26.5,28.0,28.0,2251448.0
102,2020-02-24,28.0,30.0,27.532,28.299999,28.299999,1784302.0
103,2020-02-25,28.0,28.375,26.5,26.5,26.5,1344340.0
104,2020-02-26,26.75,26.9,24.75,25.5,25.5,1704986.0
105,2020-02-27,25.5,26.4,24.888,25.25,25.25,1438518.0
106,2020-02-28,25.25,25.0,21.5,22.25,22.25,3972733.0
107,2020-03-02,22.25,23.0,22.0,22.5,22.5,1688700.0
108,2020-03-03,22.5,25.190001000000002,22.200001,24.5,24.5,882134.0
109,2020-03-04,24.5,26.5,25.0,26.1,26.1,551033.0
110,2020-03-05,26.25,27.0,26.0,26.25,26.25,342925.0
111,2020-03-06,26.5,28.433001,26.549999,27.5,27.5,1172434.0
112,2020-03-09,27.5,27.5,24.4,25.200001,25.200001,2137633.0
113,2020-03-10,25.25,26.964001,25.125,26.0,26.0,353441.0
114,2020-03-11,26.25,26.6,25.5,26.25,26.25,164446.0
115,2020-03-12,25.25,25.25,22.0,22.0,22.0,1763368.0
116,2020-03-13,22.5,23.299999,21.916,22.6,22.6,574538.0
117,2020-03-16,22.25,22.0,18.5,18.5,18.5,1344922.0
118,2020-03-17,20.0,20.5,18.075001,19.700001,19.700001,806207.0
119,2020-03-18,19.75,20.0,19.5,19.75,19.75,963697.0
120,2020-03-19,19.75,19.735001,19.0,19.25,19.25,1055174.0
121,2020-03-20,19.25,22.0,19.0,19.700001,19.700001,1167488.0
122,2020-03-23,19.75,20.424999,18.5,19.75,19.75,576236.0
123,2020-03-24,19.75,23.67,20.200001,22.700001,22.700001,1319064.0
124,2020-03-25,22.75,22.9,21.5,22.0,22.0,469598.0
125,2020-03-26,22.0,22.299999,21.0,22.0,22.0,318588.0
126,2020-03-27,22.0,22.5,21.655001000000002,22.0,22.0,148460.0
127,2020-03-30,22.0,22.5,21.5,22.0,22.0,126840.0
128,2020-03-31,22.0,22.5,21.5,22.0,22.0,218768.0
129,2020-04-01,22.0,22.0,21.5,22.0,22.0,294582.0
130,2020-04-02,21.75,22.5,21.562,22.25,22.25,239022.0
131,2020-04-03,22.25,23.0,22.125,23.0,23.0,196475.0
132,2020-04-06,23.0,24.225,22.5,22.75,22.75,970416.0
133,2020-04-07,22.75,24.5,22.549999,24.5,24.5,1246793.0
134,2020-04-08,23.75,25.5,22.549999,24.0,24.0,199586.0
135,2020-04-09,24.0,26.5,24.254998999999998,26.0,26.0,876358.0
136,2020-04-14,26.0,28.5,26.6,27.0,27.0,3627539.0
137,2020-04-15,27.0,27.450001,25.5,26.1,26.1,833984.0
138,2020-04-16,26.0,28.0,25.049999,26.5,26.5,2060913.0
139,2020-04-17,26.5,26.9,25.5,26.0,26.0,3059039.0
140,2020-04-20,25.25,25.6,24.0,25.1,25.1,772906.0
141,2020-04-21,24.5,24.9,24.0,24.75,24.75,582193.0
142,2020-04-22,24.75,27.0,24.5,26.0,26.0,688081.0
143,2020-04-23,26.25,27.0,25.65,26.6,26.6,1118042.0
144,2020-04-24,26.5,28.725,26.5,28.0,28.0,1812900.0
145,2020-04-27,28.0,29.1,28.0,28.5,28.5,2216024.0
146,2020-04-28,28.5,28.450001,27.0,27.5,27.5,983365.0
147,2020-04-29,28.0,28.200001,27.26,28.0,28.0,782180.0
148,2020-04-30,28.0,29.0,27.0,28.0,28.0,1079482.0
149,2020-05-01,27.25,27.243999,25.625,26.75,26.75,1108460.0
150,2020-05-04,26.75,27.195,26.299999,26.700001,26.700001,279941.0
151,2020-05-05,26.75,27.299999,26.0,26.75,26.75,540049.0
152,2020-05-06,26.75,28.4,27.0,28.0,28.0,971690.0
153,2020-05-07,28.0,28.5,27.0,27.5,27.5,424724.0
