,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-30,28.1,28.4,26.215,26.700001,26.700001,1582503.0
1,2019-10-01,26.6,27.354,25.25,26.0,26.0,871427.0
2,2019-10-02,26.0,26.167999,25.200001,26.0,26.0,164567.0
3,2019-10-03,25.5,26.0,25.200001,25.799999,25.799999,152415.0
4,2019-10-04,25.799999,26.4,25.0,25.799999,25.799999,421261.0
5,2019-10-07,25.5,26.441,24.5,24.5,24.5,514689.0
6,2019-10-08,24.5,26.327999,24.5,25.0,25.0,540136.0
7,2019-10-09,24.6,25.249001,23.799999,24.9,24.9,714652.0
8,2019-10-10,23.799999,25.242001000000002,23.799999,24.4,24.4,149665.0
9,2019-10-11,23.9,24.771998999999997,23.5,24.25,24.25,786131.0
10,2019-10-14,24.700001,26.0,23.5,26.0,26.0,509651.0
11,2019-10-15,26.0,26.0,23.5,25.0,25.0,428827.0
12,2019-10-16,24.0,24.85,24.0,24.5,24.5,289941.0
13,2019-10-17,24.5,24.5,23.700001,24.4,24.4,472717.0
14,2019-10-18,23.799999,24.483,23.4,23.799999,23.799999,909031.0
15,2019-10-21,23.799999,24.118,22.6,23.950001,23.950001,1785637.0
16,2019-10-22,24.0,24.275,23.485001,24.1,24.1,383913.0
17,2019-10-23,23.4,23.941999,23.299999,23.6,23.6,363228.0
18,2019-10-24,24.0,25.299999,23.5,23.9,23.9,1651528.0
19,2019-10-25,24.1,24.622,23.9,24.200001,24.200001,265478.0
20,2019-10-28,23.9,24.622,23.6,24.0,24.0,134397.0
21,2019-10-29,23.5,23.813,23.4,23.4,23.4,40358.0
22,2019-10-30,23.200001,23.844998999999998,22.6,22.85,22.85,573517.0
23,2019-10-31,23.4,24.575001,22.931,24.299999,24.299999,1065989.0
24,2019-11-01,24.1,24.612,23.976999,24.0,24.0,341924.0
25,2019-11-04,23.6,24.403,23.079,23.700001,23.700001,706962.0
26,2019-11-05,24.0,24.049999,23.0,23.0,23.0,132963.0
27,2019-11-06,23.200001,23.57,21.0,23.299999,23.299999,3954836.0
28,2019-11-07,22.200001,23.450001,22.0,22.700001,22.700001,975855.0
29,2019-11-08,22.6,23.408001000000002,22.5,23.0,23.0,354687.0
30,2019-11-11,23.4,24.292,23.051001,24.0,24.0,1350295.0
31,2019-11-12,23.5,26.860001,23.5,25.700001,25.700001,2904907.0
32,2019-11-13,26.4,27.9,25.6,27.65,27.65,1409689.0
33,2019-11-14,28.0,30.0,27.5,29.0,29.0,2436090.0
34,2019-11-15,28.1,29.700001,28.0,28.0,28.0,679461.0
35,2019-11-18,27.5,28.4,27.5,27.9,27.9,320363.0
36,2019-11-19,28.1,28.5,27.622,28.5,28.5,584603.0
37,2019-11-20,27.5,29.700001,27.5,28.0,28.0,541205.0
38,2019-11-21,29.4,29.5,28.0,28.75,28.75,966008.0
39,2019-11-22,29.1,29.9,28.0,29.0,29.0,688400.0
