,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,285.0,291.0,283.0,287.0,281.588318,34736
1,2019-09-17,288.0,288.0,281.552002,285.0,279.626038,39589
2,2019-09-18,288.0,288.0,283.442993,285.0,279.626038,150600
3,2019-09-19,280.0,289.0,280.0,287.0,281.588318,163945
4,2019-09-20,283.0,288.0,282.605011,288.0,282.569458,132791
5,2019-09-23,287.0,287.0,284.5,287.0,281.588318,65313
6,2019-09-24,286.0,286.0,283.0,284.0,278.644897,61442
7,2019-09-25,284.0,287.600006,277.31601,280.5,275.210876,1828710
8,2019-09-26,280.0,281.75,276.72000099999997,281.5,276.192047,642534
9,2019-09-27,285.0,285.0,280.0,285.0,279.626038,38305
10,2019-09-30,285.0,285.670013,279.0,282.0,276.682587,33714
11,2019-10-01,282.0,282.0,279.200012,282.0,276.682587,305747
12,2019-10-02,278.0,280.0,273.0,273.0,267.852295,21315
13,2019-10-03,276.0,280.0,273.25,280.0,274.72033700000003,89492
14,2019-10-04,282.0,283.0,274.320007,283.0,277.663757,81726
15,2019-10-07,284.0,289.0,283.100006,289.0,283.550598,76329
16,2019-10-08,289.0,289.0,285.0,285.0,279.626038,3151
17,2019-10-09,282.0,285.75,278.0,278.0,272.758026,51914
18,2019-10-10,282.0,283.5,280.0,282.0,276.682587,48654
19,2019-10-11,278.0,282.0,276.0,278.5,273.248596,459845
20,2019-10-14,277.0,282.0,274.0,277.0,271.776886,149257
21,2019-10-15,275.0,280.0,274.678986,280.0,274.72033700000003,123296
22,2019-10-16,282.0,282.0,275.0,275.0,269.814606,13749
23,2019-10-17,275.0,278.0,274.160004,277.0,271.776886,48870
24,2019-10-18,275.0,275.0,267.674988,275.5,270.30517599999996,28377
25,2019-10-21,274.0,275.5,274.0,273.5,268.342865,14112
26,2019-10-22,274.0,274.040009,273.0,273.5,268.342865,9120
27,2019-10-23,273.0,277.0,272.569,274.0,268.833466,59363
28,2019-10-24,275.0,278.0,274.66299399999997,278.0,272.758026,190311
29,2019-10-25,279.25,279.25,276.440002,278.0,272.758026,3047
30,2019-10-28,277.0,280.0,276.440002,278.0,272.758026,1959
31,2019-10-29,277.0,279.0,274.0,278.5,273.248596,283828
32,2019-10-30,276.0,282.0,276.0,280.0,274.72033700000003,45266
33,2019-10-31,282.0,282.0,276.23999,282.0,276.682587,115580
34,2019-11-01,283.0,287.0,278.440002,287.0,281.588318,91385
35,2019-11-04,285.0,288.0,279.769989,286.5,281.097748,69077
36,2019-11-05,280.0,286.959991,279.359985,280.0,274.72033700000003,24540
37,2019-11-06,279.0,288.0,279.0,286.5,281.097748,124598
38,2019-11-07,291.0,292.5,286.666992,289.5,284.041168,50728
39,2019-11-08,292.0,292.5,287.0,292.0,286.494019,124806
40,2019-11-11,291.0,293.0,288.0,293.0,287.475189,79880
41,2019-11-12,290.666992,291.890015,290.666992,291.5,286.003479,100325
42,2019-11-13,287.0,293.0,286.700012,293.0,287.475189,111241
43,2019-11-14,291.0,291.75,286.0,291.0,285.512909,67215
44,2019-11-15,289.0,289.833008,289.0,288.0,282.569458,3698
45,2019-11-18,294.0,294.0,289.166992,289.0,283.550598,18995
46,2019-11-19,293.0,293.0,286.5,289.5,284.041168,21214
47,2019-11-20,293.0,294.0,286.333008,294.0,288.456329,32974
48,2019-11-21,289.5,289.5,289.5,289.5,284.041168,0
49,2019-11-22,286.0,291.25,286.0,290.5,285.022308,8907
50,2019-11-25,285.0,292.75,285.0,285.0,279.626038,5622
51,2019-11-26,294.0,294.0,286.320007,294.0,288.456329,9088
52,2019-11-27,294.0,297.78799399999997,289.23999,297.0,291.39975,23797
53,2019-11-28,289.320007,289.320007,289.0,292.5,286.984619,8964
54,2019-11-29,289.100006,292.25,289.100006,290.0,284.531769,18351
55,2019-12-02,295.0,295.0,289.22000099999997,288.0,282.569458,41866
56,2019-12-03,284.0,287.399994,283.0,285.0,279.626038,16762
57,2019-12-04,288.0,288.0,284.200012,287.0,281.588318,27576
58,2019-12-05,285.0,287.0,281.0,285.0,279.626038,154441
59,2019-12-06,284.0,285.0,280.0,285.0,279.626038,132391
60,2019-12-09,285.700012,285.700012,283.899994,284.0,278.644897,12247
61,2019-12-10,282.0,282.0,279.450012,281.5,276.192047,218065
62,2019-12-11,281.0,284.0,279.0,282.5,277.173187,110096
63,2019-12-12,283.0,287.0,278.549988,287.0,281.588318,45958
64,2019-12-13,284.0,287.97000099999997,283.959991,284.0,278.644897,1918672
65,2019-12-16,288.0,290.0,286.100006,290.0,284.531769,762676
66,2019-12-17,289.0,291.0,285.25,288.0,282.569458,77939
67,2019-12-18,292.0,300.299988,289.149994,291.5,286.003479,26163
68,2019-12-19,289.0,291.600006,289.0,290.0,284.531769,185640
69,2019-12-20,292.0,295.0,290.440002,295.0,289.437469,110646
70,2019-12-23,293.0,294.799988,291.440002,293.5,287.965759,7056
71,2019-12-24,292.0,293.799988,290.440002,293.5,287.965759,9335
72,2019-12-27,290.0,294.75,290.0,290.0,284.531769,2838
73,2019-12-30,294.0,295.0,292.22000099999997,294.0,288.456329,36863
74,2019-12-31,291.440002,291.440002,290.549988,292.5,286.984619,3062
75,2020-01-02,292.200012,295.0,291.429993,293.0,287.475189,28509
76,2020-01-03,295.0,295.0,291.61499,295.0,289.437469,15440
77,2020-01-06,290.875,293.375,289.25,292.0,286.494019,40599
78,2020-01-07,291.0,294.625,291.0,292.0,286.494019,84497
79,2020-01-08,291.0,292.559998,290.640015,291.0,285.512909,13645
80,2020-01-09,294.0,299.0,289.0,299.0,293.362061,89601
81,2020-01-10,293.0,297.542999,293.0,296.5,290.90918,27644
82,2020-01-13,297.0,300.0,293.299988,297.0,291.39975,51571
83,2020-01-14,297.0,300.0,296.399994,297.0,291.39975,28904
84,2020-01-15,297.0,301.0,297.0,301.0,295.324341,55853
85,2020-01-16,297.0,302.0,297.0,297.0,291.39975,40437
86,2020-01-17,299.0,304.0,298.5,304.0,298.267761,41116
87,2020-01-20,304.0,305.0,295.0,297.0,291.39975,51897
88,2020-01-21,296.0,299.585999,295.600006,298.0,292.38088999999997,16672
89,2020-01-22,301.0,302.0,297.0,302.0,296.305481,55522
90,2020-01-23,296.0,302.166992,295.0,295.0,289.437469,47171
91,2020-01-24,296.0,299.549988,295.0,295.0,289.437469,136146
92,2020-01-27,292.0,292.200012,287.600006,288.0,282.569458,24817
93,2020-01-28,290.0,294.0,288.600006,291.0,285.512909,141901
94,2020-01-29,293.0,294.0,289.0,294.0,288.456329,98138
95,2020-01-30,292.0,292.0,285.350006,292.0,286.494019,31102
96,2020-01-31,290.0,290.880005,286.0,288.0,282.569458,190539
97,2020-02-03,286.0,292.0,285.0,292.0,286.494019,115085
98,2020-02-04,291.880005,293.399994,287.333008,293.0,287.475189,30870
99,2020-02-05,293.0,298.0,293.0,295.0,289.437469,47431
100,2020-02-06,298.950012,299.585999,296.614014,298.5,292.87149,31394
101,2020-02-07,302.0,302.0,295.0,296.0,290.41864,53843
