,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,4.8975,4.9045,4.896,4.9005,4.821801,254842.0
1,2019-09-17,4.9145,4.922,4.9095,4.92175,4.84271,62262.0
2,2019-09-18,4.934,4.9445,4.934,4.9415,4.862143,63148.0
3,2019-09-19,4.9345,4.951,4.9345,4.946,4.866569999999999,18682.0
4,2019-09-20,4.9685,4.9685,4.95,4.9555,4.875918,9324.0
5,2019-09-23,4.9805,4.9955,4.9805,4.9845,4.904452,3019.0
6,2019-09-24,4.981,4.989,4.981,4.98525,4.90519,111746.0
7,2019-09-25,4.9935,4.9935,4.9775,4.9665,4.886741000000001,251197.0
8,2019-09-26,4.978,4.9795,4.9725,4.97025,4.8904309999999995,12491.0
9,2019-09-27,4.9725,4.975,4.97,4.975,4.895104,111836.0
10,2019-09-30,4.97,4.975,4.97,4.97225,4.892399,22458.0
11,2019-10-01,4.966,4.997,4.966,4.99725,4.916997,253844.0
12,2019-10-02,4.997,4.997,4.984,4.98625,4.906174,78100.0
13,2019-10-03,4.993,5.011,4.9925,4.999,4.918719,273238.0
14,2019-10-04,5.015,5.024,5.015,5.024,4.943318,17666.0
15,2019-10-07,5.022,5.022,5.008,5.0125,4.932002,10199.0
16,2019-10-08,5.015,5.015,5.015,5.0075,4.9270830000000005,7102.0
17,2019-10-09,5.006,5.006,5.006,4.99725,4.916997,2746.0
18,2019-10-10,4.9955,4.9955,4.9955,4.97225,4.892399,25282.0
19,2019-10-11,4.9745,4.9745,4.9745,4.951,4.8714900000000005,523.0
20,2019-10-14,4.9785,4.9805,4.9775,4.97025,4.8904309999999995,37462.0
21,2019-10-15,4.9865,4.988,4.9865,4.96675,4.886987,8071.0
22,2019-10-16,4.975,4.978,4.9585,4.96675,4.886987,28164.0
23,2019-10-17,4.971,4.971,4.9545,4.97225,4.892399,19717.0
24,2019-10-18,4.972,4.985,4.9675,4.985,4.904944,20619.0
25,2019-10-21,4.9685,4.971,4.967,4.96625,4.886495,46462.0
26,2019-10-22,4.973,4.973,4.973,4.9765,4.89658,3510.0
27,2019-10-23,4.99,4.99,4.99,4.98225,4.902238,1105.0
28,2019-10-24,4.9835,4.985,4.9835,4.99,4.909863,7089.0
29,2019-10-25,4.98,4.988,4.98,4.988,4.907896,15002.0
30,2019-10-28,4.9695,4.9695,4.964,4.9615,4.8818220000000005,2698.0
31,2019-10-29,4.98,4.98,4.9635,4.965,4.885265,85264.0
32,2019-10-30,4.9575,4.9575,4.9575,4.95475,4.87518,994.0
33,2019-10-31,4.9755,4.9825,4.9755,4.98725,4.907158,9498.0
34,2019-11-01,4.985,4.985,4.985,4.98975,4.909617,625.0
35,2019-11-04,4.9915,4.9915,4.9915,4.982,4.901992,33827.0
36,2019-11-05,4.98,4.98,4.9755,4.94675,4.867309,250450.0
37,2019-11-06,4.954,4.954,4.954,4.95925,4.879608,526.0
38,2019-11-07,4.961,4.961,4.9455,4.954,4.874442,302103.0
39,2019-11-08,4.943,4.944,4.94,4.94,4.860666999999999,16783.0
40,2019-11-11,4.939,4.939,4.9285,4.927,4.847876,8846.0
41,2019-11-12,4.935,4.935,4.935,4.92275,4.843694,1116.0
42,2019-11-13,4.9395,4.9395,4.939,4.94275,4.863372,7123.0
43,2019-11-14,4.9575,4.9575,4.9575,4.967,4.887233,1261.0
44,2019-11-15,4.9745,4.9745,4.964,4.969,4.889201,90825.0
45,2019-11-18,4.9645,4.9645,4.9645,4.97575,4.895843,1746.0
46,2019-11-19,4.977,4.986,4.977,4.986,4.905928,60555.0
47,2019-11-20,4.994,4.994,4.994,4.98875,4.908633999999999,1087.0
48,2019-11-21,4.97975,4.97975,4.97975,4.97975,4.8997779999999995,0.0
49,2019-11-22,4.991,4.991,4.99,4.99,4.909863,31636.0
50,2019-11-25,4.9935,5.011,4.9935,5.008,4.927574,15858.0
51,2019-11-26,5.021,5.021,5.019,5.024,4.943318,61277.0
52,2019-11-27,5.024,5.024,5.006,5.0125,4.932002,67663.0
53,2019-11-28,5.02,5.025,5.018,5.0165,4.935938,41191.0
54,2019-11-29,5.017,5.02,5.015,5.011,4.930527,263642.0
55,2019-12-02,4.984,4.984,4.984,4.98625,4.906174,2500.0
56,2019-12-03,5.002,5.025,5.002,5.0255,4.944793,986.0
57,2019-12-04,5.015,5.015,5.015,5.0035,4.923147,1682.0
58,2019-12-05,5.02,5.02,5.018,5.008,4.927574,5020.0
59,2019-12-06,5.015,5.015,5.003,5.013,4.932494,299213.0
60,2019-12-09,5.019,5.02,5.016,5.0165,4.935938,30838.0
61,2019-12-10,5.019,5.019,5.003,5.0065,4.9260980000000005,15761.0
62,2019-12-11,5.015,5.018,5.013,5.021,4.940366,29988.0
63,2019-12-12,4.9855,4.9855,4.971,4.9555,4.915962,34859.0
64,2019-12-13,4.965,5.0,4.9575,5.0,4.960107,34226.0
65,2019-12-16,5.002,5.002,4.9795,4.9845,4.944731,58662.0
66,2019-12-17,4.99,4.9945,4.9799,4.977,4.937291,504272.0
67,2019-12-18,4.9875,4.9875,4.972,4.96975,4.930099,4219.0
68,2019-12-19,4.9695,4.977,4.9595,4.977,4.937291,124233.0
69,2019-12-20,4.9745,4.9745,4.9745,4.9745,4.934811,0.0
70,2019-12-23,4.985,4.985,4.9745,4.976,4.936298000000001,82667.0
71,2019-12-24,4.976,4.976,4.976,4.976,4.936298000000001,0.0
72,2019-12-27,4.9955,5.0,4.9955,5.0,4.960107,16518.0
73,2019-12-30,4.988,4.988,4.988,4.97875,4.939026999999999,1576.0
74,2019-12-31,4.989,4.989,4.989,4.99475,4.954899,2000.0
75,2020-01-02,4.97,5.005,4.97,4.9915,4.951675,2490.0
76,2020-01-03,5.007,5.009,4.9935,5.00225,4.962339,507634.0
77,2020-01-06,5.01,5.01,4.9935,4.98875,4.948947,511262.0
78,2020-01-07,4.9915,4.9915,4.9915,4.98325,4.943491000000001,2917.0
79,2020-01-08,4.9855,4.9865,4.979,4.982,4.942251000000001,25900.0
80,2020-01-09,4.975,4.975,4.9715,4.968,4.928362,23137.0
81,2020-01-10,4.996,5.009,4.9855,5.01,4.970027,34162.0
82,2020-01-13,4.998,4.998,4.998,4.998,4.9581230000000005,0.0
83,2020-01-14,5.001,5.001,5.001,4.9945,4.954651,5000.0
84,2020-01-15,5.011,5.013,5.01,5.0115,4.971515,23753.0
85,2020-01-16,5.01,5.01,5.01,5.01,4.970027,0.0
86,2020-01-17,5.003,5.018,5.003,5.018,4.977964,570564.0
87,2020-01-20,5.018,5.018,5.012,5.014,4.9739949999999995,6222.0
88,2020-01-21,5.028,5.028,5.028,5.0385,4.9983,1238.0
89,2020-01-22,5.039,5.051,5.034,5.0435,5.00326,14944.0
90,2020-01-23,5.05,5.05,5.049,5.0535,5.013180999999999,210506.0
91,2020-01-24,5.059,5.059,5.059,5.059,5.018637,15932.0
92,2020-01-27,5.073,5.082,5.06,5.0635,5.0231,13776.0
93,2020-01-28,5.084,5.084,5.066,5.064,5.0235970000000005,11715.0
94,2020-01-29,5.084,5.085,5.074,5.0785,5.037980999999999,83440.0
95,2020-01-30,5.088,5.088,5.085,5.078,5.037485,1786.0
96,2020-01-31,5.0885,5.0885,5.0885,5.0885,5.047901,0.0
97,2020-02-03,5.09,5.095,5.081,5.088,5.047405,27941.0
98,2020-02-04,5.083,5.083,5.08,5.079,5.038476999999999,26324.0
99,2020-02-05,5.068,5.078,5.068,5.074,5.033517,3934.0
100,2020-02-06,5.072,5.084,5.072,5.0775,5.036989,49802.0
101,2020-02-07,5.09,5.098,5.086,5.098,5.057325,301027.0
102,2020-02-10,5.095,5.103,5.095,5.098,5.057325,41341.0
103,2020-02-11,5.09,5.102,5.09,5.101,5.060301,31440.0
104,2020-02-12,5.086,5.091,5.086,5.088,5.047405,51641.0
105,2020-02-13,5.097,5.099,5.086,5.0875,5.046908999999999,20457.0
106,2020-02-14,5.099,5.104,5.099,5.104,5.0632779999999995,22062.0
107,2020-02-17,5.107,5.107,5.092,5.1,5.059309,13990.0
108,2020-02-18,5.119,5.119,5.107,5.112,5.071214,20328.0
109,2020-02-19,5.103,5.103,5.103,5.103,5.062285,0.0
110,2020-02-20,5.11,5.11,5.109,5.112,5.071214,3198.0
111,2020-02-21,5.132,5.134,5.127,5.133,5.092046,269385.0
112,2020-02-24,5.144,5.144,5.133,5.141,5.099982,8538.0
113,2020-02-25,5.136,5.138,5.131,5.1395,5.098495,38330.0
114,2020-02-26,5.12,5.128,5.103,5.128,5.087086,197475.0
115,2020-02-27,5.132,5.137,5.113,5.11,5.06923,766656.0
116,2020-02-28,5.097,5.116,5.096,5.104,5.0632779999999995,228039.0
117,2020-03-02,5.132,5.171,5.131,5.139,5.0979980000000005,184533.0
118,2020-03-03,5.143,5.178,5.143,5.1985,5.157023000000001,26462.0
119,2020-03-04,5.192,5.223,5.192,5.2085,5.166944,27447.0
120,2020-03-05,5.202,5.202,5.196,5.196,5.154543,130619.0
121,2020-03-06,5.223,5.245,5.208,5.221,5.179344,467276.0
122,2020-03-09,5.221,5.221,5.221,5.221,5.179344,0.0
123,2020-03-10,5.051,5.103,5.05,5.0505,5.010204,60933.0
124,2020-03-11,5.038,5.038,5.038,4.93825,4.89885,2849.0
125,2020-03-12,4.75,4.75,4.544,4.5775,4.5775,300988.0
126,2020-03-13,4.511,4.72,4.511,4.5625,4.5625,235475.0
127,2020-03-16,4.603,4.6175,4.4455,4.573,4.573,666848.0
128,2020-03-17,4.6,4.696,4.4815,4.58175,4.58175,88944.0
129,2020-03-18,4.2195,4.2265,4.2195,4.2265,4.2265,38213.0
130,2020-03-19,4.1205,4.231,4.022,4.0255,4.0255,2703781.0
131,2020-03-20,4.052,4.1375,4.052,4.143,4.143,636.0
132,2020-03-23,4.07,4.45,4.07,4.27875,4.27875,357987.0
133,2020-03-24,4.4715,4.522,4.4435,4.49975,4.49975,269787.0
134,2020-03-25,4.5395,4.6,4.5295,4.60175,4.60175,267615.0
135,2020-03-26,4.7405,4.7915,4.66,4.7915,4.7915,103110.0
136,2020-03-27,4.7095,4.7095,4.7095,4.686,4.686,2.0
137,2020-03-30,4.794,4.794,4.794,4.794,4.794,0.0
138,2020-03-31,4.798,4.8035,4.7695,4.7995,4.7995,69801.0
139,2020-04-01,4.73,4.73,4.7075,4.7285,4.7285,845.0
140,2020-04-02,4.6995,4.6995,4.6995,4.73375,4.73375,219.0
141,2020-04-03,4.7275,4.7365,4.679,4.69175,4.69175,19204.0
142,2020-04-06,4.6915,4.729,4.6915,4.752,4.752,36731.0
143,2020-04-07,4.775,4.8185,4.775,4.783,4.783,23188.0
