,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,1676.5,1694.0,1657.0,1676.0,1554.8474119999998,1879059.0
1,2019-09-17,1675.0,1675.0,1624.869995,1625.0,1507.534058,2537653.0
2,2019-09-18,1623.0,1637.0,1598.0,1614.0,1497.329224,1955108.0
3,2019-09-19,1611.0,1643.0,1602.0,1623.5,1506.142578,1570326.0
4,2019-09-20,1626.0,1626.0,1569.0,1582.0,1467.642456,4417380.0
5,2019-09-23,1579.0,1584.0,1539.0,1558.0,1445.377197,3861447.0
6,2019-09-24,1567.0,1567.5,1535.5,1540.0,1428.678345,1644329.0
7,2019-09-25,1529.0,1529.0,1484.0,1517.0,1407.341064,2315961.0
8,2019-09-26,1522.5,1533.0,1511.0,1519.5,1409.6604,2485014.0
9,2019-09-27,1522.5,1550.0,1516.5,1550.0,1437.955566,2431914.0
10,2019-09-30,1554.5,1567.5,1546.5,1558.0,1445.377197,2902957.0
11,2019-10-01,1567.5,1592.0,1558.0,1579.0,1464.8592529999999,2424818.0
12,2019-10-02,1560.5,1569.0,1545.5,1546.5,1434.708618,3656533.0
13,2019-10-03,1538.5,1538.5,1492.0,1511.0,1401.774658,3283300.0
14,2019-10-04,1529.0,1529.0,1503.5,1520.5,1410.588013,2488976.0
15,2019-10-07,1527.5,1550.0,1513.5,1543.5,1431.925415,1605900.0
16,2019-10-08,1559.5,1560.0,1529.0,1548.5,1436.564087,2492952.0
17,2019-10-09,1548.5,1558.5,1531.0,1546.0,1434.244751,4396930.0
18,2019-10-10,1518.0,1588.0,1486.26001,1577.0,1463.0039060000001,5197738.0
19,2019-10-11,1576.0,1596.5,1556.0,1595.5,1480.1665039999998,4091429.0
20,2019-10-14,1598.5,1606.0,1558.0,1600.0,1484.341187,1895030.0
21,2019-10-15,1600.0,1629.5,1599.0,1621.0,1503.823242,1773049.0
22,2019-10-16,1620.0,1629.0,1603.0,1614.5,1497.793091,1234288.0
23,2019-10-17,1614.5,1623.329956,1533.5,1533.5,1422.6483150000001,2698307.0
24,2019-10-18,1533.0,1555.0,1523.5,1538.5,1427.286865,1671633.0
25,2019-10-21,1549.5,1585.0,1537.0,1570.0,1456.509888,1574841.0
26,2019-10-22,1582.0,1582.0,1531.5,1548.0,1436.1000980000001,1711743.0
27,2019-10-23,1540.5,1565.0,1530.0,1560.5,1447.696533,1398130.0
28,2019-10-24,1556.5,1582.0,1555.0,1565.5,1452.335083,1916355.0
29,2019-10-25,1558.0,1575.5,1554.0,1575.5,1461.612183,1019111.0
30,2019-10-28,1575.0,1601.0,1554.680054,1601.0,1485.268921,1377789.0
31,2019-10-29,1588.5,1606.0,1584.5,1600.5,1484.805176,1464007.0
