,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,10.0,10.14,9.752,9.85,9.85,2668668.0
1,2019-09-17,9.82,9.9,9.09,9.9,9.9,3884021.0
2,2019-09-18,10.0,10.0,9.436,9.64,9.64,831571.0
3,2019-09-19,9.5,9.82,9.5,9.82,9.82,1339617.0
4,2019-09-20,9.81,10.0,9.747,9.95,9.95,13924714.0
5,2019-09-23,10.0,10.04,9.617,9.9,9.9,5164235.0
6,2019-09-24,9.8,9.94,9.63,9.67,9.67,3011204.0
7,2019-09-25,9.76,9.798,9.596,9.76,9.76,2978314.0
8,2019-09-26,10.08,10.08,9.62,9.62,9.62,2257654.0
9,2019-09-27,10.0,10.0,9.4,9.89,9.89,3100478.0
10,2019-09-30,10.06,10.06,9.48,9.67,9.67,1368967.0
11,2019-10-01,9.42,9.7,9.41,9.6,9.6,15961965.0
12,2019-10-02,9.6,9.92,9.6,9.8,9.8,1093914.0
13,2019-10-03,9.79,9.8,9.5,9.8,9.8,1367074.0
14,2019-10-04,9.9,9.9,9.51,9.86,9.86,1585941.0
15,2019-10-07,9.95,9.95,9.65,9.86,9.86,639814.0
16,2019-10-08,9.86,9.89,9.419,9.86,9.86,1008169.0
17,2019-10-09,10.04,10.04,9.463,9.8,9.8,2397465.0
18,2019-10-10,9.8,10.04,9.8,9.95,9.95,1948639.0
19,2019-10-11,10.0,10.0,9.63,9.67,9.67,2650318.0
20,2019-10-14,10.06,10.06,9.59,9.59,9.59,1200768.0
21,2019-10-15,9.5,9.68,9.5,9.67,9.67,1632389.0
22,2019-10-16,9.5,9.79,9.5,9.68,9.68,475134.0
23,2019-10-17,9.5,9.68,9.42,9.65,9.65,5901415.0
24,2019-10-18,9.46,9.779,9.46,9.58,9.58,39568432.0
25,2019-10-21,9.51,9.8,9.45,9.53,9.53,9057969.0
26,2019-10-22,9.64,9.678,9.35,9.43,9.43,2641163.0
27,2019-10-23,9.59,9.59,9.34,9.34,9.34,2355946.0
28,2019-10-24,9.45,9.52,9.317,9.52,9.52,3404949.0
29,2019-10-25,9.75,9.871,9.546,9.77,9.77,22736318.0
30,2019-10-28,9.77,9.98,9.546,9.7,9.7,11699676.0
31,2019-10-29,9.86,9.99,9.81,9.9,9.9,3637922.0
32,2019-10-30,9.7,10.0,9.7,9.87,9.87,2442088.0
33,2019-10-31,9.88,10.18,9.88,10.06,10.06,1606905.0
34,2019-11-01,9.8,10.128,9.74,9.75,9.75,3069251.0
35,2019-11-04,10.0,10.153,9.81,9.95,9.95,7794883.0
36,2019-11-05,9.75,10.06,9.75,9.9,9.9,243603867.0
37,2019-11-06,9.94,10.38,9.94,10.28,10.28,169925269.0
38,2019-11-07,10.26,10.559,10.178,10.48,10.48,6524163.0
39,2019-11-08,10.48,10.5,10.12,10.28,10.28,2771941.0
40,2019-11-11,10.26,10.339,10.06,10.1,10.1,2592256.0
41,2019-11-12,10.16,10.3,9.98,10.2,10.2,4554602.0
42,2019-11-13,10.0,10.28,10.0,10.2,10.2,1885517.0
43,2019-11-14,10.08,10.292,10.0,10.12,10.12,1965749.0
44,2019-11-15,10.12,10.254,10.1,10.1,10.1,3481241.0
45,2019-11-18,10.22,10.22,10.038,10.16,10.16,1157124.0
46,2019-11-19,10.28,10.28,10.01,10.08,10.08,2178317.0
47,2019-11-20,10.06,10.18,10.02,10.16,10.16,1259964.0
48,2019-11-21,10.02,10.14,10.02,10.06,10.06,1746386.0
49,2019-11-22,10.1,10.3,10.04,10.16,10.16,3204330.0
50,2019-11-25,10.26,10.28,10.009,10.06,10.06,2444416.0
51,2019-11-26,10.02,10.024,9.92,9.98,9.98,2759607.0
52,2019-11-27,10.1,10.3,9.95,10.22,10.22,9071245.0
53,2019-11-28,10.24,10.62,10.23,10.52,10.52,2184849.0
54,2019-11-29,10.6,10.829,10.52,10.7,10.7,5439656.0
55,2019-12-02,10.7,12.0,10.7,11.2,11.2,24478389.0
56,2019-12-03,11.24,11.7,11.06,11.06,11.06,12496284.0
57,2019-12-04,11.12,11.88,11.12,11.56,11.56,8001033.0
58,2019-12-05,11.32,11.7,11.32,11.5,11.5,15659685.0
59,2019-12-06,11.44,11.76,11.22,11.76,11.76,5433069.0
60,2019-12-09,11.7,11.76,11.64,11.66,11.66,4162402.0
61,2019-12-10,11.72,12.18,11.687,12.08,12.08,9579611.0
62,2019-12-11,12.36,13.02,12.0,12.9,12.9,26749356.0
63,2019-12-12,12.9,13.0,12.84,13.0,13.0,10237484.0
64,2019-12-13,12.9,12.975,12.82,12.96,12.96,10693583.0
65,2019-12-16,12.92,13.06,12.846,13.06,13.06,8580847.0
66,2019-12-17,13.08,13.22,13.0,13.16,13.16,6333749.0
67,2019-12-18,13.3,13.418,13.12,13.14,13.14,8044986.0
68,2019-12-19,13.24,13.293,13.08,13.08,13.08,6796300.0
69,2019-12-20,12.84,13.16,12.446,12.56,12.56,10495789.0
70,2019-12-23,12.62,12.62,12.32,12.32,12.32,4722331.0
71,2019-12-24,12.3,12.62,12.28,12.4,12.4,3901845.0
72,2019-12-27,12.4,12.66,12.32,12.62,12.62,3368866.0
73,2019-12-30,12.74,13.0,12.57,12.66,12.66,62019153.0
74,2019-12-31,12.62,12.978,12.62,12.74,12.74,3688625.0
75,2020-01-02,13.0,13.0,12.637,12.7,12.7,3569448.0
76,2020-01-03,13.0,13.0,12.7,12.8,12.8,8461569.0
77,2020-01-06,13.0,13.162,12.7,12.7,12.7,9677770.0
78,2020-01-07,13.2,13.2,12.72,12.92,12.92,15012589.0
79,2020-01-08,13.0,13.04,12.667,12.88,12.88,8477436.0
80,2020-01-09,12.9,13.071,12.69,12.7,12.7,5152689.0
81,2020-01-10,12.7,12.72,11.509,12.12,12.12,9746902.0
82,2020-01-13,12.1,12.72,11.509,12.4,12.4,7965231.0
83,2020-01-14,12.6,12.6,12.36,12.42,12.42,4327055.0
84,2020-01-15,12.42,12.64,12.42,12.46,12.46,6892228.0
85,2020-01-16,12.3,12.66,12.3,12.66,12.66,5571273.0
86,2020-01-17,12.66,13.0,12.5,12.8,12.8,21301087.0
87,2020-01-20,13.0,13.14,12.84,12.94,12.94,3353042.0
88,2020-01-21,12.94,13.0,12.82,12.98,12.98,9862279.0
89,2020-01-22,13.02,13.2,12.942,13.2,13.2,30367666.0
