,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,1.725,1.689,1.689,1.725,1.725,5012.0
1,2019-09-17,1.725,1.745,1.7,1.725,1.725,700000.0
2,2019-09-18,1.725,1.714,1.656,1.65,1.65,5505.0
3,2019-09-19,1.65,1.65,1.65,1.65,1.65,0.0
4,2019-09-20,1.7,1.625,1.538,1.575,1.575,364533.0
5,2019-09-23,1.575,1.54,1.538,1.575,1.575,56329.0
6,2019-09-24,1.575,1.585,1.503,1.575,1.575,230000.0
7,2019-09-25,1.575,1.58,1.503,1.575,1.575,707152.0
8,2019-09-26,1.575,1.51,1.51,1.575,1.575,199020.0
9,2019-09-27,1.575,1.57,1.5,1.575,1.575,114099.0
10,2019-09-30,1.55,1.575,1.506,1.55,1.55,3712120.0
11,2019-10-01,1.55,1.49,1.45,1.55,1.55,244898.0
12,2019-10-02,1.55,1.5,1.41,1.475,1.475,308000.0
13,2019-10-03,1.475,1.475,1.475,1.475,1.475,0.0
14,2019-10-04,1.475,1.438,1.35,1.425,1.425,1633494.0
15,2019-10-07,1.425,1.419,1.419,1.425,1.425,1510000.0
16,2019-10-08,1.425,1.401,1.401,1.425,1.425,15914.0
17,2019-10-09,1.425,1.413,1.401,1.425,1.425,16614.0
18,2019-10-10,1.425,1.45,1.41,1.45,1.45,1131750.0
19,2019-10-11,1.45,1.41,1.41,1.45,1.45,32500.0
20,2019-10-14,1.475,1.49,1.41,1.475,1.475,882418.0
21,2019-10-15,1.475,1.425,1.425,1.475,1.475,30.0
22,2019-10-16,1.475,1.425,1.4,1.475,1.475,309274.0
23,2019-10-17,1.475,1.47,1.4,1.45,1.45,311758.0
24,2019-10-18,1.45,1.45,1.45,1.45,1.45,0.0
25,2019-10-21,1.45,1.425,1.4,1.45,1.45,22426.0
26,2019-10-22,1.45,1.424,1.3,1.325,1.325,1201182.0
27,2019-10-23,1.325,1.301,1.301,1.325,1.325,22330.0
28,2019-10-24,1.325,1.35,1.3,1.325,1.325,283128.0
29,2019-10-25,1.325,1.301,1.301,1.325,1.325,9528.0
30,2019-10-28,1.325,1.35,1.301,1.325,1.325,590674.0
31,2019-10-29,1.325,1.31,1.301,1.325,1.325,223360.0
32,2019-10-30,1.325,1.34,1.304,1.325,1.325,200023.0
33,2019-10-31,1.325,1.304,1.304,1.325,1.325,100000.0
34,2019-11-01,1.325,1.335,1.262,1.3,1.3,238554.0
35,2019-11-04,1.175,1.298,1.155,1.275,1.275,1745098.0
36,2019-11-05,1.275,1.35,1.295,1.3,1.3,136090.0
37,2019-11-06,1.3,1.252,1.252,1.3,1.3,1700.0
38,2019-11-07,1.3,1.251,1.25,1.275,1.275,76495.0
39,2019-11-08,1.275,1.275,1.251,1.275,1.275,102538.0
40,2019-11-11,1.275,1.251,1.2,1.25,1.25,342188.0
41,2019-11-12,1.25,1.249,1.2,1.25,1.25,44712.0
42,2019-11-13,1.25,1.2,1.104,1.15,1.15,564895.0
43,2019-11-14,1.15,1.167,1.0,1.075,1.075,7764461.0
44,2019-11-15,1.075,1.14,1.035,1.075,1.075,124007.0
45,2019-11-18,1.075,1.2,1.04,1.15,1.15,984881.0
46,2019-11-19,1.15,1.19,1.1,1.15,1.15,428223.0
47,2019-11-20,1.15,1.11,1.1,1.15,1.15,179794.0
48,2019-11-21,1.15,1.172,1.1,1.15,1.15,344891.0
49,2019-11-22,1.15,1.2,1.1,1.15,1.15,3723911.0
50,2019-11-25,1.15,1.15,1.102,1.15,1.15,814989.0
51,2019-11-26,1.15,1.145,1.0,1.05,1.05,9346524.0
52,2019-11-27,1.05,1.098,1.055,1.05,1.05,370418.0
53,2019-11-28,1.05,1.095,1.033,1.05,1.05,20300.0
54,2019-11-29,1.05,1.095,1.033,1.05,1.05,205282.0
55,2019-12-02,1.05,1.09,1.038,1.05,1.05,441342.0
56,2019-12-03,1.05,1.088,1.021,1.05,1.05,439336.0
57,2019-12-04,1.05,1.085,1.011,1.05,1.05,55030.0
58,2019-12-05,1.05,1.079,1.0,1.05,1.05,482735.0
59,2019-12-06,1.05,1.078,1.005,1.05,1.05,623905.0
60,2019-12-09,1.05,1.062,1.005,1.05,1.05,660451.0
61,2019-12-10,1.05,1.05,1.0,1.025,1.025,4161716.0
62,2019-12-11,1.025,1.035,1.0,1.025,1.025,83227.0
63,2019-12-12,1.025,1.015,1.0,1.025,1.025,170370.0
64,2019-12-13,1.025,1.013,1.0,1.025,1.025,270788.0
65,2019-12-16,1.025,1.013,1.0,1.025,1.025,456674.0
66,2019-12-17,1.025,1.023,1.0,1.025,1.025,1230872.0
67,2019-12-18,1.025,1.02,1.001,1.025,1.025,399823.0
68,2019-12-19,1.025,1.019,1.0,1.025,1.025,402409.0
69,2019-12-20,1.025,1.015,1.0,1.025,1.025,181460.0
70,2019-12-23,1.025,1.014,1.0,1.025,1.025,747189.0
71,2019-12-24,1.025,1.01,1.01,1.025,1.025,79629.0
72,2019-12-27,1.025,1.014,1.001,1.025,1.025,19646.0
73,2019-12-30,1.025,1.014,1.014,1.025,1.025,33305.0
74,2019-12-31,1.025,1.03,1.03,1.025,1.025,100000.0
75,2020-01-02,1.025,1.034,1.001,1.025,1.025,281612.0
76,2020-01-03,1.025,1.04,1.015,1.025,1.025,164901.0
77,2020-01-06,1.025,1.035,1.001,1.025,1.025,34169.0
78,2020-01-07,1.025,1.025,0.933,1.025,1.025,2003052.0
79,2020-01-08,1.025,1.001,0.96,0.975,0.975,782085.0
80,2020-01-09,0.975,1.0,0.961,0.975,0.975,150645.0
81,2020-01-10,0.975,1.025,0.975,1.0,1.0,269365.0
82,2020-01-13,1.0,1.025,0.975,1.0,1.0,123599.0
83,2020-01-14,1.0,1.02,0.98,1.0,1.0,222869.0
84,2020-01-15,1.0,0.975,0.975,1.0,1.0,100000.0
85,2020-01-16,1.0,1.015,0.975,1.0,1.0,254416.0
86,2020-01-17,1.0,0.97,0.955,1.0,1.0,132190.0
87,2020-01-20,1.0,0.955,0.955,1.0,1.0,3652.0
88,2020-01-21,1.0,0.955,0.955,1.0,1.0,52229.0
89,2020-01-22,1.0,1.0,0.955,0.975,0.975,10078117.0
90,2020-01-23,0.975,1.1,0.989,1.05,1.05,2286982.0
91,2020-01-24,1.05,1.14,1.019,1.05,1.05,830450.0
92,2020-01-27,1.05,1.09,1.03,1.05,1.05,264391.0
93,2020-01-28,1.05,1.085,1.025,1.05,1.05,1514543.0
94,2020-01-29,1.05,1.08,1.035,1.05,1.05,39737.0
95,2020-01-30,1.05,1.075,1.0,1.05,1.05,833201.0
96,2020-01-31,1.05,1.06,1.06,1.05,1.05,150000.0
97,2020-02-03,1.05,1.058,1.026,1.05,1.05,186080.0
98,2020-02-04,1.05,1.049,1.011,1.05,1.05,128924.0
99,2020-02-05,1.05,1.011,1.011,1.05,1.05,24250.0
100,2020-02-06,1.05,1.011,1.011,1.05,1.05,11204.0
101,2020-02-07,1.05,1.05,1.011,1.025,1.025,260000.0
102,2020-02-10,1.025,1.025,1.025,1.025,1.025,0.0
103,2020-02-11,1.025,1.025,1.025,1.025,1.025,0.0
104,2020-02-12,1.1,1.078,1.011,1.1,1.1,79073.0
105,2020-02-13,1.1,1.072,1.02,1.1,1.1,284045.0
106,2020-02-14,1.1,1.07,1.02,1.1,1.1,7500.0
107,2020-02-17,1.1,1.02,1.02,1.1,1.1,1260.0
108,2020-02-18,1.1,1.02,1.02,1.1,1.1,1195.0
109,2020-02-19,1.1,1.07,0.98,1.1,1.1,1014249.0
110,2020-02-20,1.1,1.04,1.0,1.1,1.1,892472.0
111,2020-02-21,1.1,1.05,1.004,1.1,1.1,186231.0
112,2020-02-24,1.1,1.004,0.95,1.075,1.075,119970.0
113,2020-02-25,1.075,1.0,1.0,1.05,1.05,10447.0
