,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,553.0,553.450012,541.0,544.0,536.238037,224517.0
1,2019-09-17,530.0,543.0,481.079987,539.0,531.309387,530284.0
2,2019-09-18,533.0,557.0,533.0,556.0,548.066772,214794.0
3,2019-09-19,560.0,572.0,553.0,568.0,559.895569,242050.0
4,2019-09-20,574.0,575.8599849999999,513.5,570.0,561.867004,182340.0
5,2019-09-23,580.0,580.0,569.0,576.0,567.781433,205697.0
6,2019-09-24,588.0,588.0,577.0,585.0,576.652954,227359.0
7,2019-09-25,587.0,588.0,577.3280030000001,585.0,576.652954,259629.0
8,2019-09-26,579.0,591.0,578.0,585.0,576.652954,149737.0
9,2019-09-27,581.0,590.0,579.049988,582.0,573.695801,146512.0
10,2019-09-30,584.0,595.0,578.5,587.0,578.624451,188760.0
11,2019-10-01,588.0,592.0,585.0,590.0,581.581665,391505.0
12,2019-10-02,590.0,598.0,582.0,585.0,576.652954,207605.0
13,2019-10-03,590.0,600.0,585.0,598.0,589.467529,334522.0
14,2019-10-04,601.0,626.0,593.960022,623.0,614.110779,337252.0
15,2019-10-07,603.0,621.0,603.0,621.0,612.1393429999999,234182.0
16,2019-10-08,617.0,623.0,615.0,620.0,611.153625,456212.0
17,2019-10-09,620.0,626.0,613.0,620.0,611.153625,304041.0
18,2019-10-10,622.0,628.22998,619.0,625.0,616.082275,469923.0
19,2019-10-11,628.0,628.0,611.0,611.0,602.2820429999999,241704.0
20,2019-10-14,623.0,625.200012,592.0,610.0,601.296326,244392.0
21,2019-10-15,620.0,625.849976,585.23999,592.0,583.553162,1423800.0
22,2019-10-16,592.0,601.159973,574.0,578.0,569.752869,604913.0
23,2019-10-17,570.0,589.0,570.0,580.0,571.724304,514612.0
24,2019-10-18,570.0,581.0,570.0,575.0,566.795654,370816.0
25,2019-10-21,575.0,581.0,570.0,581.0,572.710083,148953.0
26,2019-10-22,566.0,580.0,566.0,576.0,567.781433,140155.0
27,2019-10-23,571.0,580.099976,570.0,577.0,568.767151,325479.0
28,2019-10-24,579.0,594.0,577.0,591.0,582.567444,2103180.0
29,2019-10-25,577.0,594.0,576.0,583.0,574.6815190000001,294158.0
30,2019-10-28,560.0,594.0,560.0,590.0,581.581665,210517.0
31,2019-10-29,575.0,596.0,574.52002,594.0,585.524597,309914.0
32,2019-10-30,594.0,611.0,593.0,609.0,600.3105469999999,131676.0
33,2019-10-31,613.0,614.849976,598.0,600.0,591.439026,226729.0
34,2019-11-01,608.0,609.0,582.0,598.0,589.467529,256556.0
35,2019-11-04,606.0,606.0,591.0,598.0,589.467529,100154.0
36,2019-11-05,590.0,604.25,586.299988,593.0,584.538879,95070.0
37,2019-11-06,595.0,602.0,592.0,597.0,588.481812,294491.0
38,2019-11-07,586.0,606.590027,586.0,588.0,579.6101679999999,110658.0
39,2019-11-08,580.0,585.0,572.0,579.0,570.738586,156016.0
40,2019-11-11,589.0,589.0,573.0,580.0,571.724304,118660.0
41,2019-11-12,565.0,584.0,565.0,581.0,572.710083,432611.0
42,2019-11-13,582.0,599.0,579.799988,595.0,586.510315,86217.0
43,2019-11-14,582.0,606.0,582.0,603.0,594.396179,118018.0
44,2019-11-15,606.0,606.0,593.0,599.0,590.4532469999999,69944.0
45,2019-11-18,593.0,602.0,578.0,585.0,576.652954,232613.0
46,2019-11-19,597.0,599.0,580.0,594.0,585.524597,86706.0
47,2019-11-20,585.0,598.0,585.0,598.0,589.467529,59205.0
48,2019-11-21,607.0,607.0,595.0,599.0,590.4532469999999,81582.0
49,2019-11-22,610.0,610.0,596.0,600.0,591.439026,73976.0
50,2019-11-25,615.0,615.0,593.0,603.0,594.396179,85687.0
51,2019-11-26,605.0,618.0,593.0,618.0,609.182129,196122.0
52,2019-11-27,619.0,628.0,607.0,627.0,618.053711,122386.0
53,2019-11-28,630.0,644.0,624.3599849999999,644.0,634.8112179999999,141463.0
54,2019-11-29,650.0,665.0,643.0,656.0,646.639954,222178.0
55,2019-12-02,666.0,668.400024,637.0,644.0,634.8112179999999,699647.0
56,2019-12-03,645.0,646.280029,640.0,645.0,635.7969360000001,345466.0
57,2019-12-04,653.0,653.0,614.0,651.0,641.711304,164523.0
58,2019-12-05,656.0,665.0,652.0,665.0,655.511536,92201.0
59,2019-12-06,670.0,670.0,649.0,669.0,659.454468,144682.0
60,2019-12-09,669.0,674.0,659.0,670.0,660.440186,295691.0
