,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,248.5,250.0,243.100006,249.5,249.5,96088.0
1,2019-09-17,248.0,249.5,242.149994,248.0,248.0,510165.0
2,2019-09-18,241.0,248.5,240.5,246.5,246.5,1015162.0
3,2019-09-19,250.0,252.5,246.0,250.0,250.0,298393.0
4,2019-09-20,249.5,251.5,246.0,247.0,247.0,443959.0
5,2019-09-23,245.0,245.979996,229.0,229.5,229.5,2241543.0
6,2019-09-24,231.5,235.0,227.0,232.5,232.5,412499.0
7,2019-09-25,232.5,234.0,220.5,224.0,224.0,340050.0
8,2019-09-26,220.0,225.0,216.0,219.0,219.0,485491.0
9,2019-09-27,215.0,221.0,207.300995,212.5,212.5,1078524.0
10,2019-09-30,207.0,221.0,206.600006,215.0,215.0,559288.0
11,2019-10-01,222.0,222.0,213.0,214.0,214.0,417590.0
12,2019-10-02,224.5,224.5,210.5,214.5,214.5,543134.0
13,2019-10-03,211.0,212.100006,197.0,198.399994,198.399994,366647.0
14,2019-10-04,197.199997,204.5,192.800003,203.0,203.0,747133.0
15,2019-10-07,196.399994,209.0,196.399994,208.0,208.0,145997.0
16,2019-10-08,204.5,204.75,194.600006,196.0,196.0,578199.0
17,2019-10-09,197.0,210.0,192.199997,209.0,209.0,376968.0
18,2019-10-10,202.5,213.0,201.639999,208.0,208.0,588846.0
19,2019-10-11,206.5,220.5,205.5,220.5,220.5,836816.0
20,2019-10-14,223.0,226.419998,206.029999,221.5,221.5,323006.0
21,2019-10-15,220.5,222.5,204.0,210.0,210.0,368818.0
22,2019-10-16,213.0,213.0,203.5,207.5,207.5,150683.0
23,2019-10-17,203.0,221.5,203.0,219.0,219.0,1418804.0
24,2019-10-18,217.0,222.5,217.0,220.0,220.0,414139.0
25,2019-10-21,223.0,223.0,213.5,214.0,214.0,139595.0
26,2019-10-22,218.5,224.0,213.5,224.0,224.0,304224.0
27,2019-10-23,215.0,222.22000099999997,215.0,222.0,222.0,458447.0
28,2019-10-24,222.5,230.5,221.0,228.0,228.0,853775.0
29,2019-10-25,230.0,230.0,213.0,217.5,217.5,122911.0
30,2019-10-28,225.0,233.0,215.5,232.5,232.5,121533.0
31,2019-10-29,233.0,236.5,228.0,231.0,231.0,921467.0
32,2019-10-30,232.5,233.5,217.5,228.5,228.5,463927.0
33,2019-10-31,230.0,230.0,220.0,223.0,223.0,119425.0
34,2019-11-01,225.0,225.0,213.5,216.5,216.5,144114.0
35,2019-11-04,220.0,222.0,214.5,217.5,217.5,443013.0
36,2019-11-05,220.0,223.0,216.5,223.0,223.0,254104.0
37,2019-11-06,225.0,225.0,216.0,221.5,221.5,1152500.0
38,2019-11-07,225.0,230.0,216.5,221.0,221.0,460544.0
39,2019-11-08,221.0,221.5,216.5,220.0,220.0,93409.0
40,2019-11-11,220.5,223.30000299999998,216.75,220.0,220.0,113347.0
41,2019-11-12,219.5,223.30000299999998,217.0,217.0,217.0,73912.0
42,2019-11-13,225.0,225.0,213.0,215.0,215.0,766202.0
43,2019-11-14,218.0,232.5,216.0,231.5,231.5,2164818.0
44,2019-11-15,232.5,239.0,230.0,233.0,233.0,203117.0
45,2019-11-18,236.0,236.0,225.0,231.5,231.5,175366.0
46,2019-11-19,230.0,238.5,229.5,237.5,237.5,413831.0
47,2019-11-20,239.0,239.0,231.5,234.5,234.5,152890.0
48,2019-11-21,239.0,242.0,233.5,241.0,241.0,155102.0
49,2019-11-22,243.0,243.0,236.75,238.5,238.5,243352.0
50,2019-11-25,241.5,242.0,232.0,238.0,238.0,170992.0
51,2019-11-26,232.0,240.0,232.0,239.0,239.0,353247.0
52,2019-11-27,243.0,243.0,234.0,238.5,238.5,208955.0
53,2019-11-28,243.0,244.5,214.5,244.0,244.0,299031.0
54,2019-11-29,243.0,251.5,239.559998,250.0,250.0,322753.0
55,2019-12-02,245.0,252.5,241.5,242.0,242.0,231765.0
56,2019-12-03,247.0,247.0,237.899994,241.0,241.0,714526.0
57,2019-12-04,239.5,250.0,239.5,247.5,247.5,158119.0
58,2019-12-05,248.0,248.0,241.0,246.0,246.0,187416.0
59,2019-12-06,247.0,249.5,240.5,245.5,245.5,145027.0
60,2019-12-09,247.0,247.0,242.0,244.5,244.5,1098130.0
61,2019-12-10,243.5,245.369003,231.0,235.0,235.0,355956.0
62,2019-12-11,232.0,234.0,230.5,231.0,231.0,322022.0
63,2019-12-12,228.0,242.0,228.0,234.0,234.0,169252.0
64,2019-12-13,245.0,249.0,232.5,234.0,234.0,470224.0
65,2019-12-16,233.0,245.5,223.5,224.0,224.0,779431.0
66,2019-12-17,220.0,231.5,217.0,227.0,227.0,570348.0
67,2019-12-18,234.0,240.0,225.63000499999998,239.0,239.0,741464.0
68,2019-12-19,240.0,240.0,230.0,237.0,237.0,354766.0
69,2019-12-20,240.0,240.0,230.0,230.0,230.0,315871.0
70,2019-12-23,240.0,241.5,230.0,238.0,238.0,176279.0
71,2019-12-24,242.0,247.0,238.0,240.0,240.0,119616.0
72,2019-12-27,238.0,247.0,235.0,244.0,244.0,99236.0
