,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,1004.5,1004.5,1004.5,1004.5,1004.5,0.0
1,2019-09-17,1000.5,1000.5,1000.5,1000.5,1000.5,0.0
2,2019-09-18,1001.5,1001.5,1001.5,1001.5,1001.5,0.0
3,2019-09-19,1001.5,1001.5,1001.5,1001.5,1001.5,0.0
4,2019-09-20,1001.5,1001.5,1001.5,1001.5,1001.5,0.0
5,2019-09-23,1005.5,1005.5,1005.5,1005.5,1005.5,0.0
6,2019-09-24,1002.5,1002.5,1002.5,1002.5,1002.5,0.0
7,2019-09-25,1008.5,1008.5,1008.5,1008.5,1008.5,0.0
8,2019-09-26,1010.5,1010.5,1010.5,1010.5,1010.5,0.0
9,2019-09-27,1014.5,1014.5,1014.5,1014.5,1014.5,0.0
10,2019-09-30,1015.25,1015.25,1015.25,1015.25,1015.25,0.0
11,2019-10-01,1018.5,1018.5,1018.5,1018.5,1018.5,0.0
12,2019-10-02,1013.5,1013.5,1013.5,1013.5,1013.5,0.0
13,2019-10-03,1008.5,1008.5,1008.5,1008.5,1008.5,0.0
14,2019-10-04,1017.5,1017.5,1017.5,1017.5,1017.5,0.0
15,2019-10-07,1016.5,1016.5,1016.5,1016.5,1016.5,0.0
16,2019-10-08,1028.5,1028.5,1028.5,1024.5,1024.5,1216.0
17,2019-10-09,1023.5,1023.5,1023.5,1023.5,1023.5,0.0
18,2019-10-10,1014.75,1014.75,1014.75,1014.75,1014.75,0.0
19,2019-10-11,1004.0,1004.0,1004.0,986.75,986.75,60000.0
20,2019-10-14,997.75,997.75,991.75,994.5,994.5,6264.0
21,2019-10-15,981.5,981.5,981.5,981.5,981.5,0.0
22,2019-10-16,976.5,976.5,976.5,976.5,976.5,0.0
23,2019-10-17,975.125,975.125,975.125,975.125,975.125,0.0
24,2019-10-18,974.5,974.5,974.5,974.5,974.5,0.0
25,2019-10-21,965.5,965.5,965.5,965.5,965.5,0.0
26,2019-10-22,968.5,968.5,968.5,968.5,968.5,0.0
27,2019-10-23,973.375,973.375,973.375,973.375,973.375,0.0
28,2019-10-24,977.5,977.5,977.5,977.5,977.5,0.0
29,2019-10-25,979.0,979.0,979.0,975.125,975.125,832.0
30,2019-10-28,972.875,972.875,972.875,972.875,972.875,0.0
31,2019-10-29,969.5,969.5,969.5,969.5,969.5,0.0
32,2019-10-30,970.5,970.5,970.5,970.5,970.5,0.0
33,2019-10-31,962.25,968.75,962.25,967.5,967.5,894.0
34,2019-11-01,968.5,968.5,968.5,968.5,968.5,0.0
35,2019-11-04,970.5,970.5,970.5,970.5,970.5,0.0
36,2019-11-05,972.625,972.625,972.625,972.625,972.625,0.0
37,2019-11-06,972.5,972.5,972.5,972.5,972.5,0.0
38,2019-11-07,975.375,975.375,975.375,975.375,975.375,0.0
39,2019-11-08,979.0,979.0,971.0,978.5,978.5,7937.0
40,2019-11-11,973.0,973.0,973.0,973.0,973.0,0.0
41,2019-11-12,974.375,974.375,974.375,974.375,974.375,0.0
42,2019-11-13,972.5,972.5,972.5,972.5,972.5,0.0
43,2019-11-14,972.125,972.125,972.125,972.125,972.125,0.0
44,2019-11-15,970.75,970.75,970.75,970.75,970.75,0.0
45,2019-11-18,963.0,963.0,963.0,963.0,963.0,0.0
46,2019-11-19,963.0,963.0,963.0,963.0,963.0,0.0
47,2019-11-20,964.75,964.75,964.75,964.75,964.75,0.0
48,2019-11-21,965.875,965.875,965.875,965.875,965.875,0.0
49,2019-11-22,973.125,973.125,973.125,973.125,973.125,0.0
50,2019-11-25,967.75,967.75,967.75,967.75,967.75,0.0
51,2019-11-26,972.625,972.625,972.625,972.625,972.625,0.0
