,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,130.5,128.0,126.0,130.5,130.5,17487.0
1,2019-09-17,130.5,126.0,124.0,123.0,123.0,15156.0
2,2019-09-18,123.0,124.800003,115.0,117.5,117.5,31789.0
3,2019-09-19,117.5,120.0,110.0,120.0,120.0,18745.0
4,2019-09-20,115.0,117.0,111.0,114.0,114.0,10757.0
5,2019-09-23,114.0,112.75,111.0,112.5,112.5,10744.0
6,2019-09-24,112.5,110.0,110.0,112.5,112.5,5083.0
7,2019-09-25,112.5,112.199997,112.199997,112.5,112.5,5500.0
8,2019-09-26,112.5,110.0,106.0,110.5,110.5,5500.0
9,2019-09-27,110.5,106.0,106.0,110.5,110.5,1000.0
10,2019-09-30,110.5,110.0,105.0,107.5,107.5,7203.0
11,2019-10-01,107.5,105.0,104.0,104.0,104.0,17307.0
12,2019-10-02,104.5,106.0,102.0,105.0,105.0,64778.0
13,2019-10-03,105.0,105.0,102.0,105.0,105.0,10825.0
14,2019-10-04,104.0,103.75,98.0,102.5,102.5,6740.0
15,2019-10-07,107.5,107.25,105.0,107.5,107.5,19645.0
16,2019-10-08,107.5,107.112999,103.0,105.0,105.0,114181.0
17,2019-10-09,105.0,101.0,100.0,105.0,105.0,26561.0
18,2019-10-10,107.5,108.699997,107.800003,107.5,107.5,28502.0
19,2019-10-11,107.5,120.0,105.0,116.0,116.0,49915.0
20,2019-10-14,117.5,132.0,105.0,128.5,128.5,85631.0
21,2019-10-15,128.5,130.0,127.25,128.5,128.5,48635.0
22,2019-10-16,128.5,125.0,125.0,126.0,126.0,4005.0
23,2019-10-17,126.0,128.0,122.0,126.0,126.0,9335.0
24,2019-10-18,126.0,126.0,122.0,126.0,126.0,6979.0
25,2019-10-21,126.0,125.5,120.0,122.5,122.5,13650.0
26,2019-10-22,122.5,123.0,123.0,122.5,122.5,2834.0
27,2019-10-23,122.5,122.5,120.0,122.5,122.5,20913.0
28,2019-10-24,122.5,122.5,118.0,120.0,120.0,13625.0
29,2019-10-25,119.5,119.5,119.400002,119.5,119.5,272.0
30,2019-10-28,119.5,119.5,116.139999,119.5,119.5,1004.0
31,2019-10-29,119.5,116.139999,116.139999,119.5,119.5,424.0
32,2019-10-30,119.5,119.300003,116.139999,119.5,119.5,9417.0
33,2019-10-31,119.5,116.25,116.0,119.5,119.5,5586.0
34,2019-11-01,119.5,119.5,119.5,119.5,119.5,0.0
35,2019-11-04,119.5,116.25,115.199997,119.0,119.0,3247.0
36,2019-11-05,119.0,115.25,110.300003,114.0,114.0,30376.0
37,2019-11-06,114.0,111.550003,109.199997,111.0,111.0,4699.0
38,2019-11-07,111.0,111.0,108.059998,111.0,111.0,10689.0
39,2019-11-08,111.0,110.324997,108.0,111.0,111.0,27268.0
40,2019-11-11,111.0,108.0,102.300003,106.0,106.0,29087.0
41,2019-11-12,106.0,102.300003,101.0,103.0,103.0,7445.0
42,2019-11-13,103.0,100.0,97.300003,98.5,98.5,17461.0
43,2019-11-14,98.5,100.0,97.0,100.0,100.0,18799.0
44,2019-11-15,101.5,102.800003,102.010002,102.5,102.5,113122.0
45,2019-11-18,102.5,102.650002,102.650002,102.5,102.5,122.0
46,2019-11-19,102.5,102.620003,102.589996,102.5,102.5,19898.0
47,2019-11-20,102.5,102.5,102.5,102.5,102.5,0.0
48,2019-11-21,102.5,102.400002,100.18,101.5,101.5,269708.0
49,2019-11-22,101.5,100.029999,90.0,92.5,92.5,42772.0
50,2019-11-25,92.5,95.0,85.0,88.5,88.5,45578.0
51,2019-11-26,88.5,88.0,85.07,88.5,88.5,4560.0
52,2019-11-27,88.5,88.5,85.07,88.5,88.5,10702.0
53,2019-11-28,88.5,88.400002,88.400002,88.5,88.5,223.0
54,2019-11-29,88.5,92.0,86.25,89.0,89.0,176173.0
55,2019-12-02,89.5,90.0,87.029999,88.5,88.5,15749.0
56,2019-12-03,88.5,89.0,88.900002,88.5,88.5,253.0
57,2019-12-04,88.5,88.75,88.400002,88.5,88.5,6734.0
58,2019-12-05,88.5,88.0,88.0,88.5,88.5,4587.0
59,2019-12-06,88.5,87.5,86.0,88.5,88.5,15634.0
60,2019-12-09,88.5,87.050003,82.699997,82.5,82.5,110732.0
61,2019-12-10,82.5,82.699997,76.0,76.0,76.0,139365.0
62,2019-12-11,80.0,80.0,76.0,76.0,76.0,145750.0
63,2019-12-12,76.0,75.0,71.0,71.5,71.5,76649.0
64,2019-12-13,71.5,72.0,71.0,71.5,71.5,21133.0
65,2019-12-16,73.0,75.0,71.040001,72.5,72.5,178265.0
66,2019-12-17,72.5,72.0,70.0,71.0,71.0,45235.0
67,2019-12-18,71.0,70.5,70.0,71.0,71.0,15626.0
68,2019-12-19,71.0,70.5,70.019997,71.0,71.0,9177.0
69,2019-12-20,71.0,70.0,68.040001,70.0,70.0,39505.0
70,2019-12-23,70.0,71.122002,68.0,70.0,70.0,38154.0
71,2019-12-24,70.0,69.91999799999999,69.900002,70.0,70.0,3572.0
72,2019-12-27,70.0,69.900002,68.0,70.0,70.0,1822.0
73,2019-12-30,70.0,69.800003,69.800003,70.0,70.0,2131.0
74,2019-12-31,70.0,69.900002,69.519997,69.0,69.0,17576.0
75,2020-01-02,68.5,70.0,65.599998,65.599998,65.599998,180154.0
76,2020-01-03,66.0,66.5,65.0,66.0,66.0,4590.0
77,2020-01-06,66.0,66.5,62.0,62.5,62.5,171315.0
78,2020-01-07,62.5,62.48,61.0,61.0,61.0,15440.0
79,2020-01-08,61.0,60.959998999999996,60.0,60.5,60.5,5335.0
80,2020-01-09,60.5,60.5,59.439999,59.0,59.0,38214.0
81,2020-01-10,59.0,59.0,58.0,59.0,59.0,433281.0
82,2020-01-13,59.0,59.0,58.0,59.0,59.0,349254.0
83,2020-01-14,59.0,59.799999,56.5,56.5,56.5,21572.0
84,2020-01-15,56.5,55.0,50.0,51.5,51.5,43835.0
85,2020-01-16,51.0,50.0,38.5,39.5,39.5,1221549.0
86,2020-01-17,39.0,50.0,35.299999,46.5,46.5,1750558.0
87,2020-01-20,47.0,50.0,47.0,49.0,49.0,836389.0
88,2020-01-21,45.5,51.900002,44.5,50.0,50.0,889764.0
89,2020-01-22,51.0,51.0,49.5,50.0,50.0,353894.0
90,2020-01-23,51.0,50.5,49.0,51.0,51.0,456831.0
91,2020-01-24,51.0,51.0,50.5,51.0,51.0,32268.0
92,2020-01-27,51.0,51.0,49.0,50.5,50.5,180940.0
93,2020-01-28,50.5,51.0,50.0,50.5,50.5,663962.0
94,2020-01-29,50.5,65.0,51.0,62.5,62.5,3181697.0
95,2020-01-30,63.5,66.400002,62.210999,65.5,65.5,839742.0
96,2020-01-31,65.5,63.700001,55.799999,59.0,59.0,446394.0
97,2020-02-03,59.0,59.360001000000004,57.0,58.5,58.5,59357.0
98,2020-02-04,57.5,58.0,54.799999,57.5,57.5,78468.0
99,2020-02-05,57.5,57.25,55.25,55.5,55.5,76883.0
100,2020-02-06,55.5,57.0,55.0,56.0,56.0,39992.0
101,2020-02-07,56.0,56.700001,55.0,56.0,56.0,47416.0
102,2020-02-10,56.0,56.0,56.0,56.0,56.0,0.0
103,2020-02-11,56.0,56.0,56.0,56.0,56.0,0.0
104,2020-02-12,56.0,56.700001,53.125,56.0,56.0,44529.0
105,2020-02-13,56.0,55.0,53.25,54.5,54.5,36382.0
106,2020-02-14,54.5,54.0,54.0,54.5,54.5,7736.0
107,2020-02-17,54.5,54.0,54.0,54.5,54.5,9441.0
108,2020-02-18,54.5,54.0,49.0,50.5,50.5,121921.0
109,2020-02-19,50.5,51.349998,49.0,49.5,49.5,166796.0
110,2020-02-20,49.5,49.5,47.099998,48.0,48.0,3224.0
111,2020-02-21,48.0,48.0,47.0,47.5,47.5,13797.0
112,2020-02-24,47.5,47.77,44.0,45.0,45.0,25831.0
113,2020-02-25,45.0,46.0,44.0,46.0,46.0,2018236.0
114,2020-02-26,46.0,48.0,45.068001,47.0,47.0,30552.0
115,2020-02-27,46.0,45.900002,44.66,45.0,45.0,9196.0
116,2020-02-28,45.0,45.98,44.66,45.0,45.0,33417.0
117,2020-03-02,45.0,44.990002000000004,42.0,42.5,42.5,28973.0
118,2020-03-03,42.5,42.0,41.0,41.5,41.5,43450.0
119,2020-03-04,41.0,41.0,40.0,40.5,40.5,27628.0
120,2020-03-05,40.5,40.75,40.0,40.5,40.5,5997.0
121,2020-03-06,40.5,40.970001,38.150002,39.5,39.5,22890.0
122,2020-03-09,39.0,39.900002,38.0,39.5,39.5,135122.0
123,2020-03-10,39.0,42.0,39.880001,39.0,39.0,3006883.0
124,2020-03-11,39.0,39.880001,39.099998,39.0,39.0,3091.0
125,2020-03-12,39.0,42.0,38.082001,39.0,39.0,149187.0
126,2020-03-13,39.0,41.272999,40.959998999999996,40.5,40.5,18892.0
127,2020-03-16,40.0,41.900002,39.5,39.5,39.5,3226.0
128,2020-03-17,39.5,42.0,38.188,40.0,40.0,75051.0
129,2020-03-18,40.5,42.576,41.195,40.0,40.0,34357.0
130,2020-03-19,40.0,42.272999,42.272999,40.0,40.0,10000.0
131,2020-03-20,40.0,42.061001,40.200001,40.0,40.0,13736.0
132,2020-03-23,39.5,41.576,39.599998,39.5,39.5,20670.0
133,2020-03-24,39.5,39.650002,38.903,39.5,39.5,37844.0
134,2020-03-25,39.5,40.970001,38.900002,39.5,39.5,20346.0
135,2020-03-26,39.5,42.639998999999996,41.879002,41.5,41.5,304342.0
136,2020-03-27,41.5,52.0,40.900002,45.0,45.0,398649.0
137,2020-03-30,44.5,52.0,39.0,40.0,40.0,159989.0
138,2020-03-31,40.0,52.0,39.0,45.0,45.0,157394.0
139,2020-04-01,45.0,47.0,43.021999,45.0,45.0,8597.0
140,2020-04-02,44.5,48.0,47.0,46.0,46.0,113800.0
141,2020-04-03,44.5,45.66,42.049999,44.5,44.5,55703.0
142,2020-04-06,44.5,46.75,45.349998,44.5,44.5,18793.0
143,2020-04-07,44.5,47.227001,45.0,44.5,44.5,59736.0
144,2020-04-08,44.5,47.0,42.0,44.5,44.5,4510.0
145,2020-04-09,44.5,55.5,47.0,55.5,55.5,334861.0
146,2020-04-14,52.0,54.75,51.5,53.0,53.0,169571.0
147,2020-04-15,53.75,52.849998,50.0,51.5,51.5,67452.0
148,2020-04-16,51.5,51.900002,47.0,50.5,50.5,186494.0
149,2020-04-17,50.5,52.75,48.5,50.5,50.5,76049.0
150,2020-04-20,51.5,55.0,50.5,52.5,52.5,160473.0
151,2020-04-21,52.5,52.200001,50.0,52.5,52.5,27258.0
152,2020-04-22,52.5,51.049,50.0,51.5,51.5,28808.0
153,2020-04-23,51.5,50.5,48.0,50.0,50.0,15474.0
154,2020-04-24,51.0,51.0,45.0,51.0,51.0,9074.0
155,2020-04-27,50.0,50.0,45.0,48.0,48.0,133056.0
156,2020-04-28,48.0,48.0,46.040001000000004,48.0,48.0,75286.0
157,2020-04-29,48.0,47.25,44.0,45.5,45.5,95077.0
158,2020-04-30,45.299999,47.389998999999996,47.299999,47.5,47.5,3590.0
159,2020-05-01,47.5,46.900002,45.0,47.5,47.5,53755.0
160,2020-05-04,47.5,46.700001,44.75,47.5,47.5,101728.0
161,2020-05-05,49.5,49.5,47.0,49.5,49.5,159575.0
162,2020-05-06,49.5,47.5,45.0,46.0,46.0,30444.0
163,2020-05-07,46.0,46.279999,43.599998,46.0,46.0,46144.0
164,2020-05-11,46.299999,45.799999,44.0,46.0,46.0,3520.0
165,2020-05-12,46.299999,45.799999,44.0,46.0,46.0,2270.0
166,2020-05-13,46.299999,45.400002,44.0,46.0,46.0,9196.0
167,2020-05-14,48.0,49.368999,41.0,44.0,44.0,271893.0
168,2020-05-15,44.0,43.900002,41.77,42.0,42.0,328165.0
169,2020-05-18,41.5,42.5,41.0,41.5,41.5,106895.0
170,2020-05-19,41.5,43.0,38.0,40.799999,40.799999,1394608.0
171,2020-05-20,41.0,41.0,35.0,37.299999,37.299999,1929451.0
172,2020-05-21,38.5,41.0,37.84,40.5,40.5,1880630.0
173,2020-05-22,40.5,40.790001000000004,40.0,40.5,40.5,387709.0
174,2020-05-26,41.0,42.900002,40.0,42.799999,42.799999,331508.0
175,2020-05-27,42.799999,43.183997999999995,40.710999,42.5,42.5,109023.0
176,2020-05-28,42.5,42.049999,39.0,39.200001,39.200001,169824.0
177,2020-05-29,39.200001,39.549999,39.060001,39.299999,39.299999,74977.0
