,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,2.15,2.3,2.151,2.15,2.15,1124972.0
1,2019-09-17,2.15,2.15,2.15,2.15,2.15,100000.0
2,2019-09-18,2.15,2.15,2.15,2.15,2.15,20199.0
3,2019-09-19,2.15,2.297,2.15,2.1,2.1,818913.0
4,2019-09-20,2.1,2.2,2.09,2.1,2.1,13761.0
5,2019-09-23,2.1,2.1,2.1,2.1,2.1,0.0
6,2019-09-24,2.1,2.15,2.065,2.1,2.1,53721.0
7,2019-09-25,2.1,2.199,2.065,2.05,2.05,2483122.0
8,2019-09-26,2.05,2.1,2.1,2.05,2.05,298240.0
9,2019-09-27,2.05,2.1,2.005,2.05,2.05,38682.0
10,2019-09-30,2.05,2.1,2.005,2.05,2.05,72397.0
11,2019-10-01,2.05,2.1,2.1,2.05,2.05,134669.0
12,2019-10-02,2.05,2.05,2.05,2.05,2.05,0.0
13,2019-10-03,2.05,2.1,2.01,2.05,2.05,164739.0
14,2019-10-04,2.05,2.29,2.01,2.3,2.3,747317.0
15,2019-10-07,2.3,2.29,2.12,2.3,2.3,72253.0
16,2019-10-08,2.3,2.29,2.29,2.3,2.3,5000.0
17,2019-10-09,2.3,2.24,2.104,2.3,2.3,152961.0
18,2019-10-10,2.3,2.3,2.3,2.3,2.3,0.0
19,2019-10-11,2.3,2.22,2.11,2.3,2.3,174586.0
20,2019-10-14,2.3,2.22,2.11,2.3,2.3,5000.0
21,2019-10-15,2.3,2.2,2.104,2.3,2.3,75426.0
22,2019-10-16,2.3,2.38,2.104,2.3,2.3,539834.0
23,2019-10-17,2.3,2.44,2.38,2.3,2.3,98136.0
24,2019-10-18,2.3,2.44,2.11,2.3,2.3,24941.0
25,2019-10-21,2.3,2.43,2.12,2.3,2.3,77000.0
26,2019-10-22,2.3,2.43,2.12,2.3,2.3,3330.0
27,2019-10-23,2.3,2.3,2.12,2.3,2.3,415.0
28,2019-10-24,2.3,2.43,2.43,2.3,2.3,12000.0
29,2019-10-25,2.3,2.3,2.3,2.3,2.3,0.0
30,2019-10-28,2.3,2.43,2.12,2.3,2.3,38876.0
31,2019-10-29,2.3,2.43,2.43,2.3,2.3,29150.0
32,2019-10-30,2.3,2.12,2.12,2.3,2.3,11133.0
33,2019-10-31,2.3,2.3,2.3,2.3,2.3,0.0
34,2019-11-01,2.3,2.43,2.43,2.35,2.35,91153.0
35,2019-11-04,2.35,2.43,2.203,2.35,2.35,18917.0
36,2019-11-05,2.35,2.35,2.35,2.35,2.35,0.0
37,2019-11-06,2.35,2.38,2.0,2.35,2.35,53800.0
38,2019-11-07,2.35,2.38,2.2,2.35,2.35,213257.0
39,2019-11-08,2.35,2.38,2.203,2.35,2.35,3326.0
40,2019-11-11,2.35,2.38,2.203,2.35,2.35,51832.0
41,2019-11-12,2.35,2.5,2.38,2.35,2.35,12333.0
42,2019-11-13,2.35,2.38,2.38,2.35,2.35,59355.0
43,2019-11-14,2.35,2.45,2.203,2.35,2.35,585510.0
44,2019-11-15,2.35,2.5,2.26,2.35,2.35,66231.0
45,2019-11-18,2.35,2.277,2.277,2.35,2.35,60852.0
46,2019-11-19,2.35,2.5,2.5,2.35,2.35,81724.0
47,2019-11-20,2.35,2.5,2.277,2.35,2.35,29001.0
48,2019-11-21,2.35,2.5,2.28,2.35,2.35,830.0
49,2019-11-22,2.35,2.281,2.215,2.35,2.35,404882.0
50,2019-11-25,2.35,2.39,2.215,2.35,2.35,27620.0
51,2019-11-26,2.35,2.5,2.1,2.25,2.25,326532.0
52,2019-11-27,2.35,2.3,2.2,2.25,2.25,400000.0
53,2019-11-28,2.35,2.5,2.215,2.35,2.35,812508.0
54,2019-11-29,2.35,2.485,2.25,2.35,2.35,493120.0
55,2019-12-02,2.35,2.5,2.375,2.45,2.45,1078282.0
56,2019-12-03,2.45,2.5,2.433,2.35,2.35,635827.0
57,2019-12-04,2.4,2.498,2.302,2.4,2.4,269682.0
58,2019-12-05,2.4,2.498,2.32,2.4,2.4,26845.0
59,2019-12-06,2.4,2.5,2.32,2.4,2.4,509046.0
60,2019-12-09,2.4,2.498,2.498,2.4,2.4,59690.0
61,2019-12-10,2.4,2.498,2.32,2.4,2.4,4538.0
62,2019-12-11,2.4,2.497,2.32,2.4,2.4,16772.0
63,2019-12-12,2.4,2.497,2.32,2.4,2.4,31300.0
64,2019-12-13,2.4,2.497,2.32,2.4,2.4,40186.0
65,2019-12-16,2.4,2.5,2.45,2.45,2.45,505569.0
66,2019-12-17,2.45,2.499,2.425,2.45,2.45,307166.0
67,2019-12-18,2.45,2.8,2.5,2.8,2.8,1394899.0
68,2019-12-19,2.8,3.1,2.71,3.0,3.0,1457123.0
