,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,5.677,5.677,5.677,5.677,5.677,0.0
1,2019-09-17,5.6645,5.6645,5.6645,5.6645,5.6645,0.0
2,2019-09-18,5.694,5.694,5.694,5.694,5.694,0.0
3,2019-09-19,5.685,5.685,5.685,5.685,5.685,0.0
4,2019-09-20,5.695,5.695,5.695,5.695,5.695,0.0
5,2019-09-23,5.733,5.733,5.733,5.733,5.733,0.0
6,2019-09-24,5.749,5.749,5.749,5.749,5.749,0.0
7,2019-09-25,5.7435,5.7435,5.7435,5.7435,5.7435,0.0
8,2019-09-26,5.734,5.734,5.734,5.734,5.734,0.0
9,2019-09-27,5.736,5.736,5.736,5.736,5.736,0.0
10,2019-09-30,5.734,5.734,5.734,5.734,5.734,0.0
11,2019-10-01,5.7315,5.7315,5.7315,5.7315,5.7315,0.0
12,2019-10-02,5.727,5.727,5.727,5.727,5.727,0.0
13,2019-10-03,5.7435,5.7435,5.7435,5.7435,5.7435,0.0
14,2019-10-04,5.7465,5.7465,5.7465,5.7465,5.7465,0.0
15,2019-10-07,5.742,5.742,5.742,5.742,5.742,0.0
16,2019-10-08,5.749,5.749,5.749,5.749,5.749,0.0
17,2019-10-09,5.7355,5.7355,5.7355,5.7355,5.7355,0.0
18,2019-10-10,5.711,5.711,5.711,5.711,5.711,0.0
19,2019-10-11,5.7025,5.7025,5.7025,5.7025,5.7025,0.0
20,2019-10-14,5.7175,5.7175,5.7175,5.7175,5.7175,0.0
21,2019-10-15,5.714,5.714,5.714,5.714,5.714,0.0
22,2019-10-16,5.7015,5.7015,5.7015,5.7015,5.7015,0.0
23,2019-10-17,5.707,5.707,5.707,5.707,5.707,0.0
24,2019-10-18,5.703,5.703,5.703,5.703,5.703,0.0
25,2019-10-21,5.6855,5.6855,5.6855,5.6855,5.6855,0.0
26,2019-10-22,5.698,5.698,5.698,5.698,5.698,0.0
27,2019-10-23,5.7065,5.7065,5.7065,5.7065,5.7065,0.0
28,2019-10-24,5.708,5.708,5.708,5.708,5.708,0.0
29,2019-10-25,5.697,5.697,5.697,5.697,5.697,0.0
30,2019-10-28,5.6775,5.6775,5.6775,5.6775,5.6775,0.0
