,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,1579.0,1589.0,1577.680054,1590.0,1590.0,2664
1,2019-09-17,1583.599976,1584.199951,1570.0,1570.800049,1570.800049,6142
2,2019-09-18,1569.0,1571.579956,1569.0,1567.800049,1567.800049,3955
3,2019-09-19,1564.800049,1565.800049,1564.800049,1563.699951,1563.699951,200
4,2019-09-20,1556.599976,1556.599976,1524.910034,1519.599976,1519.599976,17216
5,2019-09-23,1509.800049,1513.400024,1508.030029,1511.5,1511.5,11212
6,2019-09-24,1533.599976,1533.599976,1533.599976,1530.5,1530.5,5000
7,2019-09-25,1525.199951,1526.199951,1517.560059,1524.5,1524.5,3488
8,2019-09-26,1532.0,1535.060059,1521.199951,1525.300049,1525.300049,2015
9,2019-09-27,1538.199951,1547.939941,1538.0,1549.900024,1549.900024,9325
10,2019-09-30,1555.199951,1555.199951,1528.410034,1534.199951,1534.199951,29453
11,2019-10-01,1528.800049,1530.800049,1523.800049,1528.900024,1528.900024,348
12,2019-10-02,1513.0,1513.599976,1497.819946,1493.800049,1493.800049,11030
13,2019-10-03,1491.400024,1504.72998,1490.430054,1497.400024,1497.400024,1978
14,2019-10-04,1520.400024,1530.199951,1516.199951,1528.400024,1528.400024,1097
15,2019-10-07,1521.400024,1521.400024,1514.719971,1519.199951,1519.199951,1479
16,2019-10-08,1538.5,1538.5,1538.5,1538.5,1538.5,0
17,2019-10-09,1542.599976,1542.599976,1541.599976,1543.199951,1543.199951,3103
18,2019-10-10,1535.199951,1535.199951,1531.400024,1529.699951,1529.699951,6711
19,2019-10-11,1516.199951,1529.199951,1516.199951,1529.699951,1529.699951,15970
20,2019-10-14,1530.800049,1535.560059,1516.290039,1523.900024,1523.900024,6250
21,2019-10-15,1514.599976,1514.599976,1514.599976,1514.599976,1514.599976,0
22,2019-10-16,1526.400024,1526.400024,1508.400024,1513.800049,1513.800049,2506
23,2019-10-17,1534.400024,1534.400024,1534.400024,1534.400024,1534.400024,0
24,2019-10-18,1524.180054,1524.180054,1524.180054,1523.599976,1523.599976,12
25,2019-10-21,1522.359985,1522.359985,1522.359985,1522.300049,1522.300049,40
26,2019-10-22,1553.199951,1553.199951,1544.540039,1551.099976,1551.099976,2600
27,2019-10-23,1553.0,1553.0,1549.599976,1551.5,1551.5,150
28,2019-10-24,1547.0,1556.400024,1547.0,1556.400024,1556.400024,30650
29,2019-10-25,1544.560059,1544.560059,1544.560059,1530.099976,1530.099976,54
30,2019-10-28,1551.599976,1555.0,1544.560059,1557.199951,1557.199951,1440
31,2019-10-29,1555.599976,1564.800049,1555.599976,1565.599976,1565.599976,1204
32,2019-10-30,1573.900024,1573.900024,1573.900024,1573.900024,1573.900024,0
33,2019-10-31,1552.800049,1552.890015,1547.0,1544.5,1544.5,3342
34,2019-11-01,1557.599976,1560.400024,1557.599976,1559.300049,1559.300049,1832
35,2019-11-04,1584.560059,1597.97998,1584.560059,1593.900024,1593.900024,2019
36,2019-11-05,1594.900024,1594.900024,1594.900024,1594.900024,1594.900024,0
37,2019-11-06,1590.76001,1590.76001,1590.76001,1587.099976,1587.099976,43
38,2019-11-07,1594.800049,1599.800049,1594.800049,1599.800049,1599.800049,21257
39,2019-11-08,1585.099976,1585.099976,1585.099976,1585.099976,1585.099976,0
40,2019-11-11,1575.0,1575.0,1570.599976,1571.199951,1571.199951,2274
41,2019-11-12,1573.0,1581.26001,1570.0,1570.099976,1570.099976,17514
42,2019-11-13,1548.400024,1554.619995,1548.400024,1548.400024,1548.400024,1856
43,2019-11-14,1556.199951,1556.449951,1543.089966,1542.300049,1542.300049,1773
44,2019-11-15,1556.400024,1556.400024,1556.400024,1556.400024,1556.400024,0
45,2019-11-18,1553.800049,1554.640015,1545.400024,1544.400024,1544.400024,1353
46,2019-11-19,1541.0,1541.150024,1524.630005,1528.800049,1528.800049,558
47,2019-11-20,1513.800049,1514.959961,1513.76001,1515.5,1515.5,80
48,2019-11-21,1500.0,1510.199951,1499.599976,1507.900024,1507.900024,12415
49,2019-11-22,1521.599976,1521.859985,1519.0,1518.5,1518.5,2502
50,2019-11-25,1519.0,1520.040039,1514.599976,1513.5,1513.5,862
51,2019-11-26,1518.900024,1518.900024,1518.900024,1518.900024,1518.900024,0
52,2019-11-27,1502.0,1507.26001,1495.680054,1494.699951,1494.699951,14091
53,2019-11-28,1486.800049,1488.800049,1477.400024,1487.199951,1487.199951,3292
54,2019-11-29,1479.199951,1481.219971,1479.199951,1475.699951,1475.699951,1010
55,2019-12-02,1471.0,1477.640015,1470.650024,1472.900024,1472.900024,2468
56,2019-12-03,1448.599976,1459.77002,1441.599976,1441.599976,1441.599976,48924
57,2019-12-04,1450.0,1451.800049,1428.199951,1429.0,1429.0,9747
58,2019-12-05,1428.800049,1439.77002,1428.800049,1432.699951,1432.699951,2196
59,2019-12-06,1416.599976,1421.199951,1416.400024,1414.400024,1414.400024,373
60,2019-12-09,1404.800049,1406.0,1402.969971,1404.5,1404.5,1852
61,2019-12-10,1394.400024,1401.800049,1390.130005,1400.5,1400.5,3405
