,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,167.100006,167.100006,166.649994,163.0,163.0,4568.0
1,2019-09-17,167.25,167.25,166.024994,164.25,164.25,1000.0
2,2019-09-18,160.5,166.875,160.5,162.0,162.0,3460.0
3,2019-09-19,163.0,168.5,163.0,168.5,168.5,13361.0
4,2019-09-20,164.5,167.0,164.5,167.0,167.0,25187.0
5,2019-09-23,162.0,166.550003,162.0,162.0,162.0,9721.0
6,2019-09-24,161.0,165.0,161.0,162.0,162.0,117543.0
7,2019-09-25,160.362,166.23599199999998,160.362,165.0,165.0,65844.0
8,2019-09-26,160.5,166.5,149.0,153.0,153.0,261266.0
9,2019-09-27,156.0,157.649994,155.279999,158.5,158.5,63862.0
10,2019-09-30,158.0,159.875,155.800003,161.0,161.0,27744.0
11,2019-10-01,159.5,162.759995,159.5,161.5,161.5,17321.0
12,2019-10-02,161.0,163.0,160.5,163.0,163.0,276591.0
13,2019-10-03,160.5,163.638,160.5,160.5,160.5,32602.0
14,2019-10-04,160.5,162.220001,155.0,155.0,155.0,10204.0
15,2019-10-07,158.5,159.449997,155.0,156.0,156.0,19839.0
16,2019-10-08,155.0,157.125,153.0,153.0,153.0,37339.0
17,2019-10-09,156.0,156.0,154.5,156.0,156.0,131810.0
18,2019-10-10,163.5,163.5,156.75,156.0,156.0,5397.0
19,2019-10-11,160.875,160.875,157.141006,157.0,157.0,2804.0
20,2019-10-14,163.5,163.5,157.141006,158.5,158.5,20919.0
21,2019-10-15,160.0,162.940002,155.5,156.25,156.25,121926.0
22,2019-10-16,156.380005,159.41000400000001,156.380005,156.5,156.5,2476.0
23,2019-10-17,163.5,163.5,160.0,158.5,158.5,23635.0
24,2019-10-18,155.5,159.774994,155.5,156.5,156.5,4289.0
25,2019-10-21,155.0,156.5,155.0,156.75,156.75,67276.0
26,2019-10-22,156.899994,156.899994,156.899994,157.0,157.0,5424.0
27,2019-10-23,157.740005,157.740005,157.740005,157.0,157.0,1961.0
28,2019-10-24,155.5,156.619995,155.5,156.5,156.5,102819.0
29,2019-10-25,157.0,157.0,157.0,157.0,157.0,0.0
30,2019-10-28,155.0,161.419998,155.0,156.75,156.75,123742.0
31,2019-10-29,157.419998,158.800003,157.419998,156.5,156.5,5692.0
32,2019-10-30,155.0,157.399994,155.0,155.0,155.0,129898.0
