,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,12.625,12.97,12.305,12.45,12.45,1577812.0
1,2019-09-17,12.45,12.95,12.4,12.75,12.75,959547.0
2,2019-09-18,12.75,12.65,12.26,12.375,12.375,265283.0
3,2019-09-19,12.375,12.39,12.255,12.375,12.375,41756.0
4,2019-09-20,12.375,12.25,11.599,12.125,12.125,399711.0
5,2019-09-23,12.125,12.0,11.55,12.0,12.0,101678.0
6,2019-09-24,12.0,11.97,11.51,11.75,11.75,129322.0
7,2019-09-25,11.75,11.532,11.01,11.2,11.2,586376.0
8,2019-09-26,11.25,11.4,10.8,11.0,11.0,628662.0
9,2019-09-27,11.0,11.25,10.76,10.875,10.875,430476.0
10,2019-09-30,10.875,11.24,10.76,11.0,11.0,70670.0
11,2019-10-01,11.0,11.1,11.075,11.0,11.0,65306.0
12,2019-10-02,11.0,10.95,10.55,10.75,10.75,224067.0
13,2019-10-03,10.75,11.0,10.505,10.75,10.75,62209.0
14,2019-10-04,10.75,10.875,10.863,10.75,10.75,124526.0
15,2019-10-07,10.75,11.0,10.9,10.75,10.75,150000.0
16,2019-10-08,10.75,10.822,9.6,9.85,9.85,2844388.0
17,2019-10-09,9.85,10.25,9.85,9.975,9.975,476135.0
18,2019-10-10,9.975,10.096,9.925,9.975,9.975,76905.0
19,2019-10-11,9.975,10.0,9.406,9.75,9.75,1016186.0
20,2019-10-14,9.75,10.0,9.406,9.75,9.75,333976.0
21,2019-10-15,9.75,9.835,9.535,9.75,9.75,205491.0
22,2019-10-16,9.75,10.3,9.208,10.0,10.0,945196.0
23,2019-10-17,10.4,10.7,9.31,9.8,9.8,2188738.0
24,2019-10-18,9.8,10.25,9.718,10.15,10.15,845604.0
25,2019-10-21,10.15,10.21,9.83,10.05,10.05,348204.0
26,2019-10-22,10.05,10.14,9.85,10.1,10.1,258765.0
27,2019-10-23,10.1,10.1,9.7,9.85,9.85,379850.0
28,2019-10-24,9.85,9.88,9.5,9.6,9.6,679347.0
29,2019-10-25,9.6,9.676,9.5,9.65,9.65,522449.0
30,2019-10-28,9.65,9.676,9.5,9.75,9.75,264055.0
31,2019-10-29,9.75,9.75,9.67,9.75,9.75,72069.0
32,2019-10-30,9.75,9.725,9.5,9.75,9.75,147963.0
33,2019-10-31,9.75,9.59,9.26,9.5,9.5,177748.0
34,2019-11-01,9.6,10.5,9.26,9.5,9.5,147453.0
35,2019-11-04,9.5,9.69,9.212,9.7,9.7,288321.0
36,2019-11-05,9.7,9.7,9.6,9.7,9.7,382892.0
37,2019-11-06,9.7,9.6,9.3,9.55,9.55,702978.0
38,2019-11-07,9.55,9.5,9.315,9.35,9.35,625168.0
39,2019-11-08,9.3,9.4,9.26,9.35,9.35,449453.0
40,2019-11-11,9.35,9.47,9.2,9.35,9.35,201060.0
41,2019-11-12,9.35,9.443,9.2,9.35,9.35,81477.0
42,2019-11-13,9.35,9.4,9.01,9.1,9.1,567362.0
43,2019-11-14,9.1,9.84,9.02,9.65,9.65,755944.0
44,2019-11-15,9.65,9.74,9.4,9.45,9.45,124188.0
45,2019-11-18,9.45,9.498,9.2,9.2,9.2,896365.0
46,2019-11-19,9.2,9.375,9.166,9.35,9.35,98268.0
47,2019-11-20,9.35,9.21,9.0,8.95,8.95,1078058.0
48,2019-11-21,8.95,9.1,8.691,9.1,9.1,844065.0
49,2019-11-22,8.9,9.05,8.74,8.9,8.9,340277.0
50,2019-11-25,8.9,9.1,8.666,8.95,8.95,567485.0
51,2019-11-26,8.95,9.29,8.88,9.15,9.15,311574.0
52,2019-11-27,9.2,9.8,8.95,9.65,9.65,797671.0
