,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,0.3,0.293,0.271,0.295,0.295,1147482.0
1,2019-09-17,0.295,0.293,0.278,0.295,0.295,460374.0
2,2019-09-18,0.295,0.305,0.305,0.295,0.295,300000.0
3,2019-09-19,0.295,0.279,0.259,0.275,0.275,492304.0
4,2019-09-20,0.275,0.299,0.252,0.28,0.28,2631726.0
5,2019-09-23,0.28,0.269,0.269,0.28,0.28,100000.0
6,2019-09-24,0.28,0.274,0.261,0.27,0.27,1988595.0
7,2019-09-25,0.27,0.26,0.26,0.27,0.27,532953.0
8,2019-09-26,0.27,0.261,0.255,0.265,0.265,1436197.0
9,2019-09-27,0.26,0.25,0.25,0.265,0.265,52412.0
10,2019-09-30,0.26,0.273,0.25,0.265,0.265,362817.0
11,2019-10-01,0.265,0.25,0.24,0.26,0.26,567461.0
12,2019-10-02,0.26,0.24,0.24,0.24,0.24,85730.0
13,2019-10-03,0.24,0.24,0.24,0.24,0.24,0.0
14,2019-10-04,0.24,0.218,0.218,0.24,0.24,123000.0
15,2019-10-07,0.24,0.24,0.24,0.24,0.24,0.0
16,2019-10-08,0.24,0.218,0.218,0.24,0.24,3506.0
17,2019-10-09,0.24,0.28,0.218,0.24,0.24,106130.0
18,2019-10-10,0.24,0.28,0.218,0.24,0.24,202079.0
19,2019-10-11,0.24,0.27,0.218,0.24,0.24,619646.0
20,2019-10-14,0.24,0.24,0.24,0.24,0.24,0.0
21,2019-10-15,0.24,0.24,0.24,0.24,0.24,0.0
22,2019-10-16,0.24,0.27,0.21,0.24,0.24,780000.0
23,2019-10-17,0.24,0.27,0.255,0.265,0.265,3367171.0
24,2019-10-18,0.265,0.269,0.251,0.265,0.265,500057.0
25,2019-10-21,0.265,0.262,0.25,0.265,0.265,300000.0
26,2019-10-22,0.265,0.262,0.262,0.265,0.265,103168.0
27,2019-10-23,0.265,0.262,0.231,0.245,0.245,904693.0
28,2019-10-24,0.245,0.245,0.245,0.245,0.245,0.0
29,2019-10-25,0.245,0.231,0.231,0.245,0.245,71215.0
30,2019-10-28,0.245,0.255,0.231,0.245,0.245,430232.0
31,2019-10-29,0.245,0.245,0.245,0.245,0.245,0.0
32,2019-10-30,0.245,0.231,0.231,0.245,0.245,34955.0
33,2019-10-31,0.245,0.245,0.245,0.245,0.245,0.0
34,2019-11-01,0.245,0.255,0.231,0.24,0.24,1947402.0
35,2019-11-04,0.24,0.264,0.233,0.25,0.25,1826904.0
36,2019-11-05,0.25,0.233,0.233,0.25,0.25,244107.0
37,2019-11-06,0.25,0.26,0.233,0.25,0.25,953004.0
38,2019-11-07,0.25,0.233,0.233,0.25,0.25,19500.0
39,2019-11-08,0.25,0.35,0.256,0.275,0.275,20062816.0
40,2019-11-11,0.275,0.258,0.25,0.25,0.25,2801041.0
41,2019-11-12,0.275,0.256,0.256,0.275,0.275,154840.0
42,2019-11-13,0.275,0.275,0.275,0.275,0.275,0.0
43,2019-11-14,0.275,0.251,0.25,0.265,0.265,2250000.0
44,2019-11-15,0.265,0.272,0.251,0.265,0.265,104564.0
45,2019-11-18,0.275,0.251,0.25,0.235,0.235,2135007.0
46,2019-11-19,0.235,0.235,0.235,0.235,0.235,0.0
47,2019-11-20,0.2,0.207,0.185,0.2,0.2,8672586.0
48,2019-11-21,0.2,0.199,0.19,0.2,0.2,963831.0
49,2019-11-22,0.2,0.194,0.194,0.2,0.2,2670000.0
50,2019-11-25,0.2,0.21,0.19,0.205,0.205,2274618.0
51,2019-11-26,0.205,0.24,0.196,0.225,0.225,2834496.0
52,2019-11-27,0.225,0.206,0.2,0.21,0.21,4036252.0
53,2019-11-28,0.21,0.214,0.213,0.21,0.21,956134.0
54,2019-11-29,0.21,0.21,0.21,0.21,0.21,0.0
55,2019-12-02,0.21,0.2,0.2,0.21,0.21,20000.0
56,2019-12-03,0.21,0.21,0.21,0.21,0.21,0.0
57,2019-12-04,0.21,0.213,0.2,0.21,0.21,233569.0
58,2019-12-05,0.21,0.2,0.2,0.21,0.21,55822.0
59,2019-12-06,0.21,0.212,0.2,0.21,0.21,247170.0
60,2019-12-09,0.21,0.22,0.2,0.21,0.21,97552.0
61,2019-12-10,0.21,0.2,0.2,0.21,0.21,18947.0
62,2019-12-11,0.21,0.212,0.212,0.21,0.21,500000.0
63,2019-12-12,0.21,0.2,0.2,0.21,0.21,530000.0
64,2019-12-13,0.21,0.202,0.202,0.21,0.21,232054.0
65,2019-12-16,0.21,0.211,0.202,0.21,0.21,864311.0
66,2019-12-17,0.21,0.22,0.2,0.2,0.2,1696474.0
67,2019-12-18,0.21,0.22,0.206,0.21,0.21,234194.0
68,2019-12-19,0.21,0.206,0.206,0.21,0.21,236849.0
69,2019-12-20,0.21,0.22,0.22,0.21,0.21,17766.0
70,2019-12-23,0.21,0.21,0.21,0.21,0.21,0.0
