,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,3226.25,3226.25,3226.25,3226.25,3226.25,0.0
1,2019-09-17,3200.25,3200.25,3200.25,3200.25,3200.25,0.0
2,2019-09-18,3211.5,3211.5,3211.5,3211.5,3211.5,0.0
3,2019-09-19,3233.0,3233.0,3233.0,3233.0,3233.0,0.0
4,2019-09-20,3237.25,3237.25,3237.25,3237.25,3237.25,0.0
5,2019-09-23,3211.75,3211.75,3211.75,3211.75,3211.75,0.0
6,2019-09-24,3194.75,3194.75,3194.75,3194.75,3194.75,0.0
7,2019-09-25,3178.0,3178.0,3176.0,3187.5,3187.5,4.0
8,2019-09-26,3202.0,3202.0,3202.0,3202.0,3202.0,0.0
9,2019-09-27,3234.75,3234.75,3234.75,3234.75,3234.75,0.0
10,2019-09-30,3250.5,3250.5,3250.5,3250.5,3250.5,0.0
11,2019-10-01,3236.0,3236.0,3236.0,3236.0,3236.0,0.0
12,2019-10-02,3140.5,3140.5,3140.5,3140.5,3140.5,0.0
13,2019-10-03,3116.25,3116.25,3116.25,3116.25,3116.25,0.0
14,2019-10-04,3144.5,3144.5,3144.5,3144.5,3144.5,0.0
15,2019-10-07,3171.25,3171.25,3171.25,3171.25,3171.25,0.0
16,2019-10-08,3160.75,3160.75,3160.75,3160.75,3160.75,0.0
17,2019-10-09,3176.75,3176.75,3176.75,3176.75,3176.75,0.0
18,2019-10-10,3199.75,3199.75,3199.75,3199.75,3199.75,0.0
19,2019-10-11,3187.0,3187.0,3187.0,3187.0,3187.0,0.0
20,2019-10-14,3196.75,3196.75,3196.75,3196.75,3196.75,0.0
21,2019-10-15,3193.570068,3193.570068,3193.570068,3207.0,3207.0,2191.0
22,2019-10-16,3204.25,3204.25,3204.25,3204.25,3204.25,0.0
23,2019-10-17,3215.25,3215.25,3215.25,3215.25,3215.25,0.0
24,2019-10-18,3210.75,3210.75,3210.75,3210.75,3210.75,0.0
25,2019-10-21,3213.0,3213.0,3213.0,3213.0,3213.0,0.0
26,2019-10-22,3216.449951,3216.449951,3211.5,3223.0,3223.0,2362.0
27,2019-10-23,3246.75,3246.75,3246.75,3246.75,3246.75,0.0
28,2019-10-24,3256.5,3258.0,3256.5,3253.75,3253.75,48320.0
29,2019-10-25,3255.0,3255.0,3255.0,3255.0,3255.0,0.0
30,2019-10-28,3257.25,3257.25,3257.25,3257.25,3257.25,0.0
31,2019-10-29,3240.5,3240.5,3240.5,3245.5,3245.5,45.0
32,2019-10-30,3230.0,3230.0,3230.0,3230.0,3230.0,0.0
33,2019-10-31,3218.75,3218.75,3218.75,3218.75,3218.75,0.0
34,2019-11-01,3231.0,3231.0,3231.0,3231.0,3231.0,0.0
35,2019-11-04,3279.060059,3279.060059,3279.060059,3277.75,3277.75,470.0
36,2019-11-05,3283.75,3283.75,3283.75,3283.75,3283.75,0.0
37,2019-11-06,3280.0,3281.560059,3280.0,3284.5,3284.5,2982.0
38,2019-11-07,3305.25,3305.25,3305.25,3305.25,3305.25,0.0
39,2019-11-08,3295.0,3295.0,3295.0,3295.0,3295.0,0.0
40,2019-11-11,3279.159912,3279.159912,3279.159912,3281.0,3281.0,1737.0
41,2019-11-12,3295.25,3295.25,3295.25,3295.25,3295.25,0.0
42,2019-11-13,3253.75,3253.75,3253.75,3253.75,3253.75,0.0
43,2019-11-14,3232.0,3232.0,3232.0,3232.0,3232.0,0.0
44,2019-11-15,3254.25,3254.25,3254.25,3254.25,3254.25,0.0
45,2019-11-18,3236.5,3236.5,3236.5,3236.5,3236.5,0.0
46,2019-11-19,3240.0,3240.0,3240.0,3240.0,3240.0,0.0
47,2019-11-20,3233.0,3233.0,3233.0,3233.0,3233.0,0.0
48,2019-11-21,3235.75,3235.75,3235.75,3235.75,3235.75,0.0
49,2019-11-22,3241.02002,3241.02002,3241.02002,3251.75,3251.75,412.0
50,2019-11-25,3243.0,3243.0,3243.0,3243.0,3243.0,0.0
51,2019-11-26,3253.0,3253.0,3253.0,3251.75,3251.75,2.0
52,2019-11-27,3236.75,3236.75,3236.75,3236.75,3236.75,0.0
53,2019-11-28,3222.75,3222.75,3222.75,3222.75,3222.75,0.0
54,2019-11-29,3224.5,3224.5,3224.5,3212.75,3212.75,1500.0
55,2019-12-02,3230.5,3230.5,3218.959961,3179.25,3179.25,2939.0
56,2019-12-03,3147.0,3147.0,3147.0,3147.0,3147.0,0.0
57,2019-12-04,3160.75,3160.75,3160.75,3160.75,3160.75,0.0
58,2019-12-05,3148.5,3148.5,3148.5,3148.5,3148.5,0.0
59,2019-12-06,3163.5,3163.5,3163.5,3168.5,3168.5,221.0
60,2019-12-09,3150.25,3150.25,3150.25,3150.25,3150.25,0.0
61,2019-12-10,3110.5,3110.5,3110.5,3154.5,3154.5,2027.0
62,2019-12-11,3170.0,3170.0,3170.0,3170.0,3170.0,0.0
63,2019-12-12,3215.25,3215.25,3215.25,3215.25,3215.25,0.0
64,2019-12-13,3176.25,3176.25,3176.25,3176.25,3176.25,0.0
65,2019-12-16,3205.5,3205.5,3196.159912,3217.25,3217.25,600.0
66,2019-12-17,3259.5,3259.5,3259.5,3259.5,3259.5,0.0
67,2019-12-18,3262.5,3262.5,3262.5,3262.5,3262.5,0.0
68,2019-12-19,3273.25,3273.25,3273.25,3273.25,3273.25,0.0
69,2019-12-20,3275.25,3275.25,3275.25,3275.25,3275.25,0.0
70,2019-12-23,3304.75,3304.75,3304.75,3304.75,3304.75,0.0
71,2019-12-24,3296.25,3296.25,3296.25,3296.25,3296.25,0.0
72,2019-12-27,3283.75,3283.75,3283.75,3283.75,3283.75,0.0
73,2019-12-30,3287.0,3287.0,3256.699951,3257.75,3257.75,502.0
