,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,0.113,0.115,0.112,0.113,0.113,18290477.0
1,2019-09-17,0.113,0.114,0.107,0.113,0.113,74700699.0
2,2019-09-18,0.113,0.115,0.11,0.113,0.113,105633196.0
3,2019-09-19,0.113,0.135,0.112,0.125,0.125,385076365.0
4,2019-09-20,0.125,0.128,0.117,0.123,0.123,59053634.0
5,2019-09-23,0.123,0.127,0.116,0.12,0.12,82923037.0
6,2019-09-24,0.12,0.138,0.119,0.13,0.13,168444674.0
7,2019-09-25,0.133,0.134,0.113,0.118,0.118,129957224.0
8,2019-09-26,0.118,0.22,0.117,0.2,0.2,95340350.0
9,2019-09-27,0.23,0.248,0.2,0.215,0.215,986348002.0
10,2019-09-30,0.225,0.32,0.2,0.285,0.285,925059183.0
11,2019-10-01,0.305,0.39,0.245,0.305,0.305,1020.0
12,2019-10-02,0.315,0.33,0.286,0.305,0.305,852245075.0
13,2019-10-03,0.315,0.347,0.291,0.335,0.335,503494643.0
14,2019-10-04,0.335,0.35,0.301,0.33,0.33,440010566.0
15,2019-10-07,0.335,0.35,0.311,0.335,0.335,390059493.0
16,2019-10-08,0.33,0.38,0.307,0.35,0.35,519410525.0
17,2019-10-09,0.35,0.359,0.316,0.345,0.345,162211432.0
18,2019-10-10,0.345,0.37,0.345,0.36,0.36,356819893.0
19,2019-10-11,0.36,0.464,0.357,0.44,0.44,1007774429.0
20,2019-10-14,0.445,0.51,0.357,0.495,0.495,871589805.0
21,2019-10-15,0.495,0.509,0.465,0.485,0.485,417293646.0
22,2019-10-16,0.49,0.52,0.47,0.5,0.5,389217951.0
23,2019-10-17,0.5,0.537,0.481,0.51,0.51,576699930.0
24,2019-10-18,0.515,0.51,0.43,0.45,0.45,435830742.0
25,2019-10-21,0.445,0.46,0.372,0.425,0.425,757283786.0
26,2019-10-22,0.395,0.39,0.266,0.295,0.295,43345881.0
27,2019-10-23,0.3,0.363,0.29,0.335,0.335,503025507.0
28,2019-10-24,0.34,0.44,0.282,0.305,0.305,167623481.0
29,2019-10-25,0.31,0.335,0.257,0.32,0.32,610850695.0
30,2019-10-28,0.32,0.335,0.257,0.3,0.3,284488320.0
31,2019-10-29,0.3,0.3,0.261,0.29,0.29,391273779.0
32,2019-10-30,0.295,0.304,0.272,0.3,0.3,413025588.0
33,2019-10-31,0.29,0.313,0.276,0.3,0.3,164384973.0
34,2019-11-01,0.3,0.31,0.283,0.3,0.3,196268084.0
35,2019-11-04,0.3,0.303,0.28,0.29,0.29,180245385.0
36,2019-11-05,0.29,0.297,0.28,0.282,0.282,187013350.0
37,2019-11-06,0.285,0.295,0.28,0.285,0.285,192064068.0
38,2019-11-07,0.29,0.39,0.28,0.36,0.36,777519186.0
39,2019-11-08,0.36,0.429,0.36,0.402,0.402,815969930.0
40,2019-11-11,0.415,0.47,0.39,0.41,0.41,721034088.0
41,2019-11-12,0.41,0.416,0.37,0.41,0.41,414803700.0
42,2019-11-13,0.41,0.415,0.372,0.395,0.395,442750600.0
43,2019-11-14,0.395,0.406,0.384,0.395,0.395,184981926.0
44,2019-11-15,0.395,0.41,0.381,0.4,0.4,222378015.0
45,2019-11-18,0.4,0.407,0.386,0.4,0.4,251683026.0
46,2019-11-19,0.4,0.415,0.394,0.405,0.405,124860835.0
47,2019-11-20,0.405,0.406,0.385,0.39,0.39,90920955.0
48,2019-11-21,0.39,0.395,0.354,0.37,0.37,138492673.0
49,2019-11-22,0.37,0.37,0.34,0.365,0.365,188231936.0
50,2019-11-25,0.365,0.37,0.34,0.35,0.35,105277518.0
51,2019-11-26,0.35,0.349,0.323,0.345,0.345,128737231.0
52,2019-11-27,0.34,0.34,0.32,0.325,0.325,253656180.0
53,2019-11-28,0.325,0.35,0.32,0.335,0.335,74883623.0
54,2019-11-29,0.335,0.336,0.31,0.32,0.32,66579781.0
55,2019-12-02,0.32,0.32,0.275,0.285,0.285,326356423.0
56,2019-12-03,0.29,0.292,0.268,0.28,0.28,290274954.0
57,2019-12-04,0.285,0.31,0.27,0.3,0.3,327840368.0
58,2019-12-05,0.3,0.308,0.29,0.295,0.295,196465039.0
59,2019-12-06,0.295,0.32,0.29,0.305,0.305,227432549.0
60,2019-12-09,0.305,0.308,0.29,0.295,0.295,232024338.0
61,2019-12-10,0.295,0.3,0.263,0.28,0.28,311986966.0
62,2019-12-11,0.28,0.281,0.263,0.27,0.27,98015264.0
63,2019-12-12,0.27,0.29,0.253,0.28,0.28,198880438.0
64,2019-12-13,0.285,0.29,0.26,0.27,0.27,95611307.0
65,2019-12-16,0.28,0.3,0.26,0.265,0.265,174111924.0
66,2019-12-17,0.265,0.27,0.243,0.26,0.26,151855335.0
67,2019-12-18,0.26,0.29,0.258,0.285,0.285,154832669.0
68,2019-12-19,0.285,0.288,0.27,0.275,0.275,78569108.0
69,2019-12-20,0.275,0.29,0.27,0.275,0.275,44342557.0
70,2019-12-23,0.275,0.29,0.261,0.265,0.265,122246724.0
71,2019-12-24,0.265,0.268,0.26,0.265,0.265,26229082.0
72,2019-12-27,0.265,0.275,0.261,0.275,0.275,14761057.0
73,2019-12-30,0.275,0.274,0.24,0.245,0.245,133214813.0
74,2019-12-31,0.245,0.255,0.24,0.245,0.245,70920174.0
75,2020-01-02,0.24,0.27,0.22,0.225,0.225,397107379.0
76,2020-01-03,0.225,0.24,0.222,0.235,0.235,216354455.0
77,2020-01-06,0.235,0.233,0.22,0.225,0.225,50776629.0
78,2020-01-07,0.225,0.23,0.224,0.225,0.225,32146218.0
79,2020-01-08,0.225,0.23,0.21,0.213,0.213,254328405.0
80,2020-01-09,0.213,0.234,0.206,0.23,0.23,332241360.0
81,2020-01-10,0.23,0.27,0.226,0.26,0.26,473362997.0
82,2020-01-13,0.26,0.283,0.226,0.245,0.245,185406882.0
83,2020-01-14,0.245,0.25,0.23,0.24,0.24,79984326.0
84,2020-01-15,0.24,0.26,0.23,0.255,0.255,135925810.0
85,2020-01-16,0.255,0.297,0.255,0.28,0.28,445512281.0
86,2020-01-17,0.28,0.31,0.268,0.29,0.29,398960562.0
87,2020-01-20,0.29,0.35,0.286,0.34,0.34,694371747.0
88,2020-01-21,0.335,0.348,0.32,0.33,0.33,308717872.0
89,2020-01-22,0.33,0.34,0.316,0.325,0.325,182798230.0
90,2020-01-23,0.325,0.333,0.291,0.32,0.32,243283934.0
91,2020-01-24,0.325,0.325,0.294,0.295,0.295,173108005.0
92,2020-01-27,0.29,0.295,0.27,0.27,0.27,214293672.0
93,2020-01-28,0.27,0.294,0.266,0.29,0.29,367081705.0
94,2020-01-29,0.295,0.29,0.275,0.285,0.285,132583591.0
95,2020-01-30,0.275,0.34,0.27,0.325,0.325,550659034.0
96,2020-01-31,0.335,0.419,0.32,0.325,0.325,794384994.0
97,2020-02-03,0.335,0.327,0.286,0.29,0.29,251653231.0
98,2020-02-04,0.29,0.294,0.27,0.275,0.275,254493774.0
99,2020-02-05,0.28,0.284,0.264,0.265,0.265,150360591.0
100,2020-02-06,0.265,0.29,0.267,0.275,0.275,168356391.0
101,2020-02-07,0.275,0.28,0.265,0.275,0.275,86107193.0
102,2020-02-10,0.275,0.275,0.275,0.275,0.275,0.0
103,2020-02-11,0.275,0.275,0.275,0.275,0.275,0.0
104,2020-02-12,0.285,0.29,0.265,0.285,0.285,58971242.0
105,2020-02-13,0.28,0.3,0.28,0.28,0.28,89428370.0
106,2020-02-14,0.28,0.293,0.276,0.28,0.28,69485922.0
107,2020-02-17,0.28,0.283,0.264,0.275,0.275,164443332.0
108,2020-02-18,0.275,0.29,0.266,0.28,0.28,119738723.0
109,2020-02-19,0.28,0.28,0.26,0.265,0.265,141619305.0
110,2020-02-20,0.265,0.3,0.263,0.285,0.285,350033034.0
111,2020-02-21,0.285,0.28,0.268,0.27,0.27,43240672.0
112,2020-02-24,0.27,0.276,0.25,0.255,0.255,141030250.0
113,2020-02-25,0.255,0.26,0.243,0.255,0.255,144810328.0
114,2020-02-26,0.255,0.254,0.23,0.25,0.25,85109977.0
115,2020-02-27,0.235,0.25,0.221,0.235,0.235,188747679.0
116,2020-02-28,0.23,0.235,0.207,0.21,0.21,104264704.0
117,2020-03-02,0.21,0.23,0.211,0.22,0.22,88378009.0
118,2020-03-03,0.22,0.288,0.215,0.26,0.26,514354322.0
119,2020-03-04,0.26,0.27,0.236,0.24,0.24,203895789.0
120,2020-03-05,0.25,0.252,0.23,0.24,0.24,91160251.0
121,2020-03-06,0.235,0.24,0.222,0.23,0.23,77870995.0
122,2020-03-09,0.205,0.228,0.2,0.22,0.22,119243152.0
123,2020-03-10,0.22,0.247,0.215,0.22,0.22,87929528.0
124,2020-03-11,0.22,0.274,0.213,0.245,0.245,238694140.0
125,2020-03-12,0.245,0.25,0.2,0.215,0.215,83513036.0
126,2020-03-13,0.215,0.244,0.212,0.23,0.23,66062171.0
127,2020-03-16,0.22,0.229,0.19,0.215,0.215,198115099.0
128,2020-03-17,0.215,0.229,0.183,0.2,0.2,79171976.0
129,2020-03-18,0.19,0.208,0.175,0.19,0.19,145046777.0
130,2020-03-19,0.19,0.193,0.172,0.18,0.18,60408441.0
131,2020-03-20,0.18,0.198,0.162,0.17,0.17,144428752.0
132,2020-03-23,0.17,0.189,0.132,0.17,0.17,243968597.0
133,2020-03-24,0.165,0.2,0.156,0.19,0.19,174402446.0
134,2020-03-25,0.19,0.235,0.176,0.21,0.21,207294609.0
135,2020-03-26,0.215,0.23,0.19,0.21,0.21,128527261.0
136,2020-03-27,0.21,0.214,0.181,0.195,0.195,176038373.0
137,2020-03-30,0.19,0.214,0.165,0.175,0.175,94153288.0
138,2020-03-31,0.175,0.234,0.165,0.18,0.18,256093304.0
139,2020-04-01,0.185,0.185,0.168,0.175,0.175,134420630.0
140,2020-04-02,0.18,0.18,0.171,0.175,0.175,37833345.0
141,2020-04-03,0.175,0.177,0.153,0.165,0.165,97257790.0
142,2020-04-06,0.165,0.185,0.16,0.17,0.17,144202342.0
143,2020-04-07,0.17,0.194,0.164,0.185,0.185,233438496.0
144,2020-04-08,0.185,0.208,0.171,0.185,0.185,146096845.0
145,2020-04-09,0.185,0.199,0.18,0.19,0.19,124902147.0
146,2020-04-14,0.19,0.188,0.17,0.175,0.175,138003495.0
147,2020-04-15,0.175,0.178,0.16,0.165,0.165,201101493.0
148,2020-04-16,0.16,0.17,0.154,0.165,0.165,107776582.0
149,2020-04-17,0.16,0.166,0.15,0.155,0.155,137137719.0
150,2020-04-20,0.155,0.175,0.154,0.17,0.17,178253954.0
151,2020-04-21,0.17,0.173,0.153,0.155,0.155,131906442.0
152,2020-04-22,0.155,0.158,0.148,0.155,0.155,104816574.0
153,2020-04-23,0.155,0.17,0.149,0.165,0.165,213492434.0
154,2020-04-24,0.165,0.171,0.155,0.17,0.17,109836172.0
155,2020-04-27,0.175,0.176,0.152,0.155,0.155,149164544.0
156,2020-04-28,0.155,0.18,0.153,0.16,0.16,397723931.0
157,2020-04-29,0.17,0.178,0.161,0.165,0.165,83168102.0
158,2020-04-30,0.165,0.167,0.153,0.16,0.16,170341825.0
159,2020-05-01,0.16,0.169,0.153,0.165,0.165,265797969.0
160,2020-05-04,0.165,0.17,0.15,0.155,0.155,164482748.0
161,2020-05-05,0.16,0.174,0.15,0.16,0.16,183635382.0
162,2020-05-06,0.16,0.164,0.15,0.155,0.155,147485892.0
163,2020-05-07,0.155,0.166,0.152,0.155,0.155,116566909.0
164,2020-05-11,0.16,0.17,0.158,0.165,0.165,188943822.0
165,2020-05-12,0.175,0.19,0.108,0.175,0.175,649821201.0
166,2020-05-13,0.175,0.184,0.165,0.165,0.165,247248251.0
167,2020-05-14,0.165,0.17,0.163,0.165,0.165,115646927.0
168,2020-05-15,0.165,0.169,0.158,0.165,0.165,129584434.0
169,2020-05-18,0.16,0.168,0.155,0.163,0.163,243959803.0
170,2020-05-19,0.163,0.163,0.155,0.158,0.158,171922730.0
171,2020-05-20,0.158,0.165,0.157,0.158,0.158,180862727.0
172,2020-05-21,0.158,0.164,0.158,0.162,0.162,78438862.0
173,2020-05-22,0.163,0.163,0.158,0.158,0.158,51613796.0
174,2020-05-26,0.163,0.164,0.155,0.158,0.158,158543873.0
175,2020-05-27,0.158,0.165,0.151,0.155,0.155,309789164.0
176,2020-05-28,0.155,0.165,0.154,0.16,0.16,167768489.0
177,2020-05-29,0.16,0.165,0.153,0.163,0.163,218211233.0
178,2020-06-01,0.163,0.165,0.158,0.163,0.163,139549430.0
179,2020-06-02,0.163,0.17,0.157,0.168,0.168,268703477.0
180,2020-06-03,0.165,0.179,0.163,0.173,0.173,292358860.0
181,2020-06-04,0.175,0.198,0.17,0.18,0.18,670477799.0
182,2020-06-05,0.18,0.244,0.182,0.223,0.223,846674372.0
183,2020-06-08,0.213,0.29,0.205,0.238,0.238,1013.0
184,2020-06-09,0.25,0.26,0.2,0.215,0.215,489795011.0
185,2020-06-10,0.215,0.235,0.213,0.223,0.223,199378966.0
186,2020-06-11,0.223,0.222,0.203,0.21,0.21,145474702.0
187,2020-06-12,0.21,0.214,0.197,0.205,0.205,244701349.0
188,2020-06-15,0.205,0.219,0.193,0.205,0.205,98726139.0
189,2020-06-16,0.205,0.225,0.205,0.215,0.215,250351398.0
190,2020-06-17,0.215,0.217,0.206,0.213,0.213,72598172.0
191,2020-06-18,0.213,0.22,0.197,0.213,0.213,179115364.0
192,2020-06-19,0.213,0.218,0.204,0.213,0.213,106856855.0
193,2020-06-22,0.195,0.204,0.183,0.195,0.195,377752774.0
194,2020-06-23,0.195,0.197,0.181,0.193,0.193,149789629.0
195,2020-06-24,0.193,0.198,0.186,0.195,0.195,147887920.0
196,2020-06-25,0.195,0.194,0.181,0.185,0.185,97731735.0
197,2020-06-26,0.185,0.195,0.184,0.195,0.195,256969624.0
198,2020-06-29,0.195,0.205,0.19,0.203,0.203,493609433.0
199,2020-06-30,0.215,0.224,0.191,0.215,0.215,632818229.0
200,2020-07-01,0.21,0.262,0.213,0.24,0.24,10137790.0
201,2020-07-02,0.24,0.27,0.233,0.237,0.237,753425625.0
202,2020-07-03,0.243,0.25,0.222,0.235,0.235,462148487.0
203,2020-07-06,0.245,0.25,0.234,0.245,0.245,266303625.0
204,2020-07-07,0.245,0.245,0.228,0.245,0.245,258217885.0
205,2020-07-08,0.225,0.235,0.224,0.233,0.233,407547505.0
206,2020-07-09,0.233,0.235,0.217,0.22,0.22,316662725.0
207,2020-07-10,0.22,0.254,0.219,0.255,0.255,608447282.0
208,2020-07-13,0.253,0.259,0.23,0.235,0.235,259779514.0
209,2020-07-14,0.228,0.236,0.217,0.233,0.233,239827687.0
210,2020-07-15,0.233,0.237,0.223,0.233,0.233,163052786.0
211,2020-07-16,0.233,0.24,0.225,0.233,0.233,176130873.0
212,2020-07-17,0.233,0.235,0.223,0.234,0.234,125225366.0
213,2020-07-20,,,,,,
214,2020-07-21,0.23,0.25,0.228,0.245,0.245,247275580.0
215,2020-07-22,0.24,0.247,0.227,0.23,0.23,162178890.0
216,2020-07-23,0.23,0.248,0.223,0.239,0.239,288476124.0
217,2020-07-24,0.245,0.26,0.224,0.23,0.23,421325609.0
218,2020-07-27,0.233,0.238,0.214,0.23,0.23,249178388.0
219,2020-07-28,0.23,0.24,0.224,0.24,0.24,254809893.0
220,2020-07-29,0.23,0.234,0.223,0.225,0.225,108907194.0
221,2020-07-30,0.225,0.245,0.22,0.225,0.225,254263411.0
222,2020-07-31,0.225,0.229,0.218,0.22,0.22,120494582.0
223,2020-08-03,0.22,0.229,0.214,0.225,0.225,153540397.0
224,2020-08-04,0.225,0.224,0.211,0.22,0.22,91527284.0
225,2020-08-05,0.22,0.225,0.212,0.218,0.218,214654983.0
226,2020-08-06,0.225,0.24,0.211,0.216,0.216,202264134.0
227,2020-08-07,0.215,0.214,0.2,0.208,0.208,180789740.0
228,2020-08-10,0.208,0.21,0.202,0.205,0.205,70525787.0
229,2020-08-11,0.205,0.224,0.2,0.213,0.213,251524262.0
230,2020-08-12,0.213,0.223,0.202,0.208,0.208,140838990.0
231,2020-08-13,0.208,0.22,0.207,0.215,0.215,108819565.0
232,2020-08-14,0.22,0.241,0.215,0.225,0.225,246152776.0
233,2020-08-17,0.24,0.243,0.203,0.219,0.219,298978727.0
234,2020-08-18,0.213,0.22,0.203,0.21,0.21,133599077.0
235,2020-08-19,0.21,0.21,0.2,0.205,0.205,89769492.0
236,2020-08-20,0.205,0.204,0.19,0.198,0.198,165973039.0
237,2020-08-21,0.198,0.215,0.198,0.198,0.198,190145607.0
238,2020-08-24,0.198,0.215,0.19,0.205,0.205,204850193.0
239,2020-08-25,0.205,0.207,0.195,0.205,0.205,100104318.0
240,2020-08-26,0.205,0.205,0.197,0.2,0.2,98519000.0
241,2020-08-27,0.195,0.208,0.196,0.198,0.198,85311217.0
242,2020-08-28,0.198,0.202,0.19,0.198,0.198,62974463.0
243,2020-09-01,0.195,0.196,0.186,0.19,0.19,88291741.0
244,2020-09-02,0.19,0.198,0.19,0.195,0.195,76778865.0
245,2020-09-03,0.195,0.195,0.175,0.19,0.19,123147332.0
246,2020-09-04,0.19,0.192,0.185,0.188,0.188,84349451.0
247,2020-09-07,0.195,0.198,0.173,0.173,0.173,419387328.0
248,2020-09-08,0.175,0.18,0.167,0.17,0.17,249023998.0
249,2020-09-09,0.173,0.173,0.167,0.168,0.168,93344281.0
250,2020-09-10,0.155,0.166,0.153,0.165,0.165,375132718.0
251,2020-09-11,0.165,0.165,0.157,0.16,0.16,114062486.0
252,2020-09-14,0.1605,0.165,0.156,0.165,0.165,176783075.0
