,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,2.9805,3.0192,2.7825,2.9459,2.9459,291629.0
1,2019-09-17,2.7825,2.8221,2.5844,2.6785,2.6785,1075263.0
2,2019-09-18,2.634,2.634,2.325,2.4755,2.4755,2021923.0
3,2019-09-19,2.7132,2.7132,2.3181,2.4805,2.4805,5227974.0
4,2019-09-20,2.2874,2.731,2.2874,2.3567,2.3567,3583482.0
5,2019-09-23,2.3864,2.4121,2.327,2.3963,2.3963,486623.0
6,2019-09-24,2.3072,2.6656,2.3072,2.5844,2.5844,808375.0
7,2019-09-25,2.4557,2.7726,2.3171,2.53,2.53,2447736.0
8,2019-09-26,2.3864,2.3864,2.2874,2.327,2.327,688674.0
9,2019-09-27,2.2775,2.3072,2.2775,2.3418,2.3418,333668.0
10,2019-09-30,2.3765,2.3765,2.3765,2.3468,2.3468,3513.0
11,2019-10-01,2.2874,2.3092,2.1923,2.2428,2.2428,4368908.0
12,2019-10-02,2.2181,2.228,2.1636,2.124,2.124,766330.0
13,2019-10-03,2.0794,2.0794,1.7645,1.8566,1.8566,3326937.0
14,2019-10-04,1.8121,1.916,1.7824,1.8794,1.8794,1768104.0
15,2019-10-07,1.8616,1.8616,1.8616,1.8764,1.8764,11403.0
16,2019-10-08,1.8071,2.0873,1.6427,1.7081,1.7081,2246524.0
17,2019-10-09,1.6833,1.7635,1.6378,1.6685,1.6685,924396.0
18,2019-10-10,1.7378,1.8566,1.6833,1.8566,1.8566,4400110.0
19,2019-10-11,1.7428,1.9002,1.6883,1.8319,1.8319,4300143.0
20,2019-10-14,1.9804,1.9804,1.7269,1.7378,1.7378,737546.0
21,2019-10-15,1.7477,1.9061,1.6913,1.8814,1.8814,754327.0
22,2019-10-16,2.02,2.0299,1.8566,1.916,1.916,1980873.0
23,2019-10-17,1.8863,2.0675,1.8814,2.0002,2.0002,417448.0
24,2019-10-18,1.9012,1.9804,1.8943,1.9507,1.9507,1081690.0
25,2019-10-21,1.9507,1.9804,1.8675,1.9408,1.9408,4164182.0
26,2019-10-22,1.8814,1.9685,1.8616,2.0398,2.0398,592416.0
27,2019-10-23,1.8863,2.119,1.7883,1.8497,1.8497,742317.0
28,2019-10-24,1.7873,1.8913,1.7824,1.8447,1.8447,1121258.0
29,2019-10-25,1.8319,2.0309,1.7893,1.815,1.815,448539.0
30,2019-10-28,1.8121,2.0309,1.7824,1.8368,1.8368,1322309.0
31,2019-10-29,1.7873,1.8814,1.7734,1.7824,1.7824,2026910.0
32,2019-10-30,1.8913,1.8913,1.6081,1.6437,1.6437,3882056.0
33,2019-10-31,1.6318,1.6318,1.6071,1.619,1.619,1224930.0
34,2019-11-01,1.5794,1.619,1.4952,1.6091,1.6091,1724223.0
35,2019-11-04,1.7279,1.7279,1.5358,1.6041,1.6041,1048535.0
36,2019-11-05,1.7279,1.7279,1.4902,1.5051,1.5051,1685706.0
37,2019-11-06,1.5051,1.5051,1.3912,1.414,1.414,1219251.0
38,2019-11-07,1.3912,1.51,1.3417,1.3863,1.3863,2533591.0
39,2019-11-08,1.3417,1.3437,0.9407,1.1635,1.1635,61985830.0
40,2019-11-11,1.1833,1.2575,1.114,1.2407,1.2407,9161913.0
41,2019-11-12,1.2872,1.2872,1.1783,1.208,1.208,4199194.0
42,2019-11-13,1.2278,1.2417,1.1932,1.1961,1.1961,1645776.0
43,2019-11-14,1.1932,1.206,1.109,1.1536,1.1536,3086744.0
44,2019-11-15,1.111,1.1882,1.111,1.1635,1.1635,474457.0
45,2019-11-18,1.2328,1.2377,1.1189,1.2031,1.2031,4171837.0
46,2019-11-19,1.2328,1.2823,1.1862,1.2655,1.2655,3149065.0
47,2019-11-20,1.3318,1.4239,1.1813,1.2872,1.2872,3590421.0
48,2019-11-21,1.2922,1.4199,1.2863,1.2575,1.2575,583863.0
49,2019-11-22,1.2872,1.3863,1.2308,1.2625,1.2625,6408501.0
50,2019-11-25,1.3368,1.3516,1.31,1.2971,1.2971,625965.0
51,2019-11-26,1.3863,1.3863,1.2278,1.2476,1.2476,2347391.0
52,2019-11-27,1.3071,1.4853,1.2565,1.4061,1.4061,16766604.0
