,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,0.5825,0.5825,0.5825,0.5825,0.5825,0.0
1,2019-09-17,0.58,0.58,0.576,0.5745,0.5745,68291.0
2,2019-09-18,0.5815,0.5815,0.5815,0.5815,0.5815,0.0
3,2019-09-19,0.5825,0.5825,0.5825,0.5825,0.5825,0.0
4,2019-09-20,0.583,0.583,0.579,0.582,0.582,40618.0
5,2019-09-23,0.578,0.579,0.575,0.576,0.576,29580.0
6,2019-09-24,0.5705,0.5705,0.5705,0.5705,0.5705,0.0
7,2019-09-25,0.572,0.572,0.572,0.572,0.572,0.0
8,2019-09-26,0.575,0.575,0.575,0.575,0.575,0.0
9,2019-09-27,0.58,0.58,0.58,0.5825,0.5825,5000.0
10,2019-09-30,0.581,0.581,0.578,0.579,0.579,1248000.0
11,2019-10-01,0.588,0.589,0.58418,0.586,0.586,262934.0
12,2019-10-02,0.581,0.581,0.581,0.581,0.581,0.0
13,2019-10-03,0.582,0.587,0.582,0.584,0.584,50028.0
14,2019-10-04,0.5835,0.5835,0.5835,0.5835,0.5835,0.0
15,2019-10-07,0.586,0.586,0.586,0.586,0.586,0.0
16,2019-10-08,0.5885,0.5885,0.5885,0.5885,0.5885,0.0
17,2019-10-09,0.595,0.595,0.595,0.5965,0.5965,800.0
18,2019-10-10,0.596,0.599,0.596,0.596,0.596,105994.0
19,2019-10-11,0.597,0.597,0.597,0.6055,0.6055,4000.0
20,2019-10-14,0.609,0.6135,0.60709,0.6065,0.6065,682791.0
21,2019-10-15,0.6055,0.6055,0.6055,0.6055,0.6055,0.0
22,2019-10-16,0.602,0.609,0.602,0.608,0.608,108310.0
23,2019-10-17,0.614,0.6215,0.614,0.6265,0.6265,26085.0
24,2019-10-18,0.625,0.63,0.623,0.631,0.631,309000.0
25,2019-10-21,0.635,0.635,0.63,0.627,0.627,687500.0
26,2019-10-22,0.621,0.63,0.621,0.625,0.625,18540.0
27,2019-10-23,0.6205,0.6205,0.6205,0.6205,0.6205,0.0
28,2019-10-24,0.616,0.616,0.616,0.616,0.616,0.0
29,2019-10-25,0.621,0.621,0.621,0.621,0.621,0.0
30,2019-10-28,0.611,0.6127600000000001,0.611,0.6095,0.6095,120425.0
31,2019-10-29,0.615,0.615,0.615,0.6095,0.6095,10600.0
32,2019-10-30,0.608,0.608,0.608,0.608,0.608,0.0
33,2019-10-31,0.607,0.607,0.6,0.602,0.602,169022.0
34,2019-11-01,0.606,0.611,0.606,0.611,0.611,46868.0
35,2019-11-04,0.611,0.611,0.61,0.61,0.61,5386.0
36,2019-11-05,0.61,0.61,0.607,0.609,0.609,4300.0
37,2019-11-06,0.6195,0.6195,0.6195,0.6195,0.6195,0.0
38,2019-11-07,0.618,0.618,0.611,0.612,0.612,775300.0
39,2019-11-08,0.609,0.61,0.609,0.6095,0.6095,17534.0
40,2019-11-11,0.606,0.606,0.606,0.606,0.606,0.0
41,2019-11-12,0.612,0.612,0.612,0.6115,0.6115,14300.0
42,2019-11-13,0.6137,0.6137,0.6137,0.6075,0.6075,80600.0
43,2019-11-14,0.6035,0.6035,0.6035,0.6035,0.6035,0.0
44,2019-11-15,0.6,0.6,0.6,0.6,0.6,0.0
45,2019-11-18,0.594,0.594,0.594,0.6025,0.6025,21387.0
46,2019-11-19,0.61,0.61,0.61,0.61,0.61,0.0
47,2019-11-20,0.606,0.609,0.606,0.6095,0.6095,81700.0
48,2019-11-21,0.611,0.617,0.609,0.61,0.61,77085.0
49,2019-11-22,0.613,0.613,0.613,0.613,0.613,0.0
50,2019-11-25,0.619,0.619,0.619,0.626,0.626,30000.0
51,2019-11-26,0.626,0.6266,0.625,0.624,0.624,315000.0
52,2019-11-27,0.63,0.63,0.625,0.627,0.627,41500.0
53,2019-11-28,0.617,0.62792,0.617,0.623,0.623,35255.0
54,2019-11-29,0.617,0.641,0.617,0.641,0.641,440000.0
55,2019-12-02,0.639,0.64,0.636,0.636,0.636,318654.0
56,2019-12-03,0.633,0.633,0.627,0.6275,0.6275,33665.0
57,2019-12-04,0.618,0.618,0.618,0.621,0.621,80000.0
58,2019-12-05,0.622,0.622,0.621,0.621,0.621,116240.0
59,2019-12-06,0.6145,0.6145,0.6145,0.6145,0.6145,0.0
60,2019-12-09,0.616,0.616,0.616,0.621,0.621,321000.0
61,2019-12-10,0.617,0.618,0.615,0.618,0.618,143019.0
62,2019-12-11,0.617,0.617,0.612,0.613,0.613,73224.0
63,2019-12-12,0.615,0.615,0.6018600000000001,0.629,0.629,211790.0
64,2019-12-13,0.632,0.632,0.629,0.624,0.624,135400.0
65,2019-12-16,0.635,0.64873,0.635,0.6475,0.6475,410455.0
66,2019-12-17,0.647,0.655,0.646,0.656,0.656,441049.0
67,2019-12-18,0.65,0.6532,0.648,0.652,0.652,873397.0
68,2019-12-19,0.65,0.65,0.65,0.65,0.65,0.0
