,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,6.889,7.002,6.889,7.002,7.002,0.0
1,2019-09-17,6.974,6.994,6.963,6.994,6.994,0.0
2,2019-09-18,6.987,6.997,6.969,6.969,6.969,0.0
3,2019-09-19,6.97,7.019,6.963,7.017,7.017,0.0
4,2019-09-20,7.008,7.077,7.003,7.077,7.077,0.0
5,2019-09-23,7.095,7.095,7.072,7.072,7.072,0.0
6,2019-09-24,7.091,7.098,7.051,7.051,7.051,0.0
7,2019-09-25,6.971,7.005,6.961,6.998,6.998,0.0
8,2019-09-26,7.01,7.035,6.985,6.985,6.985,0.0
9,2019-09-27,6.962,6.972,6.922,6.943,6.943,0.0
10,2019-09-30,6.893,6.924,6.888,6.904,6.904,0.0
11,2019-10-01,6.984,6.984,6.888,6.888,6.888,0.0
12,2019-10-02,6.762,6.78,6.677,6.694,6.694,0.0
13,2019-10-03,6.694,6.694,6.694,6.694,6.694,0.0
14,2019-10-04,6.781,6.854,6.758,6.808,6.808,0.0
15,2019-10-07,6.853,6.861,6.827,6.861,6.861,0.0
16,2019-10-08,6.858,6.858,6.701,6.706,6.706,0.0
17,2019-10-09,6.674,6.729,6.66,6.713,6.713,0.0
18,2019-10-10,6.686,6.749,6.685,6.749,6.749,0.0
19,2019-10-11,6.768,6.837,6.749,6.83,6.83,0.0
20,2019-10-14,6.801,6.825,6.768,6.825,6.825,0.0
21,2019-10-15,6.858,6.888,6.835,6.888,6.888,0.0
22,2019-10-16,6.868,6.876,6.835,6.873,6.873,0.0
23,2019-10-17,6.841,6.867,6.825,6.867,6.867,0.0
24,2019-10-18,6.838,6.863,6.836,6.863,6.863,0.0
25,2019-10-21,6.848,6.848,6.813,6.842,6.842,0.0
26,2019-10-22,6.823,6.96,6.819,6.949,6.949,0.0
27,2019-10-23,6.812,6.892,6.812,6.892,6.892,0.0
28,2019-10-24,6.889,6.966,6.884,6.948,6.948,0.0
29,2019-10-25,6.932,6.984,6.93,6.979,6.979,0.0
30,2019-10-28,7.003,7.079,6.99,7.079,7.079,0.0
31,2019-10-29,7.083,7.13,7.067,7.122,7.122,0.0
