,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-16,30882.0,30949.0,30841.0,30865.0,30865.0,3370.0
1,2019-09-17,30925.0,31043.0,30925.0,31036.0,31036.0,586.0
2,2019-09-18,31095.0,31146.0,31093.0,31171.5,31171.5,483.0
3,2019-09-19,31130.0,31207.0,31130.0,31260.5,31260.5,514.0
4,2019-09-20,31397.0,31414.0,31253.0,31321.0,31321.0,688.0
5,2019-09-23,31485.0,31644.0,31485.0,31575.0,31575.0,788.0
6,2019-09-24,31523.0,31523.0,31523.0,31872.5,31872.5,16.0
7,2019-09-25,31993.0,31995.0,31909.0,31967.5,31967.5,564.0
8,2019-09-26,32145.0,32196.300781,32113.0,32175.5,32175.5,86.0
9,2019-09-27,32484.0,32577.300781,32244.0,32365.5,32365.5,1797.0
10,2019-09-30,32331.0,32407.0,32261.0,32406.5,32406.5,1430.0
11,2019-10-01,32345.0,32406.0,32300.0,32337.5,32337.5,2553.0
12,2019-10-02,32269.0,32338.0,31908.0,31881.0,31881.0,1790.0
13,2019-10-03,31834.0,31846.0,31814.0,31623.0,31623.0,476.0
14,2019-10-04,31782.0,31908.0,31782.0,32078.5,32078.5,1574.0
15,2019-10-07,32277.0,32315.199219,32229.199219,32148.0,32148.0,577.0
16,2019-10-08,32385.0,32469.0,32216.599608999997,32228.5,32228.5,1039.0
17,2019-10-09,32165.0,32223.0,32115.0,32183.5,32183.5,1232.0
18,2019-10-10,31965.5,31965.5,31965.5,31965.5,31965.5,0.0
19,2019-10-11,31669.0,31669.0,30907.0,31016.0,31016.0,520.0
20,2019-10-14,31211.0,31259.0,30916.400391000003,31109.0,31109.0,966.0
21,2019-10-15,30860.0,30866.0,30508.0,30565.0,30565.0,480.0
22,2019-10-16,30581.0,30637.0,30234.0,30279.0,30279.0,1156.0
23,2019-10-17,30242.0,30419.0,30242.0,30258.5,30258.5,45.0
24,2019-10-18,30233.0,30233.0,30233.0,30350.5,30350.5,3.0
25,2019-10-21,30141.0,30257.0,30141.0,30223.5,30223.5,360.0
26,2019-10-22,30483.0,30488.0,30483.0,30552.0,30552.0,214.0
27,2019-10-23,30666.0,30666.0,30666.0,30731.0,30731.0,1.0
28,2019-10-24,30721.0,30968.800781,30693.0,31016.0,31016.0,1000.0
29,2019-10-25,31017.0,31071.0,30772.0,30710.5,30710.5,2806.0
30,2019-10-28,30570.0,31043.900391000003,30433.0,30377.5,30377.5,2052.0
31,2019-10-29,30341.0,30341.0,30120.0,30164.5,30164.5,95.0
32,2019-10-30,30532.0,30534.599608999997,30303.0,30486.5,30486.5,39.0
33,2019-10-31,30259.0,30463.0,30209.0,30381.5,30381.5,514.0
34,2019-11-01,30455.0,30494.0,30455.0,30461.0,30461.0,425.0
35,2019-11-04,30387.0,30490.0,30324.0,30262.5,30262.5,176.0
36,2019-11-05,30064.0,30064.0,30064.0,29848.5,29848.5,3.0
37,2019-11-06,29821.800781,29946.0,29801.0,29978.5,29978.5,99.0
38,2019-11-07,29901.0,29990.0,29660.0,29670.0,29670.0,1028.0
39,2019-11-08,29598.5,29598.5,29598.5,29598.5,29598.5,0.0
40,2019-11-11,29642.0,29642.0,29389.0,29417.0,29417.0,10.0
41,2019-11-12,29322.0,29396.0,29322.0,29402.5,29402.5,39.0
42,2019-11-13,29442.0,29442.0,29441.300781,29810.5,29810.5,32.0
43,2019-11-14,29969.5,29969.5,29969.5,29969.5,29969.5,0.0
44,2019-11-15,29820.0,29820.0,29732.0,29813.5,29813.5,20.0
45,2019-11-18,29742.0,30031.0,29742.0,29946.0,29946.0,504.0
46,2019-11-19,29898.5,29898.5,29898.5,29898.5,29898.5,0.0
47,2019-11-20,29927.0,30083.0,29927.0,29945.0,29945.0,334.0
48,2019-11-21,29904.0,30004.5,29903.0,29961.0,29961.0,344.0
49,2019-11-22,30062.0,30062.0,30062.0,30062.0,30062.0,0.0
50,2019-11-25,30036.0,30073.0,29860.0,29864.5,29864.5,44.0
51,2019-11-26,30050.5,30050.5,30050.5,30050.5,30050.5,0.0
52,2019-11-27,30019.0,30021.0,29962.0,29991.0,29991.0,565.0
