,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,1.155,1.175,1.08,1.175,1.175,1371483.0
1,2019-07-16,1.15,1.2,1.098,1.075,1.075,1281869.0
2,2019-07-17,1.098,1.1,1.05,1.075,1.075,2051654.0
3,2019-07-18,1.093,1.14,1.0,1.025,1.025,2832205.0
4,2019-07-19,1.013,1.04,1.0,1.025,1.025,510850.0
5,2019-07-22,1.025,1.025,0.971,1.025,1.025,874116.0
6,2019-07-23,1.01,1.088,1.01,1.05,1.05,1270738.0
7,2019-07-24,1.05,1.05,1.05,1.05,1.05,0.0
8,2019-07-25,1.01,1.1,0.96,1.1,1.1,7039836.0
9,2019-07-26,1.085,1.11,1.01,1.1,1.1,1954411.0
10,2019-07-29,1.075,1.09,0.99,0.975,0.975,1836201.0
11,2019-07-30,0.975,1.025,0.95,0.975,0.975,1964092.0
12,2019-07-31,0.975,1.1,0.95,1.125,1.125,5975132.0
13,2019-08-01,1.125,1.189,1.125,1.175,1.175,1312095.0
14,2019-08-02,1.175,1.3,1.189,1.275,1.275,4933793.0
15,2019-08-05,1.275,1.35,1.255,1.275,1.275,1482676.0
16,2019-08-06,1.275,1.325,1.216,1.25,1.25,2508940.0
17,2019-08-07,1.25,1.279,1.233,1.25,1.25,538827.0
18,2019-08-08,1.325,1.43,1.16,1.35,1.35,2295693.0
19,2019-08-09,1.35,1.345,1.251,1.35,1.35,295444.0
20,2019-08-12,1.35,1.275,1.2,1.3,1.3,977781.0
21,2019-08-13,1.3,1.272,1.2,1.275,1.275,369946.0
22,2019-08-14,1.275,1.3,1.12,1.175,1.175,1886902.0
23,2019-08-15,1.175,1.243,1.125,1.2,1.2,840139.0
24,2019-08-16,1.2,1.176,1.15,1.2,1.2,269437.0
25,2019-08-19,1.2,1.1,1.0759999999999998,1.175,1.175,196629.0
26,2019-08-20,1.175,1.1,1.1,1.175,1.175,58090.0
27,2019-08-21,1.175,1.125,1.1,1.125,1.125,340980.0
28,2019-08-22,1.125,1.4,1.135,1.225,1.225,5095357.0
29,2019-08-23,1.225,1.24,1.16,1.2,1.2,576290.0
30,2019-08-27,1.2,1.5,1.15,1.4,1.4,3814998.0
31,2019-08-28,1.425,1.55,1.348,1.35,1.35,1911199.0
32,2019-08-29,1.35,1.55,1.25,1.45,1.45,3243279.0
33,2019-08-30,1.5,1.795,1.51,1.7,1.7,6823711.0
34,2019-09-02,1.7,2.0,1.663,1.9,1.9,11134998.0
35,2019-09-03,1.9,2.0,1.8,1.9,1.9,5146657.0
36,2019-09-04,1.9,2.08,1.662,1.85,1.85,7748423.0
37,2019-09-05,1.85,2.1,1.8,2.05,2.05,8535805.0
38,2019-09-06,2.05,2.1,1.878,2.0,2.0,2116575.0
39,2019-09-09,2.05,2.075,1.83,1.925,1.925,2701668.0
40,2019-09-10,1.975,1.92,1.722,1.775,1.775,1362574.0
41,2019-09-11,2.0,2.025,1.7,1.75,1.75,3092896.0
42,2019-09-12,1.775,1.8,1.6,1.625,1.625,2113325.0
43,2019-09-13,1.625,1.9,1.55,1.675,1.675,2918085.0
44,2019-09-16,1.675,2.048,1.5,1.9,1.9,8436922.0
45,2019-09-17,1.9,2.07,1.85,1.95,1.95,4970634.0
46,2019-09-18,1.95,2.18,1.88,2.1,2.1,7376861.0
47,2019-09-19,2.1,2.362,2.115,2.2,2.2,8494530.0
48,2019-09-20,2.2,2.2230000000000003,2.115,2.2,2.2,351087.0
49,2019-09-23,2.2,2.48,2.222,2.3,2.3,2844550.0
50,2019-09-24,2.3,2.374,2.15,2.2,2.2,1533663.0
51,2019-09-25,2.2,2.27,2.117,2.2,2.2,2654056.0
52,2019-09-26,2.25,2.4,2.1,2.3,2.3,2139492.0
53,2019-09-27,2.2,2.34,2.02,2.2,2.2,3995296.0
54,2019-09-30,2.2,2.268,2.01,2.1,2.1,1912920.0
55,2019-10-01,2.05,2.07,2.0,2.05,2.05,1045455.0
56,2019-10-02,2.05,2.17,1.85,2.05,2.05,5836809.0
57,2019-10-03,2.05,2.1,1.9,2.0,2.0,6397636.0
58,2019-10-04,2.0,2.085,1.9,2.0,2.0,1893094.0
59,2019-10-07,2.0,2.4,2.0,2.3,2.3,5328199.0
60,2019-10-08,2.3,2.6,2.215,2.3,2.3,5273959.0
61,2019-10-09,2.3,2.289,2.2,2.3,2.3,455631.0
62,2019-10-10,2.3,2.215,2.13,2.2,2.2,257711.0
63,2019-10-11,2.2,2.37,2.1,2.3,2.3,3384952.0
64,2019-10-14,2.3,2.37,2.05,2.1,2.1,4675200.0
65,2019-10-15,2.1,2.289,1.934,2.2,2.2,6196550.0
66,2019-10-16,2.2,2.2,2.0,2.1,2.1,2139756.0
67,2019-10-17,2.1,2.125,1.9,2.0,2.0,5156210.0
68,2019-10-18,2.05,2.28,1.983,2.1,2.1,4639770.0
69,2019-10-21,2.1,2.2,1.955,2.2,2.2,1728059.0
70,2019-10-22,2.1,2.2,2.0,2.1,2.1,965193.0
71,2019-10-23,2.1,2.37,2.015,2.2,2.2,6006857.0
72,2019-10-24,2.2,2.28,2.115,2.2,2.2,2107392.0
73,2019-10-25,2.2,2.6,2.136,2.5,2.5,7624424.0
74,2019-10-28,2.5,2.7,2.136,2.7,2.7,5862863.0
75,2019-10-29,2.6,2.68,2.5,2.6,2.6,3570526.0
