,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,4.55,4.6,4.6,4.65,4.65,11252327.0
1,2019-07-16,4.7,4.64,4.64,4.64,4.64,7674373.0
2,2019-07-17,4.82,4.7,4.7,4.525,4.525,11574928.0
3,2019-07-18,4.54,4.65,4.65,4.7,4.7,6583876.0
4,2019-07-19,4.8,4.9,4.51,4.675,4.675,4380770.0
5,2019-07-22,4.795,4.9,4.7,4.775,4.775,9694257.0
6,2019-07-23,4.73,4.99,4.73,4.875,4.875,4548596.0
7,2019-07-24,4.99,5.1,4.6,4.775,4.775,10325693.0
8,2019-07-25,4.725,4.78,4.27,4.575,4.575,4138724.0
9,2019-07-26,4.524,4.575,4.11,4.3,4.3,6146794.0
10,2019-07-29,4.3,4.38,3.926,4.325,4.325,8517929.0
11,2019-07-30,4.325,4.495,4.25,4.45,4.45,2318843.0
12,2019-07-31,4.4,4.45,4.125,4.2,4.2,5481908.0
13,2019-08-01,4.2,4.68,4.138,4.5,4.5,3628758.0
14,2019-08-02,4.5,4.662,4.339,4.5,4.5,2244187.0
15,2019-08-05,4.45,4.47,4.218,4.3,4.3,2175981.0
16,2019-08-06,4.3,4.34,3.835,4.05,4.05,12497232.0
17,2019-08-07,4.05,4.1,3.905,3.95,3.95,2551991.0
18,2019-08-08,3.95,4.0,3.73,3.85,3.85,5445705.0
19,2019-08-09,3.85,4.3,3.725,4.25,4.25,5505766.0
20,2019-08-12,4.3,4.3,4.0,4.15,4.15,1375645.0
21,2019-08-13,4.15,4.1,3.848,3.95,3.95,1086852.0
22,2019-08-14,3.95,4.5,4.05,4.3,4.3,2976519.0
23,2019-08-15,4.25,4.3,4.02,4.2,4.2,990221.0
24,2019-08-16,4.2,4.175,4.125,4.15,4.15,806319.0
25,2019-08-19,4.15,4.5,4.1,4.325,4.325,4084473.0
26,2019-08-20,4.8,4.6,3.7,3.7,3.7,12981234.0
27,2019-08-21,3.725,3.75,3.515,3.7,3.7,6459441.0
28,2019-08-22,3.7,3.75,3.38,3.45,3.45,4708317.0
29,2019-08-23,3.45,3.5,3.425,3.475,3.475,2933591.0
