,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,0.907,0.907,0.9,0.925,0.925,5675664.0
1,2019-07-16,0.936,0.936,0.936,0.925,0.925,9412.0
2,2019-07-17,0.936,0.95,0.9,0.95,0.95,620000.0
3,2019-07-18,0.95,0.95,0.95,0.95,0.95,0.0
4,2019-07-19,0.92,0.92,0.92,0.95,0.95,175000.0
5,2019-07-22,0.9,0.949,0.9,0.95,0.95,1208270.0
6,2019-07-23,0.978,0.978,0.978,1.0,1.0,1002044.0
7,2019-07-24,0.955,0.97,0.95,0.975,0.975,1100000.0
8,2019-07-25,0.975,0.975,0.975,0.975,0.975,0.0
9,2019-07-26,0.975,0.975,0.975,0.975,0.975,0.0
10,2019-07-29,0.975,0.95,0.905,0.925,0.925,1225510.0
11,2019-07-30,0.925,0.94,0.94,0.925,0.925,154883.0
12,2019-07-31,0.925,0.9,0.9,0.925,0.925,375000.0
13,2019-08-01,0.925,0.9,0.872,0.875,0.875,306000.0
14,2019-08-02,0.875,0.89,0.856,0.875,0.875,593551.0
15,2019-08-05,0.875,0.888,0.852,0.875,0.875,157071.0
16,2019-08-06,0.875,0.86,0.86,0.875,0.875,26348.0
17,2019-08-07,0.875,0.895,0.86,0.875,0.875,1320500.0
18,2019-08-08,0.875,0.9,0.866,0.85,0.85,130000.0
19,2019-08-09,0.85,0.86,0.825,0.85,0.85,334293.0
20,2019-08-12,0.85,0.875,0.875,0.85,0.85,100283.0
21,2019-08-13,0.85,0.85,0.85,0.85,0.85,0.0
22,2019-08-14,0.85,0.875,0.875,0.85,0.85,101000.0
23,2019-08-15,0.85,0.85,0.85,0.85,0.85,0.0
24,2019-08-16,0.85,0.85,0.85,0.85,0.85,0.0
25,2019-08-19,0.85,0.85,0.85,0.85,0.85,0.0
26,2019-08-20,0.85,0.83,0.828,0.85,0.85,450000.0
27,2019-08-21,0.85,0.83,0.83,0.85,0.85,162115.0
28,2019-08-22,0.85,0.81,0.81,0.85,0.85,50000.0
29,2019-08-23,0.85,0.85,0.85,0.85,0.85,0.0
30,2019-08-27,0.85,0.875,0.85,0.85,0.85,185000.0
31,2019-08-28,0.85,0.85,0.85,0.85,0.85,0.0
32,2019-08-29,0.85,0.875,0.875,0.85,0.85,100000.0
33,2019-08-30,0.85,0.875,0.821,0.85,0.85,199502.0
34,2019-09-02,0.85,0.8009999999999999,0.8009999999999999,0.85,0.85,375000.0
35,2019-09-03,0.85,0.865,0.7509999999999999,0.825,0.825,1272554.0
36,2019-09-04,0.825,0.825,0.825,0.825,0.825,0.0
37,2019-09-05,0.825,0.825,0.825,0.825,0.825,0.0
38,2019-09-06,0.825,0.7509999999999999,0.7509999999999999,0.8,0.8,300000.0
39,2019-09-09,0.8,0.75,0.75,0.8,0.8,64016.0
40,2019-09-10,0.8,0.81,0.81,0.8,0.8,105000.0
41,2019-09-11,0.8,0.8,0.8,0.8,0.8,0.0
42,2019-09-12,0.8,0.8,0.8,0.8,0.8,2124.0
43,2019-09-13,0.8,0.81,0.75,0.8,0.8,690838.0
44,2019-09-16,0.8,0.8,0.8,0.8,0.8,0.0
45,2019-09-17,0.8,0.785,0.75,0.8,0.8,146705.0
46,2019-09-18,0.8,0.785,0.785,0.8,0.8,32598.0
47,2019-09-19,0.8,0.7609999999999999,0.7609999999999999,0.8,0.8,18740.0
48,2019-09-20,0.8,0.785,0.7509999999999999,0.775,0.775,325000.0
49,2019-09-23,0.775,0.7509999999999999,0.7509999999999999,0.775,0.775,100360.0
50,2019-09-24,0.775,0.775,0.775,0.775,0.775,0.0
51,2019-09-25,0.775,0.775,0.775,0.775,0.775,0.0
52,2019-09-26,0.775,0.775,0.715,0.725,0.725,629357.0
53,2019-09-27,0.725,0.706,0.706,0.725,0.725,70000.0
54,2019-09-30,0.725,0.706,0.706,0.725,0.725,192308.0
55,2019-10-01,0.725,0.725,0.705,0.725,0.725,565939.0
56,2019-10-02,0.725,0.75,0.7,0.725,0.725,2081666.0
57,2019-10-03,0.725,0.705,0.65,0.675,0.675,1313551.0
58,2019-10-04,0.675,0.685,0.6509999999999999,0.675,0.675,423934.0
59,2019-10-07,0.675,0.655,0.6509999999999999,0.675,0.675,191439.0
60,2019-10-08,0.675,0.675,0.675,0.675,0.675,0.0
61,2019-10-09,0.675,0.6509999999999999,0.6509999999999999,0.675,0.675,30000.0
62,2019-10-10,0.675,0.675,0.675,0.675,0.675,0.0
63,2019-10-11,0.675,0.65,0.615,0.65,0.65,967269.0
64,2019-10-14,0.65,0.65,0.65,0.65,0.65,0.0
65,2019-10-15,0.65,0.61,0.552,0.575,0.575,540632.0
66,2019-10-16,0.575,0.598,0.598,0.6,0.6,398244.0
67,2019-10-17,0.6,0.562,0.55,0.6,0.6,128400.0
68,2019-10-18,0.6,0.6,0.6,0.6,0.6,20000.0
