,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,0.131,0.131,0.12,0.123,0.123,32804082.0
1,2019-07-16,0.124,0.13,0.115,0.125,0.125,37626955.0
2,2019-07-17,0.118,0.135,0.135,0.135,0.135,74066883.0
3,2019-07-18,0.134,0.131,0.131,0.131,0.131,51432858.0
4,2019-07-19,0.131,0.135,0.126,0.128,0.128,12355086.0
5,2019-07-22,0.126,0.13,0.124,0.13,0.13,12245872.0
6,2019-07-23,0.134,0.13,0.13,0.13,0.13,20409151.0
7,2019-07-24,0.128,0.13,0.13,0.13,0.13,61569521.0
8,2019-07-25,0.125,0.125,0.117,0.12,0.12,11313684.0
9,2019-07-26,0.121,0.121,0.116,0.12,0.12,16095692.0
10,2019-07-29,0.12,0.121,0.11,0.118,0.118,30432109.0
11,2019-07-30,0.115,0.119,0.11,0.115,0.115,8075127.0
12,2019-07-31,0.115,0.114,0.107,0.11,0.11,7673637.0
13,2019-08-01,0.11,0.125,0.114,0.12,0.12,31848745.0
14,2019-08-02,0.12,0.12,0.108,0.12,0.12,27543657.0
15,2019-08-05,0.115,0.119,0.101,0.11,0.11,46493236.0
16,2019-08-06,0.113,0.109,0.102,0.105,0.105,38759131.0
17,2019-08-07,0.105,0.105,0.095,0.105,0.105,41577650.0
18,2019-08-08,0.1,0.103,0.099,0.1,0.1,14688626.0
19,2019-08-09,0.1,0.115,0.099,0.105,0.105,51608230.0
20,2019-08-12,0.105,0.108,0.097,0.105,0.105,23466785.0
21,2019-08-13,0.105,0.115,0.1,0.11,0.11,38155665.0
22,2019-08-14,0.11,0.122,0.1,0.108,0.108,82880673.0
23,2019-08-15,0.108,0.11,0.1,0.105,0.105,48241181.0
24,2019-08-16,0.105,0.114,0.1,0.113,0.113,30883061.0
25,2019-08-19,0.113,0.132,0.113,0.128,0.128,72057187.0
26,2019-08-20,0.128,0.134,0.125,0.13,0.13,29940907.0
27,2019-08-21,0.113,0.105,0.095,0.1,0.1,197101792.0
28,2019-08-22,0.1,0.102,0.096,0.1,0.1,61639423.0
