,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,5.44,5.44,5.44,4.89,4.89,3584.0
1,2019-07-16,4.89,4.89,4.89,4.89,4.89,0.0
2,2019-07-17,5.0,5.0,5.0,4.7,4.7,63326.0
3,2019-07-18,4.6,4.6,4.6,4.6,4.6,0.0
4,2019-07-19,5.0,5.0,5.0,4.6,4.6,10014.0
5,2019-07-22,4.85,4.85,4.85,4.85,4.85,0.0
6,2019-07-23,4.85,4.85,4.85,4.85,4.85,0.0
7,2019-07-24,4.85,4.85,4.85,4.85,4.85,0.0
8,2019-07-25,4.86,4.86,4.86,4.86,4.86,0.0
9,2019-07-26,4.85,4.85,4.85,4.85,4.85,0.0
10,2019-07-29,4.825,4.825,4.825,4.825,4.825,0.0
11,2019-07-30,4.5,5.0,4.497,4.61,4.61,223991.0
12,2019-07-31,4.5,4.5,4.5,4.835,4.835,100000.0
13,2019-08-01,4.5,4.5,4.5,4.6,4.6,100000.0
14,2019-08-02,4.825,4.825,4.825,4.825,4.825,0.0
15,2019-08-05,4.5,4.5,4.5,4.825,4.825,100000.0
16,2019-08-06,4.22,4.22,4.22,4.6,4.6,9.0
17,2019-08-07,4.5,4.5,4.5,4.825,4.825,100000.0
18,2019-08-08,4.605,4.605,4.462,4.6,4.6,58934.0
19,2019-08-09,4.89,4.89,4.89,4.825,4.825,18077.0
20,2019-08-12,4.7,4.7,4.7,4.7,4.7,0.0
21,2019-08-13,4.7,4.7,4.7,4.7,4.7,627002.0
22,2019-08-14,4.22,4.99,4.22,4.7,4.7,975.0
23,2019-08-15,4.527,4.527,4.5,4.7,4.7,154000.0
24,2019-08-16,4.7,4.7,4.7,4.7,4.7,0.0
25,2019-08-19,4.53,4.53,4.53,4.7,4.7,5040.0
26,2019-08-20,4.7,4.7,4.7,4.7,4.7,0.0
27,2019-08-21,4.53,4.95,4.53,4.85,4.85,110600.0
28,2019-08-22,4.85,4.85,4.85,4.85,4.85,0.0
29,2019-08-23,4.85,4.85,4.85,4.85,4.85,0.0
30,2019-08-27,4.595,4.595,4.595,4.85,4.85,4080.0
31,2019-08-28,4.85,4.85,4.85,4.85,4.85,0.0
32,2019-08-29,4.553999999999999,4.553999999999999,4.553999999999999,4.85,4.85,20000.0
33,2019-08-30,4.85,4.85,4.85,4.85,4.85,0.0
34,2019-09-02,4.98,4.98,4.6,4.85,4.85,42987.0
35,2019-09-03,4.6,4.6,4.6,5.0,5.0,5947.0
36,2019-09-04,4.2,4.45,4.149,4.75,4.75,794142.0
37,2019-09-05,4.45,4.45,4.45,4.25,4.25,22472.0
38,2019-09-06,4.7,4.7,4.1,4.35,4.35,251063.0
39,2019-09-09,4.86,4.86,4.86,4.86,4.86,0.0
40,2019-09-10,4.95,4.95,4.5,4.6,4.6,756326.0
41,2019-09-11,5.0,5.0,5.0,5.0,5.0,0.0
42,2019-09-12,5.1,5.1,4.5,5.0,5.0,12909.0
43,2019-09-13,4.52,4.933,4.2,4.45,4.45,840491.0
44,2019-09-16,4.59,4.59,4.59,4.59,4.59,0.0
45,2019-09-17,4.2,4.331,4.05,4.2,4.2,408200.0
46,2019-09-18,4.26,4.3,4.15,4.12,4.12,174275.0
47,2019-09-19,4.1,4.3,3.5,4.12,4.12,842292.0
48,2019-09-20,4.235,4.238,4.1,4.12,4.12,42763.0
49,2019-09-23,4.12,4.12,4.12,4.12,4.12,0.0
50,2019-09-24,4.1,4.1,3.985,3.97,3.97,33050.0
51,2019-09-25,3.7,3.987,3.615,3.87,3.87,373181.0
52,2019-09-26,3.87,3.87,3.87,3.87,3.87,0.0
53,2019-09-27,3.9610000000000003,3.9610000000000003,3.9610000000000003,3.87,3.87,18784.0
54,2019-09-30,3.75,3.75,3.735,3.77,3.77,95051.0
55,2019-10-01,3.75,3.98,3.75,3.87,3.87,9181.0
56,2019-10-02,3.6919999999999997,3.6919999999999997,3.6919999999999997,3.63,3.63,10935.0
57,2019-10-03,3.62,3.62,3.62,3.63,3.63,27161.0
58,2019-10-04,3.6319999999999997,3.8310000000000004,3.6319999999999997,3.63,3.63,8907.0
59,2019-10-07,3.74,3.8310000000000004,3.6210000000000004,3.87,3.87,151692.0
60,2019-10-08,4.1339999999999995,4.154,3.89,3.77,3.77,31481.0
61,2019-10-09,3.89,3.89,3.89,3.77,3.77,150000.0
62,2019-10-10,3.9,3.9,3.9,3.77,3.77,2309.0
63,2019-10-11,3.98,3.98,3.65,3.63,3.63,265048.0
64,2019-10-14,3.8,4.02,3.65,4.35,4.35,292746.0
65,2019-10-15,4.02,4.02,4.0,4.35,4.35,319370.0
66,2019-10-16,4.0,4.09,3.8,3.84,3.84,160791.0
67,2019-10-17,3.8,3.8,3.8,3.71,3.71,11171.0
68,2019-10-18,3.98,6.325,3.908,4.85,4.85,4889665.0
69,2019-10-21,6.0,6.5,5.218,6.25,6.25,2635624.0
70,2019-10-22,6.0,6.94,5.65,6.0,6.0,1743326.0
71,2019-10-23,6.0,6.0,6.0,5.75,5.75,5.0
72,2019-10-24,5.625,5.715,5.3020000000000005,5.375,5.375,119561.0
73,2019-10-25,5.375,5.375,5.375,5.375,5.375,0.0
74,2019-10-28,5.5,5.5,5.5,5.4,5.4,50000.0
75,2019-10-29,5.41,5.41,5.319,5.25,5.25,2093.0
76,2019-10-30,5.15,5.15,5.15,5.15,5.15,0.0
77,2019-10-31,5.205,5.205,5.135,5.15,5.15,43682.0
78,2019-11-01,5.15,5.15,5.15,5.15,5.15,0.0
79,2019-11-04,5.3,5.54,5.3,5.375,5.375,175544.0
80,2019-11-05,5.05,5.367000000000001,5.05,5.4,5.4,131783.0
81,2019-11-06,5.2,5.35,5.2,5.175,5.175,204851.0
82,2019-11-07,5.247999999999998,5.252000000000002,5.247999999999998,5.125,5.125,2408.0
83,2019-11-08,5.35,6.06,5.35,5.725,5.725,58809.0
84,2019-11-11,5.5,5.5,5.5,5.5,5.5,381.0
85,2019-11-12,5.5,5.5,5.5,5.875,5.875,20000.0
86,2019-11-13,5.645,5.645,5.645,5.75,5.75,24294.0
87,2019-11-14,5.55,5.55,5.0,5.05,5.05,1011229.0
88,2019-11-15,5.05,5.05,5.05,5.05,5.05,0.0
89,2019-11-18,5.117,5.3,5.117,5.25,5.25,180938.0
90,2019-11-19,4.98,4.98,4.98,4.68,4.68,50000.0
91,2019-11-20,4.6,4.61,3.952,4.1,4.1,574616.0
92,2019-11-21,4.2,4.28,4.2,4.22,4.22,90000.0
93,2019-11-22,4.34,4.34,4.34,4.34,4.34,0.0
94,2019-11-25,4.22,4.855,3.7,4.6,4.6,1356931.0
95,2019-11-26,4.98,4.98,4.25,4.4,4.4,15326.0
96,2019-11-27,4.728,4.728,4.55,4.5,4.5,57100.0
97,2019-11-28,4.98,5.019,4.584,4.65,4.65,587578.0
98,2019-11-29,4.788,4.788,4.6560000000000015,4.58,4.58,51891.0
99,2019-12-02,5.07,5.07,5.07,4.825,4.825,41806.0
100,2019-12-03,4.5,4.5,4.5,4.85,4.85,1021.0
101,2019-12-04,4.85,4.85,4.85,4.85,4.85,0.0
102,2019-12-05,4.5,4.825,4.5,4.72,4.72,75000.0
103,2019-12-06,4.51,4.51,4.51,4.72,4.72,21350.0
104,2019-12-09,4.26,4.26,3.8,4.37,4.37,599279.0
105,2019-12-10,3.62,3.877,3.306,4.0,4.0,904755.0
106,2019-12-11,3.72,3.95,3.25,3.64,3.64,2094472.0
107,2019-12-12,3.69,3.945,3.69,3.83,3.83,11642.0
108,2019-12-13,3.7,4.09,3.7,3.88,3.88,95058.0
109,2019-12-16,3.82,4.02,3.82,3.94,3.94,141204.0
110,2019-12-17,3.94,3.94,3.94,3.94,3.94,0.0
111,2019-12-18,3.75,3.75,3.75,3.58,3.58,264666.0
112,2019-12-19,3.52,3.52,3.02,3.25,3.25,3176406.0
113,2019-12-20,3.32,3.645,3.32,3.54,3.54,1391238.0
114,2019-12-23,3.6,3.7289999999999996,3.6,3.7,3.7,157700.0
115,2019-12-24,3.98,3.98,3.6,3.69,3.69,20773.0
116,2019-12-27,3.7,3.7,3.6639999999999997,3.56,3.56,239350.0
117,2019-12-30,3.617,3.617,3.617,3.53,3.53,80000.0
118,2019-12-31,3.617,3.9,3.408,3.64,3.64,1154748.0
119,2020-01-02,3.798,3.798,3.576,3.63,3.63,26050.0
120,2020-01-03,3.661,3.661,3.661,3.7,3.7,2515.0
121,2020-01-06,3.67,3.67,3.67,3.38,3.38,5000.0
122,2020-01-07,3.48,3.78,3.05,3.1,3.1,360933.0
123,2020-01-08,3.3,3.39,3.11,3.43,3.43,93844.0
124,2020-01-09,3.4019999999999997,3.4019999999999997,3.4019999999999997,3.48,3.48,294270.0
125,2020-01-10,3.49,3.49,3.49,3.43,3.43,7163.0
126,2020-01-13,3.43,3.43,3.43,3.43,3.43,0.0
127,2020-01-14,3.49,3.49,3.49,3.43,3.43,28653.0
128,2020-01-15,3.59,3.59,3.59,3.48,3.48,27855.0
129,2020-01-16,3.59,3.59,3.255,3.48,3.48,141869.0
130,2020-01-17,3.66,3.66,3.66,3.48,3.48,13333.0
131,2020-01-20,3.48,3.48,3.48,3.48,3.48,0.0
132,2020-01-21,3.255,3.255,3.255,3.48,3.48,16086.0
133,2020-01-22,3.48,3.48,3.48,3.48,3.48,0.0
134,2020-01-23,3.255,3.64,3.255,3.48,3.48,471026.0
135,2020-01-24,3.35,3.66,3.35,3.48,3.48,207612.0
136,2020-01-27,3.48,3.48,3.36,3.4,3.4,132505.0
137,2020-01-28,3.36,3.89,3.36,3.48,3.48,253549.0
138,2020-01-29,3.48,3.48,3.48,3.48,3.48,0.0
139,2020-01-30,3.6,3.6,3.6,3.6,3.6,205.0
140,2020-01-31,3.6,3.6,3.6,3.6,3.6,0.0
141,2020-02-03,3.7,3.89,3.7,3.48,3.48,31169.0
142,2020-02-04,3.8,3.8,3.4419999999999997,3.48,3.48,58123.0
143,2020-02-05,3.6,3.6,3.6,3.6,3.6,0.0
144,2020-02-06,3.32,3.4419999999999997,3.32,3.32,3.32,220233.0
145,2020-02-07,3.4419999999999997,3.4419999999999997,3.25,3.47,3.47,130999.0
