,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,192.0,192.0,192.0,200.0,200.0,3295.0
1,2019-07-16,200.0,200.0,200.0,200.0,200.0,0.0
2,2019-07-17,200.0,200.0,200.0,200.0,200.0,0.0
3,2019-07-18,200.0,200.0,200.0,200.0,200.0,0.0
4,2019-07-19,200.0,200.0,200.0,200.0,200.0,0.0
5,2019-07-22,200.0,200.0,200.0,200.0,200.0,0.0
6,2019-07-23,199.0,199.0,199.0,199.0,199.0,0.0
7,2019-07-24,197.0,197.0,197.0,199.0,199.0,2000.0
8,2019-07-25,199.0,199.0,199.0,199.0,199.0,0.0
9,2019-07-26,199.0,199.0,199.0,199.0,199.0,0.0
10,2019-07-29,199.0,199.0,199.0,199.0,199.0,0.0
11,2019-07-30,195.0,195.0,195.0,195.0,195.0,0.0
12,2019-07-31,195.0,190.0,190.0,191.0,191.0,1320.0
13,2019-08-01,191.0,191.0,191.0,191.0,191.0,0.0
14,2019-08-02,191.0,191.0,191.0,191.0,191.0,0.0
15,2019-08-05,191.0,182.0,182.0,190.0,190.0,750.0
16,2019-08-06,190.0,180.0,180.0,190.0,190.0,2442.0
17,2019-08-07,190.0,180.0,180.0,190.0,190.0,3000.0
18,2019-08-08,190.0,175.0,175.0,185.0,185.0,3916.0
19,2019-08-09,185.0,185.0,185.0,185.0,185.0,0.0
20,2019-08-12,185.0,185.0,185.0,185.0,185.0,0.0
21,2019-08-13,185.0,175.0,175.0,180.0,180.0,750.0
22,2019-08-14,180.0,180.0,180.0,180.0,180.0,0.0
23,2019-08-15,180.0,180.0,180.0,180.0,180.0,0.0
24,2019-08-16,180.0,180.0,180.0,180.0,180.0,0.0
25,2019-08-19,180.0,175.0,155.0,162.5,162.5,3373.0
26,2019-08-20,162.5,162.5,162.5,162.5,162.5,0.0
27,2019-08-21,165.0,165.0,165.0,165.0,165.0,0.0
28,2019-08-22,165.0,165.0,165.0,165.0,165.0,0.0
29,2019-08-23,165.0,165.0,165.0,165.0,165.0,0.0
30,2019-08-27,165.0,165.0,165.0,165.0,165.0,0.0
31,2019-08-28,165.0,165.0,155.0,162.5,162.5,3083.0
32,2019-08-29,165.0,150.0,150.0,162.5,162.5,6186.0
33,2019-08-30,162.5,162.5,162.5,162.5,162.5,0.0
34,2019-09-02,162.5,162.5,162.5,162.5,162.5,0.0
35,2019-09-03,162.5,162.5,162.5,162.5,162.5,0.0
36,2019-09-04,162.5,162.5,162.5,162.5,162.5,0.0
37,2019-09-05,165.0,150.0,150.0,162.5,162.5,2531.0
38,2019-09-06,155.0,155.0,155.0,155.0,155.0,0.0
39,2019-09-09,155.0,160.0,160.0,155.0,155.0,2500.0
40,2019-09-10,155.0,155.5,154.5,155.0,155.0,8000.0
41,2019-09-11,155.0,160.0,145.0,157.5,157.5,18500.0
42,2019-09-12,157.5,160.0,159.0,157.5,157.5,7000.0
43,2019-09-13,157.5,166.0,160.0,165.0,165.0,23000.0
44,2019-09-16,170.0,165.0,165.0,167.5,167.5,15000.0
45,2019-09-17,170.0,170.0,170.0,170.0,170.0,0.0
46,2019-09-18,170.0,170.0,170.0,170.0,170.0,0.0
47,2019-09-19,174.0,174.0,174.0,174.0,174.0,0.0
48,2019-09-20,176.5,176.5,176.5,176.5,176.5,0.0
49,2019-09-23,176.5,176.5,176.5,176.5,176.5,0.0
50,2019-09-24,176.5,176.5,176.5,176.5,176.5,0.0
51,2019-09-25,177.5,171.0,171.0,176.5,176.5,5800.0
52,2019-09-26,177.5,176.5,176.5,176.5,176.5,74723.0
53,2019-09-27,177.5,176.5,176.5,176.5,176.5,2000.0
54,2019-09-30,176.5,176.5,176.5,176.5,176.5,0.0
55,2019-10-01,176.5,176.5,176.5,176.5,176.5,0.0
56,2019-10-02,177.5,172.0,172.0,176.5,176.5,2991.0
57,2019-10-03,176.5,176.5,176.5,176.5,176.5,0.0
58,2019-10-04,176.5,176.5,176.5,176.5,176.5,0.0
59,2019-10-07,177.5,170.0,170.0,176.5,176.5,1103.0
60,2019-10-08,176.5,176.5,176.5,176.5,176.5,0.0
61,2019-10-09,176.5,176.5,176.5,176.5,176.5,0.0
62,2019-10-10,174.0,174.0,174.0,174.0,174.0,0.0
63,2019-10-11,174.0,174.0,174.0,174.0,174.0,0.0
64,2019-10-14,174.0,174.0,174.0,174.0,174.0,0.0
65,2019-10-15,174.0,174.0,174.0,174.0,174.0,0.0
66,2019-10-16,175.0,170.0,170.0,174.0,174.0,48810.0
67,2019-10-17,175.0,170.0,170.0,176.5,176.5,8000.0
68,2019-10-18,176.5,176.5,176.5,176.5,176.5,0.0
69,2019-10-21,177.5,170.0,165.0,174.0,174.0,336015.0
70,2019-10-22,174.0,174.0,174.0,174.0,174.0,0.0
71,2019-10-23,174.0,174.0,174.0,174.0,174.0,0.0
72,2019-10-24,174.0,174.0,174.0,174.0,174.0,0.0
73,2019-10-25,174.0,174.0,174.0,174.0,174.0,0.0
74,2019-10-28,174.0,174.0,174.0,174.0,174.0,0.0
75,2019-10-29,175.0,180.0,171.0,174.0,174.0,13750.0
76,2019-10-30,174.0,174.0,174.0,174.0,174.0,0.0
77,2019-10-31,174.0,174.0,174.0,174.0,174.0,0.0
78,2019-11-01,175.0,180.0,180.0,174.0,174.0,3488.0
79,2019-11-04,174.0,174.0,174.0,174.0,174.0,0.0
80,2019-11-05,174.0,174.0,174.0,174.0,174.0,0.0
81,2019-11-06,175.0,180.0,180.0,174.0,174.0,5000.0
82,2019-11-07,175.0,166.0,166.0,174.0,174.0,2994.0
83,2019-11-08,175.0,180.0,180.0,175.0,175.0,4500.0
84,2019-11-11,175.0,175.0,175.0,175.0,175.0,0.0
85,2019-11-12,175.0,165.0,165.0,175.0,175.0,7520.0
86,2019-11-13,175.0,175.0,175.0,175.0,175.0,0.0
87,2019-11-14,175.0,175.0,175.0,175.0,175.0,0.0
88,2019-11-15,175.0,175.0,175.0,175.0,175.0,0.0
89,2019-11-18,175.0,175.0,175.0,175.0,175.0,0.0
90,2019-11-19,175.0,182.800003,182.0,175.0,175.0,5500.0
91,2019-11-20,177.5,177.5,177.5,177.5,177.5,0.0
92,2019-11-21,177.5,175.0,175.0,177.5,177.5,8000.0
93,2019-11-22,177.5,177.5,177.5,177.5,177.5,0.0
94,2019-11-25,177.5,177.5,177.5,177.5,177.5,0.0
95,2019-11-26,177.5,177.5,177.5,177.5,177.5,0.0
96,2019-11-27,177.5,183.350006,183.350006,177.5,177.5,703.0
97,2019-11-28,177.5,179.0,175.0,177.5,177.5,7000.0
98,2019-11-29,177.5,177.5,177.5,177.5,177.5,0.0
99,2019-12-02,177.5,177.5,177.5,177.5,177.5,0.0
100,2019-12-03,177.5,177.5,177.5,177.5,177.5,0.0
101,2019-12-04,177.5,177.5,177.5,177.5,177.5,0.0
102,2019-12-05,177.5,177.5,177.5,177.5,177.5,0.0
103,2019-12-06,177.5,177.5,177.5,177.5,177.5,0.0
104,2019-12-09,177.5,177.5,177.5,177.5,177.5,0.0
105,2019-12-10,177.5,175.0,172.0,177.5,177.5,52722.0
106,2019-12-11,177.5,177.5,177.5,177.5,177.5,0.0
107,2019-12-12,177.5,177.5,177.5,177.5,177.5,0.0
108,2019-12-13,177.5,172.0,172.0,177.5,177.5,2368.0
109,2019-12-16,177.5,185.0,185.0,177.5,177.5,10000.0
110,2019-12-17,177.5,183.0,182.0,177.5,177.5,17105.0
111,2019-12-18,177.5,177.5,177.5,177.5,177.5,0.0
112,2019-12-19,177.5,190.0,181.5,180.0,180.0,51250.0
113,2019-12-20,180.0,183.0,183.0,180.0,180.0,2500.0
114,2019-12-23,180.0,190.0,185.0,180.0,180.0,9854.0
115,2019-12-24,182.5,190.0,185.0,185.0,185.0,24381.0
116,2019-12-27,185.0,185.0,185.0,185.0,185.0,0.0
117,2019-12-30,185.0,185.0,185.0,185.0,185.0,0.0
118,2019-12-31,185.0,185.0,185.0,185.0,185.0,0.0
119,2020-01-02,185.0,185.0,185.0,185.0,185.0,0.0
120,2020-01-03,185.0,185.0,185.0,185.0,185.0,0.0
121,2020-01-06,185.0,185.0,185.0,185.0,185.0,0.0
122,2020-01-07,185.0,185.0,185.0,185.0,185.0,0.0
123,2020-01-08,185.0,190.0,187.0,187.0,187.0,11752.0
124,2020-01-09,187.0,192.0,189.0,189.0,189.0,226767.0
125,2020-01-10,189.0,192.0,190.800003,190.5,190.5,3500.0
126,2020-01-13,190.5,199.998001,187.889999,195.0,195.0,144601.0
127,2020-01-14,195.0,200.0,195.0,190.5,190.5,17970.0
128,2020-01-15,190.5,200.0,199.96499599999999,200.0,200.0,17821.0
129,2020-01-16,195.0,200.0,193.300003,195.0,195.0,13395.0
130,2020-01-17,198.0,195.279999,195.279999,197.0,197.0,5000.0
131,2020-01-20,198.0,194.619995,194.619995,197.0,197.0,1000.0
132,2020-01-21,197.0,197.0,197.0,197.0,197.0,0.0
133,2020-01-22,197.0,197.0,197.0,197.0,197.0,0.0
134,2020-01-23,198.0,194.619995,194.619995,197.0,197.0,5263.0
135,2020-01-24,197.0,197.0,197.0,197.0,197.0,0.0
136,2020-01-27,198.0,205.0,200.0,198.0,198.0,12804.0
137,2020-01-28,198.0,208.0,194.96000700000002,199.0,199.0,25265.0
138,2020-01-29,200.0,208.0,197.0,199.0,199.0,16057.0
139,2020-01-30,200.0,197.0,185.0,197.0,197.0,30324.0
140,2020-01-31,200.0,190.0,190.0,199.0,199.0,2500.0
141,2020-02-03,199.0,199.0,199.0,199.0,199.0,0.0
142,2020-02-04,200.0,200.0,190.0,199.0,199.0,37469.0
143,2020-02-05,199.0,199.0,199.0,199.0,199.0,0.0
144,2020-02-06,199.0,199.0,199.0,199.0,199.0,0.0
145,2020-02-07,200.0,180.0,180.0,199.0,199.0,10000.0
146,2020-02-10,180.0,180.0,177.5,177.5,177.5,14262.0
147,2020-02-11,177.5,177.5,177.5,177.5,177.5,0.0
148,2020-02-12,177.5,199.998001,177.5,190.0,190.0,88000.0
149,2020-02-13,190.0,190.0,190.0,190.0,190.0,0.0
150,2020-02-14,200.0,200.0,200.0,200.0,200.0,63900.0
151,2020-02-17,190.0,190.0,190.0,190.0,190.0,0.0
