,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,8.81,8.81,8.81,8.81,7.504815,0.0
1,2019-07-16,9.02,9.02,9.02,9.02,7.683704,0.0
2,2019-07-17,9.1,9.1,9.1,9.1,7.751852,0.0
3,2019-07-18,9.1,9.1,9.1,9.1,7.751852,0.0
4,2019-07-19,9.1,9.1,9.1,9.1,7.751852,0.0
5,2019-07-22,9.2781,9.2781,9.2781,9.1,7.751852,165.0
6,2019-07-23,9.26,9.26,9.26,9.1,7.751852,1000.0
7,2019-07-24,9.2,9.2,9.2,9.1,7.751852,24472.0
8,2019-07-25,9.1,9.1,9.1,9.1,7.751852,0.0
9,2019-07-26,9.1,9.1,9.1,9.1,7.751852,0.0
10,2019-07-29,9.1,9.4,9.4,9.18,7.82,12139.0
11,2019-07-30,9.18,9.18,9.18,9.18,7.82,0.0
12,2019-07-31,918.0,918.0,918.0,918.0,782.0,0.0
13,2019-08-01,9.3,10.0823,10.0823,9.66,8.228889,30000.0
14,2019-08-02,9.66,9.66,9.66,9.66,8.228889,0.0
15,2019-08-05,9.58,9.58,9.58,9.58,8.160741,0.0
16,2019-08-06,9.58,9.58,9.58,9.58,8.160741,0.0
17,2019-08-07,9.58,9.58,9.58,9.58,8.160741,0.0
18,2019-08-08,9.58,9.58,9.58,9.58,8.160741,0.0
19,2019-08-09,9.58,9.58,9.58,9.58,8.160741,0.0
20,2019-08-12,9.58,9.58,9.58,9.58,8.160741,0.0
21,2019-08-13,9.58,9.58,9.58,9.58,8.160741,0.0
22,2019-08-14,9.58,9.44,9.44,9.58,8.160741,2577.0
23,2019-08-15,9.48,9.48,9.48,9.48,8.075555,0.0
24,2019-08-16,9.3,9.3,9.3,9.3,7.9222220000000005,0.0
25,2019-08-19,9.3,9.3,9.3,9.3,7.9222220000000005,0.0
26,2019-08-20,9.2,9.2,9.2,9.2,7.837037,0.0
27,2019-08-21,9.2,9.2,9.2,9.2,7.837037,0.0
28,2019-08-22,9.06,9.06,9.06,9.06,7.717778,0.0
29,2019-08-23,9.06,9.06,9.06,9.06,7.717778,0.0
30,2019-08-27,9.06,9.1676,9.1676,8.88,7.564444,1849.0
31,2019-08-28,8.88,8.88,8.88,8.88,7.564444,0.0
32,2019-08-29,8.88,8.88,8.88,8.88,7.564444,0.0
33,2019-08-30,8.88,8.88,8.88,8.88,7.564444,0.0
34,2019-09-02,8.88,8.88,8.88,8.88,7.564444,0.0
35,2019-09-03,8.77,8.77,8.77,8.77,7.470741,0.0
36,2019-09-04,8.75,8.75,8.75,8.75,7.453703,0.0
37,2019-09-05,8.75,8.75,8.75,8.75,7.453703,0.0
38,2019-09-06,8.75,8.75,8.75,8.75,7.453703,0.0
39,2019-09-09,8.75,8.7846,8.7846,8.9,7.581481,115000.0
40,2019-09-10,8.9,8.9,8.9,8.9,7.581481,0.0
41,2019-09-11,8.9,8.9,8.9,8.9,7.581481,0.0
42,2019-09-12,8.9,8.9,8.9,8.9,7.581481,0.0
43,2019-09-13,8.9,9.1683,9.1683,9.1,7.751852,120000.0
44,2019-09-16,9.1,9.1,9.1,9.1,7.751852,0.0
45,2019-09-17,9.1,9.1,9.1,9.1,7.751852,0.0
46,2019-09-18,9.1,9.1,9.1,9.1,7.751852,0.0
47,2019-09-19,9.1,9.1,9.099089999999999,9.1,7.751852,706.0
48,2019-09-20,9.1,9.1,9.1,9.1,7.751852,0.0
49,2019-09-23,9.1,9.1,9.1,9.1,7.751852,0.0
50,2019-09-24,9.1,9.18,9.17908,9.1,7.751852,750.0
51,2019-09-25,9.1,9.1,9.1,9.1,7.751852,0.0
52,2019-09-26,9.1,9.1,9.1,9.1,7.751852,0.0
53,2019-09-27,9.1,9.1,9.1,9.1,7.751852,0.0
54,2019-09-30,9.1,9.1,9.099089999999999,9.1,7.751852,680.0
55,2019-10-01,9.1,9.1,9.1,9.1,7.751852,0.0
56,2019-10-02,9.1,9.1,9.1,9.1,7.751852,0.0
57,2019-10-03,9.1,9.1,9.1,9.1,7.751852,0.0
58,2019-10-04,9.1,9.1,9.1,9.1,7.751852,0.0
59,2019-10-07,9.1,9.1,9.1,9.1,7.751852,0.0
60,2019-10-08,9.1,9.1,9.1,9.1,7.751852,0.0
61,2019-10-09,8.8,8.8,8.8,8.8,7.496296000000001,0.0
