,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,228.0,233.5,226.0,227.0,215.829956,513047.0
1,2019-07-16,226.0,226.0,222.5,223.5,212.502182,546772.0
2,2019-07-17,222.0,224.0,220.0,223.5,212.502182,1085152.0
3,2019-07-18,223.0,227.0,222.0,225.0,213.928375,674529.0
4,2019-07-19,223.0,227.0,219.5,221.0,210.125214,816526.0
5,2019-07-22,225.5,229.0,220.0,226.0,214.87916600000003,483347.0
6,2019-07-23,225.5,228.0,224.5,225.0,213.928375,420071.0
7,2019-07-24,221.0,224.5,221.0,223.5,212.502182,658994.0
8,2019-07-25,221.0,229.5,221.0,228.0,216.780762,540521.0
9,2019-07-26,223.0,231.0,223.0,229.5,218.20694,316582.0
10,2019-07-29,233.0,233.0,228.399002,231.0,219.633133,380750.0
11,2019-07-30,234.0,237.0,228.785004,236.0,224.3871,676683.0
12,2019-07-31,232.0,239.0,232.0,235.0,223.43631,1252741.0
13,2019-08-01,233.0,236.949997,233.0,235.0,223.43631,370423.0
14,2019-08-02,229.0,234.5,225.899994,233.0,221.534714,490499.0
15,2019-08-05,230.5,230.949997,222.595993,227.5,216.305359,758901.0
16,2019-08-06,227.5,231.0,225.399994,228.5,217.256149,252321.0
17,2019-08-07,223.5,229.0,220.0,220.5,209.649811,629719.0
18,2019-08-08,227.0,238.5,224.5,230.5,219.157745,553980.0
19,2019-08-09,230.5,235.5,228.0,234.0,222.485519,953992.0
20,2019-08-12,234.0,242.389999,229.100006,240.5,228.665665,719693.0
21,2019-08-13,243.0,247.677002,236.0,244.5,232.468842,1354430.0
22,2019-08-14,243.5,245.960007,239.0,240.0,228.190277,666913.0
23,2019-08-15,233.5,240.740005,233.0,238.0,226.288681,1090088.0
24,2019-08-16,237.0,246.25,237.0,246.0,233.89502,1168845.0
25,2019-08-19,247.0,254.0,245.25,254.0,241.501373,904669.0
26,2019-08-20,255.0,259.429993,249.5,249.5,237.222794,740885.0
27,2019-08-21,256.0,256.0,249.729996,250.0,237.698196,428176.0
28,2019-08-22,249.0,251.0,242.0,243.0,231.042648,742898.0
29,2019-08-23,244.0,245.5,232.5,233.0,221.534714,940768.0
30,2019-08-27,232.0,240.0,232.0,235.0,223.43631,583680.0
31,2019-08-28,238.0,239.738998,236.0,236.0,224.3871,963477.0
32,2019-08-29,236.0,243.0,236.0,238.5,226.764084,581629.0
33,2019-08-30,243.0,243.0,237.0,237.0,225.337891,503263.0
34,2019-09-02,237.5,240.19599900000003,232.100006,237.0,225.337891,496246.0
35,2019-09-03,242.5,242.5,237.0,239.0,227.239471,301140.0
36,2019-09-04,244.0,244.0,236.5,238.0,226.288681,369157.0
37,2019-09-05,241.0,247.0,241.0,245.0,232.944229,416297.0
38,2019-09-06,246.0,246.0,240.179993,242.0,230.091858,539291.0
39,2019-09-09,246.5,246.632004,239.25,243.0,231.042648,626829.0
40,2019-09-10,240.0,241.5,232.0,238.5,226.764084,1081689.0
41,2019-09-11,243.5,243.5,234.975006,235.5,223.91169700000003,804304.0
42,2019-09-12,236.5,236.561005,223.246994,223.5,212.502182,1234981.0
43,2019-09-13,230.0,230.5,223.050003,224.5,213.452988,456031.0
44,2019-09-16,232.0,240.511002,230.5,234.0,222.485519,2841652.0
45,2019-09-17,240.0,244.699997,234.330002,238.5,226.764084,1065126.0
46,2019-09-18,238.5,240.0,231.25,236.0,224.3871,1184675.0
47,2019-09-19,231.0,233.085007,226.5,232.5,232.5,917762.0
48,2019-09-20,233.0,239.5,232.880005,239.0,239.0,853469.0
49,2019-09-23,233.5,237.830002,233.300003,236.5,236.5,334081.0
50,2019-09-24,231.0,236.25,230.0,232.0,232.0,522888.0
51,2019-09-25,232.0,232.5,223.923996,226.5,226.5,599044.0
52,2019-09-26,231.0,231.0,224.5,225.5,225.5,460429.0
53,2019-09-27,228.5,230.5,226.0,229.5,229.5,571641.0
54,2019-09-30,225.0,233.0,225.0,229.0,229.0,624255.0
55,2019-10-01,235.0,235.0,228.5,232.0,232.0,2749922.0
56,2019-10-02,235.0,235.0,221.841003,222.0,222.0,958145.0
57,2019-10-03,220.0,222.229996,211.524994,213.5,213.5,914264.0
58,2019-10-04,216.0,221.5,214.554993,220.5,220.5,508575.0
59,2019-10-07,220.0,227.0,216.910004,225.0,225.0,648761.0
60,2019-10-08,221.5,225.324997,214.0,214.0,214.0,870894.0
61,2019-10-09,214.0,217.0,210.339996,213.0,213.0,469622.0
62,2019-10-10,215.0,215.0,209.0,210.5,210.5,412657.0
63,2019-10-11,210.5,215.0,210.5,211.0,211.0,528785.0
64,2019-10-14,217.0,217.0,207.5,207.5,207.5,429316.0
65,2019-10-15,208.0,211.0,203.0,203.5,203.5,390038.0
66,2019-10-16,202.5,205.307999,199.399994,199.399994,199.399994,546060.0
67,2019-10-17,201.0,208.25,200.0,206.5,206.5,299391.0
68,2019-10-18,205.5,207.022003,202.5,204.0,204.0,330471.0
69,2019-10-21,205.0,210.0,204.0,205.5,205.5,203800.0
70,2019-10-22,206.0,206.0,201.5,204.0,204.0,351705.0
71,2019-10-23,205.5,211.649994,204.0,208.5,208.5,344030.0
72,2019-10-24,208.0,213.858002,205.880005,212.5,212.5,406953.0
73,2019-10-25,215.5,215.5,208.024994,210.0,210.0,287846.0
74,2019-10-28,206.0,215.375,206.0,209.0,209.0,205167.0
75,2019-10-29,208.0,210.100006,204.5,205.5,205.5,425083.0
76,2019-10-30,205.0,209.0,205.0,206.0,206.0,185944.0
77,2019-10-31,205.5,207.050003,204.445007,205.0,205.0,358303.0
78,2019-11-01,205.5,208.862,204.300003,208.0,208.0,152781.0
79,2019-11-04,206.5,214.5,206.5,211.0,211.0,377410.0
80,2019-11-05,217.0,217.0,209.5,216.0,216.0,290596.0
81,2019-11-06,219.5,220.5,216.0,219.0,219.0,553661.0
82,2019-11-07,221.0,222.5,219.5,222.0,222.0,448218.0
83,2019-11-08,224.0,224.0,217.0,223.5,223.5,468794.0
84,2019-11-11,223.5,224.925003,216.975006,220.0,220.0,338595.0
85,2019-11-12,220.0,226.0,218.25,224.5,224.5,140470.0
86,2019-11-13,224.0,224.25,216.0,218.5,218.5,332132.0
87,2019-11-14,217.5,219.675003,216.0,219.0,219.0,646587.0
88,2019-11-15,216.5,223.830002,216.195007,222.0,222.0,197479.0
89,2019-11-18,219.0,227.205002,218.679993,219.5,219.5,485160.0
90,2019-11-19,221.0,222.244003,219.0,221.0,221.0,304882.0
91,2019-11-20,219.0,220.380005,212.5,215.0,215.0,635742.0
92,2019-11-21,212.0,216.5,212.0,214.5,214.5,238201.0
93,2019-11-22,219.0,219.0,213.0,213.0,213.0,262011.0
94,2019-11-25,214.0,215.0,206.854004,207.5,207.5,512960.0
95,2019-11-26,212.0,212.0,207.5,207.5,207.5,484669.0
96,2019-11-27,208.0,210.5,206.0,206.5,206.5,288616.0
97,2019-11-28,205.0,210.0,204.5,208.0,208.0,279117.0
98,2019-11-29,205.0,209.0,204.0,204.0,204.0,290275.0
99,2019-12-02,202.5,205.0,201.0,202.0,202.0,420268.0
100,2019-12-03,203.0,203.0,185.199997,195.0,195.0,877608.0
101,2019-12-04,195.0,201.789993,194.679993,200.0,200.0,469844.0
102,2019-12-05,201.0,203.199997,197.199997,201.0,201.0,525811.0
103,2019-12-06,205.0,205.0,197.348007,201.5,201.5,1942473.0
104,2019-12-09,202.0,203.5,195.800003,198.0,198.0,363023.0
105,2019-12-10,200.5,210.899994,200.5,204.0,204.0,1690599.0
106,2019-12-11,210.0,210.0,204.699997,206.5,206.5,832371.0
107,2019-12-12,205.0,206.100006,195.199997,197.399994,197.399994,1484595.0
108,2019-12-13,196.600006,205.0,196.600006,199.199997,199.199997,771257.0
109,2019-12-16,197.0,203.690002,197.0,200.5,200.5,575801.0
110,2019-12-17,198.0,203.0,198.0,202.0,202.0,516922.0
111,2019-12-18,201.5,204.0,199.800003,202.5,202.5,625178.0
112,2019-12-19,205.0,206.0,201.5,204.0,204.0,728467.0
113,2019-12-20,205.0,209.0,204.300003,206.0,206.0,680167.0
114,2019-12-23,210.5,213.276001,207.0,212.5,212.5,834837.0
115,2019-12-24,210.0,215.0,210.0,215.0,215.0,348852.0
116,2019-12-27,215.0,219.27999900000003,212.0,212.0,212.0,374251.0
117,2019-12-30,218.0,218.0,210.0,212.5,212.5,574578.0
118,2019-12-31,211.0,215.5,211.0,212.5,212.5,421232.0
119,2020-01-02,213.0,216.610001,209.5,211.0,211.0,721210.0
120,2020-01-03,210.0,215.0,208.0,210.0,210.0,555665.0
121,2020-01-06,213.0,213.0,197.600006,198.399994,198.399994,1223456.0
122,2020-01-07,202.0,202.0,195.837997,199.199997,199.199997,1287576.0
123,2020-01-08,198.0,200.274002,193.800003,193.800003,193.800003,1666736.0
124,2020-01-09,199.399994,200.011002,190.800003,193.600006,193.600006,1470723.0
125,2020-01-10,194.399994,200.847,191.740005,200.0,200.0,1016433.0
126,2020-01-13,202.0,205.5,191.740005,204.0,204.0,815997.0
127,2020-01-14,205.0,206.0,201.0,201.5,201.5,1003711.0
