,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,254.0,254.0,245.0,251.0,250.559647,291175.0
1,2019-07-16,253.0,257.0,250.0,254.5,254.053497,145896.0
2,2019-07-17,255.0,258.5,251.5,256.0,255.550873,612084.0
3,2019-07-18,258.0,261.0,254.5,260.5,260.042969,948757.0
4,2019-07-19,259.0,264.0,257.0,261.5,261.041229,61913.0
5,2019-07-22,253.5,261.5,253.5,260.0,259.543854,140051.0
6,2019-07-23,260.5,262.0,250.0,258.0,257.547363,605898.0
7,2019-07-24,260.0,264.5,254.0,256.0,255.550873,50184.0
8,2019-07-25,260.0,267.5,250.0,266.5,266.03244,159110.0
9,2019-07-26,268.0,268.0,262.0,263.0,262.538605,432711.0
10,2019-07-29,264.0,264.109985,260.0,261.5,261.041229,114672.0
11,2019-07-30,262.5,262.850006,250.0,255.5,255.051743,43545.0
12,2019-07-31,259.0,264.700012,249.899994,254.5,254.053497,69126.0
13,2019-08-01,252.0,259.0,247.820007,255.0,254.552628,92530.0
14,2019-08-02,244.0,257.220001,244.0,251.0,250.559647,70561.0
15,2019-08-05,251.0,251.0,240.0,244.0,243.57193,132585.0
16,2019-08-06,240.0,244.0,235.149994,240.0,239.578949,320409.0
17,2019-08-07,235.0,242.065002,235.0,236.0,235.585968,55022.0
18,2019-08-08,239.0,239.0,235.070007,236.5,236.085083,86280.0
19,2019-08-09,236.5,238.270004,228.5,230.0,229.596481,112283.0
20,2019-08-12,233.5,236.27999900000003,228.100006,235.0,234.587723,1727600.0
21,2019-08-13,240.0,240.0,234.0,235.0,234.587723,126284.0
22,2019-08-14,233.5,238.0,233.0,235.0,234.587723,189258.0
23,2019-08-15,233.0,237.0,230.0,235.0,234.587723,61034.0
24,2019-08-16,234.0,244.0,233.625,234.0,233.589462,60300.0
25,2019-08-19,237.5,244.0,235.389999,236.0,235.585968,181826.0
26,2019-08-20,237.0,244.0,235.820007,240.0,239.578949,261297.0
27,2019-08-21,234.0,244.0,234.0,239.0,238.580704,164385.0
28,2019-08-22,243.0,248.0,234.0,246.0,245.56842000000003,323607.0
29,2019-08-23,243.0,243.100006,236.5,237.0,236.584213,112730.0
30,2019-08-27,239.5,248.5,239.5,243.5,243.0728,112180.0
31,2019-08-28,245.0,245.0,238.5,238.5,238.081573,136830.0
32,2019-08-29,250.0,250.0,240.0,246.5,246.067535,620731.0
33,2019-08-30,246.0,253.5,241.875,250.0,249.561401,324071.0
34,2019-09-02,246.5,251.0,240.0,250.5,250.060516,215440.0
35,2019-09-03,247.0,255.5,246.024994,254.5,254.053497,400717.0
36,2019-09-04,256.5,258.0,235.25,256.5,256.049988,418008.0
37,2019-09-05,253.0,260.0,253.0,255.0,255.0,276512.0
38,2019-09-06,258.0,258.799988,252.5,256.0,256.0,127747.0
39,2019-09-09,256.5,258.0,252.270004,256.5,256.5,196573.0
40,2019-09-10,258.0,258.0,254.5,255.0,255.0,79771.0
41,2019-09-11,252.0,259.5,252.0,254.5,254.5,457045.0
42,2019-09-12,254.0,258.399994,252.0,252.5,252.5,109183.0
43,2019-09-13,252.0,258.0,251.0,252.0,252.0,96881.0
44,2019-09-16,252.0,257.27999900000003,250.889999,253.5,253.5,105406.0
45,2019-09-17,252.5,268.0,252.360001,256.0,256.0,102219.0
46,2019-09-18,265.0,265.0,252.0,252.0,252.0,87573.0
47,2019-09-19,252.0,257.5,249.0,252.0,252.0,119993.0
48,2019-09-20,252.0,255.0,252.0,255.0,255.0,122655.0
49,2019-09-23,245.0,256.5,245.0,252.5,252.5,97890.0
50,2019-09-24,252.0,254.0,250.0,252.0,252.0,128257.0
51,2019-09-25,252.0,254.0,252.0,252.0,252.0,921825.0
52,2019-09-26,252.0,255.0,252.0,252.0,252.0,81251.0
53,2019-09-27,254.0,254.669998,252.0,252.0,252.0,66295.0
54,2019-09-30,250.0,254.5,250.0,252.5,252.5,42532.0
55,2019-10-01,255.0,257.100006,250.0,254.5,254.5,378472.0
56,2019-10-02,255.0,257.5,249.649994,254.5,254.5,1440503.0
57,2019-10-03,246.5,254.5,245.0,251.0,251.0,57684.0
58,2019-10-04,251.0,254.5,245.0,253.5,253.5,99733.0
59,2019-10-07,254.0,258.0,252.5,257.0,257.0,175513.0
60,2019-10-08,254.5,257.5,249.0,255.0,255.0,64477.0
61,2019-10-09,255.0,255.0,251.5,254.0,254.0,100858.0
62,2019-10-10,255.0,258.0,252.119995,258.0,258.0,996086.0
63,2019-10-11,257.5,268.0,256.5,267.0,267.0,420084.0
64,2019-10-14,267.0,267.100006,256.274994,265.0,265.0,56256.0
65,2019-10-15,265.0,266.0,262.0,266.0,266.0,324585.0
66,2019-10-16,267.0,267.0,257.265015,263.5,263.5,595892.0
67,2019-10-17,264.0,272.0,257.700012,269.5,269.5,856017.0
68,2019-10-18,269.5,271.359985,266.5,269.0,269.0,673432.0
69,2019-10-21,272.0,272.5,266.0,266.0,266.0,475141.0
70,2019-10-22,269.0,270.0,267.0,267.5,267.5,52562.0
71,2019-10-23,271.5,275.5,269.075012,270.0,270.0,119029.0
72,2019-10-24,268.0,273.0,268.0,272.0,272.0,85779.0
73,2019-10-25,270.0,275.0,269.100006,274.0,274.0,259341.0
74,2019-10-28,270.0,275.0,265.5,274.0,274.0,158300.0
75,2019-10-29,270.0,275.5,270.0,274.0,274.0,1037437.0
76,2019-10-30,271.0,275.0,271.0,272.5,272.5,51191.0
77,2019-10-31,270.0,272.5,260.5,261.0,261.0,163468.0
78,2019-11-01,273.0,273.0,260.0,262.0,262.0,147511.0
79,2019-11-04,266.5,267.5,259.5,260.5,260.5,135999.0
80,2019-11-05,253.5,262.5,253.274994,255.5,255.5,378929.0
81,2019-11-06,257.0,264.195007,248.5,251.5,251.5,151182.0
82,2019-11-07,252.5,258.5,246.25999500000003,250.0,250.0,970274.0
83,2019-11-08,245.0,254.0,239.630005,243.0,243.0,219971.0
84,2019-11-11,243.5,246.5,243.0,246.0,246.0,114720.0
85,2019-11-12,248.0,248.770004,244.0,244.0,244.0,120186.0
86,2019-11-13,246.0,251.899994,243.0,246.5,246.5,92381.0
87,2019-11-14,252.5,252.5,245.220001,248.0,248.0,51829.0
88,2019-11-15,248.5,249.0,246.850006,247.5,247.5,100546.0
89,2019-11-18,250.0,250.0,248.210007,248.5,248.5,7966.0
90,2019-11-19,242.0,258.0,242.0,250.0,250.0,240108.0
91,2019-11-20,256.5,259.200012,250.0,254.0,254.0,167597.0
92,2019-11-21,255.5,263.5,254.649994,259.0,259.0,45179.0
93,2019-11-22,259.0,265.0,253.539993,263.0,263.0,95323.0
94,2019-11-25,253.5,264.179993,253.5,264.0,264.0,207133.0
95,2019-11-26,264.0,266.5,259.5,265.0,265.0,196062.0
96,2019-11-27,270.0,270.0,264.0,266.0,266.0,146718.0
97,2019-11-28,263.5,270.5,253.0,270.0,270.0,65793.0
98,2019-11-29,271.0,271.670013,263.700012,271.5,271.5,403297.0
99,2019-12-02,258.0,272.5,258.0,265.5,265.5,33061.0
100,2019-12-03,270.0,270.0,255.5,258.5,258.5,129855.0
101,2019-12-04,261.5,261.5,255.0,257.5,257.5,81394.0
102,2019-12-05,258.0,258.0,253.0,253.5,253.5,180499.0
103,2019-12-06,254.0,266.5,253.520004,263.0,263.0,263362.0
104,2019-12-09,265.0,268.0,257.375,267.0,267.0,99956.0
105,2019-12-10,266.0,269.0,265.140015,266.5,266.5,31438.0
106,2019-12-11,265.5,268.5,255.419998,265.5,265.5,200197.0
107,2019-12-12,260.0,266.5,257.579987,266.0,266.0,80108.0
108,2019-12-13,269.0,280.0,268.0,274.0,274.0,3565741.0
109,2019-12-16,277.0,285.0,272.769989,278.0,278.0,1001319.0
110,2019-12-17,281.0,289.0,270.609985,284.5,284.5,479163.0
111,2019-12-18,278.0,293.0,277.5,290.0,290.0,612983.0
112,2019-12-19,287.5,292.5,283.929993,286.5,286.5,449786.0
