,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,672.0,677.0,667.0,670.0,670.0,188748.0
1,2019-07-16,680.0,680.0,658.0,674.0,674.0,157147.0
2,2019-07-17,676.0,685.0,667.0,683.0,683.0,295991.0
3,2019-07-18,685.0,685.0,673.0,680.0,680.0,42787.0
4,2019-07-19,675.0,690.0,675.0,679.0,679.0,78234.0
5,2019-07-22,679.0,691.0,677.0,681.0,681.0,324985.0
6,2019-07-23,675.0,702.0,675.0,695.0,695.0,115031.0
7,2019-07-24,702.0,710.0,697.0,701.0,701.0,61437.0
8,2019-07-25,700.0,700.0,690.0,692.0,692.0,14306.0
9,2019-07-26,690.0,690.0,675.0,683.0,683.0,56033.0
10,2019-07-29,683.0,696.0,682.799988,690.0,690.0,46683.0
11,2019-07-30,690.0,695.0,680.0,687.0,687.0,61187.0
12,2019-07-31,684.0,694.0,666.0,689.0,689.0,241761.0
13,2019-08-01,685.0,694.0,670.0,685.0,685.0,43835.0
14,2019-08-02,685.0,688.0,673.0,673.0,673.0,30907.0
15,2019-08-05,673.0,675.0,654.0,661.0,661.0,68688.0
16,2019-08-06,664.0,680.0,650.0,655.0,655.0,87464.0
17,2019-08-07,655.0,671.0,655.0,660.0,660.0,103304.0
18,2019-08-08,660.0,680.0,660.0,676.0,676.0,43810.0
19,2019-08-09,675.0,680.0,669.0,669.0,669.0,21487.0
20,2019-08-12,661.0,675.0,655.0,657.0,657.0,32816.0
21,2019-08-13,677.0,677.0,637.5,657.0,657.0,89619.0
22,2019-08-14,651.0,663.880005,650.0,653.0,653.0,51453.0
23,2019-08-15,652.0,652.0,624.0,640.0,640.0,94528.0
24,2019-08-16,650.0,657.0,639.0,640.0,640.0,22682.0
25,2019-08-19,634.0,652.0,634.0,639.0,639.0,23592.0
26,2019-08-20,639.0,640.0,632.0,635.0,635.0,113384.0
27,2019-08-21,630.0,645.0,630.0,645.0,645.0,149518.0
28,2019-08-22,644.0,658.6740110000002,644.0,650.0,650.0,52369.0
29,2019-08-23,655.0,667.0,640.9509889999998,653.0,653.0,145754.0
30,2019-08-27,664.0,671.0,655.0,658.0,658.0,62152.0
31,2019-08-28,648.0,668.0,648.0,655.0,655.0,27317.0
32,2019-08-29,664.0,670.0,656.0,659.0,659.0,43055.0
33,2019-08-30,660.0,669.0,651.0,660.0,660.0,133279.0
34,2019-09-02,660.0,687.0,655.0,679.0,679.0,69974.0
35,2019-09-03,675.0,683.0,664.0,664.0,664.0,31815.0
36,2019-09-04,670.0,678.9219969999998,668.0,675.0,675.0,108565.0
37,2019-09-05,671.0,675.0,659.0,675.0,675.0,63022.0
38,2019-09-06,675.0,675.0,667.0,672.0,672.0,52729.0
39,2019-09-09,670.0,691.0,670.0,685.0,685.0,89555.0
40,2019-09-10,685.0,692.0,683.0,684.0,684.0,146700.0
41,2019-09-11,685.0,723.0,684.0,696.0,696.0,174683.0
42,2019-09-12,698.0,725.0,695.0,713.0,713.0,40430.0
43,2019-09-13,713.0,726.0,709.0,720.0,720.0,59233.0
44,2019-09-16,720.0,724.0,712.0,721.0,721.0,69801.0
45,2019-09-17,720.0,722.0,712.0,717.0,717.0,919461.0
46,2019-09-18,720.0,720.0,715.0,715.0,715.0,15107.0
47,2019-09-19,715.0,722.0,713.0,717.0,717.0,930914.0
48,2019-09-20,716.0,720.0,713.0,718.0,718.0,89802.0
49,2019-09-23,715.0,720.0,713.0,717.0,717.0,96104.0
50,2019-09-24,718.0,731.0,718.0,726.0,726.0,132991.0
51,2019-09-25,724.0,732.0,721.349976,725.0,725.0,164470.0
52,2019-09-26,715.0,731.0,715.0,725.0,725.0,195686.0
53,2019-09-27,725.0,725.0,725.0,725.0,725.0,0.0
54,2019-09-30,725.0,725.0,725.0,725.0,725.0,0.0
55,2019-10-01,725.0,725.0,725.0,725.0,725.0,0.0
56,2019-10-02,725.0,725.0,725.0,725.0,725.0,0.0
57,2019-10-03,725.0,725.0,725.0,725.0,725.0,0.0
58,2019-10-04,725.0,725.0,725.0,725.0,725.0,0.0
59,2019-10-07,725.0,725.0,725.0,725.0,725.0,0.0
60,2019-10-08,725.0,725.0,725.0,725.0,725.0,0.0
61,2019-10-09,725.0,725.0,725.0,725.0,725.0,0.0
62,2019-10-10,725.0,725.0,725.0,725.0,725.0,0.0
63,2019-10-11,725.0,725.0,725.0,725.0,725.0,0.0
64,2019-10-14,725.0,725.0,725.0,725.0,725.0,0.0
65,2019-10-15,725.0,725.0,725.0,725.0,725.0,0.0
66,2019-10-16,725.0,725.0,725.0,725.0,725.0,0.0
67,2019-10-17,725.0,725.0,725.0,725.0,725.0,0.0
68,2019-10-18,725.0,725.0,725.0,725.0,725.0,0.0
69,2019-10-21,725.0,725.0,725.0,725.0,725.0,0.0
70,2019-10-22,725.0,725.0,725.0,725.0,725.0,0.0
71,2019-10-23,725.0,725.0,725.0,725.0,725.0,0.0
72,2019-10-24,800.0,812.0,796.0,797.0,797.0,57542.0
73,2019-10-25,797.0,812.0,794.0,807.0,807.0,221153.0
74,2019-10-28,812.0,812.0,794.0,806.0,806.0,55109.0
75,2019-10-29,794.0,812.0,794.0,805.0,805.0,27666.0
76,2019-10-30,801.0,806.0,794.849976,805.0,805.0,238383.0
77,2019-10-31,800.0,811.0,800.0,807.0,807.0,76503.0
78,2019-11-01,808.0,818.0,800.0,806.0,806.0,123518.0
79,2019-11-04,805.0,815.0,728.280029,734.0,734.0,194346.0
80,2019-11-05,728.0,735.0,688.0,706.0,706.0,91605.0
81,2019-11-06,709.0,719.0,705.3599849999997,712.0,712.0,68092.0
82,2019-11-07,710.0,719.0,705.0,710.0,710.0,88408.0
83,2019-11-08,714.0,751.0,696.0,700.0,700.0,108391.0
84,2019-11-11,695.0,704.0,687.0,695.0,695.0,291150.0
85,2019-11-12,700.0,710.0,696.0,705.0,705.0,77994.0
86,2019-11-13,720.0,732.0,663.0,691.0,691.0,282239.0
87,2019-11-14,710.0,715.0,690.0,695.0,695.0,225765.0
88,2019-11-15,688.0,707.950012,688.0,706.0,706.0,149401.0
89,2019-11-18,700.0,718.0,700.0,707.0,707.0,100404.0
90,2019-11-19,706.0,716.0,697.0,708.0,708.0,1151165.0
91,2019-11-20,710.0,718.0,697.0,700.0,700.0,335333.0
92,2019-11-21,700.0,708.049988,677.0,683.0,683.0,101728.0
93,2019-11-22,690.0,694.0,683.0,690.0,690.0,753348.0
94,2019-11-25,697.0,707.0,692.0,700.0,700.0,102209.0
95,2019-11-26,700.0,705.0,688.0,688.0,688.0,138154.0
96,2019-11-27,688.0,705.0,688.0,695.0,695.0,183507.0
97,2019-11-28,709.0,709.0,690.0,698.0,698.0,178085.0
98,2019-11-29,705.0,710.0,697.0,705.0,705.0,73387.0
99,2019-12-02,700.0,709.0,697.0,707.0,707.0,101988.0
100,2019-12-03,706.0,713.0,690.0,701.0,701.0,86382.0
101,2019-12-04,702.0,709.0,694.0,705.0,705.0,182799.0
102,2019-12-05,700.0,713.0,693.0,700.0,700.0,135039.0
103,2019-12-06,695.0,700.0,690.0,696.0,696.0,115277.0
104,2019-12-09,700.0,700.0,685.0,689.0,689.0,220832.0
105,2019-12-10,685.0,690.400024,652.0,670.0,670.0,167617.0
