,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,0.825,0.825,0.825,0.825,0.825,100000.0
1,2019-07-16,0.885,0.885,0.885,0.825,0.825,9949.0
2,2019-07-17,0.805,0.805,0.785,0.8,0.8,139525.0
3,2019-07-18,0.8,0.8,0.8,0.8,0.8,0.0
4,2019-07-19,0.785,0.785,0.78,0.775,0.775,95000.0
5,2019-07-22,0.754,0.754,0.754,0.775,0.775,75000.0
6,2019-07-23,0.8,0.8,0.8,0.775,0.775,5000.0
7,2019-07-24,0.775,0.8,0.775,0.775,0.775,577188.0
8,2019-07-25,0.775,0.775,0.775,0.775,0.775,0.0
9,2019-07-26,0.885,0.885,0.754,0.775,0.775,43188.0
10,2019-07-29,0.775,0.8,0.8,0.775,0.775,311006.0
11,2019-07-30,0.775,0.775,0.775,0.775,0.775,0.0
12,2019-07-31,0.775,0.754,0.754,0.775,0.775,7918.0
13,2019-08-01,0.775,0.8,0.8,0.8,0.8,200000.0
14,2019-08-02,0.8,0.8,0.8,0.8,0.8,0.0
15,2019-08-05,0.8,0.8,0.8,0.8,0.8,0.0
16,2019-08-06,0.8,0.8,0.8,0.8,0.8,0.0
17,2019-08-07,0.8,0.89,0.89,0.825,0.825,379893.0
18,2019-08-08,0.825,0.825,0.825,0.825,0.825,0.0
19,2019-08-09,0.825,0.89,0.89,0.825,0.825,30454.0
20,2019-08-12,0.825,0.825,0.825,0.825,0.825,0.0
21,2019-08-13,0.825,0.7659999999999999,0.7659999999999999,0.825,0.825,10000.0
22,2019-08-14,0.825,0.89,0.89,0.825,0.825,10938.0
23,2019-08-15,0.825,0.825,0.825,0.825,0.825,0.0
24,2019-08-16,0.825,0.825,0.825,0.825,0.825,0.0
25,2019-08-19,0.825,0.825,0.825,0.825,0.825,0.0
26,2019-08-20,0.825,0.825,0.825,0.825,0.825,0.0
27,2019-08-21,0.825,0.89,0.7659999999999999,0.825,0.825,119174.0
28,2019-08-22,0.825,0.899,0.75,0.825,0.825,1080681.0
29,2019-08-23,0.825,0.825,0.825,0.825,0.825,0.0
30,2019-08-27,0.825,0.89,0.7609999999999999,0.825,0.825,28574.0
31,2019-08-28,0.825,0.75,0.75,0.8,0.8,50000.0
32,2019-08-29,0.8,0.7140000000000001,0.7140000000000001,0.8,0.8,9000.0
33,2019-08-30,0.8,0.79,0.7,0.775,0.775,635966.0
34,2019-09-02,0.775,0.82,0.8029999999999999,0.775,0.775,300000.0
35,2019-09-03,0.775,0.728,0.728,0.775,0.775,31900.0
36,2019-09-04,0.775,0.775,0.775,0.775,0.775,0.0
37,2019-09-05,0.775,0.775,0.775,0.775,0.775,0.0
38,2019-09-06,0.775,0.775,0.775,0.775,0.775,0.0
39,2019-09-09,0.775,0.84,0.84,0.825,0.825,391434.0
40,2019-09-10,0.825,0.855,0.855,0.825,0.825,15000.0
41,2019-09-11,0.825,0.89,0.88,0.85,0.85,386405.0
42,2019-09-12,0.85,0.9,0.81,0.85,0.85,540377.0
43,2019-09-13,0.85,0.9,0.826,0.9,0.9,790789.0
44,2019-09-16,0.85,1.166,0.899,1.1,1.1,1605528.0
45,2019-09-17,1.15,1.2,1.016,1.05,1.05,594548.0
46,2019-09-18,0.95,1.35,0.97,1.225,1.225,936172.0
47,2019-09-19,1.225,1.3,1.12,1.15,1.15,477299.0
48,2019-09-20,1.15,1.15,1.15,1.15,1.15,0.0
49,2019-09-23,1.15,1.12,1.12,1.15,1.15,2773.0
50,2019-09-24,1.15,1.15,1.15,1.15,1.15,0.0
51,2019-09-25,1.15,1.2,1.12,1.15,1.15,144378.0
52,2019-09-26,1.15,1.045,1.045,1.15,1.15,279893.0
53,2019-09-27,1.15,1.17,1.045,1.1,1.1,225300.0
54,2019-09-30,1.1,1.1,1.1,1.1,1.1,0.0
55,2019-10-01,1.1,1.1,1.1,1.1,1.1,0.0
56,2019-10-02,1.1,1.1,1.1,1.1,1.1,0.0
57,2019-10-03,1.1,1.1,1.1,1.1,1.1,0.0
58,2019-10-04,1.1,1.1,1.1,1.1,1.1,0.0
59,2019-10-07,1.1,1.1,1.1,1.1,1.1,0.0
60,2019-10-08,1.1,1.05,1.05,1.1,1.1,11500.0
61,2019-10-09,1.1,1.1,1.1,1.1,1.1,0.0
62,2019-10-10,1.1,1.1,1.1,1.1,1.1,0.0
63,2019-10-11,1.1,1.1,1.1,1.1,1.1,0.0
64,2019-10-14,1.1,1.2,1.05,1.1,1.1,116306.0
65,2019-10-15,1.1,1.17,1.014,1.1,1.1,200000.0
66,2019-10-16,1.1,1.1,1.1,1.1,1.1,0.0
67,2019-10-17,1.1,1.05,1.0,1.1,1.1,44679.0
68,2019-10-18,1.1,1.1,1.1,1.1,1.1,0.0
69,2019-10-21,0.8,1.2,0.9,1.15,1.15,1109781.0
70,2019-10-22,1.15,1.189,1.189,1.15,1.15,150000.0
71,2019-10-23,1.15,1.15,1.15,1.15,1.15,0.0
72,2019-10-24,1.15,1.163,1.163,1.15,1.15,2000.0
73,2019-10-25,1.15,1.45,1.162,1.45,1.45,1698259.0
74,2019-10-28,1.45,1.45,1.162,1.4,1.4,261969.0
75,2019-10-29,1.4,1.3019999999999998,1.3019999999999998,1.4,1.4,36757.0
76,2019-10-30,1.4,1.3019999999999998,1.3019999999999998,1.4,1.4,39680.0
77,2019-10-31,1.4,1.4,1.4,1.4,1.4,0.0
78,2019-11-01,1.4,1.4,1.4,1.4,1.4,0.0
79,2019-11-04,1.4,1.49,1.365,1.4,1.4,456932.0
80,2019-11-05,1.4,1.475,1.375,1.4,1.4,128213.0
81,2019-11-06,1.4,1.475,1.375,1.4,1.4,229018.0
82,2019-11-07,1.4,1.4980000000000002,1.4,1.4,1.4,33611.0
83,2019-11-08,1.4,1.4,1.4,1.4,1.4,0.0
84,2019-11-11,1.4,1.4,1.4,1.4,1.4,103355.0
85,2019-11-12,1.4,1.6,1.45,1.5,1.5,397556.0
86,2019-11-13,1.5,1.6,1.46,1.5,1.5,129571.0
87,2019-11-14,1.5,1.7,1.535,1.6,1.6,280020.0
88,2019-11-15,1.6,1.998,1.632,1.9,1.9,971720.0
89,2019-11-18,1.9,2.8,2.0,2.15,2.15,3022987.0
90,2019-11-19,2.15,3.5,2.15,3.2,3.2,1071598.0
91,2019-11-20,3.35,3.5,2.6,2.85,2.85,2114407.0
92,2019-11-21,2.85,3.0,2.88,2.95,2.95,144117.0
93,2019-11-22,2.95,3.35,3.05,3.3,3.3,451553.0
94,2019-11-25,3.3,3.4,3.225,3.35,3.35,463823.0
95,2019-11-26,3.35,3.47,3.3310000000000004,3.4,3.4,241848.0
96,2019-11-27,3.4,3.33,2.975,2.9,2.9,850804.0
97,2019-11-28,2.9,2.877,2.8,2.9,2.9,35138.0
98,2019-11-29,2.9,2.822,2.822,2.9,2.9,72658.0
99,2019-12-02,2.9,2.8,2.8,2.9,2.9,4713.0
100,2019-12-03,2.15,3.2,2.195,2.95,2.95,1880194.0
101,2019-12-04,2.95,3.075,2.81,2.95,2.95,17375.0
102,2019-12-05,2.95,2.98,2.8,2.95,2.95,116644.0
103,2019-12-06,2.95,2.98,2.85,2.95,2.95,60751.0
104,2019-12-09,2.95,2.85,2.85,2.95,2.95,110234.0
105,2019-12-10,2.95,2.85,2.85,2.95,2.95,50000.0
106,2019-12-11,2.95,2.8,2.8,2.9,2.9,100000.0
107,2019-12-12,2.9,2.918,2.8,2.9,2.9,20805.0
108,2019-12-13,2.9,2.9,2.9,2.9,2.9,0.0
109,2019-12-16,2.9,2.81,2.81,2.9,2.9,7118.0
110,2019-12-17,2.9,2.918,2.806,2.9,2.9,28905.0
111,2019-12-18,2.95,2.81,2.81,2.9,2.9,557.0
112,2019-12-19,2.9,2.8,2.8,2.8,2.8,43000.0
113,2019-12-20,2.8,2.8,2.8,2.8,2.8,0.0
114,2019-12-23,2.8,2.612,2.4,2.55,2.55,867659.0
115,2019-12-24,2.55,2.55,2.55,2.55,2.55,0.0
116,2019-12-27,2.45,2.41,2.41,2.45,2.45,39.0
117,2019-12-30,2.45,2.41,2.4,2.45,2.45,20047.0
118,2019-12-31,2.45,2.45,2.45,2.45,2.45,0.0
119,2020-01-02,2.45,2.45,2.45,2.45,2.45,0.0
120,2020-01-03,2.45,2.45,2.45,2.45,2.45,0.0
121,2020-01-06,2.45,2.44,2.42,2.45,2.45,120000.0
122,2020-01-07,2.45,2.45,2.45,2.45,2.45,0.0
123,2020-01-08,2.45,2.45,2.45,2.45,2.45,0.0
124,2020-01-09,2.45,2.44,2.44,2.45,2.45,50000.0
125,2020-01-10,2.45,2.41,2.41,2.45,2.45,4000.0
126,2020-01-13,2.45,2.42,2.0,2.25,2.25,354906.0
127,2020-01-14,2.25,2.25,2.25,2.25,2.25,0.0
128,2020-01-15,2.25,2.37,2.0,2.25,2.25,111836.0
129,2020-01-16,2.25,2.25,2.25,2.25,2.25,0.0
130,2020-01-17,2.25,2.01,2.01,2.25,2.25,7514.0
131,2020-01-20,2.25,2.29,2.29,2.3,2.3,32489.0
132,2020-01-21,2.3,2.29,2.112,2.3,2.3,125000.0
133,2020-01-22,2.3,2.3,2.3,2.3,2.3,0.0
134,2020-01-23,2.3,2.112,2.112,2.3,2.3,12225.0
135,2020-01-24,2.3,2.29,2.29,2.3,2.3,5000.0
136,2020-01-27,2.15,2.21,2.21,2.15,2.15,5750.0
137,2020-01-28,2.15,2.21,2.0,2.1,2.1,656931.0
138,2020-01-29,2.1,2.15,2.001,2.1,2.1,6640.0
139,2020-01-30,2.1,2.006,2.0,2.1,2.1,311984.0
140,2020-01-31,2.1,2.1,2.0,1.9,1.9,131759.0
141,2020-02-03,1.9,1.99,1.806,1.9,1.9,34243.0
142,2020-02-04,1.9,1.99,1.815,1.9,1.9,78575.0
143,2020-02-05,1.9,2.0,1.815,1.95,1.95,412949.0
144,2020-02-06,2.15,2.46,2.06,2.3,2.3,767232.0
145,2020-02-07,2.3,2.39,2.125,2.3,2.3,227885.0
146,2020-02-10,2.3,2.3,2.3,2.3,2.3,0.0
147,2020-02-11,2.3,2.3,2.3,2.3,2.3,0.0
148,2020-02-12,2.3,2.39,2.125,2.3,2.3,34388.0
149,2020-02-13,2.3,2.4,2.112,2.3,2.3,424440.0
150,2020-02-14,2.3,2.37,2.14,2.3,2.3,68905.0
151,2020-02-17,2.3,2.37,2.1,2.3,2.3,74430.0
152,2020-02-18,2.3,2.375,2.112,2.3,2.3,70123.0
153,2020-02-19,2.3,2.4,2.375,2.3,2.3,8494.0
154,2020-02-20,2.3,2.4,2.112,2.3,2.3,25739.0
155,2020-02-21,2.3,2.3680000000000003,2.112,2.3,2.3,50508.0
156,2020-02-24,2.3,2.3680000000000003,2.112,2.3,2.3,31279.0
157,2020-02-25,2.3,2.35,2.33,2.3,2.3,59886.0
