,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,11.0,11.3,11.0,11.3,11.3,114359.0
1,2019-07-16,10.8,11.1,10.8,11.3,11.3,183355.0
2,2019-07-17,10.8,11.0,10.7,10.8,10.8,514182.0
3,2019-07-18,11.0,11.0,10.6,10.8,10.8,84381.0
4,2019-07-19,10.5,11.0,10.5,10.8,10.8,491144.0
5,2019-07-22,10.6,11.1,11.1,11.0,11.0,91912.0
6,2019-07-23,11.1,11.1,10.9,11.0,11.0,57339.0
7,2019-07-24,10.9,10.9,10.8,11.0,11.0,38224.0
8,2019-07-25,10.8,11.1,10.8,11.0,11.0,83905.0
9,2019-07-26,10.8,11.0,10.8,10.9,10.9,60918.0
10,2019-07-29,10.9,11.0,10.8,10.8,10.8,44816.0
11,2019-07-30,10.8,10.9,10.6,10.8,10.8,44282.0
12,2019-07-31,10.8,10.9,10.2,10.3,10.3,294148.0
13,2019-08-01,10.3,10.9,10.3,10.4,10.4,146666.0
14,2019-08-02,10.4,10.5,10.1,10.3,10.3,88873.0
15,2019-08-05,10.3,10.5,10.0,10.3,10.3,59267.0
16,2019-08-06,10.3,10.2,9.6,9.8,9.8,346551.0
17,2019-08-07,9.8,9.9,9.1,9.3,9.3,452520.0
18,2019-08-08,9.3,9.5,9.1,9.3,9.3,226107.0
19,2019-08-09,9.3,10.3,9.0,10.3,10.3,884315.0
20,2019-08-12,10.3,10.2,9.1,9.3,9.3,379377.0
21,2019-08-13,9.3,9.5,9.1,9.3,9.3,91128.0
22,2019-08-14,9.3,9.5,9.3,9.3,9.3,62582.0
23,2019-08-15,9.3,9.4,9.0,9.3,9.3,156897.0
24,2019-08-16,9.3,9.5,9.0,9.3,9.3,86504.0
25,2019-08-19,9.3,9.5,9.0,9.3,9.3,41947.0
26,2019-08-20,9.3,11.4,9.0,10.4,10.4,1389214.0
27,2019-08-21,10.4,11.0,9.9,10.4,10.4,24463.0
28,2019-08-22,10.4,10.2,9.5,10.4,10.4,51873.0
29,2019-08-23,10.4,11.0,9.5,10.5,10.5,168711.0
30,2019-08-27,10.5,10.8,8.5,9.3,9.3,187979.0
31,2019-08-28,9.3,9.0,7.4,8.8,8.8,1089081.0
32,2019-08-29,8.8,9.0,8.0,8.5,8.5,342331.0
33,2019-08-30,10.8,11.5,9.6,10.3,10.3,2871661.0
34,2019-09-02,10.3,10.5,10.0,10.3,10.3,597673.0
35,2019-09-03,10.3,10.5,8.7,9.5,9.5,731131.0
36,2019-09-04,9.5,9.8,9.0,9.5,9.5,143861.0
37,2019-09-05,9.5,10.0,9.0,9.3,9.3,244762.0
38,2019-09-06,9.3,9.5,8.7,9.0,9.0,531125.0
39,2019-09-09,9.0,9.2,8.6,8.8,8.8,12124.0
40,2019-09-10,8.8,10.0,8.5,9.3,9.3,276719.0
41,2019-09-11,9.3,10.4,9.0,9.8,9.8,329808.0
42,2019-09-12,9.8,10.2,9.2,9.8,9.8,29081.0
43,2019-09-13,9.8,10.1,9.2,9.8,9.8,68701.0
44,2019-09-16,9.8,9.8,9.0,9.8,9.8,112918.0
45,2019-09-17,9.8,9.7,8.6,9.3,9.3,267355.0
46,2019-09-18,9.3,9.0,8.6,8.8,8.8,104443.0
47,2019-09-19,8.8,9.0,8.6,8.8,8.8,179828.0
48,2019-09-20,8.8,8.9,8.5,8.8,8.8,123858.0
49,2019-09-23,9.0,9.9,9.0,9.75,9.75,503656.0
50,2019-09-24,9.75,9.65,8.9,9.25,9.25,218409.0
51,2019-09-25,9.25,9.0,8.15,8.65,8.65,443563.0
52,2019-09-26,8.65,8.925,8.5,8.75,8.75,77170.0
53,2019-09-27,8.75,8.9,8.36,8.625,8.625,378274.0
54,2019-09-30,8.625,8.7,8.077,8.25,8.25,134728.0
55,2019-10-01,8.25,8.6,8.25,8.5,8.5,216630.0
56,2019-10-02,8.5,8.5,7.555,8.125,8.125,299725.0
57,2019-10-03,8.125,8.225,7.33,7.75,7.75,354039.0
58,2019-10-04,7.75,7.9,7.75,7.875,7.875,61299.0
59,2019-10-07,7.875,8.15,7.5,7.5,7.5,570031.0
60,2019-10-08,7.75,7.875,7.51,7.75,7.75,38440.0
61,2019-10-09,7.75,7.85,7.51,7.75,7.75,50366.0
62,2019-10-10,7.75,8.15,7.66,8.0,8.0,79339.0
63,2019-10-11,8.0,7.99,7.25,7.75,7.75,30995.0
64,2019-10-14,7.75,7.99,7.25,7.75,7.75,152134.0
65,2019-10-15,7.75,8.5,7.95,8.25,8.25,703837.0
66,2019-10-16,8.25,8.675,8.043,8.375,8.375,104401.0
67,2019-10-17,8.375,8.6,8.235,8.5,8.5,267748.0
68,2019-10-18,8.5,8.25,8.05,8.125,8.125,239852.0
69,2019-10-21,8.125,9.25,8.113,8.25,8.25,544612.0
70,2019-10-22,8.25,8.5,8.13,8.5,8.5,80787.0
71,2019-10-23,8.5,8.49,8.25,8.5,8.5,5103.0
72,2019-10-24,8.5,8.65,8.075,8.375,8.375,63880.0
73,2019-10-25,8.375,8.47,8.0,8.5,8.5,50783.0
74,2019-10-28,8.5,8.75,8.0,8.5,8.5,187083.0
75,2019-10-29,8.5,8.55,8.0,8.25,8.25,64258.0
76,2019-10-30,8.25,8.45,8.0,8.125,8.125,202004.0
77,2019-10-31,8.25,8.25,8.0,8.25,8.25,112171.0
78,2019-11-01,8.25,8.22,8.0,8.25,8.25,73170.0
79,2019-11-04,8.25,8.01,8.0,8.125,8.125,18958.0
80,2019-11-05,8.125,8.2,8.0,8.125,8.125,1390.0
81,2019-11-06,8.125,8.14,7.9,8.125,8.125,463016.0
82,2019-11-07,8.125,8.1,8.0,8.125,8.125,50423.0
83,2019-11-08,8.125,8.0,7.85,7.875,7.875,142351.0
84,2019-11-11,7.875,8.0,7.5,7.875,7.875,39444.0
85,2019-11-12,7.75,8.225,7.55,8.125,8.125,182333.0
86,2019-11-13,8.125,8.225,8.0,8.125,8.125,40017.0
87,2019-11-14,8.125,8.01,8.0,8.0,8.0,56947.0
88,2019-11-15,8.0,8.75,8.0,8.625,8.625,456622.0
89,2019-11-18,8.625,8.7,8.25,8.5,8.5,131388.0
90,2019-11-19,8.5,8.65,8.25,8.375,8.375,118404.0
91,2019-11-20,8.375,8.44,8.253,8.375,8.375,34918.0
92,2019-11-21,8.375,8.4,8.0,8.25,8.25,113217.0
93,2019-11-22,8.25,8.35,8.0,8.25,8.25,85017.0
