,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,1.295,1.295,1.295,1.2229999999999999,1.2229999999999999,1574124.0
1,2019-07-16,1.295,1.3,1.295,1.26,1.26,3090256.0
2,2019-07-17,1.34,1.4,1.335,1.368,1.368,4209027.0
3,2019-07-18,1.445,1.445,1.395,1.308,1.308,1631975.0
4,2019-07-19,1.376,1.376,1.295,1.3330000000000002,1.3330000000000002,1061495.0
5,2019-07-22,1.315,1.35,1.31,1.3,1.3,3180057.0
6,2019-07-23,1.295,1.3880000000000001,1.22,1.285,1.285,1568914.0
7,2019-07-24,1.37,1.37,1.37,1.285,1.285,1630911.0
8,2019-07-25,1.38,1.38,1.26,1.285,1.285,251307.0
9,2019-07-26,1.205,1.275,1.205,1.285,1.285,902928.0
10,2019-07-29,1.3,1.345,1.22,1.238,1.238,597524.0
11,2019-07-30,1.37,1.442,1.37,1.285,1.285,1008492.0
12,2019-07-31,1.265,1.494,1.253,1.393,1.393,2587350.0
13,2019-08-01,1.445,1.48,1.305,1.375,1.375,2330525.0
14,2019-08-02,1.43,1.43,1.265,1.405,1.405,104394.0
15,2019-08-05,1.475,1.511,1.31,1.43,1.43,10988798.0
16,2019-08-06,1.305,1.479,1.3,1.335,1.335,6845041.0
17,2019-08-07,1.205,1.295,1.15,1.28,1.28,7787936.0
18,2019-08-08,1.1,1.17,1.0,1.06,1.06,20980789.0
19,2019-08-09,1.09,1.16,1.035,1.153,1.153,14244544.0
20,2019-08-12,1.125,1.13,1.05,1.083,1.083,2679065.0
21,2019-08-13,1.1,1.18,1.037,1.153,1.153,2068894.0
22,2019-08-14,1.02,1.055,0.9640000000000001,1.04,1.04,9343995.0
23,2019-08-15,0.98,1.025,0.883,1.01,1.01,10058464.0
24,2019-08-16,0.88,0.98,0.8740000000000001,0.99,0.99,5879140.0
25,2019-08-19,0.85,0.9,0.8,0.882,0.882,13977358.0
26,2019-08-20,0.9,0.948,0.84,0.9,0.9,2056716.0
27,2019-08-21,0.858,0.898,0.856,0.905,0.905,4179566.0
28,2019-08-22,0.988,0.988,0.841,0.94,0.94,11555770.0
29,2019-08-23,0.92,0.9359999999999999,0.85,0.915,0.915,4403476.0
30,2019-08-27,0.95,1.01,0.925,0.95,0.95,3296314.0
31,2019-08-28,0.902,0.973,0.9,0.946,0.946,5594954.0
32,2019-08-29,0.998,1.04,0.9,0.961,0.961,6793546.0
33,2019-08-30,0.968,1.0,0.94,0.98,0.98,3105329.0
34,2019-09-02,0.96,1.037,0.948,0.978,0.978,10035735.0
35,2019-09-03,0.9740000000000001,1.01,0.94,0.973,0.973,10261074.0
36,2019-09-04,1.02,1.17,0.9420000000000001,1.163,1.163,47796147.0
37,2019-09-05,1.17,1.45,1.143,1.25,1.25,41957997.0
38,2019-09-06,1.28,1.32,0.19,1.21,1.21,16671208.0
39,2019-09-09,1.21,1.25,1.171,1.175,1.175,6126487.0
40,2019-09-10,1.18,1.2,1.16,1.19,1.19,5606972.0
41,2019-09-11,1.18,1.4,1.025,1.093,1.093,36612705.0
42,2019-09-12,1.095,1.185,1.085,1.145,1.145,8618140.0
43,2019-09-13,1.035,1.155,1.035,1.135,1.135,4413931.0
44,2019-09-16,1.11,1.12,1.061,1.13,1.13,2418573.0
45,2019-09-17,1.14,1.14,1.028,1.065,1.065,6121325.0
46,2019-09-18,1.04,1.12,1.025,1.07,1.07,4880872.0
47,2019-09-19,1.03,1.06,0.985,1.025,1.025,5408509.0
48,2019-09-20,1.06,1.099,0.99,1.1179999999999999,1.1179999999999999,1883793.0
49,2019-09-23,1.04,1.13,1.012,1.053,1.053,3624903.0
50,2019-09-24,1.02,1.05,0.95,1.0,1.0,10372956.0
51,2019-09-25,0.97,0.985,0.895,0.93,0.93,25144475.0
52,2019-09-26,0.95,0.961,0.937,0.9670000000000001,0.9670000000000001,2644488.0
53,2019-09-27,0.976,0.998,0.95,0.95,0.95,6602306.0
54,2019-09-30,0.9420000000000001,1.025,0.93,0.98,0.98,6501707.0
55,2019-10-01,0.98,1.0,0.915,0.96,0.96,10897372.0
56,2019-10-02,0.902,0.93,0.8959999999999999,0.92,0.92,12148235.0
57,2019-10-03,0.882,0.99,0.882,0.943,0.943,5570922.0
58,2019-10-04,1.045,1.045,0.91,0.935,0.935,2370800.0
59,2019-10-07,0.904,0.95,0.823,0.8490000000000001,0.8490000000000001,3672630.0
60,2019-10-08,0.8240000000000001,0.9,0.818,0.86,0.86,2281192.0
61,2019-10-09,0.84,0.8959999999999999,0.8220000000000001,0.86,0.86,2216567.0
62,2019-10-10,0.84,0.867,0.813,0.8220000000000001,0.8220000000000001,2258718.0
63,2019-10-11,0.8420000000000001,0.852,0.812,0.813,0.813,9717233.0
64,2019-10-14,0.8,0.883,0.71,0.78,0.78,11934493.0
65,2019-10-15,0.78,0.825,0.706,0.736,0.736,16238737.0
66,2019-10-16,0.752,0.8170000000000001,0.725,0.755,0.755,19882386.0
67,2019-10-17,0.8,0.89,0.77,0.8320000000000001,0.8320000000000001,9623695.0
68,2019-10-18,0.82,0.861,0.705,0.755,0.755,17064118.0
69,2019-10-21,0.7040000000000001,0.75,0.636,0.66,0.66,23775313.0
70,2019-10-22,0.68,0.6940000000000001,0.612,0.672,0.672,19654362.0
71,2019-10-23,0.66,0.909,0.66,0.718,0.718,40386190.0
72,2019-10-24,0.732,0.78,0.6629999999999999,0.737,0.737,23149513.0
73,2019-10-25,0.78,0.83,0.687,0.7440000000000001,0.7440000000000001,8772165.0
74,2019-10-28,0.718,0.812,0.67,0.705,0.705,14388985.0
75,2019-10-29,0.682,0.745,0.58,0.72,0.72,33516581.0
76,2019-10-30,0.71,0.787,0.6709999999999999,0.743,0.743,28264422.0
77,2019-10-31,0.7,0.767,0.684,0.742,0.742,17438176.0
78,2019-11-01,0.762,0.81,0.6920000000000001,0.79,0.79,11302193.0
79,2019-11-04,0.818,0.831,0.745,0.746,0.746,15556830.0
