,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,1.1,1.2,1.1,1.15,1.15,378423.0
1,2019-07-16,1.25,1.38,1.2,1.325,1.325,1567748.0
2,2019-07-17,1.35,2.188,1.2,1.8,1.8,21714269.0
3,2019-07-18,1.8159999999999998,2.0,1.551,1.6,1.6,10828616.0
4,2019-07-19,1.57,1.65,1.5,1.55,1.55,1704435.0
5,2019-07-22,1.5,1.514,1.2,1.4,1.4,2566075.0
6,2019-07-23,1.3330000000000002,1.33,1.33,1.33,1.33,1567349.0
7,2019-07-24,1.199,1.6,1.199,1.35,1.35,4855428.0
8,2019-07-25,1.229,1.57,1.229,1.45,1.45,1083809.0
9,2019-07-26,1.391,1.54,1.391,1.45,1.45,64119.0
10,2019-07-29,1.45,1.45,1.45,1.45,1.45,0.0
11,2019-07-30,1.45,1.53,1.325,1.45,1.45,211200.0
12,2019-07-31,1.45,1.33,1.301,1.4,1.4,261071.0
13,2019-08-01,1.4,1.4,1.4,1.4,1.4,0.0
14,2019-08-02,1.4,1.44,1.3,1.4,1.4,372987.0
15,2019-08-05,1.4,1.435,1.435,1.4,1.4,9062.0
16,2019-08-06,1.4,1.7,1.33,1.55,1.55,2005299.0
17,2019-08-07,1.55,1.645,1.415,1.4,1.4,558019.0
18,2019-08-08,1.4,1.5,1.355,1.45,1.45,50674.0
19,2019-08-09,1.45,1.45,1.45,1.45,1.45,0.0
20,2019-08-12,1.45,1.475,1.0190000000000001,1.25,1.25,1823671.0
21,2019-08-13,1.25,1.3,1.088,1.25,1.25,653340.0
22,2019-08-14,1.25,1.788,1.157,1.6,1.6,2476932.0
23,2019-08-15,1.6,1.7,1.36,1.4,1.4,840861.0
24,2019-08-16,1.4,2.4,1.36,1.9,1.9,6508741.0
25,2019-08-19,1.9,2.7,1.8,2.4,2.4,3207478.0
26,2019-08-20,2.4,2.4,2.05,2.3,2.3,1440862.0
27,2019-08-21,2.3,2.24,2.001,2.15,2.15,863331.0
28,2019-08-22,2.15,2.24,2.01,2.1,2.1,628685.0
29,2019-08-23,2.1,3.1,2.022,2.65,2.65,7183106.0
30,2019-08-27,2.65,2.625,2.235,2.4,2.4,702766.0
31,2019-08-28,2.4,2.43,2.201,2.3,2.3,314857.0
32,2019-08-29,2.3,2.145,1.8,2.1,2.1,1770779.0
33,2019-08-30,2.1,2.09,2.0,2.0,2.0,212669.0
34,2019-09-02,2.0,1.95,1.901,2.0,2.0,146525.0
35,2019-09-03,2.0,2.0340000000000003,1.901,2.0,2.0,72710.0
36,2019-09-04,2.0,2.024,1.9,2.05,2.05,457506.0
37,2019-09-05,2.05,2.05,1.915,2.05,2.05,129124.0
38,2019-09-06,2.05,1.915,1.915,2.0,2.0,359505.0
