,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,5.1,5.1,5.0,5.1,5.1,95274.0
1,2019-07-16,5.07,5.07,5.0,5.1,5.1,72330.0
2,2019-07-17,5.0,5.001,5.0,5.1,5.1,9780.0
3,2019-07-18,5.1,5.1,5.1,5.1,5.1,0.0
4,2019-07-19,5.2989999999999995,8.0,8.0,8.0,8.0,12337002.0
5,2019-07-22,7.7479999999999976,8.1,6.17,6.75,6.75,1126656.0
6,2019-07-23,6.7,6.7,6.17,6.5,6.5,194856.0
7,2019-07-24,6.499,7.0,6.275,6.65,6.65,463652.0
8,2019-07-25,6.425,6.7,6.2010000000000005,6.375,6.375,173498.0
9,2019-07-26,6.675,7.15,6.6,6.875,6.875,447862.0
10,2019-07-29,6.875,7.0,6.65,6.875,6.875,134229.0
11,2019-07-30,6.875,6.9,6.5,6.875,6.875,79612.0
12,2019-07-31,6.875,6.9,6.6,6.875,6.875,84108.0
13,2019-08-01,6.875,6.845,6.29,6.625,6.625,131814.0
14,2019-08-02,6.625,6.745,6.251,6.625,6.625,208270.0
15,2019-08-05,6.625,6.7,6.251,6.55,6.55,109452.0
16,2019-08-06,6.625,6.125,6.0,6.125,6.125,315120.0
17,2019-08-07,6.125,6.1,5.529,5.75,5.75,143216.0
18,2019-08-08,5.75,5.949,5.4,5.8,5.8,125961.0
19,2019-08-09,5.6,5.933,5.53,5.75,5.75,136328.0
20,2019-08-12,5.75,5.9,5.4,5.7,5.7,87081.0
21,2019-08-13,5.7,5.82,5.5,5.7,5.7,56013.0
22,2019-08-14,5.7,5.55,5.55,5.7,5.7,60000.0
23,2019-08-15,5.7,5.85,5.132999999999999,5.25,5.25,236988.0
24,2019-08-16,5.25,5.495,5.155,5.25,5.25,21239.0
25,2019-08-19,5.625,5.36,5.25,5.625,5.625,56446.0
26,2019-08-20,5.625,5.7,5.25,5.625,5.625,50806.0
27,2019-08-21,5.625,5.69,5.69,5.625,5.625,229.0
28,2019-08-22,5.625,5.69,5.68,5.625,5.625,48099.0
29,2019-08-23,5.625,5.68,5.3,5.625,5.625,45596.0
30,2019-08-27,5.625,5.65,5.65,5.625,5.625,17981.0
31,2019-08-28,5.625,5.6,5.27,5.5,5.5,270597.0
32,2019-08-29,5.5,5.5,5.5,5.5,5.5,0.0
33,2019-08-30,5.5,5.6,5.6,5.5,5.5,60714.0
34,2019-09-02,5.5,5.6,5.33,5.5,5.5,45758.0
35,2019-09-03,5.5,5.75,5.34,5.5,5.5,59572.0
36,2019-09-04,5.5,5.8,5.59,5.75,5.75,167500.0
37,2019-09-05,5.75,5.7,5.506,5.625,5.625,86182.0
38,2019-09-06,5.625,5.59,5.59,5.625,5.625,11341.0
39,2019-09-09,5.625,5.251,5.251,5.625,5.625,36108.0
40,2019-09-10,5.625,5.59,5.251,5.25,5.25,105920.0
41,2019-09-11,5.25,8.0,5.4,6.125,6.125,903039.0
42,2019-09-12,6.0,6.0,5.255,5.5,5.5,422625.0
43,2019-09-13,5.5,5.65,5.32,5.5,5.5,55297.0
44,2019-09-16,5.5,5.585,5.3770000000000024,5.375,5.375,137633.0
45,2019-09-17,5.375,5.485,5.3770000000000024,5.375,5.375,88975.0
46,2019-09-18,5.375,5.48,5.275,5.375,5.375,40680.0
47,2019-09-19,5.375,5.485,5.26,5.375,5.375,60085.0
48,2019-09-20,5.75,6.4,5.7,5.75,5.75,1184279.0
49,2019-09-23,5.75,5.8,5.7,5.75,5.75,267246.0
50,2019-09-24,5.75,5.5,5.15,5.125,5.125,229381.0
51,2019-09-25,5.125,5.25,5.0,5.125,5.125,501954.0
52,2019-09-26,5.125,5.235,5.025,5.125,5.125,37813.0
53,2019-09-27,5.125,5.4,5.035,5.25,5.25,105300.0
