,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,135.0,135.0,134.990005,135.0,132.360001,205.0
1,2019-07-16,134.979996,134.979996,134.979996,135.0,132.360001,138.0
2,2019-07-17,134.899994,134.899994,132.119995,135.0,132.360001,11840.0
3,2019-07-18,134.699997,135.0,132.0,135.0,132.360001,20813.0
4,2019-07-19,128.0,132.119995,128.0,135.0,132.360001,11500.0
5,2019-07-22,132.0,132.0,125.199997,130.0,127.457779,11535.0
6,2019-07-23,129.850006,129.850006,125.254997,130.0,127.457779,3948.0
7,2019-07-24,129.744995,129.744995,125.199997,130.0,127.457779,1768.0
8,2019-07-25,129.645004,129.645004,129.645004,130.0,127.457779,7000.0
9,2019-07-26,125.0,125.0,122.0,126.0,123.535995,10883.0
10,2019-07-29,126.0,127.0,115.0,119.5,117.163109,34327.0
11,2019-07-30,119.5,119.489998,115.0,117.5,115.202217,14615.0
12,2019-07-31,117.5,120.0,115.0,117.5,115.202217,27985.0
13,2019-08-01,117.5,116.0,101.5,103.5,101.475998,814080.0
14,2019-08-02,103.5,110.0,102.0,106.0,103.927109,209169.0
15,2019-08-05,106.0,111.900002,108.510002,109.5,107.358665,108571.0
16,2019-08-06,109.5,111.0,107.5,109.5,107.358665,21211.0
17,2019-08-07,109.5,107.5,103.0,106.0,103.927109,65688.0
18,2019-08-08,106.0,110.0,107.099998,109.0,106.868446,62227.0
19,2019-08-09,109.0,114.75,107.75,114.0,111.770668,50847.0
20,2019-08-12,114.0,118.0,115.0,117.0,114.711998,58533.0
21,2019-08-13,117.0,117.25,117.0,117.0,114.711998,39699.0
22,2019-08-14,117.0,116.040001,116.040001,117.0,114.711998,30.0
23,2019-08-15,117.0,117.0,116.040001,116.0,113.731552,2615.0
24,2019-08-16,116.0,116.0,116.0,116.0,113.731552,0.0
25,2019-08-19,116.0,116.5,114.080002,116.0,113.731552,325.0
26,2019-08-20,116.0,116.5,116.0,116.0,113.731552,6581.0
27,2019-08-21,116.0,116.0,114.080002,115.0,112.751106,9587.0
28,2019-08-22,115.0,115.0,115.0,115.0,112.751106,0.0
29,2019-08-23,115.0,115.0,112.0,114.0,111.770668,9816.0
30,2019-08-27,114.0,114.900002,114.900002,114.0,111.770668,200.0
31,2019-08-28,114.0,114.0,114.0,114.0,111.770668,0.0
32,2019-08-29,114.0,112.0,112.0,112.5,110.299995,1480.0
33,2019-08-30,112.5,114.0,114.0,114.0,111.770668,10000.0
34,2019-09-02,114.0,114.0,110.120003,112.0,109.809776,31985.0
35,2019-09-03,112.0,112.900002,110.080002,112.0,109.809776,11023.0
36,2019-09-04,112.0,110.080002,110.080002,112.0,109.809776,2113.0
37,2019-09-05,112.0,112.5,112.5,112.0,109.809776,6457.0
38,2019-09-06,112.0,113.5,110.25,112.0,109.809776,13880.0
39,2019-09-09,112.0,113.5,110.260002,112.0,109.809776,47760.0
40,2019-09-10,112.0,113.25,110.0,112.0,109.809776,12734.0
41,2019-09-11,112.0,112.75,112.0,112.0,109.809776,12370.0
42,2019-09-12,112.0,112.0,112.0,112.0,109.809776,2000.0
43,2019-09-13,112.0,118.5,115.0,118.5,116.182663,126756.0
44,2019-09-16,117.5,128.0,118.654999,126.0,123.535995,258950.0
45,2019-09-17,126.0,126.0,126.0,127.5,125.006668,1600.0
46,2019-09-18,127.5,127.5,122.0,125.0,122.555557,122562.0
47,2019-09-19,125.0,125.0,121.25,125.0,122.555557,9862.0
48,2019-09-20,125.0,125.0,123.75,125.0,122.555557,150798.0
49,2019-09-23,125.0,125.0,120.5,125.0,122.555557,22482.0
50,2019-09-24,125.0,129.445007,120.099998,125.0,122.555557,66716.0
51,2019-09-25,125.0,120.099998,120.099998,125.0,122.555557,6018.0
52,2019-09-26,125.0,128.850006,120.0,121.5,119.124001,24134.0
53,2019-09-27,121.5,118.139999,118.139999,121.5,119.124001,718.0
54,2019-09-30,121.5,118.139999,118.139999,121.5,119.124001,2553.0
55,2019-10-01,121.5,123.0,121.5,121.5,119.124001,20000.0
56,2019-10-02,121.5,124.860001,119.0,121.5,119.124001,13078.0
57,2019-10-03,121.5,123.5,123.5,125.0,122.555557,4500.0
58,2019-10-04,125.0,125.0,121.599998,124.0,121.575111,15889.0
59,2019-10-07,124.0,125.599998,120.0,124.0,121.575111,3237.0
60,2019-10-08,124.0,120.550003,120.550003,124.0,121.575111,4699.0
61,2019-10-09,124.0,123.0,120.160004,123.0,120.594666,6632.0
62,2019-10-10,124.0,124.900002,120.0,124.0,121.575111,17263.0
63,2019-10-11,124.0,127.839996,123.0,124.0,121.575111,14205.0
64,2019-10-14,124.0,127.839996,123.0,124.0,121.575111,1834.0
65,2019-10-15,124.0,123.879997,118.0,121.0,118.633774,134035.0
66,2019-10-16,121.0,124.0,123.0,121.0,118.633774,101600.0
67,2019-10-17,121.0,125.0,123.0,123.0,120.594666,120500.0
68,2019-10-18,123.0,128.0,123.0,123.0,120.594666,732100.0
69,2019-10-21,123.0,130.0,128.0,127.0,124.516441,57138.0
70,2019-10-22,127.5,134.399994,130.119995,133.0,130.399109,32605.0
71,2019-10-23,136.5,147.0,135.0,139.0,136.281769,180427.0
72,2019-10-24,139.0,140.0,136.25,139.0,136.281769,66553.0
73,2019-10-25,139.0,143.0,137.0,139.0,136.281769,74027.0
74,2019-10-28,139.0,143.0,137.0,139.0,136.281769,132680.0
75,2019-10-29,139.0,142.0,136.5,140.0,137.262222,824445.0
76,2019-10-30,140.0,142.0,138.550003,141.0,138.242661,119750.0
77,2019-10-31,141.0,148.0,142.279999,145.0,142.164444,18909.0
78,2019-11-01,145.0,146.5,143.0,145.0,142.164444,2438.0
79,2019-11-04,145.0,146.479996,144.0,145.0,142.164444,4000.0
80,2019-11-05,145.0,155.5,149.199997,150.5,147.55688500000005,54587.0
81,2019-11-06,150.5,158.699997,150.0,155.5,152.45910600000005,28550.0
82,2019-11-07,156.0,161.75,155.25,156.0,152.949326,9911.0
83,2019-11-08,156.0,165.0,155.5,161.0,157.851547,60504.0
84,2019-11-11,160.5,168.0,161.0,164.0,160.792892,12069.0
85,2019-11-12,164.0,168.0,163.0,163.0,159.81243899999996,53996.0
86,2019-11-13,163.0,165.75,158.0,160.0,156.87110900000005,41258.0
87,2019-11-14,160.0,162.0,160.0,160.0,156.87110900000005,170778.0
88,2019-11-15,160.0,162.0,162.0,160.0,156.87110900000005,11223.0
89,2019-11-18,161.0,165.0,159.0,161.5,158.341782,18838.0
90,2019-11-19,161.5,164.0,159.0,161.5,158.341782,5943.0
91,2019-11-20,161.5,161.5,161.5,161.5,158.341782,0.0
92,2019-11-21,161.5,164.860001,164.860001,161.5,158.341782,601.0
93,2019-11-22,161.5,159.75,159.100006,161.5,158.341782,28161.0
94,2019-11-25,161.5,163.899994,159.800003,161.5,158.341782,8350.0
95,2019-11-26,161.5,162.0,160.100006,161.5,158.341782,2598.0
96,2019-11-27,161.5,162.0,162.0,161.5,158.341782,3800.0
97,2019-11-28,161.5,164.0,160.100006,161.5,158.341782,14359.0
98,2019-11-29,161.5,165.0,160.5,161.5,158.341782,12147.0
99,2019-12-02,161.5,164.860001,160.449997,161.5,158.341782,9461.0
100,2019-12-03,161.5,160.5,160.5,161.5,158.341782,1495.0
101,2019-12-04,161.5,168.0,160.5,166.0,162.753769,28173.0
102,2019-12-05,166.0,170.0,166.800003,168.0,164.714661,11383.0
103,2019-12-06,168.0,174.0,166.399994,169.5,166.185333,30810.0
104,2019-12-09,169.5,175.0,168.550003,171.0,167.655991,5488.0
105,2019-12-10,167.5,165.100006,160.0,162.5,159.32222,69772.0
106,2019-12-11,162.5,175.0,162.0,170.0,166.675552,41156.0
107,2019-12-12,170.0,167.0,167.0,167.0,163.734222,1562.0
108,2019-12-13,168.5,180.0,168.0,175.0,171.577774,84890.0
109,2019-12-16,175.0,193.0,178.0,188.0,184.323547,673510.0
110,2019-12-17,188.0,191.839996,187.0,188.0,184.323547,16699.0
111,2019-12-18,187.0,197.0,185.0,190.0,186.284439,276662.0
112,2019-12-19,190.0,195.0,188.0,190.0,186.284439,47701.0
113,2019-12-20,190.0,204.600006,191.0,193.5,189.716003,10641.0
114,2019-12-23,193.5,200.0,193.5,195.5,191.67688,15197.0
115,2019-12-24,195.5,193.5,193.5,195.5,191.67688,3000.0
116,2019-12-27,195.5,206.0,193.5,204.5,200.500885,177094.0
117,2019-12-30,204.5,207.0,198.0,201.5,197.559555,41578.0
118,2019-12-31,201.5,205.550003,197.0,201.5,197.559555,39385.0
119,2020-01-02,201.5,206.0,197.0,202.5,198.539993,149907.0
120,2020-01-03,202.5,208.0,199.550003,202.5,198.539993,73600.0
121,2020-01-06,202.5,207.779999,199.0,202.5,198.539993,77895.0
122,2020-01-07,202.5,200.100006,198.0,202.5,198.539993,418536.0
123,2020-01-08,202.5,199.279999,199.100006,202.5,198.539993,64646.0
124,2020-01-09,202.5,207.0,200.0,202.5,198.539993,3927.0
125,2020-01-10,202.5,208.0,200.100006,202.5,198.539993,6708.0
126,2020-01-13,202.5,208.0,198.0,202.5,198.539993,3134.0
127,2020-01-14,202.5,206.0,198.0,202.5,198.539993,8225.0
128,2020-01-15,202.5,210.0,203.5,203.5,199.520447,2419.0
129,2020-01-16,203.5,211.5,200.550003,209.0,204.912888,3773.0
130,2020-01-17,206.0,215.800003,206.0,211.0,206.873779,10376.0
131,2020-01-20,211.0,206.75,206.5,211.0,206.873779,3039.0
132,2020-01-21,211.0,215.800003,206.75,211.0,206.873779,2650.0
133,2020-01-22,211.0,220.0,208.149994,212.0,207.854218,16307.0
134,2020-01-23,212.0,218.0,212.0,212.0,207.854218,25340.0
135,2020-01-24,212.0,217.5,212.550003,212.0,207.854218,6344.0
